job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
前端Web开发工程师,https://www.lagou.com/jobs/3324663.html,秦淮区,8k-12k,南京轩恩软件开发有限公司,3-5年,本科,自主研发,1. 精通HTML5/CSS3/JavaScript等前端技术，全日制本科以上学历2. 掌握面向对象编程思想，熟悉设计模式3. 理解MVVM框架的设计原理4. 精通Bootstrap等前端框架，可独立开发上述框架的插件或组件，熟悉框架源码5. 熟悉HTTP协议和Ajex请求6. 熟悉一种前端构建工具，如glup，grunt，webpack7. 具有良好团队合作精神、理解力强、能与UI/UX设计师及开发保持良好沟通，主动积极、有耐心且配合度高,"教育,数据服务",50-150人,web,南京
高级WEB前端开发工程师,https://www.lagou.com/jobs/5540039.html,江宁区,15k-30k,孩子王儿童用品股份有限公司,3-5年,本科,母婴行业独角兽、互联网氛围、晋升灵活,"岗位职责： 1、根据产品设计，利用HTML5相关技术开发手持端、web端、客户端等多平台上的前端应用； 2、持续的优化前端体验和页面响应速度，并保证兼容性和执行效率； 3、配合UI设计师和产品策划人员研究并改善用户体验； 4、与开发人员配合完成Web前端页面开发、功能实现与后期维护； 任职要求：1.计算机相关专业，3年以上相关工作经验； 2.精通HTML5、CSS3、Javascript 最新API，并灵活运用到项目中,有响应式页面、单页应用开发经验；3.熟练使用reactjs, vueJs，angularJs，JQuery等常见前端技术",消费生活,2000人以上,web,南京
web前端工程师,https://www.lagou.com/jobs/6909154.html,雨花台区,12k-24k,易宝软件科技（南京）有限公司,3-5年,本科,舒适办公环境 、活泼可爱90后的小伙伴,"1、统招本科学信网可查，3年以上前端工作经验。2、对前端流行框架有深刻理解和实践经验；深入理解 W3C 标准与 JavaScript 语言规范；精通主流前端 MVVM 框架（如 Vue, React，angular）。3、精通至少一种主流后端 MVC 框架（如 Node/Express， Spring Boot/Cloud），并熟练掌握至少一种关系型数据库和至少一种 NoSQL 数据库（如 Mysql、Redis）。4、熟悉至少一种构建工具， 如 Webpack。5、熟悉服务端调优以及渲染问题6、有很强的团队合作与配合意识。7、视野广阔，善于学习与跟踪新的技术。",移动互联网,150-500人,web,南京
web前端,https://www.lagou.com/jobs/6908747.html,雨花台区,12k-24k,易宝软件科技（南京）有限公司,3-5年,本科,五险一金，绩效奖金，周末双休，节日福利,"统招本科学信网可查，3年以上前端工作经验。对前端流行框架有深刻理解和实践经验；深入理解 W3C 标准与 JavaScript 语言规范；精通主流前端 MVVM 框架（如 Vue, React，angular）。精通至少一种主流后端 MVC 框架（如 Node/Express， Spring Boot/Cloud），并熟练掌握至少一种关系型数据库和至少一种 NoSQL 数据库（如 Mysql、Redis）。熟悉至少一种构建工具， 如 Webpack。熟悉服务端调优以及渲染问题有很强的团队合作与配合意识。视野广阔，善于学习与跟踪新的技术。",移动互联网,150-500人,web,南京
WEB前端开发工程师,https://www.lagou.com/jobs/7070205.html,雨花台区,8k-15k,江苏新视云科技股份有限公司,1-3年,本科,周末双休，五险一金,岗位职责：1、负责公司核心产品的前端页面开发；2、协同后台开发人员定义数据接口与逻辑交互；3、根据项目开发要求高质高效完成任务，并兼顾用户体验、性能、可维护性。任职要求：1、学历本科及以上，有2年以上前端设计开发相关经验2、熟悉HTML5和CSS3、Javascript，能熟练使用多种Web调试工具，开发符合标准、兼容各浏览器的页面；熟悉收集浏览器HTML5兼容性;3、熟练使用vue.js、 Angular、React中的一个或多个4、逻辑分析能力强，善于沟通，具备较强的学习能力5、有nodejs、小程序开发经验者优先,移动互联网,500-2000人,web,南京
web前端开发工程师,https://www.lagou.com/jobs/7216257.html,雨花台区,11k-22k,华为技术有限公司,不限,本科,薪资优厚,"1.扎实的基本功: HTML5、CSS、DIV+CSS、JS、XML、Json、jQuery基础知识精通2.熟悉几种后端语言,通晓前后端的交互方式,熟悉互联网的运作原理:Spring mvc等3.熟悉当前流行的几种前端框架,如Jquery、Bootstrap及相关组件。4.了解所有浏览器的兼容问题,在工作中有独立解决兼容性问题的经验及优化大型网站的性能问题",通讯电子,2000人以上,web,南京
web前端开发工程师,https://www.lagou.com/jobs/6089920.html,雨花台区,15k-30k,秒针信息技术有限公司,3-5年,本科,福利待遇 发展前景,"Javascript，CSS，node.js岗位职责：1、WEB端和移动端HTML5（app网页版/微信小程序等）开发工作；2、前端代码的优化，样式压缩、合并、请求优化等，确保前端一流的用户体验；3、积极探索并积累前端开发模式和规范；4、负责响应式网站开发工作并能有效解决各浏览器兼容性问题；5、配合需求人员、产品人员进行前端分析与设计工作。任职要求：1、互联网前端web开发经验3年左右即可（包含微信小程序），对互联网产品有着良好的感觉和兴趣，对交互设计和用户体验有较为深入的了解；2、精通web前端技术如：HTML/XHTML, CSS，HTML5和CSS3；3、具有扎实的javascript基础；4、熟练掌握一种版本控制工具如Git、SVN；5、熟悉自动化构建工具webpack，熟悉gulp或grunt；6、具有强烈的学习欲望、有开源项目者优先；7、具备较强的沟通能力，具备良好的英语阅读能力；8、熟悉并使用Vue2.0开发过正式项目或产品，研究或开发过微信小程序。9、了解或有hybrid应用的开发经验10、有电商项目经验优先","数据服务,广告营销",2000人以上,web,南京
web前端开发（初、中级岗）,https://www.lagou.com/jobs/6724581.html,雨花台区,8k-15k,玄谷信息技术南京股份有限公司,1-3年,大专,五险一金年终奖项目奖绩效奖股票期权,"岗位职责：1、根据需求完成微信小程序、支付宝小程序或其他小程序的开发。2、运用js、jQuery，Ajax，完成与服务器交互及其它的网页动态效果。3、对模块化开发有一定理解，可编写复用的用户界面组件。4、网站与浏览器兼容性调试。任职要求：1、计算机、软件工程等技术相关专业毕业，大专或以上学历，学信网可查；2、最近至少1年微信小程序/支付宝小程序/其他小程序开发经验；3、精通HTML5/css/css3/javaScrip等前端开发语言，熟悉CSS预处理器(Less, Sass等)；4、熟练掌握至少一种JS开发框架，如jQuery/Bootstrap/ReactJs/AngularJS等；5、熟悉W3C标准，了解不同浏览器之间的差异，代码具有良好的兼容性；6、熟悉代码版本管理工具git；7、会写ts文件者可优先考虑；8、有多媒体经验更佳；9、良好的团队合作意识和积极的工作态度。",金融,15-50人,web,南京
web前端开发工程师,https://www.lagou.com/jobs/6978356.html,雨花台区,10k-15k,北京南海中天科技有限公司,3-5年,本科,试用期享转正薪资,人数：2人工作职责：负责交易平台(交易大厅、用户中心、各活动模块等)前端项目的研发和维护根据产品需求，对业务逻辑进行实现编码；解决移动端下页面的相关兼容性问题持续对前端项目进行架构改造和性能优化 任职要求：掌握规范的JavaScript（ECMAScript 6）、HTML 5、CSS编程技能熟练掌握Vue.js、Vue Router、Vuex的所有概念和正确的使用方法熟练使用Vue CLI 3和Yarn创建、配置、管理Vue前端工程能够熟练使用Element-UI组件库搭建前端页面，熟练使用ECharts创建常见的图表动态展示数据清晰理解HTTP RESTful 接口、WebSocket协议的概念，并熟练使用。掌握常见的前端适配方法、错误调试方法、性能优化方法熟练使用Git进行团队协作开发 加分项：有复杂的大型前端项目经验者优先有个人开源项目、或能展示个人能力水平者优先有Node.js服务端开发经验,"电商,软件开发",50-150人,web,南京
WEB前端开发工程师（南京）,https://www.lagou.com/jobs/4735536.html,秦淮区,13k-25k,飞友科技有限公司,3-5年,本科,"弹性工作,氛围轻松",岗位职责：1、负责产品WEB前端的设计和开发；2、负责产品界面交互的开发；3、基于地图的页面开发；4、为美术设计人员和产品设计人员的设计工作提供包括可实现性及实现效率评估在内的技术指导；5、整理、编写、管理、维护前端技术框架及代码库及相应的文档；6、积极维护公用组件库，分享自己的开发经验；7、熟悉当前互联网的各种流行应用，在交互开发、用户体验等方面有自己的见解，能主动根据业务需要，提出合理的交互方案； 岗位要求：1、3-5年以上Web前端相关开发经验，3D/WebGL技术相关的研发经验2年以上；2、掌握 SVG / Canvas / WebGL 等前端绘图技术，至少使用过一个数据可视化类库，包括但不限于 D3 / G2 / Three.js / ECharts / Highcharts；3、熟练掌握HTML、CSS、Javascript、XML等基础知识；4、有丰富的关于Web标准、易用性、浏览器端原理以及网站性能等方面的知识；5、拥有良好的代码习惯 要求结构清晰、命名规范，逻辑性强，代码冗余率低。6、有前端架构能力，有重构优化经验，对浏览器兼容性、搜索引擎优化有充足的知识基础和实战经验；7、精通jQuery，jQuery UI，jQuery Mobile；8、熟练掌握栅格系统、响应式布局；9、熟练使用各种脚本调试器、dom查看器等定位问题，熟练使用各种工具检测web服务的性能和定位瓶颈；10、有前端地图开放经验优先考虑。,移动互联网,500-2000人,web,南京
