job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
web前端,https://www.lagou.com/jobs/6304197.html,南开区,10k-15k,天津市神州商龙科技股份有限公司,3-5年,大专,福利待遇优厚,"岗位职责：1、负责前端开发工作，根据UI设计师的设计完成最终产品的研发；2、根据用户的需求，分析并给出最优的前台技术解决方案；3、基于JavaScript框架的应用和项目开发；4、为非专业前端开发工程师提供技术支持。任职资格：1、性别不限，计算机相关专业本科及以上学历，3年以上工作经验；2、熟悉Html、JavaScript、CSS、Ajax等WEB前端技术；3、至少掌握二种以上的前端架构（如：JQuery/Vue/AngularJS）,熟悉Vue架构优先；4、能够独立完成前端JavaScript类库的编写，并具备面向对象编程思想；5、熟悉HTML5、CSS3，掌握响应式设计开发；6、有手机web开发经验；7、熟悉前端性能优化；8、有解决问题、钻研新技术的兴趣和能力，善于交流和表达；9、有视觉设计、交互设计、界面设计等能力优先。研发人员福利：1、五险一金2、年底双薪3、双休、享受国家法定假期4、餐补、话补5、防暑降温、采暖补贴6、值班津贴7、生日礼品、节日礼金8、外地员工提供住宿9、年度薪资普调10、定期体检11、带薪年假12、年度旅游13、优秀员工及十年员工境外旅游14、免费外训及专业内训15、免费健身、免费图书借阅16、内部推荐奖金17、员工考取资质证书报销制度18、每年二次技能调薪19、弹性工时20、技术创新奖金21、研发项目奖金22、研发专项图书购买基金","移动互联网,消费生活",500-2000人,web,天津
高级web前端,https://www.lagou.com/jobs/6304225.html,南开区,12k-16k,天津市神州商龙科技股份有限公司,3-5年,大专,福利待遇优厚,"岗位职责：1、负责前端开发工作，根据UI设计师的设计完成最终产品的研发；2、根据用户的需求，分析并给出最优的前台技术解决方案；3、基于JavaScript框架的应用和项目开发；4、为非专业前端开发工程师提供技术支持。任职资格：1、性别不限，计算机相关专业本科及以上学历，3年以上工作经验；2、熟悉Html、JavaScript、CSS、Ajax等WEB前端技术；3、至少掌握二种以上的前端架构（如：JQuery/Vue/AngularJS）,熟悉Vue架构优先；4、能够独立完成前端JavaScript类库的编写，并具备面向对象编程思想；5、熟悉HTML5、CSS3，掌握响应式设计开发；6、有手机web开发经验；7、熟悉前端性能优化；8、有解决问题、钻研新技术的兴趣和能力，善于交流和表达；9、有视觉设计、交互设计、界面设计等能力优先。研发人员福利：1、五险一金2、年底双薪3、双休、享受国家法定假期4、餐补、话补5、防暑降温、采暖补贴6、值班津贴7、生日礼品、节日礼金8、外地员工提供住宿9、年度薪资普调10、定期体检11、带薪年假12、年度旅游13、优秀员工及十年员工境外旅游14、免费外训及专业内训15、免费健身、免费图书借阅16、内部推荐奖金17、员工考取资质证书报销制度18、每年二次技能调薪19、弹性工时20、技术创新奖金21、研发项目奖金22、研发专项图书购买基金","移动互联网,消费生活",500-2000人,web,天津
WEB前端开发工程师,https://www.lagou.com/jobs/7128945.html,北辰区,13k-20k,天津市拓甫网络科技开发有限公司,10年以上,大专,五险一金、周末双休、年底双薪，年度体检，,岗位职责：1.网站Web前端功能开发、实现和维护。2.网站易用性改进和Web技术优化。3.负责Web前端的设计优化和工程化开发效率的提高。4.领导安排的其他工作。任职要求：1.5年以上Web前端研发经验。2.精通Web前端技术（HTML5/CSS3/JavaScript/Ajax/bootstrap/react/AngularJS/Vue等），熟悉主流框架、类库的设计和实现，熟练跨浏览器、跨终端的开发。3.对产品设计、用户研究、视觉交互等有一定了解和研究。4.有过移动设备页面设计及制作经验，优先考虑。5.有响应式页面开发经验， 能使用HTML5开发Mobile APP 界面和体验效果的应用，能开发兼容移动版浏览器的应用，并且能实现各种交互效果，优先考虑。,"移动互联网,信息安全",50-150人,web,天津
web中高级开发工程师,https://www.lagou.com/jobs/6830572.html,河西区,15k-29k,中交智运有限公司,3-5年,本科,央企福利待遇，发展前景好，年底双薪,"Web中级开发工程师 薪资15-20k/月
岗位职责：1、负责前端项目架构设计，配合产品经理和设计师，参与产品的开发和业务实现； 2、依据产品需求完成高质量的Web前端开发和维护3、对具体的产品进行性能优化，实现**的页面加载、执行和渲染时间 4、关注前端前沿技术研究，通过新技术服务团队和业务任职要求：1、全日制本科及以上学历，中共党员优先考虑，计算机相关专业，5年以上Web前端从业经验2、具备丰富的Web前端架构经验，精通各种前端技术，熟悉多种JavaScript框架如React、Vue等，以及对它们的适用范围有独到见解；3、熟悉W3C标准，熟悉页面架构和布局，对表现与数据分离、Web语义化等有深刻理解，熟练使用postcss或sass进行前端开发、了解bootstrap/foundation等框架的设计思路4、精通JavaScript，对AngularJS,ReactJS,VUEJS等新型前端框架有较深刻的认识以及实际项目经验5、对前端工程化与模块化开发以及前端构建项目工具等有一定了解，并有实践经验（如Gulp,Webpack,Rollup等） 6、至少熟悉一门非前端的语言（如NodeJS/PHP/Java/C#/C/C++/Python/Ruby），并有实践经验 5、对Web前台的性能优化以及Web常见漏洞有一定的理解和相关实践；7、有交通行业工作经验者优先；
 Web高级开发工程师 薪资20-30k/月
岗位职责：1、负责产品前端页面的开发和优化。2、与设计、产品及后台人员沟通，保证产品的质量和开发进度。3、持续的优化相关的产品的质量、性能、用户体验。任职要求：1.全日制本科及以上学历，985、211院校毕业生优先考虑，计算机相关专业，3年以上前端开发经验2.扎实的JavaScript、CSS基础，以及良好的编码习惯。3.了解ES6+、HTML5标准。4.熟悉Angular 2.0+框架，并有实际项目经验。5.热爱前端，对前端技术有强烈兴趣，能够持续保持对前端前沿技术的研究6. 有物流相关经验者优先","移动互联网,物流丨运输",2000人以上,web,天津
JAVA+WEB开发工程师(J11165),https://www.lagou.com/jobs/6866984.html,和平区,10k-15k,朗新科技股份有限公司,1-3年,本科,节日福利五险一金交通补助带薪年假弹性工作,,"移动互联网,企业服务",2000人以上,web,天津
web前端开发工程师,https://www.lagou.com/jobs/6959221.html,武清区,8k-12k,北京图灵信服科技有限公司,1-3年,本科,web Vue node.js,1、计算机相关专业，2年以上网站前端开发经验，具备独立完成整站开发经验者优先；2、需有应用Vue、react或node.js的项目经验，深入理解W3C标准与ES规范，熟悉Web语义化，掌握常用布局以及常用浏览器兼容；3、理解并掌握JavaScript语言核心技术DOM、BOM、Ajax、JSON等；4、了解常见网络协议和网络传输、对页面优化有一定的研究，有jQuery、Bootstrap的使用经验；5、对模块化、重构、性能优化、跨浏览器兼容、提高系统的扩展性有丰富经验；6、良好的沟通表达能力，具备很好的团队协作精神。7、可适配ie内核者优先。8、有小程序开发经验优先。,软件开发 其他,15-50人,web,天津
web前端,https://www.lagou.com/jobs/6828481.html,西青区,10k-15k,北京图灵信服科技有限公司,3-5年,本科,入职五险一金、法定假日、各种美味小零食,1、参与仿真云平台前端开发工作；2、参与并负责HTML5、WebGL相关产品的研发与开发工作；3、主要完成基于WebGL的3D展示以及交互操作的开发；4、熟练掌握three.js的开发基础，三维图形图像的理论基础，掌握基本的三维计算相关的数学知识；5、对技术有强烈的进取心，具有良好的沟通能力和团队合作精神、优秀的分析问题和解决问题的能力,软件开发 其他,15-50人,web,天津
Web前端中级开发工程师,https://www.lagou.com/jobs/7038066.html,西青区,8k-15k,天津市莱斯宝科技有限公司,3-5年,大专,双休，朝九晚六不加班，年终奖，五险一金,岗位职责：1、参与公司各个业务终端项目的开发与维护，项目主要采用 React + ES6 实现，目前还有一个 angularjs + CoffeeScript 的项目需要日常维护；2、与位于加拿大的产品团队紧密沟通业务需求，并提出合理化建议；3、负责使用 Ruby on Rails 构建后台 API，部分工作需要与后端工程师协调沟通，制定最佳技术实现方案。 任职要求：1、专科以上学历，三年以上的前端开发经验；2、熟悉使用 React 或 Vue 构建 Web 应用的基本知识；3、熟悉基本的 HTML、CSS 与 JavaScript 知识，了解前端工程化思想，会使用 npm 管理项目；4、熟知HTML5与CSS3中的新特性，并且能使用 ES6 进行编码，以及调试；5、熟悉版本控制的意义，能使用 Git 完成日常工作；加分项：1、外事不决，能问 Google ；2、在 Github 上有自己的项目；3、了解 Flutter 技术或者了解 ReactNative，Weex 等混合方案；4、对软件技术有广泛的了解与学习的热情。 团队亮点：1、优秀+无限潜力的创业公司，我们是高速奔跑，逆风飞翔，持续增长的团队；2、我们价值观驱动，客户**，真诚客观，我们拥有一群主动承担责任，合作共赢的伙伴；3、大家勤恳板砖，努力生活，我们测试是软妹纸，程序员是文艺男，周末邀你一起打游戏；4、在饭团，你将感受到轻松的人际氛围，扁平化的管理，舒适的办公环境和技术大牛们一起成长的快乐。 职位亮点：1、纯粹的技术氛围，团队都是代码爱好者，我们在代码上相亲相爱；2、业务发展迅速，涉及很多复杂的业务系统搭建与设计，更多的挑战在等你；3、有深度的自营产品，多变的海外市场，让你拥有更好的产品思维和逻辑；4、随着公司的高速可持续发展，更多资本进入，获得巨大的成功和回报。 我们希望你:1、“以梦为马”：愿意接受挑战，是有梦想的程序猿；2、“细节控”：追求细节和完美的“处女座”；3、“不拖延症”：快速解决实际问题，没有拖延症；4、“ 超级Geek ”：以创新技术为使命的人；5、“好奇心强”：关注前沿领域，对新技术充满热情。 工作环境:1、养生绿植3、舒适键盘4、Mac办公设备5、零食屋6、娱乐室（新办公场所即将上线） 员工福利:1、五险一金2、年终奖3、带薪年假4、节日福利5、每周三下午茶6、度团建节日尾牙7、深夜滴滴补助  8、公司烛光晚餐补助,"移动互联网,消费生活",50-150人,web,天津
web前端开发工程师,https://www.lagou.com/jobs/6395210.html,东丽区,12k-20k,中汽研汽车工业工程（天津）有限公司,3-5年,本科,五险一金 绩效奖金 交通补助 健身房,职责描述：1、负责产品Web界面设计开发、易用性改进、界面优化以及性能优化，持续提升用户体验；2、负责产品的前端构建，各类交互设计与实现；3、负责与后端工程师配合，为产品提供最优化的技术解决方案，前后端能共同配合完成项目。任职要求：1、全日制本科及以上学历，三年以上相关行业WEB前端开发工作经验；2、熟练掌握HTML、CSS、JavaScript、JSP、AJAX等前端开发技术，对BS架构软件有深入了解，掌握Web开发技术；3、熟悉Bootsrap、mint-ui、ElementUI等布局技术；4、精通vue框架、angular框架、react框架中一种，熟悉webpack，gulp，grunt等构件工具的一种；5、熟悉常用WEB开发调试工具；6、有良好的技术文档习惯，具有规范化，标准化的代码编写习惯；7、能紧跟前端技术的发展，将业界可用的经验运用到实际项目中。中汽研汽车工业工程（天津）有限公司（原机械工业部汽车工业天津规划设计研究院）隶属于中国汽车技术研究中心有限公司（国务院国资委管理的中央企业），公司成立于1985年，是中国汽车行业内具有丰富工程经验的工程公司。公司内部专业配置齐全，具备智能工厂、数字化研发中心设计及总承包实施能力，涵盖建筑、结构、工艺、智能化、公用设备、节能环保、规划咨询等20多个专业，涉及工程设计、工程咨询、总承包、装备制造、信息工程五大业务板块。自2004年公司建立企业信息化工程业务以来，目前已在业界拥有众多成熟案例，具备以MES、LES为核心，上下扩展至ERP、PLM、IIOT、智能网联的一体化解决方案。在中汽研“十三五”发展规划中，制定了以智能制造为主攻方向，推动“互联网+智能制造”转型和工业互联网创新发展，围绕信息技术集成应用、网络化升级改造、互联网制造新模式、工业大数据应用等制造业与互联网融合应用，帮助企业开展有效竞争，推动工业生产迈向智能时代，打造中国制造业明天的辉煌。我司典型信息化签约客户：广汽菲亚特克莱斯勒、奇瑞捷豹路虎、拜腾、福建奔驰、长城汽车、长安汽车、广汽传祺、吉利汽车、合众新能源等国内外知名整车企业。,"企业服务,其他",150-500人,web,天津
web初级前端研发工程师,https://www.lagou.com/jobs/6792290.html,西青区,8k-15k,天地伟业技术有限公司,1-3年,本科,"奖金丰厚,福利待遇好,各种团建,发展空间",岗位职责:1、实现产品界面和功能        2、维护及优化前端页面性能；        3、参与项目前端应用需求的开发；任职资格:1、本科及以上学历，1-3年web开发相关工作经验；        2、熟练使用HTML5/CSS3/JavaScript/DOM/AJAX等各种Web前端技术；        3、熟练使用一种或多种主流开源框架或工具，如vue.js、Bootstrap等；        4、熟悉HTML5、CSS3、W3C Web标准；        5、根据设计文档能够在原有框架上修改样式，美化界面；,"硬件,移动互联网",500-2000人,web,天津
