job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
高级web前端开发人员,https://www.lagou.com/jobs/6330606.html,五华区,14k-17k,深圳市聚数网络科技有限公司,1-3年,本科,"五险一金,新技术探索,弹性工作",岗位职责：1.  负责网站，企业管理平台等在线应用的开发;2.  负责设计家平台主站和运营管理后台的开发;3.  快速，充分理解运营团队，产品经理对于用户端产品，运营管理后台及开放后台的需求;4.  和UI/UX团队进行充分的沟通，能够将理想的用户体验和交互在用户端的产品落地实现;5. 精通小程序开发6.  和测试团队充分合作，解决系统的各种问题;7.  能接收异地出差办公任职要求：1.  精通前端技术，精通常见的前端工程化工具，并深入理解一个以上工具的设计原理和技术实现;2.  精通Vue框架，以及基本前端技术（HTML、CSS、JavaScript）;精通小程序开发3.  精通resful和后端交互通讯;3.  熟悉切图工作，能讲静态的PSD设计稿件，转换成动态的html;并且熟悉和运用响应式切图;统一PC和移动端版本。4.  有3年左右Web端开发经验，有1年以上大中型移动端H5应用开发经验，具备优秀的抽象能力;5.  熟悉php者优先;6.  有强烈的工作责任心和良好的团队协作能力;,"电商,企业服务",15-50人,web,昆明
web前端美工,https://www.lagou.com/jobs/6907916.html,五华区,5k-7k,新疆疆安行安防科技有限公司,3-5年,不限,单休、五险一金,职位描述岗位职责：1. 负责网站和App界面的布局和结构等方面的整体规划和静态页面设计；2. 负责公司产品广告宣传资料相关的美术设计制作等；3.能熟练HTML5+CSS3+js+jquery 根据原型制作静态页面 优先考虑任职要求：1. 美术或设计相关专业毕业，具有扎实的美术功底与良好的创意能力。2. 1年以上web，UI或平面设计经验，熟练使用各类平面，web设计软件。3. 有手机端等移动应用界面设计，web切图，flash等经验者优先。4. 具有良好的沟通与团队协作能力，能很好的和团队配合；5. 肯吃苦耐劳，工作认真负责，具备良好的职业素养。,软件开发,50-150人,web,昆明
H5(web)前端开发工程师,https://www.lagou.com/jobs/6296927.html,官渡区,7k-13k,云南腾道科技有限责任公司,3-5年,本科,晋升空间大、周末双休、社保、绩效奖金,职位描述：1、负责前端业务系统的开发工作（移动端以及PC端，有APP开发 经验优先）；2、负责项目前端的维护、版本迭代、功能优化等工作；3、优化前端开发方式及协作流程，创建技术标准及规范项目前端的开发时间评估、发布上线等。4、与后端开发人员配合，完成前端开发工作；任职资格：1、【精通】Vue.js开发全家桶，熟悉webpack组件化开发和elementUI、uni-app、vant的使用；1、【精通】HTML、CSS、JavaScript、layui、freemarker等Web开发技术；2、【精通】具备手写css动画的能力3、熟悉Android原生开发流程，具有调试打包技能4、熟悉HTTP协议，了解TCP/IP的基本工作原理；5、熟悉常用WEB开发调试工具；6、熟悉使用Adobe XD软件、墨刀等原型设计软件者优先；7、具备服务端开发能力如Java、NodeJS或移动端HTML5开发经验者优先；8、持续关注业界的新技术领域；9、有前端岗位3年工作经验。,"移动互联网,消费生活",50-150人,web,昆明
web前端开发工程师,https://www.lagou.com/jobs/7184556.html,官渡区,5k-10k,云南果王网络科技有限公司,1-3年,大专,待遇优厚，双休，有提成，员工活动，旅游,1. 大专及以上学历，一年以上工作经验2. 热爱编程，具备扎实的HTML CSS JS基础，熟悉前端开发流程，具备一定的前端项目经验3. 有良好的编程习惯和代码风格，思路清晰，善于思考，责任心强。4. 有较强的学习能力，能够适应前端技术日新月异的环境5. 善于沟通，具备较强的主动性和团队协作意识。,旅游,500-2000人,web,昆明
web前端开发工程师,https://www.lagou.com/jobs/5567489.html,盘龙区,5k-10k,云南本地车信息技术有限公司,3-5年,不限,发展前景好客户多 思路领先 可直接咨询,1.利用HTML/CSS/JavaScript等Web技术进行产品的开发；2.配合后台开发人员实现产品功能，独立完成Web前端开发任务；3.能够理解后端架构，与后端工程师配合，为项目提供最优化的技术解决方案；4.能够理解基础需求和UI设计并进行分析，设计出符合用户使用习惯的前端操作界面，优化前端用户操作体验。任职要求：1.1年以上PC、移动端前端开发经验，能独立完成前端开发任务；2.有微信小程序开发经验；3.具有 Angular JS 、Vue 等组件化开发经验；4.较强的逻辑思维能力，善于分析、归纳、解决问题。,"移动互联网,企业服务",少于15人,web,昆明
web前端开发工程师,https://www.lagou.com/jobs/6761865.html,五华区,5k-9k,广州市科传计算机科技股份有限公司,3-5年,大专,六险一金、带薪年假、绩效奖金、年终双薪,"岗位职责：1)负责web前端、微信小程序、APP产品的开发、测试及维护；2)负责前端产品性能优化，兼容性优化及故障排查；3)跟踪移动应用开发的新技术发展，持续学习为团队技术发展做出贡献。任职要求：1)本科以上学历，毕业后2年以上的web前端开发工作经验，主要需有混合架构开发经验者；2)具备WEB独立开发能力，熟悉常用的 Web 框架及h5标准，熟悉 HTML CSS JavaScript 以及相关框架和工具；3)精通至少一种主流JS框架（vue.js，angular.js,node.js等 ）；4)能兼具手机原生APP及组件开发经验更佳。现诚聘各类精英：科传股份公司拥有独立研发的专利技术和20多项软件著作权。为员工提供舒适轻松的写字楼办公环境，完善的晋升体系，为在职员工提供公平的竞争平台和广阔的晋升空间，给员工带来更多自我提升和自己增值的机会。科传股份公司服务客户对象是一线国内外知名品牌的零售企业。现诚聘愿意从事软件销售、软件实施的各类精英，共创辉煌！公司福利：1.法定双休、法定假期、带薪年假2.社保五险、公积金3.试用期转正后，享受商业保险福利（包含定额门诊、住院、意外险种及体检费）；4.年终双薪5.绩效奖金6.每周一次水果日福利7.康体活动（因应季节提供羽毛球、篮球、游泳、健身等项目）8.生日聚餐","消费生活,数据服务",150-500人,web,昆明
web前端开发工程师,https://www.lagou.com/jobs/7159621.html,盘龙区,8k-12k,云南龙马星震信息技术有限公司,1-3年,本科,办公环境舒适、发展前景良好、福利待遇佳,岗位职责：1、负责软件产品前端程序的设计、开发、移植及扩展；2、根据产品展现需求，设计并完成功能开发、验证和修正测试中发现的问题。3、学习应用WEB开发的新技术，编写设计开发及实现的技术文档；4、完成公司领导交办的其他工作任务。 任职要求：1、计算机、电子信息等相关专业，大专及以上学历，；2、精通 HTML+CSS，并能快速处理各浏览器兼容性问题，会PS等设计软件的优先；3、熟练使用JavaScript，掌握Ajax技术，能够根据UI设计图制作网页实现常用特效；4、熟练掌握一到两种前端框架的应用，如React/Vue/Angular等。5、熟悉HTML5和CSS3技术，兼容移动端开发；6、具备快速学习能力和良好的自我驱动能力。7、对工作有强烈责任心以及良好的沟通协作精神。 公司主要业务：智能建造，智慧城市、智慧社区的平台研发薪酬：月薪8000-12000元+项目绩效福利：双休+五险一金+免费中餐+免费健身房+优质培训学习机会+节假日福利等发展：项目资源优秀+大牛带队+完善的晋升机制+行业竞争力水平薪资+飞速个人成长我们是学习型组织，我们提倡奋斗者文化，我们在时代中努力奔跑，我们愿意把成果和战友们一起分享，给予足够的尊重与诚意，欢迎行业精英入加战队！！！,软件开发,15-50人,web,昆明
Web前端工程师,https://www.lagou.com/jobs/4790655.html,五华区,10k-13k,成都恒道智融信息技术有限公司,3-5年,本科,"六险一金,绩效奖金,创业公司,带薪年假",岗位职责： 1、前端开发工作，小程序的编写 2、负责项目页面编码、程序嵌套、静态交互效果展示、浏览器兼容等相关工作； 3、对完成的页面进行维护和对网站前端性能做相应的优化； 4、熟悉当前互联网的各种流行应用，在交互开发、用户体验等方面有自己的见解，能主动根据业务需要，提出合理的交互方案。 5、有较强的团队合作精神，责任心强，学习能力强，代码规范（重要）；任职要求： 1、本科4年以上 熟练使用html5、css3进行页面布局及开发; 2、熟悉Ajax异步编程；熟悉数据交互的前端。 3、熟练使用JavaScript 4、熟悉Vue全家桶Vue + Vue-router + Vuex + Axios，NPM 、WebPack等Vue的应用生态链，并使用它们开发过实际项目； 5、有基于SVG、d3.js、three.js等可视化效果开发经验者优先；,"金融,数据服务",15-50人,web,昆明
Python工程师,https://www.lagou.com/jobs/2884865.html,五华区,6k-12k,杭州映云科技有限公司,1-3年,本科,"期权,奖金,各类补贴,节日福利",1. 本科及以上学历；2. 两年以上 Python 开发经验；3. 熟悉 MVC 架构，能熟练使用 Django、Tornado、Flask 中至少一个开发框架；4. 熟悉分布式服务器架构、分布式缓存、消息队列等机制；5. 熟悉 Redis、MongoDB、Kafka、RabbitMQ 等；6. 了解 Web 前端技术： HTML、CSS、JavaScript;7. 加分项：熟练使用 Unix/Liunx 操作系统，熟悉 TCP/IP 、HTTP 、MQTT 协议；（招实习生）,"企业服务,物联网",15-50人,web,昆明
新前端工程师,https://www.lagou.com/jobs/6904512.html,五华区,7k-10k,云南翡翠王朝网络科技有限公司,3-5年,大专,晋升空间 氛围好,岗位职责：1. 负责前端业务的构建与维护，各类交互设计与实现，包括PC和移动端； 2. 负责公司APP、微站、小程序等前端业务的vue项目开发和接入3. 负责公司后台管理系统的Vue前端项目的开发工作4. 负责对接后台基础数据、业务数据服务，完成数据接入，实现业务目标；5. vue项目相关文档编写和维护任职要求：1. 计算机或者软件工程相关专业，大专及以上学历2. 熟练掌握html5、css3、javascript、Dom等前端基础技术3. 熟练使用vue、npm、router、vuex、axios、webpack 等前端技术完成web前端项目，并进行性能优化。4. 有前后端分离思想及实践5. 具有较强的沟通协调能力及理解力6. 具有较强的分析和解决问题的能力。,移动互联网,150-500人,web,昆明
测试工程师,https://www.lagou.com/jobs/6904532.html,五华区,7k-10k,云南翡翠王朝网络科技有限公司,3-5年,大专,晋升空间 氛围好,岗位职责：1. 负责公司产品线的测试，保障产品质量；2. 根据需求文档，撰写测试用例；3. 对于接口测试有多个项目经验；4. 对于测试工具JM或者PM很了解，有一定的性能基础；5. 对于bug/项目/需求等流程规则有自己的认知；6. 引入新技术，提高测试效率；任职要求：1. 统招本科及以上学历，2年以上Web、APP等项目测试经验；2. 思路清晰，有良好的团队合作精神和跨部门协调能力；3. 学习能力强，有较强的沟通能力，有较强的理解，逻辑分析能力，能够理解以及处理复杂逻辑；4. 有较强的团队合作精神，有责任心；5. 有接口测试经验，熟悉Postman、Jmeter等工具.,移动互联网,150-500人,web,昆明
软件测试工程师,https://www.lagou.com/jobs/6963399.html,西山区,3k-6k,神州数码系统集成服务有限公司,不限,大专,五险一金+餐补+电脑补 薪资待遇优厚,岗位职责：完成公司APP端，web端，PC端相关软件的测试。参与公司项目需求讨论，制定测试计划，设计测试用例，执行测试用例，编写测试报告；跟踪问题缺陷，推动问题处理；按时保质，保量的完成各项分配的工作内容；任职资格：1. 计算机相关专业优先；2. 英语四级或以上；3. 具有WEB系统测试或移动APP测试经验；4. 熟悉软件测试流程，能独立编写测试用例、执行测试用例；5. 熟悉Linux、MySQL数据库、fiddler、Jmeter、postman等；6. 认真仔细，逻辑思维清晰严谨，有良好的学习能力、分析与解决问题的能力；7. 工作积极主动，具有团队意识；8. 熟悉至少一种编程语言Python，Java的优先；9. 熟悉Android测试专项、UI自动化、服务端性能测试、安全测试者优先。,企业服务,2000人以上,web,昆明
Java开发工程师,https://www.lagou.com/jobs/7036390.html,盘龙区,6k-8k,云南数投科技有限公司,3-5年,本科,创业团队，公司扁平化，更多几乎,岗位职责：1.按照需求文档设计数据库表结构2.按照需求文档开发服务器后台逻辑3.为web前端和App开发服务器接口任职要求：1.大学本科毕业，3年以上相关工作经验。熟练使用Java开发服务器后台程序2.熟悉tomcat+spring mvc+mybatis开发3.熟悉mysql数据库4.2年以上相关开发经验5.熟悉微信公众号开发者优先,企业服务、数据服务,少于15人,web,昆明
java开发工程师,https://www.lagou.com/jobs/6917232.html,盘龙区,7k-13k,云南尊友科技有限公司,1-3年,大专,年终奖 周末双休 技术导向团队成长快,职位描述1.1年以上Java相关开发经验；2.精通Java开发语言，具有一定的J2EE应用项目开发经验；3.深刻理解面向对象技术、设计模式和数据库设计方法，并熟练掌握主流J2EE开源框架（如SpringMVC、Spring、Hibernate/MyBatis等）的原理和使用方法；4.熟悉MySQL或Oracle等常用的数据库系统的部署和配置优化方法，对数据库有较强的设计能力；5.熟悉主流J2EE应用服务器一种或以上（JBoss、Tomcat等）的部署和配置方法；6.熟悉与前端Web和H5数据交互；7.熟练掌握SCM工具（GIT或SVN）。公司介绍云南尊友科技有限公司成立于2014年，致力于为大型国企和政府单位提供信息化定制开发服务，以专业高效的优质服务深得用户信赖。,"企业服务,移动互联网",15-50人,web,昆明
中高级java,https://www.lagou.com/jobs/6494782.html,西山区,8k-14k,成都三泰铭品金融信息服务有限公司,3-5年,大专,重点培养，可往项目经理发展,岗位职责：1、参与公司项目的开发和实施工作；2、根据开发进度和任务分配，完成相应模块软件的设计、开发任务；3、能够与客户有效沟通，充分理解和整合客户需求，对项目可能遇到的困难进行预测、评估并做好应对方案。 岗位要求：1、大专及以上学历，具有4年以上的java web项目开发经验，能接受出差；2、具有扎实的Java开发经验，精通SpringMVC等主流技术框架，熟悉Spring、Struts2等技术；3、了解前端技术框架，能根据项目需求进行前后端模块开发；4、熟练应用tomcat、was、weblogic、mysql、oracle、sqlserver等；5、熟练使用Windows Server，能使用ssh等工具进行项目搭建部署；6、独立完成过项目建设开发、具备TO B端项目开发经验者优先。,"数据服务,金融",150-500人,web,昆明
