job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
资深Web开发工程师,https://www.lagou.com/jobs/6653036.html,铁西区,10k-17k,华晨宝马汽车有限公司,3-5年,本科,15薪,"工作描述：负责智能物流、生产、HR、财务等数字化平台的IT系统开发及解决方案设计。   岗位职责：1、计算机相关专业，3年以上java或者.net开发经验；2、对基础技术如JVM,多线程并发,IO,网络有一定的掌握；3、熟悉Java Web开发的框架和库，如Spring MVC,Spring Boot,Spring Cloud,MyBatis；4、对前端开发也有一定了解，熟悉JavaScript,HTML,CSS等web前端技术，对vue和angular等前端框架有一定了解；5、至少熟悉一种数据库；6、参与过敏捷开发项目；7、良好的英文沟通能力；",汽车丨出行,2000人以上,web,沈阳
web前端开发工程师,https://www.lagou.com/jobs/7049824.html,浑南区,8k-15k,北京直真科技股份有限公司,5-10年,本科,个人成长大，提高块,熟悉当前主流Java框架，熟悉spring boot，sprint cloud，angularjs，mybatis等。精通主流数据库知识，具备编写复杂SQL语句能力，了解主流开源数据库，如mysql，postgresql等。有两年以上工作经验。熟悉软件开发模式和流程，有较好的编程习惯和素养。熟悉linux操作系统，了解linux常用指令，能够独立在linux环境部署应用。能够适应适当加班，出差等工作。有极强的责任心和抗压能力，具备良好的沟通能力。有运营商行业背景优先。,软件开发,500-2000人,web,沈阳
高级web前端,https://www.lagou.com/jobs/6770179.html,沈河区,12k-15k,北京百分点信息科技有限公司,5-10年,本科,补充医疗 五险一金 定期体检,岗位职责：    1、负责产品技术体系的架构、设计、建设，通过技术提升用户体验和可用性；    2、参与产品的原型讨论和整体UE设计评审；    3、与产品、设计、后端、测试团队紧密配合，产出高质量的交付物；    4、通过文档、分享等各种形式，帮助团队成员提高技能；    岗位要求:    1.五年以上Web前端开发经验，扎实的javascript基本功，熟悉ECMAScript语言标准；    2.熟悉Linux系统和Nginx等应用服务器的部署和配置；    3.熟悉React，包括架构，编码，规范制定等；    4.参与过数据可视化项目，熟悉Echarts、D3、OpenLayer等组件；    5.熟悉常用的包管理器（包括yarn和npm）；    6.学习能力强，责任心强，对技术有热情和追求。    7.解决问题能力强，善于抽象，规约，简化问题。,数据服务,500-2000人,web,沈阳
web前端实习,https://www.lagou.com/jobs/7121910.html,沈河区,2k-3k,北京百分点信息科技有限公司,应届毕业生,大专,五险一金 补充医疗 季度绩效 定期体检,工作职责1、参与项目方案制定、设计、研发、BUG修改、性能优化、系统上线等工作；2、协助技术经理完成质量控制、进度控制、风险控制等。任职要求1、掌握WEB前端开发技术: JavaScript(含ES6)、HTML、CSS、DOM、协议、安全等；2、掌握面向对象编程思想，熟悉各浏览器兼容问题；3、对主流前端框架React 、Vue 有一定理解；4、熟悉使用GIT。百分点沈阳2020年春招线上招聘会火热开启宣讲时间：2020-05-20 18:00宣讲链接：https://meeting.tencent.com/s/5o2TKGpbf3cc腾讯会议 ID：306 875 514   会议密码：0520报名二维码：https://baifendian.m.zhiye.com/#/RecruitEvent/Info?id=15993,数据服务,500-2000人,web,沈阳
SPRD-Web前端开发工程师（沈阳）,https://www.lagou.com/jobs/7123015.html,和平区,8k-13k,杭州海康威视数字技术股份有限公司,3-5年,本科,上市公司,1.根据产品需求，参与项目的前端开发，完成模块设计和开发工作，同时注重代码的安全、质量和性能；2.负责web前端功能开发和重构，保持高效的前端性能，优秀的代码可维护性，良好的浏览器兼容性；3.持续改进用户体验，优化页面交互操作流程。任职资格：1.计算机及相关专业本科以上学历，2年以上web前端开发经验；2.熟练掌握前端相关技术（HTML/CSS/JavaScript/HTML5/CSS3...），了解http协议及相关开发调试工具；3.熟练掌握一个前端框架（Vue/React/Angular...），精通Vue优先；4.了解node，有node项目经验者加分；5.良好的软件工程思想，良好的编程能力和编程习惯；6.工作认真负责，乐观开朗。,不限,2000人以上,web,沈阳
web前端开发工程师,https://www.lagou.com/jobs/7190156.html,浑南区,6k-9k,沈阳不凡网络科技有限公司,3-5年,本科,五险一金节假日福利生日礼物等,工作内容：1、协助业务线完成相关产品的技术研发工作；2、保证技术输出的稳定性和业务所需的性能；3、配合设计团队提升产品易用性和交互功能。任职资格：1、统招大学本科及以上学历；2、至少4年以上前端开发经验，其中2年以上的H5开发经验；3、精通HTML(5)、CSS(3)、JS；4、精通JavaScript、AJAX、DOM等前端技术，掌握面向对象编程思想；5、熟练掌握VUE框架及生态圈技术，具备实战经验和优化经验；6、对JavaScript性能优化、多浏览器兼容性、有一定的经验；7、热爱技术、主动钻研、沟通和协作能力优秀，抗压能力强。,"移动互联网,不限",50-150人,web,沈阳
JAVA，WEB开发工程师,https://www.lagou.com/jobs/7022117.html,沈河区,6k-8k,沈阳众业科技有限公司,3-5年,大专,五险一金 双休,"技能要求：java，JSP，html，JS，Css岗位职责：1.主要负责365跑腿网PC后台管控系统的开发以及商城I邻淘项目商家后台管理系统需要。任职要求：1.专业不限,工作经验3年以上2.相关技能会JAVA, JSP, HTML, JS, CSS等，3.主要开发PC端的后台系统","消费生活,物流丨运输",500-2000人,web,沈阳
web开发,https://www.lagou.com/jobs/7205806.html,沈河区,6k-8k,沈阳众业科技有限公司,3-5年,不限,五险一金 双休,"负责JAVA WEB开发需要会使用Java，springMVC， HTML5， Mybatis， JSP， CSS, JavaScript相关技能。学历不限工作经验3年以上!!!","消费生活,物流丨运输",500-2000人,web,沈阳
web前端开发工程师,https://www.lagou.com/jobs/6771839.html,大东区,6k-10k,辽宁房小二信息科技有限公司,3-5年,本科,五险、年假、员工旅游,岗位职责：1.负责公司产品在小程序（微信、百度、头条）、PC、移动端的前端开发；2.负责与后端人员进行沟通，协调解决及优化前后端数据交互；3.按照产品研发计划按时完成工作任务，保障渲染性能、稳定性；4.根据页面设计对前端进行功能测试及用户体验测试，提出合理化建议；5.优化改进前端代码，优化性能，改善用户体验，并进行持续维护和迭代。任职要求：1.三年以上前端开发经验，能主动学习并解决问题，具有良好的沟通能力和团队协作能力；2.精通JavaScript、HTML、CSS等web前端技术；3.精通wxml、wxss，了解小程序开发原理，熟悉小程序开发规范、流程、接口组件、验证授权等，能独立完成微信小程序的开发、调试；4.至少有一种主流前端框架的实践经验，Vue.js优先；5.熟悉各种跨浏览器兼容技术，熟悉响应式布局和屏幕适配技术；6.对页面布局有深刻理解，注重细节，善于分析并改善产品的视觉感觉和用户体验。福利待遇：1、优秀部门基金、各类文娱活动、夏日旅游活动等；2、带薪假期：法定假日、丧假、婚假、产假、年假等；3、社会福利：养老保险、医疗保险、生育保险、失业保险、工伤保险等；4、发展空间：普通员工-项目主管-项目经理-部门经理-总经理；,文娱丨内容,150-500人,web,沈阳
web前端工程师,https://www.lagou.com/jobs/4719926.html,铁西区,4k-8k,沈阳唯思科技有限公司,3-5年,大专,"双休,旅游",,移动互联网,少于15人,web,沈阳
