job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
web前端开发工程师,https://www.lagou.com/jobs/6698380.html,吴中区,12k-16k,上海海万信息科技股份有限公司,3-5年,本科,大项目，大平台,任职要求：1、本科计算机软件相关专业及以上，3-5年及以上前端工作经验。2、 精通HTML5、CSS3和JavaScript语言，熟悉vue开发框架，掌握HTTP及相关网络协议，熟悉跨终端、跨浏览器的开发模式和平台特性，了解业界技术发展状况；3、有前后端分离的项目开发经验，了解响应式设计，对用户可用性，用户体验，用户研究等相关知识有深入的了解和实践经验。4、了解一种后端语言（Java，nodeJs，python等），并对后台开发有一定了解。5、拥有丰富的主流浏览器兼容性和移动端开发经验。6、对web前端技术有强烈兴趣，能对web前沿技术研究和新技术调研，有良好的学习能力和团队合作精神。,"移动互联网,金融",500-2000人,web,苏州
高级web前端开发工程师,https://www.lagou.com/jobs/6767066.html,吴中区,10k-16k,云学堂信息科技（江苏）有限公司,3-5年,大专,晋升空间大、培训丰富、人性化管理,"岗位职责：1、参与公司前端架构设计；2、根据业务需求，高质量的完成各项组件和页面开发任务；3、参与移动端H5相关架构设计及开发；4、前端代码优化及性能优化；5、新技术选型及技术难点攻关。 任职要求：1、扎实的前端基础（HTML/JavaScript/CSS），3年以上前端开发经验；2、熟悉VUE，有实际项目开发经验，能够独立进行项目开发；3、熟悉响应式布局，Web应用的性能优化，页面加载、执行和渲染体验；4、熟悉交互设计，对用户体验知识有一定的了解。有前端优化经验者优先；5、熟悉前后端分离开发，掌握前端自动化构建工具，如 grunt, gulp, webpack；6、对新技术有一定的敏感度，了解当前主流技术；7、良好的沟通协调与执行推动能力、团队合作精神及一定抗压能力；8、具备独立解决问题的能力，具有较强的工作主动性，能够与团队成员进行有效的沟通与合作；9、良好的编码风格和测试习惯；10、富有激情和创造力, 有强烈的自学意愿及能力，研究各种优秀的项目并运用到实际项目中。",企业服务、教育,500-2000人,web,苏州
web前端开发工程师,https://www.lagou.com/jobs/5734594.html,工业园区,10k-20k,深圳市腾云扣钉科技有限公司,3-5年,本科,平台型产品，高速发展，技术大牛多,你将参与：1. 产品的前端开发，包括方案设计、编码实现、测试部署在内的全部流程，交付完整的内容展示与交互体验；2. 产品设计与改进，与团队共同持续优化产品。专业要求：1. 编写符合 HTML5 规范的页面，理解模板引擎；2. 能为移动端及桌面端编写兼容主流浏览器的 CSS，能使用 CSS 预处理/后处理器；3. 熟练掌握 JavaScript 语言，了解 ECMAScript 标准；4. 熟悉 React 或 Vue 生态，掌握模块化标准及实现；5. 了解前端性能基本常识；6. 掌握程序设计及软件工程基本概念。你需要具备：1. 学习能力，能快速掌握和应用未接触过的理论和技术；2. 技术热情，紧跟前端发展趋势，是标准和新技术的学习和践行者；3. 专业精神，掌握前端相关技术，对代码质量有不懈的追求；4. 问题分析解决能力，面对问题能提出合理的解决方案；5. 沟通能力，能与团队顺畅交流协作。能为你加分的项目：1. 主导项目开发经验，有前端技术选型、资源组织、性能优化经验；2. 前端工程经验，对前端工作流有深入理解，了解构建工具及开发环境的配置和使用；3. 有 Node.js 学习或实践经验；4. 良好的英语阅读能力；5. 了解 Web 设计/版式设计。CODING 期待您的加入！！！,数据服务,50-150人,web,苏州
Web Application Developer,https://www.lagou.com/jobs/6654004.html,工业园区,10k-15k,苏州奥瑞纳软件有限公司,3-5年,本科,"全额五险一,带薪年假,商业保险,13薪","Job Requirement/ 职位要求： 4+ years of experience developing multi-tiered web applications, preferably in a SaaS environment.2+ years of experience and good understanding of Java and/or Groovy and related development tools, preferably Spring framework and Grails.2+ years of experience and good  understanding of Javascript, HTML, CSS. Familiarity with a variety of      browser-based frameworks is a plus, specially AngularJS/Backbone.Proven analytical and  problem-solving skills.Proven expertise in developing clean, reusable, scalable and maintainable production quality web application code.Strong verbal and written communication skills.Passion for quality, clean design  and attention to detail.Experience with Git, JIRA, Crucible, Bamboo is a plus. Job Responsibility/ 岗位职责： Design, develop new features and improve Arena SaaS applications by understanding new requirements and      existing functionalityPrototype UI for potential features for inclusion in future versions of Arena SaaS applications based on design mockups. Translate prototypes into final production quality      code.Leverage unit- and  integration-test automation to ensure code quality and maintainability.Debug product issues and fix bugs  to maintain Arena applications.As the developer on a multi-disciplinary team with product management, design, quality assurance      and operations, participate in requirements analysis, technical design,      code reviews and test plans.",移动互联网,50-150人,web,苏州
web前端,https://www.lagou.com/jobs/6411275.html,工业园区,8k-16k,苏州云极客信息技术有限公司,3-5年,本科,五险一金 绩效奖金 午餐补贴 周末双休等,职位描述：1.本科以上学历，计算机软件或相关专业；2.具备3年及以上、至少2个完整项目开发经验；3.精通HTML5、CSS3、JavaScript、ES6、AJAX、jQuery、bootstrap等前端开发技术；4.熟练掌握至少一种主流前端框架vue、angular、react等，参与或者开发过某种框架的优先；5.熟悉前端构建工具，比如webpack，gulp等；6.熟悉web前端性能优化，并对web安全有丰富的认识和经验；7.至少熟悉java、nodejs或一种其他类似后台技术，对前后端联合开发的技术原理有一定认识；8.拥有丰富的主流浏览器兼容性和移动端开发经验；9.思路清晰，具备良好的沟通能力和团队协作精神；10.有强烈的创新精神并能付诸实施，能积极学习业界新技术,"移动互联网,电商",15-50人,web,苏州
Web前端开发工程师（苏州）,https://www.lagou.com/jobs/6905180.html,姑苏区,8k-16k,天津市基理科技股份有限公司,1-3年,不限,"业内大伽,学习氛围浓,技术驱动,苹果开发","岗位职责：互联网前端开发（官网：www.geneegroup.com)技术能力要求：1. 热爱编程，掌握前沿编程技术 2. 熟悉Javascript, HTML5, CSS3, 熟悉前端调试工具的使用 3. 除Javascript外, 至少熟悉另外一门Web开发相关语言 (PHP/Java/Ruby/Python) 4. 对表现与数据分离, 模块化, 组件化有所理解 5. 向开源社区贡献过代码，GitHub等相关网站技术分享活跃者优先 6. Node.js经验者优先 7. 有React/AngularJS/VueJS等相关经验者优先 技术素养要求：1.了解坚持和固执的区别2.有和非开发人员进行沟通协作的良好能力，遇到问题避免情绪化，理性沟通，结果导向 3.理性对待任何技术决定，能够通过量化和客观的数据对不合理问题进行反驳并提出改进方案 4.享受coding，对技术有热情，关注技术发展方向企业诱惑：哈佛博士后领导班子（CEO和CTO）、大牛团队、扁平化管理、弹性工作制、极少加班、地铁周边、Mac办公","电商,企业服务",150-500人,web,苏州
Web前端开发工程师,https://www.lagou.com/jobs/6454174.html,虎丘区,6k-12k,苏州南慧科技创新研究院有限公司,1年以下,本科,"五险一金,周末双休,年终奖金,绩效奖金",工作岗位职责：1.负责公司Web端产品、移动端HTML5产品和网站前端开发制作和维护，与后台工程师协作，完成数据交互、动态信息展现，能在设计中保持产品的视觉简洁和整体统一；2.根据用户体验进行结构优化，完善网页设计和页面整体视觉、布局调整；3.解决多浏览器的兼容性，完成界面跳转、弹出等交互效果开发；4.全面理解和分析网站结构，优化架构标准，提高网站的易用性、美观性、高效性；任职资格要求：1.关注前端开发技术，能建立高效的用户体验；2.熟悉HTML5/CSS3等网页技术 ，熟练掌握DIV+CSS页面架构和布局方式，深刻理解各主流浏览器之间的兼容性；3.熟练使用JavaScript，熟悉DOM、Ajax、JSON等，精通至少一种JS/CSS框架（如AngularJS、bootstrap，vue等）；4.具备高度的责任心及团队精神，愿意接受挑战性的工作，能够及时高效完成任务；5.完成企业领导交的其他相关工作。,"金融,软件开发",50-150人,web,苏州
WEB前端工程师,https://www.lagou.com/jobs/6887958.html,工业园区,5k-7k,苏州博纳讯动软件有限公司,应届毕业生,本科,六险一金，年度旅游体检，补助，带薪培训,岗位要求：1、有扎实的html、css、js语言基础，对JS的各种特性以及浏览器兼容性有丰富实战经验。2、了解常用数据结构与算法；了解常见的前端框架和响应式页面设计，熟练掌握Angular JS，理解web产品工作方式，熟悉MVC、Restfu。3、对Javascript面向对象编程具有深入的了解；熟练运用JQuery。4、掌握至少一门非前端开发语言（如PHP/Java/Python等），并有一定的实战经验。5、具备良好的学习能力和分析解决问题能力；责任心强，良好的对外沟通和团队协作能力，乐于交流和分享。6、善于学习新事物，善于沟通和表达，有良好的团队合作意识。 7、全日制本科及以上学历，具有良好的沟通能力和团队合作精神、优秀的分析问题和解决问题的能力,"移动互联网,企业服务",150-500人,web,苏州
web前端开发工程师,https://www.lagou.com/jobs/7105408.html,虎丘区,8k-13k,江苏中海昇物联科技有限公司,3-5年,大专,五险一金，周末双休，定期体检，带薪年假,"职位要求1)3年及以上JS经验2)熟悉HTML/HTML5特性，使用Div+Css+Javascript准确地进行代码构建，实现产品所需的交互效果3)精通Javascript，能够独立开发JS模块 ,熟悉常用的JavaScript框架、类库，如jQuery、Backbone、EXT JS、Angular JS、React JS、JS、Vue、Ajax等4)熟悉原生JS代码编写，善于使用前端的调试工具分析解决问题，深刻理解各主流浏览器之间的兼容性5)熟悉各种网络协议原理及相关知识，对web性能优化、常见漏洞有深入的理解，并能够在工作中取得有成效的问题定位和解决过程实践6)有对新技术的敏锐性，具备较强的钻研精神及毅力,具备良好的团队合作精神7)了解语言底层架构以及设计2. 岗位描述1)配合TeamLeader完成相关技术攻关2)按业务要求能够独立完成相关JS UI插件封装3)能够对开源的JQuery插件进行重构4)整理相关JS UI控件的使用方式，形成文档，配合业务组进行二次开发5)配合后端开发人员完成JS UI控件的数据取值",移动互联网,50-150人,web,苏州
WEB前端工程师,https://www.lagou.com/jobs/6444628.html,工业园区,5k-7k,苏州博纳讯动软件有限公司,应届毕业生,本科,六险一金，年度旅游体检，补助，带薪培训,职位描述：1、负责PC端应用架构设计。2、利用JS、CSS和HTML5等技术，完成页面开发制作及维护工作。3、设计及实现前后端的数据交互，对代码质量及进度负责。  4、配合产品经理和UI设计师，研究并改善用户体验。  职位要求： 1、有扎实的html、css、js语言基础，对JS的各种特性以及浏览器兼容性有丰富实战经验。  2、了解常用数据结构与算法；了解常见的前端框架和响应式页面设计，熟练掌握Angular JS，理解web产品工作方式，熟悉MVC、Restfu。3、对Javascript面向对象编程具有深入的了解；熟练运用JQuery。4、掌握至少一门非前端开发语言（如PHP/Java/Python等），并有一定的实战经验。5、具备良好的学习能力和分析解决问题能力；责任心强，良好的对外沟通和团队协作能力，乐于交流和分享。6、善于学习新事物，善于沟通和表达，有良好的团队合作意识。 7、全日制本科及以上学历，具有良好的沟通能力和团队合作精神、优秀的分析问题和解决问题的能力,"移动互联网,企业服务",150-500人,web,苏州
