job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
web前端开发工程师,https://www.lagou.com/jobs/7211640.html,渝北区,7k-14k,重庆链图信息技术有限公司,不限,大专,五险一金 带薪休假 节日补贴,岗位职责：1、负责公司项目前端业务开发；2、负责产品前端技术框架搭建，技术验证，参与产品设计；3、Web前沿技术研究和新技术引进；4、编写软件相关的模块设计和技术文档；5、协助项目后台相关工作。任职要求：1、专科以上学历，计算机及地理信息系统相关专业；2、熟练使用Vue前端技术框架；3、能独进行模块逻辑设计与编码等工作；4、有可视化方面开发经验，熟悉echarts、highcharts、d3等可视化框架者优先；5、了解或具有ArcGIS、superMap、MapBox、leaflets等GIS引擎开发经验者优先；6、具备较强的责任心，能够主动与项目经理或其它管理人员沟通，进行项目前端的逻辑优化，对于项目负责人提出的问题给予及时响应和修改。,"数据服务,软件开发",50-150人,web,重庆
web前端开发工程师,https://www.lagou.com/jobs/7116961.html,渝北区,8k-12k,中国民航信息网络股份有限公司重庆分公司,1-3年,大专,五险二金、带薪年假、工会福利、教育培训,岗位职责：1. 依据产品需求完成高质量的Web前端开发和维护；2. 熟悉网页布局设计，能依据设计稿实现一流的界面。3. 在理解前端开发流程的基础上，结合前端实际建立或优化提升工作效率的工具；4. 在理解产品业务的基础上，提升产品的用户体验，技术驱动业务的发展；5. 关注前端前沿技术研究，通过新技术服务团队和业务。岗位要求：1、计算机相关专业，本科以上学历，有3年以上的Web前端开发经验；2、熟练使用Webpack、Git、svn、npm等工具，有过工具插件的开发经验优先；3、熟悉 React 框架，有实际项目开发和架构组织经验，有对应的组件库开发经验优先4、熟悉前后端开发流程，具备一定的java、python等后端语言基础。5、对互联网产品和Web技术有强烈兴趣，有优秀的学习能力和强烈的进取心，具有良好的沟通能力和团队合作精神。,"移动互联网,电商",500-2000人,web,重庆
web前端,https://www.lagou.com/jobs/7209047.html,九龙坡区,5k-10k,北京步峰信息技术有限公司,1-3年,大专,五险一金 带薪年假,"【职位描述】1、 参与公司前期的规划构思，完善产品概念，参与原型策划与设计；2、 负责web应用的设计，开发和维护， 配合后台开发人员实现产品界面和功能；3、 负责页面制作及维护，根据设计图完成页面开发；4、 按照业务功能需求，编写js和css代码，协助开发工程师完成代码镶嵌和调试；5、 根据系统需求，分析并给出最优的页面前端结构解决方案；6、 根据需求完善小程序的相关功能。【任职要求】1、 计算机及相关专业毕业，2年左右Web项目前端研发经验，以及手机移动端、小程序开发等相关经验；2、 熟练使用HTML/CSS/JAVASCRIPT/AJAX/Json/dcloud等前端开发技术，熟悉W3C标准;熟练掌握面对对象编程，确保页面代码对各种浏览器的良好兼容性；3、 熟练使用第三方库JQuery，echart,mint-ui,element-ui等；4、 熟练使用前端框架vue，了解原理，有项目的实际开发经验；5、 熟悉页面响应式设计原理及实现，熟练使用响应式实现框架Bootstrap 或其衍生产品；6、 熟悉小程序的相关开发文档，并有独立的项目开发经验；7、 有良好的代码规范意识，有项目经验者优先。","移动互联网,企业服务",50-150人,web,重庆
高级web前端,https://www.lagou.com/jobs/6346310.html,渝北区,15k-25k,互爱（北京）科技股份有限公司,3-5年,本科,五险一金、高额分红、大制作项目,"岗位职责：
 负责公司业务的 Web 前端研发，设计合理的技术架构，兼顾当前需求和未来发展的需要；
 参与团队技术规划的制定与实施，包括不限于：新技术的调研与落地、历史模块的重构、通用组件的开发；
 负责团队前端新人的指导；
职位要求：
 统招本科以上学历，计算机或相关专业；
 3年以上前端研发经验；
 深入理解Vue.js/React.js 框架，深谙Vuex、Redux等状态管理库原理；
 Javascript基础扎实，对数据结构和算法有一定的了解，熟悉ES6标准，掌握Webpack/Gulp/Rollup等一种或多种构建工具；
 负责高质量的设计和编码，承担重点、难点的技术攻坚，对各种新技术保持开放态度，热衷于尝试并在工作中寻求相应解决方案；
加分项：
 有团队管理经验，开源项目开发经验者优先；
 有Webpack, React, Redux,       Antd开发经验者优先。","移动互联网,游戏",500-2000人,web,重庆
web前端,https://www.lagou.com/jobs/7215191.html,九龙坡区,7k-11k,北京步峰信息技术有限公司,1-3年,不限,"五险一金,周末双休,年假,节假日福利","【职位描述】1、 参与公司前期的规划构思，完善产品概念，参与原型策划与设计；2、 负责web应用的设计，开发和维护， 配合后台开发人员实现产品界面和功能；3、 负责页面制作及维护，根据设计图完成页面开发；4、 按照业务功能需求，编写js和css代码，协助开发工程师完成代码镶嵌和调试；5、 根据系统需求，分析并给出最优的页面前端结构解决方案；6、 根据需求完善小程序的相关功能。【任职要求】1、 计算机及相关专业毕业，2年左右Web项目前端研发经验，以及手机移动端、小程序开发等相关经验；2、 熟练使用HTML/CSS/JAVASCRIPT/AJAX/Json/dcloud等前端开发技术，熟悉W3C标准;熟练掌握面对对象编程，确保页面代码对各种浏览器的良好兼容性；3、 熟练使用第三方库JQuery，echart,mint-ui,element-ui等；4、 熟练使用前端框架vue，了解原理，有项目的实际开发经验；5、 熟悉页面响应式设计原理及实现，熟练使用响应式实现框架Bootstrap 或其衍生产品；6、 熟悉小程序的相关开发文档，并有独立的项目开发经验；7、 有良好的代码规范意识，有项目经验者优先。","移动互联网,企业服务",50-150人,web,重庆
web前端开发工程师,https://www.lagou.com/jobs/6845078.html,渝北区,10k-15k,博拉网络股份有限公司,5-10年,本科,"五险一金,免费班车",岗位职责：1、负责微信公众号、小程序及独立H5站点开发；2、建设工具、提炼组件、抽象框架，促进前端工程化、服务化，持续提升研发效率，保障线上产品质量；3、参与产品设计，提出前端建议；4、钻研各种前沿技术和创新交互，增强用户体验、开拓前端能力边界。任职要求：1、本科及以上学历，精通HTML5、CSS3和JavaScript语言，掌握HTTP及相关网络协议，熟悉跨终端、跨浏览器的开发模式和平台特性，了解业界技术发展状况；2、具备跨终端的前端开发能力，在Web（PC+Mobile）de.js/Native App三个方向上有所了解，在Native和Web技术融合上的探索；3、熟练使用bootstrap、vue、react、angular中的两种语言；4、对前端工程化与模块化开发有深入了解，并有实践经验（如RequireJS/SeaJS/KISSY等）；5、熟悉一门非前端的语言（Java），并有实践经验；6、有中大型网站前端架构、H5应用的体验与性能优化、Hybrid模式应用开发、Native应用开发等经验；7、具备良好的团队协作精神，能利用自身技术能力提升团队整体研发效率，提高团队影响力。,移动互联网,150-500人,web,重庆
web前端开发工程师,https://www.lagou.com/jobs/7164156.html,渝中区,9k-18k,重庆商社电子商务有限公司,5-10年,本科,五险一金 前景可期,"（一）岗位职责：1、负责前端框架搭建；精通现目前主流框架；2、主导前端的性能优化；3、主导前端插件编写;4、能熟练使用ReactJS或VueJS等MVVM框架5、能熟练使用前端工具链，NodeJS/NPM/Gulp/WebPack等（二）任职要求：1、计算机相关专业，本科以上学历，有5年以上的Web前端开发经验；2、熟悉微信小程序平台，并有过实际项目经验。 3、熟悉webpack、gulp、git等工具链，对于开发流程自动化有实际应用经验；4、（加分）在Github 或者 码云上发布过相关插件；5、有大型互联网产品开发经验者优先6、精通vue.js框架,熟悉vue渲染虚拟DOM的实现过程；7、计算机网络原理，HTTP 协议，基本的浏览器渲染和网络传输过程；",电商,50-150人,web,重庆
Web前端开发工程师,https://www.lagou.com/jobs/2391471.html,九龙坡区,6k-12k,重庆诺怀软件有限公司,1-3年,本科,"最新的技术,大牛指导,不用加班,奖金保障",待遇：1.基本工资+级别工资+项目奖金。公司实行科学的考核体制，该职位为自信、有实力的web前端开发工程师提供良好的级别奖金待遇2.福利完善，五险一金俱全3.双休+带薪年假+公司年度旅游+team building活动4.不提倡加班，保证员工个性发展；5.清晰的职业规划，和透明的职位晋升。要求：1.思路清晰，工作规范，较强的团队协作精神和责任心；2.精通HTML5、CSS3、JS；能熟悉使用React、Vue等框架之一；3.对新技术有出色的学习能力；4.对页面响应速度，网页兼容性，用户体验有丰富经验；5.工作地点：重庆。应聘时请注明期望薪金。,企业服务,50-150人,web,重庆
web 前端工程师,https://www.lagou.com/jobs/6890951.html,渝北区,10k-15k,完美世界（北京）软件科技发展有限公司,3-5年,本科,"员工食堂,免费健身房，五险一金",岗位职责：1. 负责全历史平台的地图Web页面开发2. 负责全历史平台的数据信息流的Web页面开发3. 负责全历史平台的运营系统开发4. 负责全历史平台的数据录入系统、评测系统等开发任职要求：1.有3-5年的相关工作经验2.本科及以上学历3. 良好的计算机及算法基础4.有 Javascript、HTML、HTTP 协议、CSS、AJAX 基础优先5.积极主动、热爱编程，能承受压力,"移动互联网,游戏",2000人以上,web,重庆
web前端开发工程师,https://www.lagou.com/jobs/7204809.html,渝北区,8k-11k,成都四象联创科技有限公司,1-3年,大专,双休,岗位要求：1、精通html、css、javascript，基础知识扎实，熟悉常用的布局，熟悉常用的ES6写法（promise、asyncawait等）；2、精通Vue框架，有前端设计和优化经验3、熟悉各种主流浏览器的特点和兼容性问题，并掌握了解决办法。3、能熟练使用SVN进行代码管理。4、积极主动，认真负责，能够适应高压工作，在项目时限内，可迅速响应，保证项目进度。5、热衷前端技术的研究和创新，具备良好的团队协作精神。6、两年以上经验。上班地址:重庆市渝北区黄山大道中段64号高科总部广场 不接受者慎投,"移动互联网,金融",50-150人,web,重庆
