job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
产品经理,https://www.lagou.com/jobs/5302104.html,闵行区,8k-16k,上海弘连网络科技有限公司,1-3年,本科,五险一金 年底多薪 弹性工作制,"负责公司产品的市场调研、数据分析、用户行为分析及对用户的反馈意见进行收集和筛选，跟踪竞争对手的产品动态；
 负责公司既有产品的优化，及新产品策划，完成新产品/功能的概念设计和原型展示；
 负责跟进需求执行，协调研发、设计、测试等部门充分理解需求，推进产品按时上线；
 负责产品工作项目优先级及进度，把控产品质量并提高流程效率；
职位要求：
 对互联网安全行业感兴趣，对发展规律和未来趋势有一定认识；
 熟悉产品整体实现过程，对新概念、新产品有高度的敏感性；
 基于产品角度，对各平台架构，以及同一平台不同版本的技术特性、技术局限性有一定的认识；
 善于倾听用户声音，对数据敏感，善于数据统计分析、逻辑清晰，能有效地确立产品策略、市场定位和产品核心价值；
 优秀的原型设计能力、文档撰写能力、口头表达能力；
 对Web端、PC端产品UI、UE有一定的经验认识；
 了解电子取证和互联网安全行业者优先。
对于工程师来说，我们可以提供一个纯粹简单的技术氛围和产品环境。目前团队有完整的技术协作流程和短平快的沟通方式。我们崇尚工程师文化，谦虚、尊重和相互信任。公司情况弹性工时，不管你是早睡早起还是夜猫子，都能在这里精力充沛工作；平均破壳在93年，自由有趣的氛围，拒绝办公室政治；每月零食饮料管够，每周运动健身；快速成长期，有充分的成长空间和锻炼机会。有技术大拿，有软萌妹子，想和他们一起工作么?",数据服务,50-150人,产品,上海
产品经理,https://www.lagou.com/jobs/7219304.html,徐汇区,14k-19k,武汉讯锡云科技有限公司,3-5年,本科,互联网 产品业务 医疗行业,工作职责：与运营和技术等部门充分沟通协调，确定产品形态包括背景、流程、架构、功能、规则以及可行性等；独立完成产品交互、业务流程设计，输出相关产品需求文档；发起并完成产品需求评审，跟进产品落地全流程，保障产品进度；跟进产品运营数据，提高产品的用户体验，推进核心指标提升；岗位要求：具备较强的抗压性；3-5年及以上移动互联网产品经验；负责过产品业务模块的设计和上线运营、更新迭代的全过程优先；具备医疗行业或保险行业产品规划相关经验优先；有移动互联网产品全程实施或管理经验优先；良好的沟通协调能力，勇于接收新事物，较强的独立分析问题、解决问题的能力；具备较强的执行力，能主动推动业务进展，并在要求时间内整合资源保证任务的完成；优秀的书面和口头沟通表达能力。,"移动互联网,消费生活",150-500人,产品,上海
产品经理,https://www.lagou.com/jobs/7201007.html,徐汇区,15k-25k,江苏万邦云健康科技有限公司,3-5年,本科,极速扩张，风口行业,工作职责 1.负责医疗产品的规划，根据市场需求，竞争态势和用户群体，分析用户，收集、挖掘用户需求，合理规划需求范围； 2.依照产品开发需求，开展市场调研，以及竞争对手相关竞品信息的收集整理与分析； 3.责标准产品开发，不断根据市场反馈调整公司产品，满足市场需求； 4.负责产品推广和培训，使得市场人员充分了解产品特点，促进业务发展； 5.负责及时跟进各区域市场对产品的需求，协调相关资源促进业务发展； 6.完成其他领导交办的事项。 任职资格 1、全日制本科及以上学历； 2、2年以上医疗产品经验，熟悉医疗市场（优秀应届硕士也可）； 3、良好沟通协调能力、语言表达能力，敏锐市场敏感性。,"移动互联网,医疗丨健康",50-150人,产品,上海
产品经理,https://www.lagou.com/jobs/6711100.html,奉贤区,25k-50k,中智行科技有限公司,3-5年,本科,大牛云集，前瞻行业,任职资格:,人工智能,50-150人,产品,上海
产品经理,https://www.lagou.com/jobs/4875873.html,浦东新区,10k-15k,上海商涌网络科技有限公司,1-3年,本科,"学习成长快,团队氛围好,发展空间大",1、  配合业务方与商务合作公司进行商务沟通及支持； 负责系统及业务需求收集、方案评审到跟踪执行落地；  2、  根据业务需求和用户研究的结果完成界面的信息架构设计、流程设计和原型设计；3、  跟进设计、开发、测试等整个项目进度。配合协调相关部门推动产品按时保质上线，同时做好上线前产品验收工作；4、  发现新的市场机会，根据不同渠道和新场景设计个性化、定制化的保险产品，推动创新产品的研发与上线；  任职要求： 1、  本科及以上学历，2年以上互联网、系统设计相关工作经验，有互联网保险行业相关工作经验优先； 2、  负责过相关项目工作，如组织过产品立项、设计、研发、推广应用及维护改进的整个过程；3、  有市场洞察力，对互联网保险业务有深刻理解，对用户需求有比较准确的把握，有很强的需求分析及产品规划能力；4、  了解互联网或软件产品整体实现过程，具有良好逻辑思维和文案能力； 5、  对于互联网产品的用户体验有较好理解；,"数据服务,人工智能",50-150人,产品,上海
产品经理,https://www.lagou.com/jobs/7054519.html,,30k-50k,上海智驾汽车科技有限公司,3-5年,本科,"大牛团队,氛围融洽,外企文化","根据客户需求设计产品原型和关键指标。与关键的内部合作伙伴紧密合作，包括但不限于工程、分析和伙伴关系，以设定目标和指导优先级，确保关键的计划是集中和有效的;组织和建立数据可视化和报告，发现问题，验证产品进展，并计划产品生命周期;深入研究产品开发和业务规划;深刻理解公司的战略和竞争地位，并在合适的位置交付产品；需求：工程、计算机或相关专业本科以上学历；驱动、规范和协调关键功能和组件；4-7年产品管理工作经验，B2B产品、具备从0-1经验优先；关注客户体验，了解市场需求；熟练使用MS-Office, Axure, Viso等软件。优秀的项目管理能力和沟通能力；管理特性计划和交付；要有创造力，有创新精神，不断寻求进步；优秀的英语口头和书面表达能力，以及跨团队和学科有效合作的能力。",人工智能,50-150人,产品,上海
产品经理,https://www.lagou.com/jobs/6995630.html,徐汇区,20k-40k,腾讯科技（深圳）有限公司,3-5年,本科,大厂、福利好、行业前景,【岗位职责】： 1.负责政务类小程序/app产品策划工作与新场景应用探索； 2.深入研究用户行为与需求场景，深入理解用户需求，制定产品目标和标准；3.负责产品方向把控，策划解决用户实际问题&有价值的功能。【岗位要求】：1.熟悉axure、Visio等基础原型工具，具备较好的文档编辑能力；2.本科或以上学历，3年以上移动互联网产品策划经验，并提供作品演示；3.饱满的工作热情，高度责任感，极强的沟通能力，能承受高强度工作压力； 4.对小程序/app类产品有深刻理解和高度的热情，有相关经验优先考虑；5.有政务类产品策划经验优先，且具备政府客户对接经验者优先；6.有技术背景和项目管理经验优先。,社交,2000人以上,产品,上海
产品经理,https://www.lagou.com/jobs/5992501.html,徐汇区,15k-30k,上海驰骛信息科技有限公司,5-10年,本科,年度体检免费晚餐补充商保10天带薪年假,"工作职责：1)负责产品从业务调研、需求分析到实现过程、产品发布及迭代的整个流程；2)负责推动产品的落地实施，对出现的问题进行分析、跟踪和验证；3)协同营销策划、售后等团队制定项目方案，推动解决方案的落地实施；4)根据市场动向参与分析调研工作，探索新的产品方向。任职要求：1)本科及以上学历，统计学、数学、计算机专业优先；2)5年以上产品相关经验，有数据营销产品经验、流量商业变现产品、数据产品、数据分析、会员营销CRM、等相关工作经验者优先；3)具备优秀的信息获取能力，并且能够从繁杂的信息中提取核心信息；4)思路逻辑清晰，具备优秀的产品设计能力，关注细节，有过丰富的体验设计经验；5)具有良好的表达能力、沟通能力及推动力, 有跨部门合作的经验，自我驱动强，有良好的排期意识，有序推进项目落地。","数据服务,移动互联网",50-150人,产品,上海
产品经理,https://www.lagou.com/jobs/6998610.html,徐汇区,10k-20k,上海驰骛信息科技有限公司,3-5年,本科,年度体检 员工餐 不打卡 地铁周边,任职要求：1、数字营销类产品的需求分析及产品方案设计、原型设计、交互以及PRD撰写工作； 2、独立完成产品闭环设计，快速推动复杂跨部门项目落地，根据既定目标，完成项目迭代； 3、对产品进行可行性研究和分析，制定产品的发展方向与计划，对用户以及市场数据进行有效分析与总结； 4、能够在高压力下，创造性的解决产品存在的问题并满足客户/用户需求，并有信心超越市场其他产品； 5、跟踪、整理产品的用户/客户反馈和运营数据，和用户/客户交流，并根据数据不断改进产品任职要求：1、3年以上产品经理工作经验； 2、懂市场懂用户，具有增长思维和规划，熟悉用户裂变方法以及设计，能够在纷杂业务潮流中准确定位方向； 3、有较强的产品文档撰写和表达能力，能熟练使用Word，Powerpoint，XMind，Axure等软件； 4、抗压能力强，有强烈责任心，能够持续保持激情投入工作； 5、对用户研究有强烈兴趣，对市场环境及行业发展趋势有敏锐的观察力和分析能力，对产品和相关数据较敏感，思维清晰有条理； 6、有CRM或营销类产品的经验可以加分，有成功产品或大厂经验者优先考虑,"数据服务,移动互联网",50-150人,产品,上海
产品经理,https://www.lagou.com/jobs/6559301.html,浦东新区,20k-40k,上海剑圣网络科技有限公司,3-5年,本科,数据量巨大 跨国项目 项目前景好,岗位职责：1、提出浏览器产品方向，论证、制定产品规划及可行性方案；2、深入挖掘并围绕客户需求、运营需求、潜在需求等（国内外市场），汇总提炼并形成阶段性产品目标；3、独立输出产品设计原型、需求文档并组织评审；4、与研发、运营团队紧密协作，推进产品设计、研发、测试及上线全流程，把控产品质量，达成产品目标；5、完成需求分析，根据产品需求，编写软件需求规格说明书和必要的demo，提供功能开发使用；6、配合有关人员跟进项目，处理好后续的页面调整修改需求；7、关注和研究行业热点，协同负责产品的相关运营和推广工作；任职条件：1、具备产品设计和产品管理经验，制定完成产品规划，把握和控制其优先级，拆解阶段目标并实施；2、对新事物、新产品敏感，喜欢琢磨、钻研新的软件、产品及服务；3、熟悉软件工程的理论，掌握软件需求获取与分析技术和管理方法；4、有较强的文档编写能力，较强的逻辑分析能力，良好的交流能力，善于归纳整理，准确把握客户需求，能承担一定的工作压力；5、熟练常用的建模工具和快速原型设计工具。,"移动互联网,游戏",150-500人,产品,上海
