job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
产品经理,https://www.lagou.com/jobs/5787881.html,南开区,6k-12k,天津吉城美家信息技术有限公司,3-5年,本科,公司目前处于创业阶段，未来发展不可估量,,移动互联网,2000人以上,产品,天津
产品经理,https://www.lagou.com/jobs/7131280.html,西青区,8k-15k,北京联龙博通电子商务技术有限公司,3-5年,大专,五险一金 周末双休 餐补 年终奖,岗位职责：1、分析用户需求，形成需求文档，并制作出原型；2、负责农行对公业务产品业务设计，对于企业网银 4.0的项目二期迭代；3、设计场景运营中心，包括扶贫商城等电商平台的产品设计；任职要求：1、专科毕业5年及以上，学历学信网可查；2、有银行对公业务经验优先选择，负责过银行业或互联网企业产品设计项目；对移动端设计趋势有较深理解；对银行用户行为和需求有一定理解；具备较强的用户研究和产品研究能力；具备较强的交互设计和视觉设计能力。3、熟悉移动端、PC端的设计规范，善于分析需求，对产品需求清晰准确的理解和把握，提升现有产品的易用性和体验；4、熟练掌握Axure、 墨刀等多种原型设计工具；5、参与用户行为分析过程（用户研究、数据分析），根据分析结果对设计方案进行评估和优化；6、交互规范的制定，输出交互规范文档；7、具备系统的规划、设计、实现能力。,"移动互联网,电商",2000人以上,产品,天津
产品经理,https://www.lagou.com/jobs/5941505.html,北辰区,10k-20k,天津市拓甫网络科技开发有限公司,3-5年,本科,五险一金、周末双休、年底双薪、年度体检,技能要求：产品设计，产品策划，软件产品岗位职责：1. 负责软件系统的业务流程梳理、功能设计、产品优化等工作；2. 充分了解客户需求，根据客户需求进行产品功能设计；3. 将客户需求转化为可实现的产品需求，并形成产品需求文档、原型、流程逻辑图等；4. 负责与项目、研发、设计等部门沟通，引导完成产品的界面、功能、流程设计，推动及协调产品的开发进度，把控项目质量；5. 负责智慧城市相关行业的研究，根据行业发展规划及设计创新型产品；6. 协助销售和项目，向客户阐述产品功能、设计流程等。任职要求：1. 3年以上产品设计经验，独立负责过产品项目者优先； 2. 熟悉产品设计过程，包括市场分析、需求分析、产品功能设计、业务流程设计、界面设计等；3. 熟悉产品开发上线迭代流程，优秀的产品规划设计能力； 4. 熟练掌握Axure，visio，mindmanager，office等工具；5. 具有较强的沟通能力、逻辑能力和产品设计能力；6. 较强的客户需求判断、引导、控制能力，善于合作协调沟通，思维敏捷，具有非常好的书面和口头表达能力；7. 具有强烈的责任心和上进心，具备良好的团队合作精神，主动执行意识，能承受较大的工作压力；8. 本科及以上学历。,"移动互联网,信息安全",50-150人,产品,天津
产品经理,https://www.lagou.com/jobs/7071420.html,北辰区,10k-15k,天津市拓甫网络科技开发有限公司,3-5年,不限,五险一金、周末双休、年底双薪，年度体检，,岗位职责：1.负责软件的业务流程梳理、功能设计、产品优化等工作2.充分了解客户需求，根据客户需求进行产品功能设计；3.将客户需求转化为可实现的产品需求，并形成产品需求文档、原型、流程逻辑图等4.负责与项目、研发、设计等部门沟通，引导完成产品的界面、功能、流程设计，推动及协调产品的开发进度，把控项目质量；5.负责养老行业的研究，根据行业发展规划及设计创新型产品；6.协助销售和项目，向客户阐述产品功能、设计流程等。岗位要求：1.3年以上产品设计经验，独立负责过产品项目者优先； 2.熟悉产品设计过程，包括市场分析、需求分析、产品功能设计、业务流程设计、界面设计等；3.熟悉产品开发上线迭代流程，优秀的产品规划设计能力； 4.熟练掌握Axure，visio，mindmanager，office等工具5.具有较强的沟通能力、逻辑能力和产品设计能力；6.较强的客户需求判断、引导、控制能力，善于合作协调沟通，思维敏捷，具有非常好的书面和口头表达能力；7.具有强烈的责任心和上进心，具备良好的团队合作精神，主动执行意识，能承受较大的工作压力； 8.本科及以上学历。9.有智慧养老行业经验、to C端平台产品经验或社交方向产品经验优先考虑。,"移动互联网,信息安全",50-150人,产品,天津
产品经理,https://www.lagou.com/jobs/6834787.html,河西区,12k-23k,中交智运有限公司,1-3年,本科,央企福利待遇，发展前景好，年底双薪,岗位职责：1、负责结算账户体系和供应链金融的业务流程设计、功能定义、界面设计、需求文档撰写及产品功能优化            2、与市场、财务、风控团队密切沟通，收集内部用户需求并整理落实                 3、沟通协调设计、开发、测试过程中的各个业务环节，推动产品落地。任职要求：1、全日制本科及以上学历，985、211院校毕业生优先考虑，计算机或金融相关专业， 5年以上IT从业经验；2、具备IT行业工作经验，具有较强的IT项目实施和运维能力；3、熟悉使用产品调研、需求分析等产品设计相关工具及方法；4、具备良好的文字功底，可以独立完成产品需求说明书、竞品调研报告等；5、熟练使用Axure、Visio，思维导图等原型设计软件；6、具有较强的逻辑思维能力、良好的沟通能力和协调能力；7、有金融行业从业背景者优先。,"移动互联网,物流丨运输",2000人以上,产品,天津
产品经理,https://www.lagou.com/jobs/6710893.html,河西区,10k-15k,天津卓修生物科技有限公司,3-5年,本科,周末双休、带薪年假、旅游、补助、体检,岗位职责：1、负责公司研发产品的调研、需求整理、竞争分析、功能设计、产品更新迭代全生命周期管理工作；2、负责项目工时排期、推进协调，定期对项目进展汇报和意见搜集、分析总结直至项目成功上线；3、与项目组成员积极沟通，推动需求、UI、开发、测试等人员紧密合作达成项目预期目标4、负责产品项目过程管理和产品交付使用整体管控，确保产品按时、按质按量交付使用任职要求：1、本科以上学历，计算机相关专业，3年以上产品经理的工作经验2、有独立的产品经验，独立完成一个成功的产品3、具有较强的逻辑思维、换位思考能力，能准确把握客户需求、规划产品市场方向；4、具有良好的沟通能力、团队协作能力，能适应高强度工作压力5、熟练掌握Axure、Visio、Mindmanager等软件操作！！！能力优秀者工资可面议！！！,其他,15-50人,产品,天津
产品助理,https://www.lagou.com/jobs/6304234.html,南开区,5k-7k,天津市神州商龙科技股份有限公司,1-3年,大专,福利待遇优厚,岗位职责：1、产品日常运营维护，根据各类分析、测试结果和用户反馈，持续改进已上线产品，安排项目优先级2、市场竞争分析，分析竞争对手产品，及行业内外所有相关产品3、用户需求调研，收集反馈意见并分析、筛选，对用户使用行为进行分析4、与外包技术研发团队密切配合，负责该产品的规划、设计、实施以及运营，编写 产品文档5、研究产品发展方向，提出新产品计划，制定和设计用户所需要的新产品或新功能、优化已有功能或策略以提升用户体验研发人员福利：1、五险一金2、年底双薪3、双休、享受国家法定假期4、餐补、话补5、防暑降温、采暖补贴6、值班津贴7、生日礼品、节日礼金8、外地员工提供住宿9、年度薪资普调10、定期体检11、带薪年假12、年度旅游13、优秀员工及十年员工境外旅游14、免费外训及专业内训15、免费健身、免费图书借阅16、内部推荐奖金17、员工考取资质证书报销制度18、每年二次技能调薪19、弹性工时20、技术创新奖金21、研发项目奖金22、研发专项图书购买基金,"移动互联网,消费生活",500-2000人,产品,天津
产品专员-校招（天津）,https://www.lagou.com/jobs/7191289.html,西青区,5k-7k,谷川联行有限公司,应届毕业生,本科,五险一金 周末双休,一、岗位职责：1、负责产品原型设计，不断优化用户体验；2、负责产品的市场调查，信息整理及分析；3、负责公司产品和项目的需求分析、规划设计；4、负责研发和测试部门需求的沟通及产品上线进度跟踪；5、负责上级领导交办的其他事项；二、任职要求：1、学历专业：2020年毕业应届生，本科含以上，计算机、软件工程相关专业；2、经验要求：具备互联网产品的设计、企业商务流程设计或大型项目经验优先；3、能力要求：形象气质佳，沟通能力、创新能力佳。三、薪资待遇： 5000~7000 +年终奖四、工作地点： 天津市西青区中北镇新城市中心B座20层,"软件开发,企业服务",150-500人,产品,天津
产品经理（天津）,https://www.lagou.com/jobs/5451925.html,西青区,10k-20k,谷川联行有限公司,3-5年,本科,发展空间大 专业培训,一、岗位职责：1、负责公司产品的市场调查、竞品分析，输出MRD、竞品分析文档； 2、负责公司产品的功能设计，不断优化用户体验，输出产品PRD、白皮书； 3、负责公司产品的需求管理，用户意见和建议的及时反馈； 4、负责和设计、研发、测试需求的沟通，产品上线后的用户使用培训，并输出培训课件和用户手册； 5、负责上级领导交办的其他事项。二、任职要求：1、学历专业：本科及以上，计算机、软件相关专业； 2、经验要求：具备互联网产品的设计经验、具有to b产品经验优先； 3、能力要求：形象气质佳，沟通能力、创新能力佳。 4、工具要求：熟练使用Axure，思维导图软件，Office办公软件。三、薪资待遇：10-20K+年终奖四、工作地点：天津市西青区中北镇万卉路3号新城市中心B座20层,"软件开发,企业服务",150-500人,产品,天津
电影产品-内容编辑（天津滨海）,https://www.lagou.com/jobs/450585.html,滨海新区,3k-4k,北京豆网科技有限公司,不限,本科,五险一金、带薪年假,职位描述（该岗位必须在简历中体现豆瓣ID）:1. 支持国内院线新片图片及视频素材的内容更新2. 维护豆瓣电影、电视剧、影人等条目的基本资料内容3. 参与电影、影人、图片的审核报错职位要求:1. 爱看电影，对电影有热情，熟知电影常识，豆瓣观影量不低于500部2. 豆瓣电影深度用户，有意致力于电影内容建设工作3. 较好的文字功底，熟练使用 办公软件，英语好4. 投递简历时请注明你的豆瓣主页地址（该岗位来自天津兆维互联科技有限公司，公司位于天津市滨海新区，是豆瓣网投资创建的一家互联网子公司）,移动互联网,150-500人,产品,天津
