job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
产品经理,https://www.lagou.com/jobs/6945686.html,越秀区,13k-26k,广州市果肉教育科技有限公司,1-3年,本科,前瞻性产品 精英团队,产品经理岗位职责1、对接管理层需求，深入理解业务，通过产品提升管理效率2、对接一线业务需求，提供便捷的服务工具支持，降低运营成本，提升人效3、熟悉社群运营策略以及微信风控策略，能够通过产品手段降低营销风险；4、基于对产品的深入数据分析，独立提出优化方案，实施落地，提升服务效率和转化；5、基于产品动态数据，及时制定优化运营策略并高效落地执行，确保核心产品指标的有效达成；岗位要求1、熟知微信内的运营策略和风控策略，对微信规则和微信生态熟悉者优先2、有微信个人号、公众号的投放、推广经验优先；微信平台类工具、社群运营功能改进经验者优先；3、有良好的逻辑分析和有较强的用户及数据分析能力；4、良好的沟通表达能力及协同能力、较强的学习能力及自驱力，性格开朗、自我驱动，有明确的结果导向和目标意识,"移动互联网,教育",500-2000人,产品,广东
产品经理,https://www.lagou.com/jobs/7162708.html,天河区,7k-12k,广州云阁科技有限公司,1-3年,本科,Mac系统办公、年轻团队、零食下午茶,"职位诱惑：年假、带薪病假，零食下午茶、期权激励、发展空间大。职位描述1、负责相关产品的产品规划、业务流程设计、功能设计、有在线教育产品、分级阅读、自然拼读产品经验者优先；2、擅长分析上线产品的运营数据,定期组织分析、撰写产品运营分析报告,提出产品改进意见,不断完善在线产品、持续改善用户体验；3、根据公司的战略规划和业务需求分析进行产品功能规划，流程设计和需求管理，交付产品需求文档（PRD）和原型4.制定产品需求开发计划，撰写产品功能需求说明书和原型设计，负责需求的跟踪和需求控制;岗位要求：1.本科及以上学历，有过4年以上产品工作经验，有在线教育产品经验优先；2.优秀的数据分析和文档编写能力，熟练掌握原型、流程设计工具；3.具备用户调研，需求分析，以及良好的产品方案策划与撰写能力；熟悉以iPhone、Android、iPad为主的智能终端领域；4.学习能力强，具有缜密的逻辑思维能力，良好的组织协调能力；5.具备极强的责任心及团队合作意识，有较强的自我驱动力","企业服务,教育",少于15人,产品,广东
产品经理,https://www.lagou.com/jobs/7145699.html,天河区,10k-15k,广州灵感科技有限公司,3-5年,本科,福利齐全 氛围好 晋升空间 年轻化,棋牌游戏产品经理岗位职责1、负责棋牌游戏规则、功能、算法数值文档的编写和执行，完成相关的策划案、表格、需求说明；2、负责棋牌游戏的整体数值设计与完善，进行数据规划和公式设计，把控游戏数值框架平衡；3、负责跨部门协调和沟通，推动UI、开发、测试、运营等人员紧密合作达成产品目标 ；4、负责产品数据的分析，对数据设计目的进行验证、跟进和实现；5、负责收集和分析市场同类产品属性，做好竞品分析，提升自身产品竞争力；任职要求1、本科以上学历，两年以上棋牌游戏策划经验，参与过完整的手机棋牌游戏策划项目开发；2、善于把控玩家心理、了解用户需求，能根据产品状况调整后续产品计划 ；3、热爱游戏，对游戏体验、数值设计等方面有自己深入的研究和理解；4、有较高的数据敏感度，善于用数据驱动产品的优化升级；5、强推动落地能力，具备分析和解决问题能力，注重过程和结果，关注细节；6、沟通能力优秀，英文读写水平良好。,移动互联网,50-150人,产品,广东
产品经理,https://www.lagou.com/jobs/6575818.html,天河区,15k-20k,广州灵感科技有限公司,3-5年,本科,互联网 轻松 下午茶 旅游 奖金,岗位职责1、负责棋牌游戏规则、功能、算法数值文档的编写和执行，完成相关的策划案、表格、需求说明；2、负责棋牌游戏的整体数值设计与完善，进行数据规划和公式设计，把控游戏数值框架平衡；3、负责跨部门协调和沟通，推动UI、开发、测试、运营等人员紧密合作达成产品目标 ；4、负责产品数据的分析，对数据设计目的进行验证、跟进和实现；5、负责收集和分析市场同类产品属性，做好竞品分析，提升自身产品竞争力；任职要求1、本科以上学历，两年以上棋牌游戏策划经验，参与过完整的手机棋牌游戏策划项目开发；2、善于把控玩家心理、了解用户需求，能根据产品状况调整后续产品计划 ；3、热爱游戏，对游戏体验、数值设计等方面有自己深入的研究和理解；4、有较高的数据敏感度，善于用数据驱动产品的优化升级；5、强推动落地能力，具备分析和解决问题能力，注重过程和结果，关注细节；6、沟通能力优秀，英文读写水平良好。,移动互联网,50-150人,产品,广东
产品经理,https://www.lagou.com/jobs/6592466.html,南山区,12k-24k,深圳深蓝保信息技术有限公司,3-5年,本科,双休，晋升空间大，丰富的下午茶，,岗位职责：1、负责用户端产品的功能设计和优化，推动版本迭代按期上线；2、持续关注行业动态过完整产品线；、收集竞品信息，定期输出产品分析报告；3、跟踪&分析产品运营数据，为产品迭代提供数据支撑，并对产品关键指标直接负责。职位要求：1、全日制本科以上学历，3年以上产品工作经验，独自负责2、沟通和协调能力好，抗压能力强，有过跨部门项目协作管理相关经验优先；3、有 电商交易系统 或 保险、金融 相关产品经验优先；,"金融,移动互联网",150-500人,产品,广东
产品经理,https://www.lagou.com/jobs/3604759.html,南山区,8k-15k,深圳市乐唯科技开发有限公司,1-3年,本科,"美女如云,下午茶,双休,五险一金","工作职责： 1、负责产品的整体框架设计，规划系统核心子模块，并制定产品路线图； 2、负责产品定义、设计、开发到上线运营的全过程把控； 3、负责产品需求的管理，包括收集、分析、分配、跟踪； 4、定期根据产品的核心数据进行分析，持续完善和优化已有产品功能； 5、实现高效地跨部门合作，完成上级领导安排的其他工作。职位要求： 1、 本科及以上学历，2年以上互联网产品经验，了解电商模式且有相关经验者优先； 2、 熟练使用Axure、sketch等常用软件，具有良好的产品感,能够深度分析,理解用户需求 ； 3、有较强的产品化思维、产品规划能力及产品交互能力，在指导下能够完成一个以上核心产品从规划到落地的能力； 4、出色的文档撰写能力，良好的沟通能力和责任心，工作积极主动，执行力强； 5、学习能力强，需要很好的适应能力与抗压能力，能够融入快节奏的产品团队； 6、对互联网产品具有足够热情，并长期关注。",移动互联网,50-150人,产品,广东
产品经理,https://www.lagou.com/jobs/3786893.html,东莞市市辖区,15k-25k,东莞市糖酒集团美宜佳便利店有限公司,5-10年,本科,"产品,市场,技术",职责描述：1、业务调研、业务场景分析、需求分析、需求管理；2、根据业务发展制定需求规划，输出需求，推进需求开发和项目实施上线；3、深入理解市场及行业发展趋势，主动进行信息化创新，为业务赋能。 任职要求：1、四年以上需求分析/管理/产品经理工作经验，熟悉零售连锁行业为佳；2、熟练掌握IT产品研发流程和方法论，具备互联网思维更佳；3、善于项目推进及统筹协调、善于沟通，善于数据分析为佳。,其他,500-2000人,产品,广东
产品经理,https://www.lagou.com/jobs/5951556.html,南山区,15k-25k,爱客科技（深圳）有限公司,3-5年,本科,"超牛团队,跨国团队,福利好,产品靓","有关 AfterShip2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 600 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。我们希望找一位有能力有想法，擅长从用户角度考虑问题的产品经理加入我们核心团队，为各大电商卖家及买家提供最好的体验。岗位职责1、根据产品业务需求，定义公司国际 2B SaaS 产品的交互流程逻辑，打磨功能交互细节，持续提升用户体验，提升用户转化率；2、参与用户生命周期的管理，通过分析产品数据，了解用户痛点，分析用户行为，从中提炼需求，并输出产品 PRD 及交互方案；3、跟进 UI 设计，把控产品体验细节，协调并推动开发人员工作，确保达到上线标准。岗位要求1、统招本科及以上学历，英语读写熟练；2、两年及以上互联网产品经理工作经验，有 B2B 或 SaaS 相关工作经验；3、熟悉交互设计的各种方法及工具，关注细节，对用户体验有**的追求；4、良好的学习能力、理解能力和沟通能力，责任心强，积极好学。加分项1、喜欢用国际化产品，有写博客或在产品经理社群活跃并有积极贡献者；2、熟悉敏捷开发 （Agile SCRUM) ，有技术背景；3、熟悉使用 Sketch 或相关工具。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、行业头部企业: 海外驰名企业，细分领域领跑者；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,产品,广东
产品经理,https://www.lagou.com/jobs/7104980.html,天河区,10k-15k,广州赞赏信息科技有限公司,1-3年,本科,五险一金 午餐晚餐 年终奖 薪资福利优,岗位职责：1. 负责面向B端SaaS平台的策划与完整的产品生命周期建设，还有小程序端产品设计；2 产品上线后，定期对本公司产品及竞品相关数据进行统计分析，分析用户需求及行为，不断改进和提升产品的质量；3 协调资源推动产品从需求挖掘到上线推广运营全流程，与公司内外团队有效沟通，提升项目完成进度及质量。职位要求：1. 本科及以上学历，2年及以上产品设计经验；2. 具备企业服务SaaS的设计经验，熟悉平台型产品的设计思路，具备中后台设计经验优先；3. 能够根据业务的表象分析出业务的本质问题，并提出完整的解决方案，具备业务建模、产品架构能力；4. 熟悉互联网行业，对行业状态、行业变化敏感，有独立理解和判断-优秀的沟通协作能力、资源整合能力和系统分析能力。,移动互联网,150-500人,产品,广东
产品经理,https://www.lagou.com/jobs/6912798.html,宝安区,10k-15k,深圳哈稀网络技术有限公司,1-3年,本科,待遇好 平台好 发展空间大,【岗位职责】：1. 负责数字货币交易系统的需求挖掘、产品规划、功能设计，优化现有产品结构及流程；2. 与设计、开发团队紧密协作，推进项目实施，完成产品版本目标；3. 具备敏锐的数据分析思维，根据运营数据和市场实际情况，对产品进行持续优化，提升产品用户价值。 【任职要求】：1. 一年以上互联网产品经理工作经验；2. 有金融/物理/数学专业背景或互联网金融、理财、股票产品相关经验更佳。,"移动互联网,金融",50-150人,产品,广东
产品经理,https://www.lagou.com/jobs/7219342.html,白云区,15k-25k,深圳市创美生活电子商务有限公司,3-5年,大专,发展空间大,岗位职责1、独立负责产品业务基础产品的规划与设计；2、深度理解业务，规划业务产品模型，制定产品线路图，确定产品方案，； 3、根据电商、O2O业务需求，撰写详细的产品规划文档和原型设计文档； 4、与运营、设计、开发等部门有效沟通，确保对产品的充分理解； 5、负责完成产品界面规划、功能流程设计，协调并推动开发人员工作； 6、把控产品质量，提升用户满意度；7、监控产品数据，进行分析和统计，并据此进行产品优化迭代。任职要求：1、本科及以上学历，3-5年互联网业务产品工作，有独立负责APP、小程序、H5项目经验；2、系统化思考的能力、出色的业务理解力和产品架构设计能力；3、思路清晰，逻辑分析能力强，对数据敏感尤佳；4、关注用户体验，善于场景化思考问题； 5、沟通、协调、组织能力好，有较强责任心与团队精神；6、文档编写能力强，擅长文案撰写更佳；7、掌握axuer、墨刀、PS、PPT等相关软件；8、熟悉前后端代码、跟进项目进度者优先9、可接受短期出差。,"电商,金融",50-150人,产品,广东
产品经理,https://www.lagou.com/jobs/7183088.html,南山区,8k-15k,深圳易加油信息科技有限公司,3-5年,本科,弹性工作，良好平台，90后年轻团队,岗位职责：1、负责易加油的产品功能规划设计、管理、迭代工作，包括但不限于小程序、App、公众号以及客户使用的管理系统等等。2、根据公司业务实际情况，制定产品发展路线，推进产品线落地实施，从0到1到N，对产品的验证，快速迭代、上线以及用户体验进行全盘负责。3、完善所负责产品线的用户数据采集，对产品数据进行跟踪研究，分析用户行为数据，抓住需求本质，并持续优化产品。4、负责处理跨部门间沟通与协调，支持运营、商务、推广、研发团队，确保产品的整体研发进度，推动公司产品线发展。岗位要求：1、本科及以上学历，计算机、软件工程及相关专业毕业。2、4年以上大型互联网公司产品经验、项目经验，产品知识扎实及资源丰富，有多部门协调能力及进行大型、高端产品经验，有成功上线的产品经历的优先。3、对互联网产品具有极高的敏锐度，能及时掌握市场发展动态。4、具有“主人翁精神”，极优秀的逻辑思维能力、开拓能力岗位职责。5、聚焦较强的沟通协调能力，能够快速理解其他团队的需求，并且抽象成为体系化产品，协调研发团队落地。,移动互联网,50-150人,产品,广东
