job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
产品经理,https://www.lagou.com/jobs/6889148.html,高新区,9k-11k,北京卡拉卡尔科技股份有限公司,3-5年,大专,"五险一金,节日福利,周末双休,弹性工作",职位描述：1.根据公司发展规划，结合市场/用户/竞品调研，提出新产品设计思路，梳理产品功能点，制作产品原型图；2.对接设计和研发部门，跟进产品研发/测试/上线/版本迭代各环节，把控产品研发周期和完成质量；3.整理并输出产品文档；4.配合完成产品资质申报等相关事宜。任职要求：1.具备互联网思维，善于分析捕捉互联网动向；2.良好的逻辑和沟通能力；3.了解前沿技术，能和技术岗位同事有效沟通；4.互联网产品岗位2年以上工作经验；5.有3个以上的产品完整流程经验，有B端和C端项目经验。,"数据服务,文娱丨内容",150-500人,产品,成都
产品经理,https://www.lagou.com/jobs/7130158.html,高新区,9k-11k,宁夏博信通科技有限公司,1-3年,本科,五险一金 周末双休 节日福利 季度团建,工作内容：1、负责系统各个功能模块详细功能设计；2、负责需求规格说明书编写和原型设计；3、负责开发过程中向研发和测试人员针对需求问题进行解答；4、负责系统迭代上线前对上线的各个功能和需求进行确认；5、协助完成系统交维、解答客户问题等其他事宜；任职要求1、拥有3年以上产品岗经验，本科学历2、熟悉产品实现过程，包括需求分析、产品功能设计、业务流程设计、用户研究等；3、熟悉Axure、墨刀、visio、思维导图等工具进行设计，能够快速输出PRD和用户手册等文档；4、具备逻辑思维能力，较强的沟通能力、良好的书面表达能力、出色的需求分析能力；5、有责任心、有热情，一定的抗压能力，具备较强的创新性和主动接受挑战的能力。,"企业服务,信息安全",2000人以上,产品,成都
产品经理,https://www.lagou.com/jobs/7121869.html,高新区,14k-20k,成都俊云科技有限公司,5-10年,本科,扁平高效 福利满满 免费营养双餐,工作职责:1、负责主机加速业务的产品，为加速质量、用户留存等关键指标负责；2、在场景、体验、营收、获客等模块，进行产品规划，组织和驱动相关资源，推进产品迭代；3、深入理解用户需求和使用场景，通过提升产品价值来打造业务的市场竞争力；4、探索主机加速玩家群体的其它需求。任职资格:1、统招本科及以上学历，4年及以上C端产品经验，具有工具类/智能硬件类/游戏相关产品工作经验者优先；2、逻辑思维能力出色，对用户体验设计敏感，能通过数据驱动产品迭代；3、目标导向，能够有效判断优先级，把控产品方向和迭代节奏；4、有优秀的自驱力、沟通表达和执行力，主机游戏玩家加分；5、熟练掌握产品经理生产工具。俊云标配福利：1、五险+商业保险+公积金—六险一金为你闯荡江湖保驾护2、营养美味午餐+晚餐—不花一分银子就能吃上热腾腾的饭菜，告别就餐高峰期的拥堵，继续做一个让别人羡慕的优雅美男子和美女子~3、丰盛饱腹零食货架+冰柜饮料+每周定期新鲜水果奉上—你是否空有一个吃货的才华和抱负却无处施展？只要你不怕长胖，俊云助你一臂之力4、团建基金—团队聚餐、运动拓展、学习培训、娱乐游玩，到底该选哪一个呢？没关系！每个季度一次团建基金让你一年4次轮流着来~5、购书基金—求知者说∶书是饥饿时的“美餐”，除了给大家提供美味的物质食粮，还有必不可少的精神食粮，每个季度的购书基金一定“喂饱”你~6、婚育礼金—当你步入结婚生子人生新阶段，除了满满的祝福，还有饱含俊云心意的礼金7、生日及节假日福利—生日券和季度生日会是必不可少的，还有各种节日活动：中秋端午伴手礼、情人节活动、程序员节祝福等，让你每个节日都充满惊喜与期待~还有更多隐藏福利等你来发现哟！！,"移动互联网,硬件",50-150人,产品,成都
产品经理,https://www.lagou.com/jobs/6909559.html,高新区,8k-15k,成都天府合涛网络科技有限公司,3-5年,大专,五险一金；领导nice；餐饮补贴,工作职责：1.  负责用户需求调研和用户行为分析，完成业务流程梳理，并对产品进行全面设计；2. 负责产品原型设计，撰写详细的产品需求文档，对产品质量及用户体验负责；3. 负责协调各方资源，将需求转换为高品质的产品设计或解决方案，对产品全生命周期进行管理；4. 跟进用户反馈，关注行业动态及发展趋势，对产品进行持续的优化和改进；5. 参与用户研究与竞品分析；任职资格：1. 本科及以上学历，3年以上相关工作经验，有ERP产品设计经验或了解不动产资产运营管理业务的优先；2. 熟练使用Office、Visio、Axure、MindManager办公软件，能独立完成重大产品的设计工作；3. 具有较强的沟通能力，逻辑能力和产品设计能力，执行力强，重视团队合作；4. 有优秀的学习能力和钻研精神，能适应一定的工作压力。,"移动互联网,企业服务",50-150人,产品,成都
产品经理,https://www.lagou.com/jobs/7028497.html,武侯区,10k-18k,成都世纪阳天科技有限公司,3-5年,大专,免费食堂 朝九晚六 周末双休 五险一金,岗位职责核心职责：对现有产品进行优化。1. 进行市场调研、竞品分析，把握行业发展趋势，有一定的前瞻性思考；2. 对市场、用户等进行调研及分析，结合相关数据对现有产品进行优化；3. 清晰总结和表达产品特性、亮点，提供最优的解决方案，配合销售人员更好地获取客户。任职要求1. 大专及以上学历、三年以上B端产品经验（硬性条件）；2. 熟练掌握各类工具，如思维导图、需求管理、原型设计、流程图、项目管理等软件；3. 具备较强的数据分析和数据洞察能力、文档撰写能力、缜密的逻辑分析能力，善于归纳整理；4. 具备系统思维能力、良好的沟通能力、团队协作能力、自我成长意愿强。工作时间：9:00-18:00 周一到周五，节假日正常放假工作地点：高新区-火车南站西路481号（近7/5号线 神仙树地铁站），公司自带免费停车场,"移动互联网,游戏",150-500人,产品,成都
产品经理,https://www.lagou.com/jobs/5596584.html,高新区,10k-15k,成都数聚城堡科技有限公司,3-5年,本科,奖金，带薪假，培训，节假日福利，补贴,"岗位职责：1.负责产品规划与详细需求设计，后台产品原型设计，需求方沟通并理解需求，输出解决方案。编写调研报告、需求规格说明书、项目解决方案；2.持续对用户需求、市场需求和业务需求进行调研分析，不断优化产品，提升产品质量；3.定期对自身产品、整体行业、竞争对手等进行数据分析并评估，并提出产品改善计划；4.负责产品的用户体验优化、功能完善，提升产品黏度，提升用户体验；5.与运营、项目部门积极配合，跟踪产品实施效果以及业务发展状况，业务流程优化，持续改善产品；6.协调各方资源，和研发部门协同工作，确保产品按照设计流程和规范执行；7.产品开发过程中的进度跟踪，组织产品测试，后期产品培训等；8.参与新产品的设计，产品市场调研、竞品分析、需求分析；9.领导交付的其它工作。任职要求：1. 3年以上产品工作经验，互联网从业背景，科技行业产品经理背景优先考虑；2. 能熟练使用相关产品工具如：Axure ,Visio等；3. 熟悉产品设计及开发流程，熟练编写产品需求文档PRD；4. 良好的跨部门沟通能力和团队协作能力；5. 有耐心，态度积极，性格外向，沟通能力强；6.本科以上学历。",移动互联网,15-50人,产品,成都
产品经理,https://www.lagou.com/jobs/7206911.html,温江区,8k-10k,四川小咖科技有限公司,1-3年,本科,入职购买社保，年底13薪，带薪生日假,岗位职责：1、独立负责产品全生命周期管理，包括需求收集与分析、原型和PRD设计、迭代管理；2、根据客户、公司内部需求反馈，分析与挖掘有能对产品线带来价值的需求，并向客户提供相关咨询服务；3、严格把控产品质量，善于无授权管理、跨部门沟通与协作；4、结合市场需求、竞品状态、产品现状，提出建设性迭代方案，支撑销售部门完成业绩目标。任职要求：1、两年以上产品经理工作经验，熟悉产品全生命周期管理；2、善于沟通，能结构化思维，批判性思考；3、具备独立负责产品线的能力；4、有代驾、出行、跑腿、交通、SAAS领域经验的优先。作为成都市温江区政府重点关注扶持对象、四川省种子企业，国家高级技术企业，我们能为你提供成长性十足的公司背景。我们希望你阳光、爱学习、专注、勇于挑战！我们为优秀的人才提供具有市场竞争力的薪酬待遇、专业的岗位培训、广阔的晋升空间、丰富多彩的员工活动以及个人能力的多元化锻炼。薪酬：年终更可挑战三薪；福利：试用期购买社保；六险一金；带薪生日假；空间：管理和专业双通道发展，横向、纵向双通道晋升，为你量身制定职业发展规划。,软件开发,50-150人,产品,成都
产品经理,https://www.lagou.com/jobs/4336414.html,高新区,12k-24k,成都晓多科技有限公司,3-5年,本科,"人工智能,前景广阔",工作职责：l  负责公司人工智能客服相关产品的产品规划、产品设计、以及产品迭代优化，工作内容包括市场调研、竞品分析、客户需求沟通、业务流程梳理与优化、功能设计、原型制作、项目协调与管理、数据分析等；l  根据业务调研、数据分析、竞品分析和行业动态，进行可行性分析，完成系统设计和优化，高效的解决业务痛点，创新性的推动业务发展。l  统筹跟进产品规划进度，协调推进设计、开发、运营各环节，建立及优化产品开发体系与内部工作流程。l  进行业务实地调研分析，及时收集系统需求，并根据运营数据调整产品，持续关注业务流程效率，并进行迭代优化。l  负责新产品线的培训、日常运营问题、产品运营数据分析的跟进工作。 任职资格：l  本科及以上学历，计算机及相关专业优先；l  2年以上企业应用相关产品的规划、设计经验，有较深的业务流程梳理与业务流程优化的经验，具有智能客服、电商行业相关领域的工作经验优先；l  具有良好的逻辑分析能力、语言表达能力，善于沟通，有技术背景优先；l  富有创业创新精神，有面对挫折的信心和决心，善于归纳总结，整合思路和方案，思维活跃，富于创意，组织规划能力强；l  熟练使用至少一种产品分析和设计工具，如VISIO、ROSE、PowerDesigner、AxureRP等；l  至少熟悉一种界面原型开发语言或工具，能根据业务需求开发系统的界面原型；,"企业服务,数据服务",500-2000人,产品,成都
产品经理,https://www.lagou.com/jobs/6983233.html,锦江区,8k-13k,北京鱼爪网络科技有限公司成都分公司,1-3年,大专,有竞争力的薪资 大平台,岗位职责：1. 独立负责鱼爪业务线的PC、WAP、APP平台的前后台产品设计（主要为Web设计和优化）；2. 需求分析：从内部和外部调研究目标行业、市场和用户需求，并比对竞争者产品，作出分析，规划设计方案；3. 功能设计：流程规划，输出流程图；数据模型设计，输出数据字典；页面框架设计，输出页面框架图或脑图；制作产品原型，注重交互设计和客户体验，撰写详细需求说明文档；4. 跟进保证：跨部门沟通合作，包括：与UED部沟通保证UI视觉效果和交互体验，与研发组合作保证产品正确开发、正常运行和准时上线等；5. 培训和宣传：编写产品功能说明书和培训PPT，组织产品上线前的培训；撰写产品宣传材料；6. 迭代优化：持续检测产品反馈，关注用户体验，提出产品优化和改进方案。其他被安排的产品相关工作。任职要求：1. 大专及以上学历，工作经验三年以上，有电商平台产品经理经验，独立完成过网站前后台设计工作；2. 能独立完成规划方案、流程图、产品原型及PRD文档的制作工作；3. 有良好的逻辑思维能力、沟通能力和团队意识；4. 对色彩版式比较敏感，有较好的审美，能洞察流行趋势，注重客户体验；5. 有一定的文字编写功底和讲解能力；6. 执行力强，责任心强，注重细节，能承受工作压力；7. 学习能力强，勤奋好学，善于活学活用，有创新意识；8. 熟悉仓储相关用品耗材者优先；熟悉电商运营模式者优先。,"移动互联网,电商",2000人以上,产品,成都
产品经理,https://www.lagou.com/jobs/6928088.html,高新区,12k-18k,成都智元汇信息技术股份有限公司,3-5年,本科,"五险一金,双休,带薪年假,节假日福利",岗位职责：1、负责基于地铁信息化的产品设计、需求管理和项目推进；2、根据用户反馈、市场分析进行产品更新迭代，完成与合作平台的产品合作方案撰写；3、关注用户体验、负责产品数据跟踪、用户数据数据分析；4、熟悉各项基础统计模型，对数据挖掘和数据建模有深入理解；5、协调资源推动实施，跟进项目进度，与内外部团队有效沟通，提升高项目整体质量。任职要求：1、全日制本科及以上学历，3年以上互联网产品工作经验；2、B端项目设计经验丰富，有交通出行领域，地铁行业或其它公共出行相关经验优先；3、思维敏捷、善于数据分析，有项目管理经验，能够协调团队，共同完成目标；4、具备良好的书面表达能力、逻辑思维能力、产品（业务需求）分析能力与设计思路，能够独立从事产品规划和设计；5、熟练使用原型工具Axure、使用Visio或其他工具制作流程图，熟悉Word、Excel、PowerPoint等软件工具。,"软件开发,人工智能",150-500人,产品,成都
