job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
产品经理,https://www.lagou.com/jobs/7192205.html,浑南区,7k-12k,北京直真科技股份有限公司,3-5年,本科,五险一金，双休，带薪年休假，定期体检,岗位职责：1.负责配合市场部门提供技术支持、方案编写、招投标； 2.负责协调产品团队完成需求调研、产品选型、产品规划、产品定义、产品开发、产品验收、产品推广等； 3.负责参与产品的市场化推广和售前支持工作； 4.负责与用户交流，技术应答； 5.负责用户需求建议书的起草和编制； 6.负责进行市场调研，获取和提炼用户需求。 任职要求1.计算机、通讯或相关专业本科以上学历； 2.有3年以上网管/传输工作经验对于计算机、，通信网络（核心网和接入网、数据网、传输网、云资源平台等）有深入了解，能够进行产品规划； 3.能以专业的方式向客户提供技术咨询，良好的方案设计能力和文字功底； 具备良好的交流、沟通和表达能力，良好的方案演示和介绍技巧； 4.承受较强的工作压力，强烈的团队合作意识与工作责任心； 5.有良好人际交往能力，工作积极主动，自信心强，有较强的学习能力并能够适应出差,软件开发,500-2000人,产品,沈阳
产品经理,https://www.lagou.com/jobs/6808555.html,浑南区,8k-12k,北京直真科技股份有限公司,3-5年,本科,个人成长空间大 薪资提升快,岗位职责：1、配合市场部门提供技术支持、方案编写、招投标等工作2、完成需求调研、产品选型、产品规划、产品定义、产品开发、产品验收、产品推广等工作；3、参与产品的市场化推广和售前支持工作；4、负责与用户交流，技术应答；5、负责用户需求建议书的起草和编写；6、进行市场调研，获取和提炼用户需求；任职要求1、计算机、通讯或相关专业本科以上学历；2、有电信网管软件开发或需求管理的背景，或者传输通信相关技术背景；3、熟悉电信领域网管软件相关知识，了解传输网管/数据网管/话务网管。有集客业务、IPTV、PON相关经验者优先考虑；4、承受较强的工作压力，强烈的团队合作意识与工作责任心；5、具备良好的交流、沟通和表达能力，良好的方案演示和介绍技巧。,软件开发,500-2000人,产品,沈阳
产品经理,https://www.lagou.com/jobs/7174815.html,铁西区,12k-18k,沈阳木久商贸有限公司,3-5年,本科,发展前景好,1.对互联网广告营销行业的运行规律、模式、玩法有着清晰的认知与自己的见解。2.了解DSP、SSP的原理。3.熟悉Trading Desk、CDP、DMP产品4.对5g时代广告的分发趋势有自己的判断与预测5.掌握R、SQL者优先,广告营销 不限,少于15人,产品,沈阳
产品经理,https://www.lagou.com/jobs/7190173.html,浑南区,8k-15k,沈阳不凡网络科技有限公司,5-10年,大专,五险一金节假日福利生日礼物等,1、制定产品部年度工作计划，并根据实际情况不断修正，确保各项工作顺利开展；2、通过市场调查、竞品分析、用户需求收集与研究等挖掘产品设计需求，提升产品质量，提高用户活跃度；3、进行产品规划，确定产品功能、流程、用户体验及后台解决方案等，绘制产品原型图与流程图等，编写相关需求文档；4、持续跟踪产品设计全过程，包括产品定型、产品交互、功能开发、软件运行、问题解决等所有与产品有关的问题；5、负责与协助产品上线前与上线后的改进工作，包括Bug跟踪与处理、需求跟踪与分析、改进意见收集与解决等；6、编写产品体验报告，时刻关注用户体验和用户满意度，不断优化产品，提升用户体验满意度；7、发现产品、市场及用户存在的潜力及改进空间，制定产品的迭代升级计划；8、以产品为核心驱动，高效地推动和协调UI、技术、测试、运营、企划等部门紧密合作，以确保产品准时、高质量的上线；9、管理并存档公司的核心技术，制定产品开发相关制度与流程；10、负责公司产品支撑工作，包括企业网站等需求设计，产品宣传等文档编写等；11、部门人员的日常管理，包括：工作指导、技能支持、职责自定、晋升与考核等各方面；12、领导交办的其他工作。,"移动互联网,不限",50-150人,产品,沈阳
产品经理,https://www.lagou.com/jobs/6424744.html,沈河区,12k-18k,中寰卫星导航通信有限公司,5-10年,本科,"弹性工作,试用期全薪,福利待遇好",1、通过市场调研和分析，完成产品设计，系统性规划产品全周期；2、快速响应需求，把控项目进度，推动产品快速高质量上线；3、持续跟进用户反馈，不断优化产品功能提升用户体验；4、和关联团队紧密合作，保证产品顺利落地；5、有效利用资源，在现有产品基础上思考创新模式并产生价值。1、本科及以上学历，具备5年以上产品经验，有移动产品经验者加分；2、能够独立完成产品原型设计，撰写输出高质量的产品文档；3、具备数据分析能力和解决问题的能力，做事以结果为导向；4、学习能力强，沟通能力良好，逻辑思维严谨，注重团队协作；5、有汽车行业产品经验者优先考虑。,移动互联网,500-2000人,产品,沈阳
产品经理,https://www.lagou.com/jobs/6989062.html,大东区,3k-6k,沈阳汇世信息技术有限公司,不限,大专,新颖 有前瞻性 面向企业级用户,致亲爱的你，首先我们沟通时请别问我最低能开多少钱，我不想招一个像公司最低工资看齐的人，虽然公司有保底底薪，但是销售都是靠业绩吃饭养家买口红买车买房子的，我希望你可以咨询销售**开多少钱，提成多少，有没有定期培训，虽然说销售需要一个过程，但是他是**一个可以凭实力说话来了就可以有业绩的工作。只要你脚踏实地阳光开朗，一定给你回报，适合长期发展。如果我们约定好见面时间请你务必守时赴约，哪怕不来也请提前告知，我也很忙请你体谅。沈阳汇世信息技术有限公司成立于2015年，是大连汇世信息技术有限公司在沈阳的第二家分公司，主要从事移动互联网项目，负责微信商业化的整体发展及布局，有微信商业化1、积极开拓市场，与客户建立良好的关系，维护客户关系，并达成销售； 2、主动联系客户，与其进行有效的沟通、了解客户反馈的意见和建议； 3、和客户面对面沟通，详细介绍公司产品； 4、按时完成销售任务。 任职要求： 1、大专及大专以上学历； 2、可接收应届毕业生; 3、普通话标准，有较强的沟通能力，语言表达能力强； 4、有责任感，具有团队协作精神， 有青春的朝气，有极强的进取心，有挑战高薪的勇气； 4、有面销经验，有互联网、金融、保险销售经验优先。                                                        薪资待遇： 1、薪酬：底薪（2200-3000）+高额提成+奖金（5000+上不封顶）  五险2、完善的培训=专业的带薪入职培训+实用的在职培训+系统的阶段培训； 我们采取以老带新，一对一全新领带转正模式，师徒之情伴随你整个职业生涯。3、人性的工时=国家法定假日休假+带薪年假+带薪婚/丧/病/产假/陪产假等；4、清晰的规划=以业绩为导向+简单融洽的职场氛围+公开透明畅通的晋升通道； 我们为每位员工提供清晰的职业规划，无论是成为销售的精英还是优秀的企业管理者。你能得到什么：1. 公平：同等的平台、同等的环境、同等的机会，不一样的是你自己的努力2. 公正：我们会用心去爱每一名同事，因为我们都是年轻人，有的都是共同的语言；3. 公开：晋升表彰公开透明，业绩，人品，二者缺一不可4. 你可以迅速与同龄人拉开差距，无论是能力的提升还是金钱的收入，我们可以让你的梦想从这里起飞。沈阳汇世信息技术有限公司成立于2015年，是大连汇世信息技术有限公司在沈阳的第二家分公司，主要从事移动互联网项目，负责微信商业化的整体发展及布局，有微信商业化微商户项目，微信商业化小程序项目，支付宝商业化项目，5G商业化项目。基于移动互联网，新媒体为当地的传统实体企业提供系统性线上、线下相结合的落地解决方案，帮助传统实体企业实现O2O的转型，并更好的结合现代互联网及腾讯大数据的应用。已服务过的企业有辽宁禾丰牧业有限公司，北方化妆品有限公司，爱美丽卡有限公司等辽宁诸多企业。总公司大连汇世信息技术有限公司成立于2010年，沈阳汇世腾达传媒有限公司成立于2013年，沈阳分公司自成立起就经中国企业家联合成长计划管委会严格审核并授权的“辽宁工作站”，负责推荐辽宁省的优秀企业代表参与入围“中国企业家联合成长计划”相关活动，涉及的业务包括：CCTV证券资讯频道《影响力对话》栏目，CCTV发现之旅频道《华商论见》栏目，CCTV证券资讯频道《大国商道》栏目高端访谈节目。现负责CCTV发现之旅频道《追溯》、CCTV老故事频道《匠心》纪录片栏目为“国家品牌计划”在东北地区进行选题工作。为当地企业提供***媒体平台展播、视频联盟媒体播放、授权荣誉、品牌入围、品牌推荐等较系统性的一站式的品牌提升解决方案，并全权负责与当地企业的接洽、跟进与后续的服务及支持工作。入围的公司有：四平宏宝莱饮品有限公司，本溪木兰花乳业，大连九州建设集团，本溪桓仁五女山旅游限公司，桓仁思帕蒂娜冰酒庄园，营口盛宇耐火材料有限公司等多家东北知名企业。,移动互联网,15-50人,产品,沈阳
高级产品经理,https://www.lagou.com/jobs/6424389.html,沈河区,12k-18k,中寰卫星导航通信有限公司,5-10年,本科,"弹性工作,试用期全薪,福利待遇好",1、通过市场调研和分析，完成产品设计，系统性规划产品全周期；2、快速响应需求，把控产品节奏，推动产品快速高质量上线；3、持续跟进用户反馈，不断优化产品功能提升用户体验；4、和关联团队紧密合作，保证产品顺利落地；5、有效利用资源，在现有产品基础上思考创新模式并产生价值。1、本科及以上学历，具备5年以上产品经验，独立负责过产品线更佳；2、有过0到1的产品上线经验，能够独立完成用户调研，原型设计，撰写输出高质量的产品文档；3、具备数据分析能力和解决问题的能力，能够承受较强的工作压力；4、学习能力强，沟通能力良好，逻辑思维严谨，注重团队协作；5、有汽车行业产品经验者优先考虑。,移动互联网,500-2000人,产品,沈阳
产品经理,https://www.lagou.com/jobs/6435695.html,浑南区,4k-8k,上海辉明软件有限公司,3-5年,本科,出差补助，上升空间巨大。,任职要求：1. 本科及以上学历，2年以上产品经验，负责或参与过全周期的产品流程；2. 熟练使用Axure、Office、Excel、Visio、Xmind/Mindmanage等软件；3. 具备需求分析、功能分析、用户分析、业务流程设计、原型设计等能力，有一定的用户交互设计能力；3. 熟练绘制产品流程图以及撰写产品需求文档(PRD)及技术功能描述文档的能力；4. 良好的沟通能力和组织能力，能与开发、测试、运营等多个部门进行充分沟通协调；5. 工作积极主动，有良好的学习能力，并具备较好的抗压能力、执行力6.有医疗行业经验者优先。,"移动互联网,医疗丨健康",15-50人,产品,沈阳
产品经理,https://www.lagou.com/jobs/6650009.html,浑南区,15k-25k,沈阳民航东北凯亚有限公司,5-10年,本科,民航行业，大数据，互联网,1、三年以上互联网电商软件产品设计/产品经理相关工作经验，能够独立规划、设计产品；2、计算机及相关专业统招本科及以上学历，有民航行业相关工作经验优先；3、熟练掌握互联网产品需求分析、原型/交互/易用性设计的技巧。熟练使用Axure、Visio、MindManager、Office等常用工具；4、能够独立承担业务调研、市场分析任务。具备良好的文档撰写能力、信息收集及分析能力、表达演讲能力；5、熟悉软件产品整体实现过程，并且有良好的产品视角与产品思维，可独到的产品嗅觉；6、具有创业精神，良好的团队合作精神，责任感和敬业精神，能够协调组织各类资源达成产品目标。,"数据服务,软件开发",500-2000人,产品,沈阳
产品经理,https://www.lagou.com/jobs/6781194.html,和平区,12k-24k,工银安盛人寿保险有限公司辽宁分公司,3-5年,大专,实习期双薪，享受工行福利保障，带薪年假,工银安盛人寿诚聘：招聘职位：经理、理财顾问、助理、兼职讲师薪资待遇：出勤津贴+高底薪+高提成+方案+季度奖+特别津贴+长期服务奖+五险一金+旅游奖励（免费）工作時間：早8:30-10.30，双休，法定节假日休应聘要求：25-45岁；2年以上工作经验，大专及以上學歷；為人正直有責任心（重要）；‍♀️正常干5000左右；积极干5000-20000；努力干20000以上不封顶‍♂️联系电话☎️：***********（微信同步）,金融,150-500人,产品,沈阳
