job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据产品经理 (MJ000771),https://www.lagou.com/jobs/7095526.html,南山区,16k-25k,广州希音供应链管理有限公司,3-5年,本科,高用户量，敏捷扁平，福利齐全，前景优渥,SHEIN，成立于2008年，聚焦快时尚，是一家集商品设计、仓储供应链、互联网研发及线上运营于一体的B2C跨境电商互联网企业。国内员工规模7000人以上，并且已于2018年上半年完成一线投资机构C轮融资。自有两大国际独立品牌：SHEIN、ROMWE，1.5亿APP下载量，8000万活跃用户。SHEIN在2018、2019年相继与阿里、华为一同入选Facebook全球最具知名度中国品牌榜前50强。岗位描述：1.负责SHEIN用户以及商品的整体的标签建设；2.负责标签系统整体规划以及功能实现；3.整理各个业务标签诉求。任职要求：1.2年及以上相关产品工作经验，本科以上学历，计算机、数学、统计学等相关专业；2.熟悉数据产品开发流程，参与过1个及以上数据产品规划、设计；3.熟悉数据化运营思维，能以数据分析的角度解决业务问题；4.熟悉用户画像或者DMP等相关产品；5.具备良好的产品方案策划与撰写能力，熟练掌握AxureRP、Visio等任一原型设计工具；；6.具有电商、数据分析、运营分析、数据产品工作经验优先。,"电商,移动互联网",2000人以上,产品,深圳
产品经理,https://www.lagou.com/jobs/6592466.html,南山区,12k-24k,深圳深蓝保信息技术有限公司,3-5年,本科,双休，晋升空间大，丰富的下午茶，,岗位职责：1、负责用户端产品的功能设计和优化，推动版本迭代按期上线；2、持续关注行业动态过完整产品线；、收集竞品信息，定期输出产品分析报告；3、跟踪&分析产品运营数据，为产品迭代提供数据支撑，并对产品关键指标直接负责。职位要求：1、全日制本科以上学历，3年以上产品工作经验，独自负责2、沟通和协调能力好，抗压能力强，有过跨部门项目协作管理相关经验优先；3、有 电商交易系统 或 保险、金融 相关产品经验优先；,"金融,移动互联网",150-500人,产品,深圳
产品经理,https://www.lagou.com/jobs/5951556.html,南山区,15k-25k,爱客科技（深圳）有限公司,3-5年,本科,"超牛团队,跨国团队,福利好,产品靓","有关 AfterShip2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 600 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。我们希望找一位有能力有想法，擅长从用户角度考虑问题的产品经理加入我们核心团队，为各大电商卖家及买家提供最好的体验。岗位职责1、根据产品业务需求，定义公司国际 2B SaaS 产品的交互流程逻辑，打磨功能交互细节，持续提升用户体验，提升用户转化率；2、参与用户生命周期的管理，通过分析产品数据，了解用户痛点，分析用户行为，从中提炼需求，并输出产品 PRD 及交互方案；3、跟进 UI 设计，把控产品体验细节，协调并推动开发人员工作，确保达到上线标准。岗位要求1、统招本科及以上学历，英语读写熟练；2、两年及以上互联网产品经理工作经验，有 B2B 或 SaaS 相关工作经验；3、熟悉交互设计的各种方法及工具，关注细节，对用户体验有**的追求；4、良好的学习能力、理解能力和沟通能力，责任心强，积极好学。加分项1、喜欢用国际化产品，有写博客或在产品经理社群活跃并有积极贡献者；2、熟悉敏捷开发 （Agile SCRUM) ，有技术背景；3、熟悉使用 Sketch 或相关工具。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、行业头部企业: 海外驰名企业，细分领域领跑者；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,产品,深圳
产品经理,https://www.lagou.com/jobs/3604759.html,南山区,8k-15k,深圳市乐唯科技开发有限公司,1-3年,本科,"美女如云,下午茶,双休,五险一金","工作职责： 1、负责产品的整体框架设计，规划系统核心子模块，并制定产品路线图； 2、负责产品定义、设计、开发到上线运营的全过程把控； 3、负责产品需求的管理，包括收集、分析、分配、跟踪； 4、定期根据产品的核心数据进行分析，持续完善和优化已有产品功能； 5、实现高效地跨部门合作，完成上级领导安排的其他工作。职位要求： 1、 本科及以上学历，2年以上互联网产品经验，了解电商模式且有相关经验者优先； 2、 熟练使用Axure、sketch等常用软件，具有良好的产品感,能够深度分析,理解用户需求 ； 3、有较强的产品化思维、产品规划能力及产品交互能力，在指导下能够完成一个以上核心产品从规划到落地的能力； 4、出色的文档撰写能力，良好的沟通能力和责任心，工作积极主动，执行力强； 5、学习能力强，需要很好的适应能力与抗压能力，能够融入快节奏的产品团队； 6、对互联网产品具有足够热情，并长期关注。",移动互联网,50-150人,产品,深圳
产品经理,https://www.lagou.com/jobs/6912798.html,宝安区,10k-15k,深圳哈稀网络技术有限公司,1-3年,本科,待遇好 平台好 发展空间大,【岗位职责】：1. 负责数字货币交易系统的需求挖掘、产品规划、功能设计，优化现有产品结构及流程；2. 与设计、开发团队紧密协作，推进项目实施，完成产品版本目标；3. 具备敏锐的数据分析思维，根据运营数据和市场实际情况，对产品进行持续优化，提升产品用户价值。 【任职要求】：1. 一年以上互联网产品经理工作经验；2. 有金融/物理/数学专业背景或互联网金融、理财、股票产品相关经验更佳。,"移动互联网,金融",50-150人,产品,深圳
高级产品经理,https://www.lagou.com/jobs/6855628.html,南山区,25k-50k,爱客科技（深圳）有限公司,5-10年,本科,全球项目、高薪资、高福利、国际团队,"有关 AfterShip2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 600 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。我们希望找一位有能力有想法，擅长从用户角度考虑问题的产品经理加入我们核心团队，为各大电商卖家及买家提供最好的体验。岗位职责1、根据产品业务需求，定义公司国际 2B SaaS 产品的交互流程逻辑，打磨功能交互细节，持续提升用户体验，提升用户转化率；2、参与用户生命周期的管理，通过分析产品数据，了解用户痛点，分析用户行为，从中提炼需求，并输出产品 PRD 及交互方案；3、跟进 UI 设计，把控产品体验细节，协调并推动开发人员工作，确保达到上线标准。岗位要求1、统招本科及以上学历，英语听说读写熟练；2、五年及以上互联网产品经理工作经验，有 B2B 或 SaaS 相关工作经验，有海外项目实操经验；3、熟悉交互设计的各种方法及工具，关注细节，对用户体验有**的追求；4、熟悉敏捷开发（Agile SCRUM)，有团队管理经验者优先考虑。加分项1、喜欢用国际化产品，有写博客或在产品经理社群活跃并有积极贡献者；2、有技术背景；3、熟悉使用 Sketch 或相关工具。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、最新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、头部企业: 海外驰名企业，细分领域领跑者；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,产品,深圳
产品经理,https://www.lagou.com/jobs/7183088.html,南山区,8k-15k,深圳易加油信息科技有限公司,3-5年,本科,弹性工作，良好平台，90后年轻团队,岗位职责：1、负责易加油的产品功能规划设计、管理、迭代工作，包括但不限于小程序、App、公众号以及客户使用的管理系统等等。2、根据公司业务实际情况，制定产品发展路线，推进产品线落地实施，从0到1到N，对产品的验证，快速迭代、上线以及用户体验进行全盘负责。3、完善所负责产品线的用户数据采集，对产品数据进行跟踪研究，分析用户行为数据，抓住需求本质，并持续优化产品。4、负责处理跨部门间沟通与协调，支持运营、商务、推广、研发团队，确保产品的整体研发进度，推动公司产品线发展。岗位要求：1、本科及以上学历，计算机、软件工程及相关专业毕业。2、4年以上大型互联网公司产品经验、项目经验，产品知识扎实及资源丰富，有多部门协调能力及进行大型、高端产品经验，有成功上线的产品经历的优先。3、对互联网产品具有极高的敏锐度，能及时掌握市场发展动态。4、具有“主人翁精神”，极优秀的逻辑思维能力、开拓能力岗位职责。5、聚焦较强的沟通协调能力，能够快速理解其他团队的需求，并且抽象成为体系化产品，协调研发团队落地。,移动互联网,50-150人,产品,深圳
产品经理,https://www.lagou.com/jobs/6538520.html,罗湖区,10k-15k,深圳市阿卡索资讯股份有限公司,3-5年,本科,"五险一金,周末双休,健身俱乐部,带薪年假",岗位职责：1、梳理项目，制定优化方案2、跟进需求，进行产品设计3、追踪清洗数据，提升产品服务4、整理制作产品文档，产品说明书5、了解开发代码，熟悉API情况6、协调开发和需求方合作，有效地推进项目进行7、深挖所处理的业务链，定期整理数据，提出优化建议任职要求：1、本科以上学历，计算机、设计、统计相关专业2、3年以上产品经理经验3、至少熟悉一种主流的产品设计工具，项目管理工具4、熟悉开发流程，了解产品，数据，API的关系5、数据分析能力，清楚制定数据分析计划，数据埋点，进行数据清洗6、对某一行业有深刻分析见解，由数据支撑7、善于沟通协作，能积极处理需求方和研发方的关系,"教育,移动互联网",2000人以上,产品,深圳
产品经理,https://www.lagou.com/jobs/6416978.html,罗湖区,10k-15k,深圳市阿卡索资讯股份有限公司,1-3年,本科,"五险一金,周末双休,健身俱乐部,带薪年假",岗位职责：1、梳理项目，制定优化方案；2、跟进需求，进行产品设计；3、追踪清洗数据，提升产品服务；4、整理制作产品文档，产品说明书；5、了解开发代码，熟悉API情况；6、协调开发和需求方合作，有效的推进项目进行；7、深挖所处理的业务链，定期整理数据，提出优化建议。 任职要求：1、本科及以上学历，计算机/设计类/统计类相关专业；2、三年以上产品经理工作经验；3、至少熟悉一种主流的产品设计工具，项目管理工具；4、熟悉开发流程，了解产品，数据，Api的关系；5、数据分析能力，清楚制定数据分析计划，数据埋点，进行数据清醒；6、对某一行业有深刻分析见解，有数据支撑。,"教育,移动互联网",2000人以上,产品,深圳
产品经理,https://www.lagou.com/jobs/7184331.html,南山区,15k-25k,深圳市彬讯科技有限公司,3-5年,本科,互联网装修独角兽，一年2次加薪机会,"岗位职责1、根据业务发展制定产品规划、产品开发及优化计划，把控产品架构设计的灵活性、复用性和拓展性2、负责toB平台业务需求分析、产品功能规划、功能设计以及产品原型设计3、推进跨部门协调沟通工作，确保产品按时完成并高质量上线4、协同研发团队进行产品改进和优化5、产品上线后日常运营数据分析管理，规划产品的迭代升级任职要求：1、本科以上学历，计算机或供应链管理相关专业优先2、3年以上的产品工作经验，有B端CRM,ERP，后台管理系统相关经验，具备产品架构规划能力3、具备业务需求分析、产品功能规划、原型设计、PRD编写能力4、具备较强的与业务部门沟通协作能力5、工作积极主动，有责任心，有一定组织管理能力和团队管理能力","移动互联网,消费生活",500-2000人,产品,深圳
