job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
产品经理,https://www.lagou.com/jobs/7113472.html,工业园区,9k-15k,苏州市中地行信息技术有限公司,3-5年,本科,五险一金周末双休交通便利办公环境优美,岗位职责：1、根据公司发展规划，做好产品调研、规划、设计；2、严控产品设计流程管理、产品生命周期管理、产品质量管理；3、与开发团队紧密配合，推进产品开发和测试，达成产品目标；4、充分了解用户诉求，不断挖掘用户需求，优化平台的用户体验，提升产品易用性；5、深入研究市场动态，持续探索潜在产品方向。任职要求： 1、本科及以上学历，三年以上产品经理经验； 2、具备强烈的自驱，协调和应变能力；3、具有较强的数据分析能力，对数字敏感，思路清晰,"数据服务,移动互联网",50-150人,产品,苏州
产品经理,https://www.lagou.com/jobs/7053805.html,昆山市,13k-16k,昆山微远信息技术有限公司,1-3年,大专,项目奖金 年终奖 旅游 节日礼品,一、工作内容1、通过行业研究，市场和竞品分析，制定产品的版本规划；2、主导并完成需求分析，产品逻辑流程图，原型设计，PRD方案，同时在用户界面设计和用户交互设计方面提出产品要求；3、主导UI、开发、测试、到上线全过程，协同内外部资源完成产品目标；4、负责产品的影响力构建，提升产品在公司内外以及业界影响力；5、熟悉或具备scrum项目管理能力，能够在MVP的范围下快速上线产品；6、 负责产品的用户增长与裂变，通过不同用户行为机制设计，完成获客、激活、活跃、付费、复购、分享等各个环节持续优化；7、通过数据监控及漏斗模型，分析用户行为，理解各个维度的转化，并迭代产品底层规则设计；二、任职条件1、2-3年产品经理经验；丰富的C端产品能力；2、善于进行团队合作，具有一定的项目管理经验；3、具备MRD、BRD能力；4、主导过日活百万级产品经验优先，有出海产品经验优先；5、熟练使用Axure，Mindmanger，Visio等工具；拥有从0-1系统项目实现与管理经验；6、有强烈的Ownership意识，为自己产品和产品线结果负责；7、具备较强的自我驱动与学习成长能力；8.、抗压能力强，具备对模糊和创新业务的探索与梳理能力,"游戏,其他",150-500人,产品,苏州
产品经理,https://www.lagou.com/jobs/6825892.html,虎丘区,6k-12k,憨妈妈网络科技（苏州）有限公司,1-3年,大专,具有很强的挑战性、创业性企业、潜力无限,"岗位职责：1. 负责配合主管完成ERP项目的产品规划、业务流程设计、功能设计、产品优化等工作。2. 制定产品需求计划，进行可行性分析及设计，撰写产品功能需求说明书，负责需求的跟踪和控制。3. 制定产品业务规范，整理、完善产品文档、业务流程及相关内容。4. 负责日常业务数据分析，设计产品模型，跟进开发进度、客户反馈。5. 日常跟踪观察竞争对手产品、用户情况，定期进行分析。任职要求：1. 数据敏感、较强的数据整理、统计和分析能力。2. 掌握各类产品策划工具，如：AxureRP、XMind、Mockplus、Visio、UML等工具。3. 大专以上学历，熟练应用计算机，掌握EXCEL的各种功能。4. 能独立完成产品策划文档撰写及高保真原型输出。5. 出色沟通能力和沟通技巧,较强的逻辑思维能力和承压性。6. 有ERP工作经验者优先，熟悉金碟、用友、思讯等软件行业情况。","电商,企业服务",15-50人,产品,苏州
产品经理,https://www.lagou.com/jobs/6989834.html,吴中区,25k-35k,苏州蜜巢计算机系统有限公司,3-5年,本科,高福利待遇 高发展空间,岗位职责：1、基于公司产品价值主张，研究用户行为，了解用户需求，并落实产品的生态设计；2、高度理解产品目标用户，拟定核心种子用户画像，协助品牌建立核心种子用户库；3、基于产品地图的阶段规划，拟定用户需求调研点，推进调研师制定调研方案；4、基于调研报告，还原用户场景，独立完成产品需求逻辑拟定；5、参与产品需求的还原、验证、内测过程，协同交互、UI、测试、调研团队，保障产品的完整落实，对产品质量负责。任职要求：1、互联网经验3年+ 互联网产品经验2年+2、有一线互联网企业背景优先、C端经验优先 3、优秀的产品抽象能力、用户思维及逻辑思维能力；4、优秀的团队协作及沟通能力（包括口头表达能力与书面表达能力）5、对产品充满热情，富有责任心，学习能力强，能承受较大的工作压力、熟练使用xmind、axure、word、excel等工具,"移动互联网,消费生活",50-150人,产品,苏州
产品经理,https://www.lagou.com/jobs/7164884.html,工业园区,15k-30k,科天智慧云（广州）信息科技有限公司,5-10年,本科,绩效奖金；带薪年假；弹性工作；500强,"岗位职责：1. 负责呼叫中心系统产品的定义、设计以及应用产品的后期系统规划；2. 优化产品体验，能够撰写产品需求文档等产品相关文档；3. 在项目推进过程中的跨部门协调沟通，以确保产品按时高质量完成；根据产品运营效果以及业务发展状况，制定产品迭代优化计划，并推动执行；4. 关注产品运营，不断改进产品用户体验，培训客服部业务人员对系统的使用工作等；5、负责产品在销售、客户群体中的培训、推广的开展；6、跟踪国内外创新的呼叫中心产品，能够将创新的技术与公司呼叫中心业务场景相结合，提升公司运营效率。7、对设计产品的用户数量及ROI负责；任职要求：1. 本科及以上学历，计算机等相关专业；2.两年以上呼叫中心项目交付或者应用开发经验；两年以上呼叫中心行业需求分析或产品设计经验；3. 熟悉呼叫中心CTI系统、CRM和IM即时通讯系统组成和使用；熟悉呼叫中心国内外ASR,TTS，NLU等产品。4. 有良好的学习能力、沟通能力和逻辑分析能力，能快速理解公司的系统产品结构；5. 工作认真细心、严谨踏实、责任心强、为人正直、积极主动；6. 有研发工作经验或者呼叫中心项目的交付经验者优先；7.熟练使用Axure等软件；","移动互联网,数据服务",150-500人,产品,苏州
产品经理,https://www.lagou.com/jobs/4211862.html,工业园区,18k-35k,同程网络科技股份有限公司,5-10年,本科,发展空间大,工作职责：1. 基于业务发展需要，提出后台产品规划，包括产品定义、功能设计及迭代优化；2. 深入参与产品开发全流程，充分协调沟通内外资源，协作完成后台产品实现，撰写业务/流程文档，帮助后台产品使用人员及时上手；3. 负责监测、整理与分析用户需求、竞品动态与行业情况；4. 负责产品周期管理，与相关职能紧密合作，跟进产品设计、开发、测试、上线全过程，对用户体验和产品收益负责。任职资格：1. 对互联网新产品有敏锐的嗅觉，有很强的产品设计能力；2. 对工作充满激情，具有强烈的创新精神，富于责任心，能承受工作压力；3. 具有互联网产品规划设计、产品管理的实际经验；4. 思路清晰，较强的表达能力，良好的跨部门沟通和项目协调能力，善于协调资源推动项目进展；5. 敏锐的分析能力，善于倾听用户声音；6、本科以上学历，4年以上互联网行业产品设计、管理经验者优先。,旅游,2000人以上,产品,苏州
产品经理,https://www.lagou.com/jobs/6886826.html,工业园区,8k-15k,苏州声通信息科技有限公司,3-5年,本科,五险一金、定期体检、公司旅游、福利待遇,职位描述：       岗位职责：1、负责产品的设计与规划，用户研究与分析，并提供有效的解决方案；2、负责协调研发和测试，确保产品的执行进度与质量，并对结果负责；3、负责产品的数据挖掘与分析工作，根据数据分析情况提出产品优化方案；4、负责产品原型和交互设计、研究用户体验并持续优化；任职要求：1、三年以上互联网产品相关的工作经验、对在线教育行业有强烈兴趣或发展意向，师范专业或具有K12教学工作经验者优先；2、有较强的自学能力与自我驱动能力；3、逻辑清晰，具备良好的文档撰写能力、数据和运营分析能力；4、沟通能力强，有较好应变能力，能处理相对复杂的沟通、协调问题，有较强的驱动能力；,数据服务,15-50人,产品,苏州
产品经理,https://www.lagou.com/jobs/6960878.html,高新区,7k-10k,苏州市伏泰信息科技股份有限公司,1-3年,本科,五险一金、双休、福利补贴,岗位职责1、负责公司产品的调研分析，用户体验设计，需求撰写规划、实施及产品的持续优化改进；2、能敏锐把握用户需求，提出产品设想和方案，撰写PRD文档、形成原型图；3、参与项目计划，能与UI设计、技术开发及测试团队进行良好的沟通协作，管理和把控项目进度，保证项目按时顺利上线；4、跟踪各渠道用户反馈，根据数据、业务及需求的变化，调整产品方案及UI设计；5、负责用户手册及帮助文档。任职资格1、全日制本科或以上学历，1-3年智能信息化产品经验；有智慧城管、智慧环境、固废、环卫等环保行业经验的优先；接受优秀应届硕士毕业生；2、有完整的品设计至上线经验优先；3、具备良好的书面表达能力、逻辑思维能力、产品（业务需求）分析能力与设计思路，能够独立从事产品规划和设计；4、熟练使用原型工具Axure、使用Visio或其他工具制作流程图，熟悉Word、Excel、PowerPoint等软件工具；5、互联网项目管理能力 良好的组织协调、沟通能力，推动跨团队合作、促使项目计划按时完成；6、有强烈的责任心及团队管理能力，使团队成员发展新的技能，并且在工作中成长。,"数据服务,其他",150-500人,产品,苏州
产品经理,https://www.lagou.com/jobs/6713189.html,工业园区,7k-14k,苏州云极客信息技术有限公司,1-3年,本科,五险一金 绩效奖金 午餐补贴 周末双休等,1、负责公司各平台相关产品的规划和设计工作，熟悉电商和O2O产品业务；2、支持各业务方需求、业务流程梳理，分析问题并提出解决方案；3、负责产品业务线的文档编写，撰写PRD并完成线框，推动开发与测试团队拿到最终产出；4、负责产品开发周期和进度把控，协调相关人员按时保质完成产品开发、测试和完善；5、研究市场和用户需求，不断提升产品的用户体验； 对产品市场推广、商业合作、销售策略提出建议。6、对行业及竞争产品的分析，跟踪最新发展趋势，并提交分析报告；7、注重数据驱动，强烈的执行力和结果导向意识。【任职要求】1、本科以上学历；2、2年及以上产品经验，有后台产品、移动端产品相关经验；3、能熟练使用产品原型工具制作产品原型；4、思维敏捷、严谨，性格开朗；5、做事积极主动，沟通协调良好，对工作认真负责，有较强责任心、执行力和抗压能力强。6.熟练使用Axure、Visio、xmind等常用软件。,"移动互联网,电商",15-50人,产品,苏州
产品经理,https://www.lagou.com/jobs/6972808.html,虎丘区,8k-12k,苏州南慧科技创新研究院有限公司,1-3年,本科,薪酬福利、沟通顺畅,岗位职责：1：负责公司各类产品的规划、设计及需求撰写，调研内外部需求，进行产品全流程管理，包括定制产品规划、设计系统功能、手机用户/客户需求，进行市场和竞争分析、升级产品组合等。2：了解互联网市场趋势和竞品动态，从用户处获取产品改进建议及创新需求，并进行分析和产品改进实施；3：熟练掌握产品需求分析、设计技巧、对用户交互设计的过程有较深的理解；4：负责对产品开发项目周期和进度把控，并对产品开发的进度和质量负责；5：从整个产品研发的各个环节中，负责与开发人员、UI市场等相关人员沟通协调。任职要求：1：本科以上学历，2年以上产品经验，供电项目、计算机相关专业；2：熟练使用相关工具，有2个以上已上线的0-1的项目成功经验；3：较强的逻辑思维与分析能力，对产品需求有独特的见解及深挖需求的能力；4：很强的沟通、协调能力，能够有效的推进工作。,"金融,软件开发",50-150人,产品,苏州
