job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
产品经理,https://www.lagou.com/jobs/6436519.html,渝北区,9k-15k,杭州指令集智能科技有限公司,5-10年,本科,弹性工作制、定期团建,1、 负责公司物联网操作系统、智慧园区、智慧工业等产品线的规划和发展计划；2、 作为产品架构师参与整体产品规划和迭代计划，统一把控需求、产品设计，协同技术、运营、商务团队，有节奏的完成产品化和项目的落地；3、 在产品相关的技术领域，完成竞争对手的动态和优劣势分析，对未来业务发展有一定预判性；4、 根据业务发展需求组建产品团队；5、 协同运营团队进行产品合作生态的建设和运营，结合行业生态，快速形成市场规模岗位要求：1、5年以上企业级产品设计、规划、和管理的工作经验，对产品设计有成熟的设计原则和体系，在产品决策、执行和愿景规划上有全面的把控能力，有国际化视野优先；2、行业能力， 有制造业、物联网相关行业经验优先考虑；3、产品能力，有丰富的B端产品经验，能综合多业务的不同场景，抽象总结平台产品核心的价值，具备整体规划能力；4、协同能力，具备良好的团队沟通协同能力，能推动多业务、角色的大型项目顺利进行，坚持结果导向；5、敬业精神及抗压能力，有Ownership,移动互联网,50-150人,产品,重庆
产品经理,https://www.lagou.com/jobs/4840530.html,渝北区,7k-14k,重庆市九吨科技有限公司,1-3年,本科,"五险一金,国外旅游,年终奖，项目分红","岗位职责
 负责产品的市场调研，挖掘与把握用户需求从而进行产品规划和设计，负责完成iOS/Android的App产品的原型、流程和交互界面设计； 
 与各相关团队进行良好的沟通，与运营、市场等同事紧密配合，确保各阶段目标顺利有效的完成；
 根据定量与定性的反馈制定产品升级与改进计划，关注产品用户体验优化，提升产品黏度及用户体验，日常数据跟踪与研究；
 把握互联网市场趋势，跟踪竞争对手，制定产品竞争战略和计划； 
 对需求进行重要性排序，制定开发优先级。
任职要求： 1.本科及以上学历，2年以上移动互联网产品相关经验，有小程序相关经验优先； 2.对iOS/Android/WP系统熟知，对各系统的分发渠道、上架流程熟知； 3.逻辑思维能力好，善于发散，责任心强，能承受较强工作压力，具备团队合作精神； 4.熟悉手机客户端软件及平台特性，熟悉各种手机操作系统特性，喜欢研究； 5.熟悉数据分析方法，具有较强的策略、市场分析能力，良好的逻辑思维； 6.具有大局观，能站在全局思考问题；出色的沟通、协调能力，善于调动团队积极性； 7.具备用户同理心、敏锐的市场嗅觉、良好的运营意识与创新意识 必须有C端口产品经验，特别是工具类、短视频类产品，我们的福利：弹性半小时上班，周末双休，五险一金，丰厚的年终奖金、每日下午茶、每月生日会、带薪年假（全年6天）、节日礼品、年度旅游（1-2次）、年度体检、年终活动会（100%中奖），根据所跟项目情况有项目分红",移动互联网,150-500人,产品,重庆
产品经理,https://www.lagou.com/jobs/7196838.html,渝北区,6k-10k,重庆链图信息技术有限公司,1-3年,本科,团队气氛好，福利待遇好,岗位职责：1、参与智慧城市时空云平台、时空大数据引擎等的产品相关工作2、收集并梳理业务需求，完成需求分析，找到合理的解决方案，构建产品原型图；3、与技术团队密切配合，积极推动相关功能按时按质上线；4、完成同类型产品或功能的调研工作，梳理出值得借鉴的改进方案，并推动落地实施。任职要求：1、熟练使用Axure、墨刀等交互和项目管理工具；2、熟悉产品研发过程，包括需求分析、产品规划、功能设计、业务流程梳理、原型设计等；3、关注用户体验，有同理心，熟悉各种用户调研和可用性测试的方法；4、有很强的执行力和推动力，能推动项目落地，逻辑清晰，抗压能力强；5、对用户产品有极大热情，具备创业精神，有上进心，自我驱动，渴望成功，并愿意为此持续付出。,"数据服务,软件开发",50-150人,产品,重庆
产品经理,https://www.lagou.com/jobs/7014160.html,渝北区,10k-20k,马上消费金融股份有限公司,3-5年,本科,带薪年假,岗位职责：1、负责智能化客服系统的产品规划和设计，进行全局性和前瞻性设计和布局；2、参与智能化客服系统的建设和设计，驱动客服业务发展，提供可操作的系统化解决方案；3、在产品研发、发布和迭代的过程中，负责各个团队的饿交流、合作以及项目推动，确保项目高效推进，并交付客服团队使用岗位要求：1、本科及以上学历，计算机、数据、智能化方向优先，有相关工作经验者优先考虑；2、有平台化、系统化产品设计经验，了解人工智能的相关技术；3、熟悉业内人工智能平台、机器学习平台；4、清晰的逻辑分析和表达能力，较强的执行力；5、学历能力强，具有创新性思维和方法,"金融,移动互联网",2000人以上,产品,重庆
产品经理,https://www.lagou.com/jobs/5009509.html,南岸区,5k-8k,重庆康洲大数据有限公司,3-5年,本科,周末双休、节日福利、五险一金,"岗位职责：1、根据公司发展战略需求及当前产品版本，负责市场调研、深入了解客户及用户需求，提出解决方案及产品规划；2、收集客户在产品使用中遇到的问题并有效的协调开发资源跟进处理；3、负责紧密和开发、设计、测试沟通并共同推进相关工作，完成版本迭代；4、参与产品生命周期的各个环节并对产品的用户体验持续改进，并不断提升用户黏度，提出产品迭代升级方案；5、收集行业前沿信息数据，及时掌握行业动态，针对产品不断提出优化需求；6、负责web、app 各功能模块架构设计,编写相关需求流程文档,绘制产品的原型设计、交互设计、创意及设计。任职要求：1.制定产品战略和发展方向；2.负责产品设计，规划，制定产品开发计划；3.负责与技术团队沟通进行开发协调；4.负责产品开发的整体进度、质量控制和实施；5.对产品的效果进行评估，统计产品运营数据，进行业务数据分析；提交分析报告；6.对产品进行改良和完善；提出产品竞争方略；7.医药背景者优先考虑。","移动互联网,医疗丨健康",150-500人,产品,重庆
产品经理,https://www.lagou.com/jobs/7164205.html,渝中区,11k-22k,重庆商社电子商务有限公司,5-10年,本科,五险一金 前景可期,（一）岗位职责：    1、负责产品生命周期规划和管理，挖掘客户需求和产品价值转化为产品方案；2、输出产品逻辑和需求文档，协调技术资源完成产品上线；3、配合运营和市场进行产品落地推广和经营，完成阶段性市场目标；4、持续基于行业、竞争对手、自身数据制定产品规划，寻找产品优化和突破方向；（二）任职要求:1、本科及以上学历，5年以上互联网产品经理工作经验；2、有过电商，营销、内容和直播视频产品经验者优先；3、 有较强的逻辑思维能力，对数据敏感，善于挖掘并用数据说话；4、精通产品常用工具，思维活跃，抗压力强。,电商,50-150人,产品,重庆
产品经理,https://www.lagou.com/jobs/5585925.html,渝北区,7k-12k,北京光启元数字科技有限公司,3-5年,本科,未来发展前景广阔，朝九晚五。,岗位职责：1、售前产品支持：根据销售线索，为客户提供专业且生动的产品展示和需求答疑，帮助销售人员与客户达成合作关系。2、产品方案：梳理客户的需求以及数据资料，根据业务需求输出产品方案，推动需求关闭和研发、UI需求评审。3、研发跟进：负责协调研发过程中的资源对接，紧密跟踪项目实施的流转节点和质量把控，及时发现问题、解决问题。4、产品交付：保证产品按期交付，产品通过验收后，负责跟进产品的现场部署和调试，向客户提供专业的操作培训。5、文档能力：PRD、竞对调研报告、产品规划方案、使用手册、表格矩阵、AXURE原型（包含但不限于）、各类流程图。任职要求：1、逻辑清晰，对概念边界和流程敏感，善于分析和综合。2、善于沟通，以“对方能听懂”为目的去沟通，语言逻辑清晰，动之以情晓之以理。3、反应灵敏，能迅速抓住对方底层思维逻辑做出判断和决策。4、自我迭代，有自己的知识树和思维迭代方式，不给自己设限。5、责任心强，任何事情有交待。6、有B端产品经验和大项目工作经验，具有良好的表达、团队协作和项目管理能力。,"数据服务,企业服务",150-500人,产品,重庆
产品经理,https://www.lagou.com/jobs/6989939.html,渝北区,7k-10k,宁夏博信通科技有限公司,1年以下,本科,五险一金 周末双休 节日福利 季度团建,工作内容1、负责系统各个功能模块详细功能设计；2、负责需求规格说明书编写和原型设计；3、负责开发过程中向研发和测试人员针对需求问题进行解答；4、负责系统迭代上线前对上线的各个功能和需求进行确认；5、协助完成系统交维、解答客户问题等其他事宜；任职要求1、拥有4年以上产品岗经验，有平台型产品Java开发经验者优先；2、熟悉产品实现过程，包括需求分析、产品功能设计、业务流程设计、用户研究等；3、熟悉Axure、墨刀、visio、思维导图等工具进行设计，能够快速输出PRD和用户手册等文档；4、具备逻辑思维能力，较强的沟通能力、良好的书面表达能力、出色的需求分析能力；5、有责任心、有热情，一定的抗压能力，具备较强的创新性和主动接受挑战的能力。,"企业服务,信息安全",2000人以上,产品,重庆
产品经理,https://www.lagou.com/jobs/7194373.html,江北区,15k-25k,平安普惠投资咨询有限公司重庆观音桥分公司,3-5年,大专,正式编制！六险二金！带薪年假,岗位职责1、开拓及发展中小企业信贷业务项目2、开拓个人信贷以及抵押贷款业务3、对提出贷款申请的客户财务状况和贷款能力进行评估4、维护及管理客户，为客户提供优质的贷前贷中及贷后服务岗位要求：1、大专及以上学历，专业不限，经济管理、金融、市场营销、房地产等专业优先录用；2、工作经验不限，有从事过汽车、保险、房地产、信用卡销售等相关经验者优先录用；欢迎优秀应届毕业生；3、工作积极主动，性格积极乐观，有良好抗压能力，责任心强。4、良好的学习和沟通能力，勤奋努力，执行力强；薪资福利：1、底薪3500元/月＋高额提成+六险二金1500元（入职基本基数），节日福利，慰问金，开年红包等；2、入职即可享受六险二金（包括五险一金：公积金每月最低800元，每年上调一次公积金，最高每月4600元的住房公积金！综合保险以及企业年金）；3、带薪年假，每月完成任务可以来一场说走就走的旅行；4、完善的培训体系；5、公平、公正、公开的晋升空间：客户经理——业务主任——部门经理——中心总监——分部总经理；6、具有竞争力的薪酬+丰厚提成/绩效、月度、季度、年度销售奖金。人均收入15000到20000以上；,金融,2000人以上,产品,重庆
产品经理,https://www.lagou.com/jobs/6656661.html,渝北区,8k-13k,重庆用维通信技术有限公司,3-5年,本科,五险一金，免费午餐，绩效奖金，十三薪。,岗位职责：1. 根据公司战略，规划、设计移动端产品的开发； 负责产品的功能定义、产品规划、设计，完成产品需求文档(PRD)，并制作产品原型。2. 从需求调研，到产品设计、评估、开发、测试及上线，全面协调资源推动产品线的发展；负责协调研发、交互、UI、测试、运营人员完成产品从开发、测试，到发布等全部工作。 3. 跟踪产品上线后的相关数据，根据数据不断优化改善产品业务或功能，提升用户体验。4.负责产品项目周期、进度管理，保障产品如期上线或更新。岗位要求：1. 热爱移动互联网，关注移动互联网的产品发展和用户体验，平时喜欢体验各种APP，尤其对用户心理、需求或产品有自己独到的见解者为佳（重用户导向）；2. 30岁以下，全日制统招本科及以上学历，3年及以上移动产品或相关互联网产品工作经验，有知名互联网公司工作背景优先，或接受过相对系统的产品工作流程或思维培训；3. 优秀的沟通与协调能力，能整合设计、开发、测试、运营等相关资源推动产品发展；4. 关注用户，信奉数据，优秀的定量分析能力与缜密的逻辑思维能力；5. 具有很强的事业心与自我激励能力，能承受快速发展型企业带来的工作压力；6. 熟练使用axure、墨刀、Xmind等工具。,"数据服务,其他",50-150人,产品,重庆
