job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
产品经理,https://www.lagou.com/jobs/6820886.html,天心区,8k-15k,长沙计支宝信息科技有限公司,3-5年,本科,五险一金 团队活动,岗位职责：1.需求分析：与用户、运维人员进行沟通，了解用户对产品的业务需求，并进行分析、讨论和整理；2.产品设计：负责产品的定义、功能规划、交互原型设计、需求文档撰写等等，与开发、测试、运营、客户等进行明确有效的需求沟通，确保每个环节能正确理解需求；3.负责公司产品的需求对接，落实产品具体细节需求，输出产品需求、业务流程等相关文档。4.负责产品交付后服务和销售人员的培训。5.负责协助服务解决产品功能、使用等问题。任职要求：1.大专及以上学历，有SAP、或运营类产品经验优先；2.3年以上相关经验，曾参与过两个以上金融或者财务类产品的需求调研和原型设计；3.熟悉全套产品开发流程，有直接产品设计或者开发经验；熟练使用如axure/xmind/visio 等工具软件和基本办公软件；4.具有良好的沟通协调能力，严谨逻辑思维能力，较好的团队协作能力，能快速把握需求的核心要点；5.具有高度的责任心，工作认真细致，有较强的学习能力，具有较强的文字功底；6.数据分析能力强及良好的分析、谈判能力。7.能接受出差。8.公司单双休，接受可投。,移动互联网,50-150人,产品,长沙
产品经理,https://www.lagou.com/jobs/6572614.html,天心区,8k-12k,长沙聪衡电子商务有限公司,5-10年,本科,"发展前景好,医疗健康的互联网公司，大牛多",职位描述：1、负责电商线的产品规划，制定业务目标，输出产品文档，跟进迭代开发；2、深入订单、商品、支付、供应链、物流、客服等业务提出解决方案，对业务结果负责；3、负责产品的用户需求分析、市场和竞品分析、产品功能设计等工作；4、协调资源推动产品功能实施，跟进项目进度，与运营、设计、开发等团队有效沟通，提高项目质量；5、负责线上产品的跟踪优化与运营数据分析，持续推进产品优化迭代；职位要求：1、 3年以上电商产品工作经验，熟悉电商前后端产品设计思路和架构，至少参与负责过1款优秀产品；2、熟悉产品交互设计、功能逻辑设计，产品基本功硬，PRD文档和产品原型优秀；3、有较强与用户建立沟通的能力，敏锐的用户需求洞察力，对互联网产品理解深刻；4、关注智能硬件领域，喜欢尝试各类智能产品，并希望在智能领域长期发展；5、具有良好的服务意识和团队合作意识，要性强，沟通和抗压能力优秀；工作时间：周一至周五（8小时工作制），周末双休。福利待遇：1、入职当月购买意外险；2、转正后购买五险；3、生日津贴、节庆物资、慰问金；4、工龄补贴；5、旅游；6、带薪年假等福利。7、弹性工作制,"电商,医疗丨健康",50-150人,产品,长沙
产品经理,https://www.lagou.com/jobs/6818189.html,岳麓区,10k-15k,苏州工业园区凌志软件股份有限公司,3-5年,本科,无加班，朝九晚五，节假日福利优厚，晋升大,职位描述：1.负责APP、网站产品的功能流程、交互界面原型设计；2.协助产品总监保证产品按计划上线；3.协调研发、测试、运营、设计等资源；4.跟踪上线产品运营情况，并根据数据改进产品，完成产品迭代；5.跟踪、整理用户反馈，定期研究分析同类产品，改进产品。岗位要求：1、全日制大学本科以上学历，金融相关专业者优先；2、 具备证券、金融行业相关业务知识；3、从用户与业务运营角度进行产品分析，挖掘用户需求；4、参与需求分析、交互设计与产品文档撰写；5、与研发团队紧密合作，协调开发进度，落实产品需求；6、对已上线产品的数据进行监控和分析，持续改进用户体验。7、熟练使用AXURE或SKETCH原型软件，可以独立完成产品需求文档，具有一定产品逻辑能力,金融,2000人以上,产品,长沙
产品经理,https://www.lagou.com/jobs/6838418.html,岳麓区,10k-15k,苏州工业园区凌志软件股份有限公司,3-5年,本科,上市公司，五险一金，下午茶，公司旅游,岗位职责：1、负责APP部分设计及与平台的交互设计；2、负责用户调研和市场调研，基于调研结果形成业务规划建议并组织评审，撰写产品功能需求说明书，产出产品原型；3、制定产品版本计划，持续优化平台业务和功能。任职要求：1、统招本科及以上学历，计算机、通信工程、自动化等相关专业，5年以上产品相关工作经验，2年以上产品团队管理经验，有金融行业相关经验的优先；2、善于与多个不同职能部门沟通，熟练掌握AXURE 、xmind/mindmanage、sketch等软件工具，能以视图方式向技术和管理团队清晰表达复杂、抽象的概念；3、互联网项目管理能力：良好的组织协调、沟通能力，推动跨团队合作、促使项目计划按时完成。,金融,2000人以上,产品,长沙
产品经理,https://www.lagou.com/jobs/4969315.html,岳麓区,6k-10k,湖南星汉数智科技有限公司,1-3年,本科,"五险一金,扁平化管理,年终奖,周末双休",岗位职责：1、参与产品推广，配合完成与客户的技术交流、技术方案宣讲、产品及应用系统演示等工作，收集客户业务信息、应用场景信息，整理出有效需求；2、将客户需求转化为整体解决方案交付给客户，协调其它部门资源，推进实施方案，跟踪控制项目的进度；与客户保持技术与方案上的沟通，及时解答疑问、响应新需求、处理突发问题，收集客户意见，处理协调客户工作；3、参与编写客户演示PPT、项目标书、产品宣传推广文案、产品说明书等材料；4、负责研究用户的行为习惯，把握各层次的需求，研究市场的同类竞品。对市场上所有的竞争对手产品进行分析，并改进产品的市场竞争力任职要求：1、思维敏捷，逻辑清晰，具备较强的自学能力以及独立分析问题和解决问题的能力；2、有强烈的责任心和团队合作精神，工作主动、独立性强、吃苦耐劳、能承受工作压力，适应偶尔出差的工作性质；3、具有工作演示经验者优先，掌握一定的表达技巧，具有较强的分享和表现欲望，善于影响感染他人；4、执行力强，积极主动，有团队意识，客户服务导向，能承受一定工作压力；5、有大数据分析、人工智能行业相关经验者优先,"移动互联网,数据服务",50-150人,产品,长沙
产品经理,https://www.lagou.com/jobs/6613097.html,开福区,15k-25k,深圳市赢时胜信息技术股份有限公司,1年以下,本科,"绩效奖金,年终奖金,股权激励",岗位职责：1、主导客户、公司研发团队的联合创新工作，调研和规划资产证券化产品线功能模块；2、负责资产证券化相关业务系统解决方案规划和设计；3、带领需求团队和研发团队构建资产证券化相关业务系统4、对行业解决方案的竞争力负责，对解决方案的商业成功发挥关键作用；岗位要求：1、本科以上（含），计算机，金融学、经济学相关专业；2、从事资产证券化产品相关业务系统设计研发工作；3、熟悉资产证券化产品全生命周期运作流程；4、思路清晰，较强独立思考能力，良好的沟通、周边协调及推动能力；5、具有扎实的资产管理相关业务知识，熟悉资产管理业务、熟悉银行理财业务；6、擅于挖掘、理解和整理客户需求，具备需求分析或业务流程设计等方案的撰写能力、良好的沟通协调能力和较高的独立分析能力。,金融,500-2000人,产品,长沙
产品经理,https://www.lagou.com/jobs/7127690.html,岳麓区,8k-15k,深圳市思迪信息技术股份有限公司,3-5年,本科,年底双薪，六险一金，免费体检，周末双休,岗位职责：1、负责APP部分设计及与平台的交互设计；2、负责用户调研和市场调研，基于调研结果形成业务规划建议并组织评审，撰写产品功能需求说明书，产出产品原型；3、制定产品版本计划，持续优化平台业务和功能。任职要求：1、统招本科及以上学历，计算机、通信工程、自动化等相关专业，3年以上产品相关工作经验，1年以上产品团队管理经验，有金融行业相关经验的优先；2、善于与多个不同职能部门沟通，熟练掌握AXURE 、xmind/mindmanage、sketch等软件工具，能以视图方式向技术和管理团队清晰表达复杂、抽象的概念；3、互联网项目管理能力：良好的组织协调、沟通能力，推动跨团队合作、促使项目计划按时完成。,"移动互联网,金融",500-2000人,产品,长沙
产品经理,https://www.lagou.com/jobs/7218205.html,岳麓区,10k-15k,北京久幺幺科技有限公司,3-5年,本科,五险一金、周末双休,1. 从零到一负责泛娱乐社交APP需求分析，确定产品功能及设计；2. 分析用户行为及需求，收集用户反馈，对产品进行持续的优化和改进；3. 对平台数据进行跟踪与研究，分析运营效果，掌握运行情况；4. 协同其它部门，确保网站、APP的研发与运营进度；岗位要求：1. 3年以上相关工作经验，有泛娱乐或者社交产品相关经验优先；2. 对移动互联网新产品有敏锐的嗅觉，有独立完成产品策划设计的能力，对发展规律和未来趋势有一定认识；3. 具有一定的 产品规划设计、产品管理的实践经验；4. 对用户需求敏感，善于倾听用户声音，体验用户流程；5. 注重交互细节，对数据敏感，并有较强的数据及用户行为分析能力；6. 有项目管理或产品管理、产品策划经验，能很好地协调产品开发进度，保证质量,"移动互联网,文娱丨内容",15-50人,产品,长沙
产品经理,https://www.lagou.com/jobs/6993324.html,长沙县,15k-25k,湖南长城信息金融设备有限责任公司,不限,本科,"朝阳行业,央企,五百强",岗位职责：1、 负责研究泛金融行业动态、把握市场未来发展趋势，做好竞情分析；2、 负责泛金融应用平台产品的全生命周期管理，包括需求收集、策划、设计及开发过程协调，上市后的优化完善；3、 根据产品需求，规划产品功能，撰写详细的产品需求文档（PRD）、制作产品原型及交互设计文档；4、 全程跟进产品研发过程，制定营销策略与撰写相关方案；5、 制定产品市场推广计划，协调组织各类资源达成产品目标；6、 负责产品销售培训，提供人员培训、视频讲解录像、销售指引物料等，协助进行市场人员能力考核。岗位要求：1、 本科及以上学历，3年以上工作经历，有大型应用平台工作经验者优先；2、 优秀的数据分析和文档编写能力，熟练掌握Axure、Visio等原型/流程设计工具；3、 具备极强的责任心及团队合作意识，丰富的项目管理能力与团队组织协调能力；4、 有泛金融平台项目开发经验优先。,移动互联网,500-2000人,产品,长沙
产品经理,https://www.lagou.com/jobs/6908211.html,天心区,6k-8k,深圳青鱼互动科技有限公司,1-3年,不限,有年终,"职位描述：1、完善产品，支持产品迭代工作，负责平台独立模块的设计工作；2、对需求进行整理分析，编写需求文档，输出产品流程图，制作产品原型等；3、与开发测试、运营保持沟通和合作，确保产品实现，并参与产品测试，提出相应的改进建议；4、积极参与产品推广工作,包括产品推广计划、推广手册、产品手册等；5、上级交代的其他工作任务。任职要求:1、逻辑清晰，具有产品的全局观，擅长原型交互制作；2、具有较好的人际沟通和学习能力，熟悉常用产品工具，如ppt ,axure,processon等；3、细心，有耐性，对工作具有一定的抗压力；4、具有3年以上产品设计经验，具有独立负责产品模块的经验；5、有企业中台产品设计经验优先；6、本科及以上学历，专业不限，特别优秀可放宽该条件",移动互联网,50-150人,产品,长沙
