job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
人工智能咨询,https://www.lagou.com/jobs/6098493.html,静安区,30k-60k,上海勃池信息技术有限公司,5-10年,硕士,大数据，人工智能,主要职责：1. 研究并构建具有竞争力的大数据/人工智能解决方案，理解客    户痛点和需求，提出解决方案；2. 市大数据/人工智能核心产品市场化包装：负责审核产品销售    户痛点和需求，提出解决方案；3. 推介公司的产品和服务，指导和协助客户进行数字化智能化战    略制定，规划实施路径；4. 人工智能项目的实施落地，负责客户业务方和公司技术团队的    对接；5. 把握行业动态，提交高质量的行业分析研究报告支持内部和外    部决策。任职要求：1. 技术咨询或战略咨询背景；2. 企业数字化智能化经验，有金融、零售相关背景者优先；3. 理解大数据人工智能技术及其业务场景和价值；4. 优秀的行业分析研究和文案、方案撰写能力；5. 出色的表达，沟通和演讲能力；6. 富有激情，善于学习，乐于合作。,"金融,数据服务",50-150人,人工智能,上海
TS-人工智能与机器学习工程师,https://www.lagou.com/jobs/6594030.html,虹口区,20k-40k,顺丰科技有限公司,3-5年,硕士,职位发展前景大，福利高,"岗位职责：1、负责对业务发展、用户行为以及消费习惯等复杂问题进行数据建模，优化经营效果 2、负责针对业务及产品部门的数据分析相关需求，进行需求解析和试验设计等 3、负责使用常用数据分析及数据挖掘算法（时间序列/time series, 分类/classification, 聚类/clustering, 文本挖掘/text mining, 自然语言/NLP等）来改进或重新设计核心的运营步骤 4、负责模型算法开发与改进任职资格：1、 统计、运筹、数学、应用数学、物理、信息技术、计算机等相关专业硕士及以上2、 至少掌握一种数据分析建模工具(R/Python等),可进行模型开发以及实现算法优化 3、 熟练运用SQL/Hive,有丰富的数据分析、挖掘、清洗和建模经验4、 自主学习能力强、好奇心5、 硕士并三年以上相关工作经历 或 博士并相关工作经历","软件开发,数据服务",2000人以上,人工智能,上海
行业咨询专家/售前团队负责人（人工智能方向）,https://www.lagou.com/jobs/7152252.html,长宁区,25k-38k,上海虎烨信息科技有限公司,5-10年,本科,"硅谷大牛,股权激励,绩效奖金,极客氛围",职位描述：1、负责政企、金融等行业客户研究和竞品分析。结合调研情况，分析需求痛点并优化人工智能战略规划/业务咨询的解决方案2、组织与客户的沟通与方案交流，结合人工智能领域的前沿技术，设计并撰写适合客户需求的、切实可行的项目建议书3、协同技术和业务同事，推进解决方案落地，保障项目顺利交付4、跟踪人工智能技术在各行业的应用发展趋势职位要求：1、本科或硕士以上学历，计算机、经济、或理工科等专业优先2、5年以上ToB公司工作经验，有极强的咨询服务方案设计能力及服务项目的管理能力。有团队筹建和团队管理能力优先考虑3、了解AI技术现状与发展趋势，有NLP应用类项目的咨询经验，或金融类从业经验者优先4、出众的文字功底和沟通表达能力，具备优秀的逻辑分析、归纳总结及解决问题能力,"移动互联网,金融",50-150人,人工智能,上海
人工智能运营经理,https://www.lagou.com/jobs/6659108.html,闵行区,15k-30k,上海赛舵智能科技有限公司,1-3年,本科,创业公司 从0-1 充分授权 博取未来,人工智能运营经理岗位职责·       和商务团队、产品研发团队对接，满足产品迭代以及客户运营的需求；·       多个客户推进，提升服务质量和客户满意度；·       参与企业服务类产品设计迭代，提升产品价值。任职需求·       本科或以上学历；·       抗压能力强，适应创业公司节奏，希望博取未来；·       具有企业服务类产品运营相关经验；·       具有数据驱动思维和使用数据改进产品的能力；·       具有创新力和批判性思维；·       良好的组织和沟通能力；·       具有英语四级证书；·       负责任、有激情、认真以及结果导向。更佳需求·       有人工智能类企业服务产品的运营经验；·       熟悉至少一种数据库查询、使用；·       熟悉产品设计、迭代的流程和方法；·       熟悉项目推进、管理；·       了解语音、自然语言等相关技术；·       具有英语六级证书；·       计算机或相关专业学位。 领域我们正在使用人工智能和大数据相关技术来开拓海外的科技市场。为了能够研发出满足海外市场和行业需求的产品、服务，我们需要你加入我们一起努力。 团队和角色： 产品运营/运营经理工作类别： 全职工作地点： 中国上海闵行区近上海交通大学,企业服务,15-50人,人工智能,上海
人工智能产品经理,https://www.lagou.com/jobs/6598287.html,闵行区,20k-40k,上海赛舵智能科技有限公司,1-3年,本科,从0-1 充分授权 前景无限 长期回报,赛舵智能是一家位于上海的人工智能初创公司，致力于在海外市场将人工智能运用于各个国家的不同工业领域。赛舵主要聚焦语音识别、语音合成、自然语言处理和语义理解相关技术和应用，希望能够改变和简化全球人们想用科技的方式，通过提升交互体验和效率来使得生活更美好。 人工智能产品经理岗位职责·       设计人工智能产品和服务；·       推进项目，达成业务目标；·       挖掘产业业务需求，落地创新人工智能应用；任职需求·       本科或以上学历；·       抗压能力强，适应创业公司节奏，希望博取未来；·       具有企业服务、移动互联网或人工智能产设计相关经验；·       具有数据驱动思维和使用数据改进产品的能力；·       熟悉至少一种数据库查询、使用；·       熟悉产品设计、迭代的流程和方法；·       熟悉项目推进、管理；·       具有创新力和批判性思维；·       良好的组织和沟通能力；·       负责任、有激情、认真以及结果导向。更佳需求·       3年以上企业服务、移动互联网或人工智能产设计相关经验；·       了解语音、自然语言等相关技术；·       计算机或相关专业学位。 领域我们正在使用人工智能和大数据相关技术来开拓海外的科技市场。为了能够研发出满足海外市场和行业需求的产品、服务，我们需要你加入我们一起努力。 团队和角色： 产品团队/产品经理工作类别： 全职,企业服务,15-50人,人工智能,上海
商务经理（人工智能方向）,https://www.lagou.com/jobs/6664817.html,浦东新区,14k-25k,海深智能科技（上海）有限公司,3-5年,本科,年终多薪 项目奖金 期权鼓励 团队优秀,岗位职责：1，开拓国内有AI数据需求的公司，提供海深图像识别等方向的数据采集、标注服务，重点开拓图像算法市场，提升市场占有率；2，重点拓展行业内新客户，同时维护现有客户的关系，保持长期合作；3，参与合同的谈判及签订，掌握并推进项目的每一个步骤，与公司内部团队配合，做好前期需求把控与后期服务。 任职要求：1，全日制统招本科以上学历，理工科专业优先；2，2年以上销售经验，有行业客户资源者优先(如AI研发机构、数据服务方案公司等)；3，对图像算法领域、人工智能领域有一定了解，了解数据标注相关服务；4，性格积极向上，有较强的抗压能力。,"移动互联网,电商",15-50人,人工智能,上海
2631F1-人工智能AI产品经理,https://www.lagou.com/jobs/7163633.html,浦东新区,15k-25k,平安国际融资租赁有限公司,5-10年,本科,"五险一金,定期体检,免费班车,节日福利",,金融,500-2000人,人工智能,上海
测试工程师-人工智能,https://www.lagou.com/jobs/6827747.html,浦东新区,15k-25k,证通股份有限公司,3-5年,本科,"公司平台稳定有潜力,补充公积金,补充医疗",职责描述：1、负责智能客服相关产品测试用例设计、评审、编写、执行；2、编写自动化测试脚本；3、不断更新测试技术、测试工具，并在部门内部进行培训。任职要求：1、本科及以上学历，五年及以上测试相关工作经验；2、熟悉Linux操作系统，熟悉Python及Bash开发者优先；3、有人工智能产品／算法测试经验优先，熟悉软件开发流程；4、了解基本的NLP，机器学习，深度学习概念及框架。,"移动互联网,金融",150-500人,人工智能,上海
人工智能课程经理,https://www.lagou.com/jobs/6871126.html,徐汇区,20k-40k,北京市商汤科技开发有限公司,5-10年,本科,AI独角兽，发展空间大，技术氛围好,工作职责：1、负责人工智能教育中高职课程内容的设计、开发及质量优化提升；2、团队协作开发适合中高职学生的课程产品，设计教学内容、研发教程、教材、教具及用于师资培训的教学内容，并根据需求不断调整、丰富和完善课程的内容、呈现形式及学习深度；3、建立分级、分层的系统人工智能课程体系及课程标准，配合团队共同建立课程评估体系；4、参与培训及教研活动，积极总结、分析问题及建议，持续优化课程内容；5、不断探索新的课程设计，打造品牌课程；6、结合中国教育政策和人工智能教育行业发展，对行业竞品进行定期研究与分析，不断完善提升课程研发能力。任职要求：1、计算机或教育学本科以上学历，对人工智能有一定了解，在中高职、编程及科学教育专业领域有一定的学术研究能力；2、具有三年及以上TO C教育课程产品研发及设计从业经验；3、优秀的语言表达能力、协调沟通能力和文字功底； 5、工作主动积极，有创新思维及科研热情，反应敏捷，具有较强的团队合作精神，能适应高强度的工作。,人工智能,2000人以上,人工智能,上海
人工智能产品运营实习生,https://www.lagou.com/jobs/7178203.html,徐汇区,3k-5k,上海云扩信息科技有限公司,不限,本科,带薪年假 领导大牛下午茶零食 免费体检,岗位职责 1、领先 AI 技术公司自媒体内容运营、日常活动策划 2、围绕产品开展线上与线下的品牌工作 3、新媒体营销内容策划与执行，包括但不限于：图文、视频、音频的策划与执行 4、公司活动及辅助执行 5、其他相关工作  岗位要求 1、文笔好、文字感强 2、强烈的学习新技能的欲望，具备一定的策划能力、团队合作与跨部门沟通的能力 3、本科及以上学历，211、985 优先potential的实习生可以提供转正,"人工智能,企业服务",150-500人,人工智能,上海
