job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
通用软件工程师,https://www.lagou.com/jobs/6610297.html,东莞市市辖区,13k-25k,华为技术有限公司,1-3年,本科,技术领先、待遇可观,"【工作职责】1.承担多个模块或特性的代码设计（含增量方式）、代码编写、单元测试、静态检查、本地构建、测试环境搭建和测试设计、问题定位、资料开发等工作，指导初级人员完成软件开发等工作；2.主导重要网上问题攻关，组织相关人员配合及时解决问题，及时发布补丁或版本；3.负责模块能的持续集成和自动化测试设计，确保测试工程(驱动,桩和用例)能持续运行，覆盖主要功能和场景。【任职要求】业务技能要求：1、熟练掌握C/C++等主流开发语言的一种；2、熟悉Linux配置和Shell使用；3、熟练掌握常用的软件架构模式，并能熟练使用基本的编程编译工具；4、1年及以上项目开发经验，熟练掌握C/C++等主流开发语言：1）熟悉分布式架构、有分布式软件开发经验者；2）有云计算及大数据/人工智能/网络安全/SDN/NFV等领域开发经验者；5、具有良好的沟通能力，刻苦、敬业、有上进心，有良好的团队合作精神。对技术有激情，喜欢钻研，能快速接受和掌握新技术，有较强的独立、主动的学习能力。专业知识要求：1、信息系统/计算机/通讯等相关专业，本科及以上学历，英语通过四级及以上；2、熟悉C/C++、JAVA、Python、JS中的至少一种，掌握常见的数据结构、算法，了解软件工程、敏捷开发等知识，熟悉常用设计模式；3、通信业务背景，网络通讯相关协议STP/OAM/MPLS/OSPF/DHCP；4、有数通领域业务、云计算领域开发经验优先。【工作地】东莞，西安两地均可",通讯电子,2000人以上,人工智能,东莞
招聘算法及软件开发(东莞)-智能协作领域,https://www.lagou.com/jobs/7112060.html,东莞市市辖区,15k-30k,华为技术有限公司,1-3年,本科,新冠催熟“远程办公/教育及智能协作”产业,【岗位职责】投入智能协作领域的音频、视频、多模态会议AI及 人机交互等创新技术的预研、算法开发及技术原型验证，帮你成功切入AI领域。1. 音频：基于传统方法及人工智能的语音增强、去混响、回声抵消、盲源分离、网络适应性、编解码等；2. 视频：基于传统方法及人工智能的图像增强、高清低码、内容分享、网络适应性、编解码优化加速等；3. 多模态会议AI：语音会控、声像匹配、声纹识别、NLP、会议摘要等智能协作语音；图像检测与识别、图像语义分割等智能协作图像；4. 大屏人机交互：基于红外屏、电容屏，触屏手势识别，主/被动笔识别；多指多手势识别。 【岗位要求】1. 信号处理或者电子、通信、计算机等相关专业，本科及以上学历；1年以上工作经验。2. 熟悉C 或 C++ 或JAVA(非Web)；3. 熟悉Linux操作系统，并能够在其上进行C/C++/JAVA开发；或者安卓上开发JAVA；4. 熟悉语音信号处理、视频信号处理，智能语音、ASR、NLP、智能视频、AI、机器学习(python/matlab)、神经网络、大屏人机交互和ARM平台优化者优先。,通讯电子,2000人以上,人工智能,东莞
算法软件开发工程师,https://www.lagou.com/jobs/7196603.html,东莞市市辖区,15k-30k,君师禾信息技术（上海）有限公司,不限,本科,福利待遇好,岗位职责：参与智能协作领域的音频、视频、多模态会议AI及 人机交互等创新技术的预研、算法开发及技术原型验证：1、 音频：基于传统方法及人工智能的语音增强、去混响、回声抵消、盲源分离、网络适应性、编解码等；2、 视频：基于传统方法及人工智能的图像增强、高清低码、内容分享、网络适应性、编解码优化加速等；3、 多模态会议AI：语音会控、声像匹配、声纹识别、会议摘要等智能协作语音；图像检测与识别、图像语义分割等智能协作图像；4、 大屏人机交互：基于红外屏、电容屏，触屏手势识别，主/被动笔的笔尖、笔帽、笔杆的识别；多指多手势识别。任职要求：1、 信号处理或者电子、通信、计算机等相关专业。2、 熟悉C 或 C++ 或JAVA(非Web)；3、 熟悉Linux操作系统，并能够在其上进行C/C++/JAVA开发；或者安卓上开发JAVA；4、 熟悉语音信号处理、视频信号处理，智能语音、智能视频、AI、机器学习(python/matlab)、神经网络、大屏人机交互和ARM平台优化者优先,信息安全,15-50人,人工智能,东莞
公共安全产品经理,https://www.lagou.com/jobs/4876962.html,东莞市市辖区,10k-20k,深圳云天励飞技术有限公司,1-3年,本科,"独角兽,人工智能,团队融洽,高成长",岗位职责：1、工作领域为人工智能、公共安全方向；2、负责产品交互设计，输出高质量的PRD；3、协调各部门完成需求评审、技术评估，并推动产品开发全流程。4、能够对交付型项目的需求进行分析，提取共性，分析趋势，从具体需求中抽象出平台级通用化功能5、收集用户反馈，跟踪产品迭代，对产品持续优化和改进6、关注竞情产品，把握行业趋势，深度思考业务发展问题，不断改进和提升产品体验； 任职要求：1、严密的逻辑性及产品思维，能够深刻理解市场和客户需求，理解业务与数据逻辑关系；2、3年以上相关产品工作经验，本科及以上学历；3、具备系统化思考和设计能力，有产品设计和分析经验，具有产品模块从0到1的规划设计工作；4、自我驱动性强，有责任心和工作热情、良好的人际沟通协同能力、团队合作精神。,人工智能,500-2000人,人工智能,东莞
项目经理,https://www.lagou.com/jobs/6765523.html,东莞市市辖区,15k-25k,拓维信息系统股份有限公司,5-10年,不限,项目奖金,有良好的沟通协调能力、要求至少三年项目管理工作经验、不少于2个项目的成功运作经验，勇于承担压力，可同时从事技术开发1、本科学历，有五年以上IT从业经验，其中至少三年以上项目管理经验；2、有大型复杂项目实际管理经验者优先；3、有通信网络、云计算、人工智能相关项目经验者优先；4、具有良好的沟通能力、表达能力和书写能力，团队意识强，具有很好的团队管理和资源协调能力，有较强的抗压能力；5、项目专业能力突出，能在项目范围、时间、成本及质量方面进行良好的计划和控制，能对项目过程中的问题与风险有效识别并解决；6、熟知质量管理体系，具备大型复杂项目、项目群质量管理能力；7、良好的任务跟踪记录能力，及时响应客户按时按量的提供高质量的服务；8、有强烈的时间观念和责任感，并有能力同时处理多个项目工作；9、有华为项目经验优先；10、硕士学历优先；11、有PMP证书优先；,"移动互联网,教育",2000人以上,人工智能,东莞
高级Java研发工程师,https://www.lagou.com/jobs/7140515.html,东莞市市辖区,10k-18k,北京泛钛客科技有限公司,3-5年,本科,足额五险一金、员工团建、节假日福利,岗位职责：1、参与公司技术方案选型、技术框架预研；2、负责公司人工智能、大数据等系统的架构设计与功能开发；3、负责系统研发过程的技术管理，厘清技术细节，解决主要难点；4、负责发现和解决系统的性能问题，推进系统的性能优化，推进系统高并发、高可用的特性实现。任职资格：1、良好的沟通能力、分析能力和解决问题能力；2、具有3年以上银行、金融行业系统研发经验；3、计算机或者金融相关专业背景，统招本科及以上学历；4、JAVA基础扎实，对JVM原理有一定了解；5、熟悉分布式系统常用技术，如SpringMVC、MyBatis、Dubbo、Redis、MQ、Zookeeper等；6、熟悉大数据技术，如Spark、Hadoop、Flink、Tensorflow等；7、熟悉数据库技术，拥有较好的数据库设计能力，熟悉MySQL、Oracle之一；8、985/211高校毕业生优先；9、有一线互联网或金融机构科技工作经验优先；10、有人工智能、大数据系统研发经验优先。,"金融,数据服务",150-500人,人工智能,东莞
视觉软件工程师,https://www.lagou.com/jobs/6900042.html,东莞市市辖区,10k-20k,广东思沃激光科技有限公司,3-5年,本科,岗位晋升、发展空间大、年终分红、带薪年假,职位描述：1、机器视觉系统方案设计、技术预研以及现有算法优化与维护；2、图形、图像相关的算法开发。任职要求：1、本科及以上学历，模式识别、图像处理、机器视觉、人工智能、数学等专业；博士优先考虑；2、精通图像处理算法快速验证；3、具有扎实的计算机图形/图像处理的相关的理论基础；4、有从事图像/图像处理算法设计和开发经验的优先；5、工作敬业有激情，具有良好的沟通协调能力和团队合作精神。,其他,15-50人,人工智能,东莞
乐高老师,https://www.lagou.com/jobs/7202047.html,东莞市市辖区,4k-8k,东莞翊丞科技有限公司,1-3年,大专,待遇高工作氛围好高档小区居住学习机会多,1、熟悉并掌握乐高EV3、wedo课程，教授7-13岁儿童乐高课程；2、教具要准备充分，课前有教案，对课程要熟知，对教具有清晰了解；3、编写教案，做到有课必有教案；4、了解每个会员的状况，定期与家长进行沟通；5、专科及以上学历，电子工程、物联网、人工智能、计算机、物理、机械、自动控制等相关专业优先；6、抗压能力，学习力佳，团队意识强；有亲和力、有责任心，动手能力、逻辑思维能力比较强。,教育 文化娱乐,15-50人,人工智能,东莞
销售顾问,https://www.lagou.com/jobs/7096035.html,东莞市市辖区,15k-25k,成都晓多科技有限公司,不限,不限,《AI智能领域》高薪，红利期，朝阳,《AI智能领域》高薪，红利期，朝阳★工作内容（我需要做什么）：​​​​​​​1、开发客户：1）通过线上搜集目标客户的基本信息及联系方式​​​​​​​，淘宝，天猫，京东等找客户（公司也会发主动咨询的资源），用表格登记好；​2）通过线下上门拜访目标客户，直接跟老板交谈，进行需求挖掘+引起合作兴趣+判断合作意向​​​​​​入职前期：1）入职培训。2）安排跟实施技术人员到客户现场做项目，全方位了解产品所有流程；3）安排师傅带着你跑，巩固你的如何开场白，产品介绍，挖需求等所有流程；4）自己尝试独立跑，有碰到问题随时沟通，有师傅跟着2、跟进客户：对意向客户进行回访推进，借助公司技术部门及主管的陪访将意向客户促成合作​​​​3、维护客户：对自己的合作客户进行客情维护和部分的售后服务​​​​​​​4、学习成长：参与公司与团队的培训和活动，从中吸收知识经验同时输出自己的成功经验和方法​​★待遇回报（我们能提供给你什么）​​​​​​​：1、高不设上限的收入：高于阿里巴巴和行业内同类岗位的基本工资和总收入，年薪20-72W，全国top最高月薪30万！​​​​​​2、非常完善的福利：无责任底薪+提成+交通补贴+话费补贴+五险一金，平时聚餐、生日派对、季度旅游、体检...​​​​3、自我能力提升：阿里巴巴中供铁军销售的成长轨迹​​4、前景好的业务：我们的电商智能客服机器人业务是近年增长和发展潜力最大的业务之一​​​​​​6、强产品竞争力：我们的AI智能客服机器人在行业内秒杀95%以上的友商和竞品对手​​​​​​7、有意义的工作：99.9%的客户满意度和好评​​​​​​8、弹性工作时间：上下班无须打卡，工作时间安排由自己决定​​​​​​9、良好工作氛围：我们有阿里巴巴中供铁军早期的兄弟情氛围，简单快乐10、扁平化的管理：销售管理层均为扁平化沟通的8090后，没有繁琐的办公室政治文化和工作关系★任职要求（我们想要的人）：​​​​​​​1、目标性强：明确自己为什么选择做销售，现阶段愿意为更高收入和更快成长付出更多时间​​​​​2、渴望挑战年薪30万以上或月薪3万以上（注：本公司的销售大咖收入远在这个收入水平之上）​​​3、1年以上的互联网产品直销工作经验​​​​​​​​4、有电商ERP和Saas产品销售经验、阿里巴巴诚信通直销经验、天猫或淘宝代运营销售经验、电商客服外包销售经验等优先录用​​​​5、性格开朗和健谈，擅于陌拜​​​​​​​​和面销6、敢于面对高压力、高强度和快节奏的工作​​​​​​​​7、团队配合意识强，执行力强，服从公司和上级的安排​​​​​​​​8、全日制统招专科以上学历，销售经验丰富者可放宽条件​​​​​★公司介绍（我们是谁）:1、公司简介：https://www.xiaoduoai.com（详细）​​​​​​​成都晓多科技有限公司核心团队由来自百度NLP和京东JIMI机器人团队的人工智能专家组成，毕业于北京大学、复旦大学、斯坦福大学等世界知名高校。团队在自然语言处理和机器学习领域有超过十年的理论和工程实践积累，拥有数十项自有知识产权和发明专利，并与哥伦比亚大学信息处理实验室开展联合研究。创立之初即获得百度“创始七剑”之一王啸天使投资。晓多率先将人工智能技术在客户服务领域落地，并实现产品化和商业化，目前已覆盖电商、金融、医美、运营商等行业，包括美团、京东金融、中国电信、天猫精灵、微店、极米、老板电器、迪卡侬、雀氏、加拿大CIK通信公司、美呗等知名企业​2、产品业务：针对电商B2C卖家提高客服效率降低人工成本，提供SAAS版AI客服​3、产品特色：40多个行业模型大数据积累，能语义理解并多轮会话的人机协同模式。4、核心团队：百度NLP核心技术团队+阿里巴巴B2B管理团队​​​​​​​​​5、公司规模：全国有五个大区，遍布在北京、上海、广州、深圳、杭州、南京、郑州厦门等200多个城市​​​​​​​6、融资情况：B+轮上亿，市场估值十几亿。,"企业服务,数据服务",500-2000人,人工智能,东莞
研发部主管,https://www.lagou.com/jobs/6809225.html,东莞市市辖区,15k-20k,东莞市龙之门教育科技有限公司,5-10年,本科,高薪,1、负责项目系统分析和构架设计，参与开发，组织团队培训；2、全程参与软件项目的需求分析、设计、及测试等几个阶段； 3、负责软件质量管理，负责保障代码质量，软件项目的持续优化、改进工作； 4、负责技术难题攻关、组织技术积累、分析并解决软件开发过程中的问题； 任职资格：1、本科以上学历硕士优先，软件工程、计算机科学与技术等相关专业； 2、5年以上的项目系统分析和架构设计经验，具有丰富的产品研发经验，最少成功主导1个大型软件平台架构设计； 3、具有海量数据及高并发系统设计经验； 4、在以下领域具备扎实的理论基础和实践经验：(1)人工智能：机器学习、模式识别、专家系统、最优化算法、人机交互；(2)大数据：软硬件平台(含数据库) 架设与管理或大数据分析(数据挖掘)算法；性格要求： 1、有出色的团队协调能力；2、性格开朗、积极向上，良好的沟通能力； 3、高度的敬业精神，以目标为导向，执行力强，自律性高，能承受一定的工作压力。,教育,15-50人,人工智能,东莞
