job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
销售经理,https://www.lagou.com/jobs/7178079.html,呈贡区,15k-25k,杭州微洱网络科技有限公司,1-3年,大专,人工智能 高薪 新兴行业,此岗位为授权代理商岗位岗位职责： 聪明，皮实，自省，本科及以上学历，销冠优先，这个岗位为想回乡创业提供一线城市待遇和**未来智能Saas项目，同时又想有个人职业升级的同学和朋友提供快速通道 1、负责小微智能重点客户的业务发展，以客户生意可持续发展为目标，通过专业能力和对客户敏感度的把握，深入挖掘客户需求，为客户提供高效的电商商铺运营，营销和服务解决方案。 2、基于客户体质和行业产地等情况，深度服务电商客户，实现客户价值和营收目标。 3、基于对电商智能化的深入理解和运营，结合客户需求和痛点，针对性的进行售卖。 4、针对不同体质类型商家，提供快速有效的高效服务和指导，有效帮助客户提高智能化运营能力。岗位要求： 1、全日制大专及以上学历，具备一年以上销售工作经验或者电商相关工作经验，创业者经验优先。 2、出色的学习能力及体系化思考能力，适应人工智能行业的快速发展。 3、有良好的过程管理方法和习惯，自我驱动和抗压性好，能够乐观快速的适应环境变化。 4、喜欢自我挑战，精力充沛，具备在高强压力下出色完成任务的能力。 5、具备B类客户批量服务和销售能力，有一定的运营思维和能力。薪资无责任底薪5-8k+提成,"电商,社交",50-150人,人工智能,昆明
高级项目经理,https://www.lagou.com/jobs/7161210.html,西山区,10k-15k,北京联海科技有限公司,5-10年,本科,五险一金、绩效奖金、节日福利,（1）电子信息、计算机等专业优先；（2）工作经历丰富，具备系统开发、集成及项目管理等经验，具备3-5年及以上项目管理经历，有安防行业项目经验者优先；（3）具备大数据、人工智能等相关技术知识，有大型项目经验者优先，有高新企业从业经历者优先；（4）对项目管理专业体系和相关过程有清晰的知识掌握，有项目管理相关资质证书者优先；（5）具备优秀的客户沟通能力、统筹协调能力、资源管理能力、成本管控能力；（6）吃苦耐劳，人品正直；（7）负责与客户沟通对接，获取项目需求、反馈项目情况；（8）负责客户项目的售前、中、后的实施管理工作；（9）负责相关领域产品、系统、技术、理念及政策资源的整合工作。,"移动互联网,数据服务",50-150人,人工智能,昆明
高级商务经理,https://www.lagou.com/jobs/7148928.html,西山区,5k-8k,北京联海科技有限公司,3-5年,本科,五险一金、绩效奖金、节日福利,（1）工作经历丰富，熟悉市场营销、客户关系管理、渠道管理等，有安防行业资源者优先；（2）了解大数据、人工智能等相关知识，有大数据、人工智能等从业经历者优先；（3）具备项目立项、招标、投标、商务谈判、合同签订等经验，有安防项目经验者优先；（4）具备较强的客户沟通能力、语言表达能力、逻辑思维能力等；（5）吃苦耐劳，人品正直，具备承受一定工作压力的能力；（6）负责客户关系管理、维护工作，负责制定客户渠道拓展工作计划； （7）负责项目需求报告、立项、可研、初设、建设、招投标等方案工作；（8）负责制定目标客户的市场推广和宣传工作计划，与客户对接项目需求、讲解设计理念和建设方案等工作。,"移动互联网,数据服务",50-150人,人工智能,昆明
python开发工程师,https://www.lagou.com/jobs/7192514.html,五华区,8k-11k,云南开屏信息技术有限责任公司,1-3年,大专,五险一金、中餐补助、绩效、员工体检,职责描述：1、能够准确理解产品需求，负责爬虫平台功能开发和优化；2、设计和建立相关云平台和数据设施；3、搭建系统开发环境，完成系统框架和核心代码的实现，负责解决开发过程中相关的技术问题；4、参与软件工程文档、产品文档编写，满足产品需求；解决项目中遇到的相关问题，进行系统功能优化，保证系统安全、稳定和快速运行。任职要求：1、大学本科及以上学历，3年以上相关工作经验，熟练掌握python语言，以及前端爬虫的基础知识；2、熟练掌握主流框架，精通TensorFlow框架；3、熟悉人工智能中机器学习算法、深度学习算法，如：RF、SVM、DNN算法等。4、有一定的运维经验，善于分析定位和解决问题，了解数据库性能调优；5、具有良好的团队精神和沟通能力，责任心强，善于沟通和合作，能够独立完成工作。,文化娱乐 移动互联网,15-50人,人工智能,昆明
数据挖掘工程师,https://www.lagou.com/jobs/6646429.html,官渡区,10k-20k,美林数据技术股份有限公司,3-5年,本科,自主研发 公司平台大 福利好,技能要求：机器学习，人工智能，数据分析，Python【岗位职责】1.负责售前客户提出需求的业务分析、咨询；2.负责客户需求落地解决方案的编写；3.数据分析类项目业务数据分析，利用数据挖掘算法形成业务模型，指导落地；【岗位要求】1.计算机、电子、通信、数学、统计学等相关专业，硕士及以上的学历，一年以上相关工作经验。2.熟练掌握各类机器学习/深度学习算法在相关领域应用；3.熟练掌握数据分析工具，如Python、spss、sas、R语言、SQL等；4.善于沟通交流，具备较好职业素养5.具有电力行业数据挖掘经验者优先考虑,"数据服务,金融",500-2000人,人工智能,昆明
招生老师,https://www.lagou.com/jobs/6820745.html,五华区,6k-12k,成都爱贝斯教育咨询有限公司资阳分公司,不限,大专,无责底薪3000加提成  收入高,爱贝斯教育集团现有学员5万余名，直营校区100余家，覆盖云，贵，川，陕等十余省份。专业从事3-12岁阅读英语AI人工智能教学 集团第六分公司第二运营中心负责昆明九家校区运营工作，现统筹安排昆明二校五华区江东校区面向社会招聘人才。校区位于五华区和谐家园A座201（地铁羊肠村站300米中华小学书香门第校区斜对面），面向社会招聘市场部招生老师/课程顾问。工作简单，工作时间8小时，有寒暑假，五险一金，待遇优厚，提成点高。招生老师/课程顾问   职位要求:1 个性开朗 ，自信，喜欢和人交流2 口齿伶俐 能清晰介绍校区课程3 向不了解爱贝斯教育模式的家长宣传爱贝斯教育特点，邀请参加试听课4 工作内容简单，工作模式为团队协作 能适应团队生活 集团可提供住宿5 集团公司系统培训体系 接受实习生 应届生 有无经验皆可。6 集团不接受在职人员投递简历。7 工作简单 工作环境好 团队氛围轻松简单 工作收入稳定,教育,500-2000人,人工智能,昆明
知识库&amp;机器人训练师,https://www.lagou.com/jobs/6617787.html,呈贡区,5k-8k,云南红岭云科技股份有限公司,1-3年,本科,五险一金、职能晋升、法定节假日。,岗位职责1.负责搭建智能客服后台知识库，对智能机器人线上整体数据负责，通过配置、优化规则持续提高智能机器人回复准确率；2.搭建行业知识库，并完成机器人教育，训练模型，优化模型效果；对机器人服务问题进行数据统计、分类和分析并提出改进和优化意见；3.机器人、知识库优化运营工作：逻辑规则建设和配置处理，包括知识上下线、新增和修改，提高解决率及转化率。4.运营数据检测及机器人日常行为分析，根据机器人对话明细数据进行数据分析并指导优化，对运营平台和智能客服系统持续提出改进和优化需求。5.本科及其以上，语言、编程等相关专业，男女不限；6.积极热情、爱岗敬业、学习能力强，良好的逻辑思维能力和场景想象能力；7.有较好的逻辑分析能力和一定的文字处理功底；8.可熟练操作office、callcenter系统、机器人后台管理系统、AI智能后台系统等软件的经验；9.对人工智能行业有一定的了解，具有知识库维护经验或者设计、更新智能客服全流程经验的优先录用，接受应届毕业生投递简历，全方位实施人才培养计划。    岗位要求1. 本科及其以上，语言、编程等相关专业，男女不限；2. 积极热情、爱岗敬业、学习能力强，良好的逻辑思维能力和场景想象能力；3. 有较好的逻辑分析能力和一定的文字处理功底；4. 可熟练操作office、callcenter系统、机器人后台管理系统、AI智能后台系统等软件的经验；5. 对人工智能行业有一定的了解，具有知识库维护经验或者设计、更新智能客服全流程经验的优先录用，接受应届毕业生投递简历，全方位实施人才培养计划。,"数据服务,移动互联网",50-150人,人工智能,昆明
大数据分析工程师,https://www.lagou.com/jobs/6618368.html,呈贡区,8k-15k,云南红岭云科技股份有限公司,1-3年,本科,五险一金、职能晋升、法定节假日。,岗位职责1.大数据平台的调研、实施和维护，还有相应技术方案完善；数据处理流程的自动化方式实现；2.数据收集、预处理、特征提取、数据统计分析等工作；3.根据工作能力可进一步从事数据挖掘数据建模工作。    岗位要求1.**学历全日制统招本科及以上学历，计算机和数理相关专业；2.一年以上大数据类程序员工作经验并具有扎实的编程能力、计算机基础。熟悉Linux和Shell，熟练Python或R，会C、C++，会Java、Scala、SQL的一种或几种；使用过大数据平台，了解hadoop生态，如hadoop、storm、hive、spark、Kafka等，了解MySQL、Oracle等数据库；3.具有编程化思维方式，善于将人工实现转为自动化实现；能独立分析问题、解决问题；良好4.团队协作精神；具有良好的学习能力和热情；5.有ETL工作经验者优先考虑；6.有BI类、统计类软件使用经验者优先考虑；7.有人工智能、机器学习、自然语言处理等经验者优先考虑。,"数据服务,移动互联网",50-150人,人工智能,昆明
招生老师课程顾问,https://www.lagou.com/jobs/6403443.html,五华区,5k-8k,成都爱贝斯教育咨询有限公司,不限,大专,100余家直营校区，待遇优厚，提成点高。,爱贝斯教育集团现有学员5万余名，直营校区100余家，覆盖云，贵，川，陕等十余省份。专业从事3-12岁阅读英语AI人工智能教学 集团第六分公司第二运营中心负责昆明九家校区运营工作，现统筹安排昆明二校五华区江东校区面向社会招聘人才。校区位于五华区和谐家园A座201（地铁羊肠村站300米中华小学书香门第校区斜对面），面向社会招聘市场部招生老师/课程顾问。工作简单，工作时间8小时，有寒暑假，五险一金，待遇优厚，提成点高。招生老师/课程顾问   职位要求:1 个性开朗 ，自信，喜欢和人交流2 口齿伶俐 能清晰介绍校区课程3 向不了解爱贝斯教育模式的家长宣传爱贝斯教育特点，邀请参加试听课4 工作内容简单，工作模式为团队协作 能适应团队生活 集团可提供住宿5 集团公司系统培训体系 接受实习生 应届生 有无经验皆可。6 集团不接受在职人员投递简历。7 工作简单 工作环境好 团队氛围轻松简单 工作收入稳定,教育,500-2000人,人工智能,昆明
教育顾问,https://www.lagou.com/jobs/6819594.html,五华区,5k-8k,成都爱贝斯教育咨询有限公司,不限,不限,培训多，成长快，福利好，氛围好。,爱贝斯教育集团现有学员5万余名，直营校区100余家，覆盖云，贵，川，陕等十余省份。专业从事3-12岁阅读英语AI人工智能教学集团第六分公司第二运营中心负责昆明九家校区运营工作，现统筹安排昆明二校五华区江东校区面向社会招聘人才。校区位于五华区和谐家园A座201（地铁羊肠村站300米中华小学书香门第校区斜对面），面向社会招聘市场部招生老师/课程顾问。工作简单，工作时间8小时，有寒暑假，五险一金，待遇优厚，提成点高。招生老师/课程顾问 职位要求:1 个性开朗 ，自信，喜欢和人交流2 口齿伶俐 能清晰介绍校区课程3 向不了解爱贝斯教育模式的家长宣传爱贝斯教育特点，邀请参加试听课4 工作内容简单，工作模式为团队协作 能适应团队生活 集团可提供住宿5 集团公司系统培训体系 接受实习生 应届生 有无经验皆可。6 集团不接受在职人员投递简历。7 工作简单 工作环境好 团队氛围轻松简单 工作收入稳定。,教育,500-2000人,人工智能,昆明
