job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
课程教研（数据科学&amp;人工智能方向,https://www.lagou.com/jobs/7202485.html,滨江区,10k-20k,网易（杭州）网络有限公司,3-5年,本科,云课堂产品,,电商,2000人以上,人工智能,杭州
机器学习/人工智能/算法（博士）,https://www.lagou.com/jobs/7162553.html,余杭区,20k-30k,杭州同花顺数据开发有限公司,应届毕业生,博士,五险一金，免费食堂，班车接送，金融科技,"招聘要求：额外有企业补助奖金。1.品学兼优，身体健康，无任何不良记录； 2.处于35周岁以下、获得博士学位一般不超过三年。 3.所学专业、博士阶段研究工作与人工智能、金融智能或者智能医疗相关，或对所报研究有足够的学科背景支持和一定的研究积累与想法； 4.全脱产在本站从事博士后研究工作,具备独立开展工作和解决问题能力。 研究方向： 1.人工智能前沿理论及算法研究：新型机器学习、语音处理、计算机视觉、数据分析与挖掘、自然语言处理、知识表达与机器推理、多媒体及图形学等。 2.金融科技研究:开展信息科学与金融领域的交叉研究，利用人工智能、大数据、云计算、区块链等创新技术，提升金融业的整体效率和竞争力。 3.智能医疗研究：医学影像分析、医疗大数据与挖掘、智能诊断等。","金融,电商",2000人以上,人工智能,杭州
人工智能训练师,https://www.lagou.com/jobs/6036954.html,萧山区,10k-20k,杭州一知智能科技有限公司,3-5年,本科,环境好 发展快,岗位职责：1、通过算法聚类、标注分析等方式，从数据中提取行业特征场景，并结合行业知识，提供表达精准、逻辑清晰的数据标注规则，最终确保数据训练效果能满足产品的需求；2、参与模型搭建和数据验收，并负责核心指标和数据的日常跟踪维护；3、根据细分领域的数据应用要求，从已有数据中挑选符合要求的通用数据（适用于同领域内不同客户/用户），形成数据的沉淀和积累；4、根据项目要求训练及测试机器人。任职资格：如果你符合其中的一条，欢迎来撩~1、从事过2年以上知识库维护经验或者智能客服经验丰富的，金融或电商行业背景优先；2、汉语言文学/语言学及应用语言学，对语言文字处理有浓厚兴趣；3、1年以上数据分析或互联网产品经理经验，理工科背景优先；4、人力资源相关从业经验，有过SSC经验的优先；5、具有良好的学习能力、沟通表达能力、理解能力和逻辑思维能力。职业发展途径：产品经理/行业专家/项目经理/数据专家等,"移动互联网,数据服务",50-150人,人工智能,杭州
AI人工智能—大客户销售,https://www.lagou.com/jobs/6178167.html,余杭区,10k-20k,杭州同花顺数据开发有限公司,应届毕业生,本科,人工智能 免费中晚餐 健身房 17薪,互联网金融行业top龙头企业，2009年深交所上市、目前公司员工4000人+、齐全的产业线（2B、2C均有涉及）、2018年注册用户3.8亿+；同花顺-AI人工智能事业部-大客户销售新行业新领域的开拓和探索、”攻坚“”破冰“产品：AI语音机器人（智能客服&智能外呼&智能质检系统）；解决方案式、项目型；客户群体主要是非券商非基金领域；岗位要求1) 拥有2年及其以上2B端销售经验，过往经历销售业绩突出，涉及过解决方案式it软件特别是大数据、AI人工智能相关产品优先考虑；2) 具备一定的行业资源，能够迅速打开局面产生收益；3) 具有面向目标行业客户的产品营销经验，具备良好的沟通交流和市场分析能力，善于挖掘潜在客户；4) 单兵作战能力突出，能够独当一面，形成行业标杆客户；,"金融,电商",2000人以上,人工智能,杭州
人工智能算法架构师,https://www.lagou.com/jobs/5557079.html,西湖区,30k-60k,虹软科技股份有限公司,5-10年,硕士,AI行业风口、,5年以上算法研究项目经验数学功底深厚，精通C/C++精通所在研究方向或有产品化经验,"人工智能,物联网",500-2000人,人工智能,杭州
人工智能训练师,https://www.lagou.com/jobs/7080836.html,西湖区,4k-8k,杭州艾耕科技有限公司,应届毕业生,本科,下午茶、免费健身、AI前景、技术大牛,你想参与人工智能的浪潮吗？你甘于在大企业里做个小螺丝钉吗？你想实际参与人工智能产品的建设吗？你想与**的科学家一起学习交流吗？那就加入我们吧！！！AI前景好，双休，优先转正机会，技术大牛超多哦 ～ 岗位职责：1、从行业数据中提取知识结构和逻辑，参与数据标注规则制定，确保数据训练效果满足产品需求； 2、根据指定的规则，对相关行业内容数据进行标注；3、参与模型、模版搭建和数据验收，并负责数据的跟踪和维护；  4、根据项目要求训练及测试模型和模版；5、了解AI产品的形成逻辑，并提出产品的优化建议。 任职资格：1、统招本科以上学历，文理科皆可；2、对AI充满好奇，对数据敏感，细致踏实，有较强的逻辑分析能力；3、学习能力强，在工作中不断总结，能快速掌握项目管理和运营的方法；4、踏实、靠谱、认真、负责、皮实；5、实习时间：每周不低于4天，不低于3个月； 职业发展途径：1、人工智能训练师—助理产品经理—产品经理2、人工智能训练师—项目经理—行业专家3、人工智能训练师—数据工程师—数据专家,"移动互联网,数据服务",150-500人,人工智能,杭州
人工智能训练师02-14-04,https://www.lagou.com/jobs/5928210.html,余杭区,8k-13k,杭州大搜车汽车服务有限公司,1-3年,本科,餐补，带薪年假，节日礼品，定期体检,【岗位职责】1.负责”智能机器人“语料相关的采集、录制、标注、验收等工作；2.挖掘客户语音和文本类的语料，通过算法聚类，标注分析等方式提取行业特征场景、并结合行业知识提供合理的解决方案；3.参与模型搭建和测评体验，并负责核心指标的日常跟踪维护；4.负责核心客户的核心指标跟踪维护，并能提炼成功案例提供给运营，赋能更多客户；5.联合技术、产品、运营等团队共同优化“智能机器人”相关产品的智能体验，保障客户满意度。【任职要求】1.业务能力：有较扎实的乘用车的行业知识或车商的运营经验；2.数据能力：逻辑思维能力强，能有科学的数据获取方法论；3.分析能力：注重产品价值和效果反馈，及时发现和提炼问题特征，并能提出优化方案和建议，帮助人工智能产品提升性能；4.运营能力：用智能化的思维扩展”智能机器人“的相关业务，用平台化方式输出和赋能合作伙伴；5.项目能力：具备较强的项目管理推动和沟通能力，能独立统筹并推动项目进行，推动产品的一系列运营；6.有2年以上客服经验者优先，有乘用车行业客户服务经验者更加优先。,汽车丨出行,2000人以上,人工智能,杭州
人工智能研发工程师,https://www.lagou.com/jobs/4288442.html,西湖区,25k-50k,支付宝（杭州）信息技术有限公司,3-5年,本科,"人工智能,机器学习,算法",在这里，你能为蚂蚁金服的智能金融机器人、运营决策大脑、全网舆情、信息风险管控、财资挖掘等高精尖前沿应用添砖加瓦；在这里，你能手握真实的海量用户数据利用各种大数据和算法技术反复把玩；在这里，你能遇见一群有情有义的创客，远离办公室政治，大家一起享受攻坚后的喜悦，品味失败后的苦涩，职业生涯****的回忆；你将和我们携手探索智能运营的无限可能和广阔前景。1. 支持业务团队进行人工智能应用创新2. 负责人工智能平台产品或数据共创平台产品的各个生命周期，对用户负责，产出安全、稳定、易用和低成本的产品。3. 在产品预研，开发，发布和迭代的过程中负责各个关联团队之间的交流与合作，确保合作的畅通与高效。岗位要求:有企业级软件产品设计（SAS、IBM、Microsoft）经验。兼有互联网产品设计经验者优先。以前有过A/B测试，数据挖掘工具、模型管理平台设计和使用经验的人优先有较强的场景抽象能力，有架构师工作经验者优先。熟悉大数据、云计算、大型分布式系统的技术架构，有数据相关经验优先。熟悉各行业大数据应用场景，有数据仓库、BI、数据挖掘等方面的工作经验者优先。善于沟通，有极强的跨团队协作能力和执行力。,"金融,移动互联网",2000人以上,人工智能,杭州
Atlas人工智能计算平台软件开发工程师,https://www.lagou.com/jobs/6775266.html,滨江区,20k-40k,华为技术有限公司,3-5年,硕士,战略投入方向，待遇丰厚，发展前景广阔,岗位职责    参与其中一项工作1、参与华为Atlas人工智能计算平台和平台中间层的设计、开发和测试，包括边云协同、双机热备、视频接入、转发、存储等特性。2、指导客户进行基于Atlas人工智能计算平台的业务软件迁移，包括需求澄清，方案分析，软件移植，性能优化等。负责设计、编写、测试SDK的Sample和Demo代码，输出开发文档，技术手册，案例等，支持用户实现高效率、高质量、高性能的业务开发    岗位要求    1、精通C\C++\python语言编程至少一种，有扎实的算法及数据结构基础，有良好的编程习惯。2、熟悉linux下的软件开发，熟悉gcc gdb等编译调试工具。,通讯电子,2000人以上,人工智能,杭州
人工智能计算平台软件开发工程师,https://www.lagou.com/jobs/6726620.html,滨江区,20k-40k,华为技术有限公司,3-5年,本科,股票期权，年终奖，绩效奖金，热门行业,"岗位职责： 1、负责Atlas人工智能平台产品与解决方案软件开发，能独立承担相关软件产品或模块的代码编写、单元测试， 静态检查、系统测试、代码检视、问题定位等工作，保证代码可信、高质量交付； 2、负责特性/子系统设计文档和接口输出、模块架构看护与优化； 3、负责产品竞争力构建,完成特性性能优化、新特性技术预研、DFX等特性交付  技能要求： 1、熟悉Linux系统,熟悉Linux下软件开发及测试，熟悉多线程/多进程程序开发，对异步、并发技术有深入理解；熟悉makefile，gcc/g++等工具； 2、扎实的编程基础，精通C/C++发语言，熟悉python； 3、具备较强的理解和分析需求能力，能将功能需求转化为设计方案并落地 4、有AI机器学习、深度学习应用开发经验，熟悉tensorflow/caffe/pytorch框架者优先。",通讯电子,2000人以上,人工智能,杭州
人工智能结果页-JAVA开发/资深JAVA开发,https://www.lagou.com/jobs/6962228.html,余杭区,15k-30k,浙江核新同花顺网络信息股份有限公司,不限,本科,上市公司 新业务方向 技术视野和成长,同花顺-AI人工智能事业部-人工智能结果页-JAVA开发工程师/资深JAVA开发工程师1、项目背景：同花顺人工智能投资项目利用自然语言解析、大数据、机器学习等人工智能技术，建立开放高效的投资研究平台。该平台将满足投资者在证券投资研究过程中高效处理信息、快速寻找投资机会的强烈需求；2、项目成果：i问财项目已经上线、目前同花顺的NLP在财经领域的应用已属top、多轮对话、产品功能落地页等，日活UV几百万；3、团队背景：目前整个同花顺4000人+，AI人工智能团队500人+，项目组17人，前端开发+后端开发+平台开发+内容运营，配备完全；项目组主要做：基于内容大数据的智能生产、解决业务功能的大并发和安全等问题，同时整合内部数据接口；我们目前普通JAVA开发、资深JAVA以及架构师等不同段位的人选都是在招聘的；我们会根据人选的自身水平来安排工作事宜；例如：稍微浅一点的人选，入职会先从内容业务相关的开发开始，后面也需要参与整个结果页系统架构的开发及维护，这两块都需要与AI算法打交道，需要了解算法相关的原理，才能做到算法与垂类和架构的融合；,金融,2000人以上,人工智能,杭州
人工智能培训师,https://www.lagou.com/jobs/6785571.html,滨江区,15k-25k,浙江华为通信技术有限公司,3-5年,本科,上接学术前沿，下达各类行业真实场景,工作职责：从事人工智能相关培训，开发工作。可能方向机器学习，深度学习，语音识别，ai芯片。工作要求：1. 熟悉人工智能相关算法，熟悉机器学习，深度学习，有过语音识别，ai芯片的经验的优先。2. 有一定的英文能力,"移动互联网,教育",500-2000人,人工智能,杭州
阿里人工智能实验室-Java高级开发工程师/专家,https://www.lagou.com/jobs/5219865.html,余杭区,25k-50k,阿里巴巴（中国）网络技术有限公司,3-5年,本科,"人工智能,黑科技","1. 负责人工智能实验室的产品架构、规划、设计、开发； 包括黑科技的产品化落地、领域建设、行业建设、AR开放平台、AliGenie开放平台、引擎管理等。2. 完成重要业务模块及核心代码框架的搭建及实现。职位要求：1. 3年及以上使用JAVA开发的经验，基础扎实，理解IO、多线程、集合等基础框架。对JVM原理有一定的了解，对Spring, MyBatis等开源框架熟悉；拥抱开源，喜欢阅读开源源码。2. 具备优秀的架构设计能力。3. 熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制；能对分布式常用技术进行合理应用，解决问题。4. 掌握多线程及高性能的设计与编码及性能调优；有高并发应用开发经验。5. 掌握Linux 操作系统和大型数据库（Oracle、MySQL）；对SQL优化有丰富的经验。6. 学习能力强，适应能力好，有强烈的责任心，具备耐心/细心的品质。加分项：1. 熟悉Lucene/Redis/Docker/Mesos/Hadoop等开源技术，开源社区活跃者优先。2. 有基于TensorFlow/MXNet/Caffe研发深度学习算法经验者优先。3.有搜索、推荐、数据存储或者其他大型分布式系统的工程开发经历者优先。",电商,2000人以上,人工智能,杭州
AI人工智能数据处理图像标注（实习生）,https://www.lagou.com/jobs/6913783.html,西湖区,3k-5k,杭州英歌智达科技有限公司,应届毕业生,大专,社保公积金餐补带薪年假员工旅游周末双休,任务描述：负责对多个相关开源图像数据集的整合1、了解各大相关的开源数据集，并下载，不少于5个重要的数据集。2、合并数据集。3、获取部分网站数据并进行简单的图像处理（可培训，有师傅指导）。4、图像标注整理。技能要求：1、专科及研究生以上学历，能够阅读国外英文网站。2、具备一点编程基础，主要进行图片，文档字段的处理，可用python/matlab/c++/java等任意一种（可培训，有师傅指导）。3、具备图像处理基础优先考虑。该职位同时接受寒假实习和长期实习。,"人工智能,软件开发",15-50人,人工智能,杭州
人工智能测试(实习生）,https://www.lagou.com/jobs/6913770.html,西湖区,3k-5k,杭州英歌智达科技有限公司,应届毕业生,本科,社保公积金餐补带薪年假员工旅游周末双休,职位描述：本岗位是招聘实习生岗位。任务描述：负责对多个相关开源图像数据集的整合1、了解各大相关的开源数据集，并下载，不少于5个重要的数据集。2、合并数据集。3、获取部分网站数据并进行简单的图像处理（可培训，有师傅指导）。技能要求：1、专科及研究生以上学历，能够阅读国外英文网站。2、具备一点编程基础，主要进行图片，文档字段的处理，可用python/matlab/c++/java等任意一种（可培训，有师傅指导）。3、具备图像处理基础优先考虑。4、一周实习时间可商量。该职位接受寒假实习。,"人工智能,软件开发",15-50人,人工智能,杭州
人工智能训练师,https://www.lagou.com/jobs/7043486.html,余杭区,6k-10k,杭州微洱网络科技有限公司,1-3年,大专,双休，五险一金，年终奖,岗位描述：1.负责机器人客服后台优化，提高覆盖率，准确率，优化话术。2.负责与商家对接，处理商家遇到的问题。3.负责产品优化，提出有价值的优化方案。任职要求：1.责任心强，抗压能力强，乐观皮实。2.有电商客服、客服主管工作经验，使用过客服机器人优先考虑。3.有一定的数据分析能力，精通wps，对数据敏感。4.学习能力强，可接受出差，有良好的沟通能力。岗位需求关键词有责任心，皮实，能抗压，有智慧，有好奇心，上进心,"电商,社交",50-150人,人工智能,杭州
人工智能训练师,https://www.lagou.com/jobs/7045882.html,余杭区,5k-8k,杭州微洱网络科技有限公司,1-3年,不限,人工智能,岗位职责要求1、责任心强，抗压能力强，乐观皮实2、有行业相关配置或优化经验的优先3、有一定的数据分析能力，精通wps，对数据敏感4、学习能力强，可接受出差，有良好的沟通能力岗位需求关键词有责任心，皮实，能抗压，有智慧，有好奇心，上进心,"电商,社交",50-150人,人工智能,杭州
机器学习算法研发,https://www.lagou.com/jobs/6228449.html,拱墅区,25k-45k,大箴（杭州）科技有限公司,3-5年,硕士,团队大牛多；年终分红；弹性工作,"岗位职责：1、负责商业智能领域用户画像标签及行业领域标签的开发；2、负责利用机器学习技术建模挖掘用户实体关系，行为轨迹；3、与自然语言处理算法研发紧密配合，搭建高质量的算法研发流程、模型和相关工具4、从系统应用的角度,结合数据中台，应用机器学习/深度学习的理论和方法解决实际问题。任职要求：1、在以下一个或多个领域达成一定的学习或研究成果：机器学习、深度学习、自然语言处理、用户画像、知识图谱；在**机器学习和AI领域会议和期刊有论文发表的优先；2、扎实的算法基础：熟悉算法相关理论，算法原理和机器学习基本理论，具备扎实良好的数学基础；3、在人工智能领域有一定的积累，能够从复杂的业务场景中进行算法选型、算法优化以及不断提升效果；并且能够真正应用在商业环境，成为商业智能的驱动者；4、java或Python基础扎实，熟悉hadoop、spark框架者尤佳； 5、在用户画像、知识图谱，自然语言处理等等领域有实际的开发和从业经验者优先；6、良好的团队合作意识，对技术饱有热情。","人工智能,企业服务",50-150人,人工智能,杭州
应用算法研发,https://www.lagou.com/jobs/6228468.html,拱墅区,25k-45k,大箴（杭州）科技有限公司,3-5年,硕士,团队大牛多；年终分红；弹性工作,"岗位职责：1、负责商业智能领域大数据的算法应用研发；2、负责利用机器学习方法业务应用模型的建立与实践开发,包括推荐、风控、人群定向等；3、与数据中台部门紧密配合，结合业务算法效果反馈，评估及优化用户画像及行业领域标签4、从系统应用的角度,利用机器学习的理论和方法解决实际问题。任职要求：1、在以下一个或多个领域深入研究：机器学习、深度学习、自然语言处理、对话机器人、舆情分析；在**机器学习和AI领域会议和期刊有论文发表的优先；2、扎实的算法基础：熟悉算法相关理论，算法原理和机器学习基本理论，具备扎实良好的数学基础；3、在人工智能领域有一定的积累，能够从复杂的业务场景中进行算法选型、算法优化以及不断提升效果；并且能够真正应用在商业环境，成为商业智能的驱动者；4、java或Python基础扎实，熟悉hadoop、spark框架者尤佳； 5、在搜索推荐、金融风控、文本检索、个性化广告等领域有实际的开发和从业经验者优先；6、良好的团队合作意识，对技术饱有热情。","人工智能,企业服务",50-150人,人工智能,杭州
