job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
.net(人工智能）,https://www.lagou.com/jobs/6944387.html,吴江区,8k-10k,厦门唐普信息技术有限公司,1-3年,大专,公司各项福利应有尽有，欢迎您的加入,"岗位职责：公司软件产品的开发及完成相应的迭代任务岗位要求:1、两年以上.NET MVC 开发工作经验；2、熟练掌握前端H5、C#、MVC、CS、MSSQL、B/S等开发技术3、熟练掌握Web前端开发技术，熟悉js、jQuery、HTML, Ajax, CSS；4、熟练掌握SQLServer等数据库开发，T-SQL查询、性能优化；5、熟练掌握现有.NET ， WEB API平台各种接口开发模式；6、具有较强的逻辑思维思想、学习新技术/新工具的能力和编码能力，有较强的责任心，注重工作效率；能独立完成开发任务。 7、有图像分析，图片识别，文字，语音识别分析，地图应用,人工智能等领域开发经验优先。8、有财务，采购，差旅，合约,HR管理等系统开发经验优先。","企业服务,数据服务",50-150人,人工智能,苏州
算法工程师,https://www.lagou.com/jobs/6758624.html,高新区,10k-20k,上海安硕信息技术股份有限公司,1-3年,不限,"牛人带队,领先优势,福利优厚,发展空间大",岗位要求：1、本科及以上学历，计算机、金融、数学、统计学等相关专业；2、1年及以上的相关工作经验，做过风控建模和人工智能项目优先；3、优秀的算法实现和工程能力，熟练掌握Java/Python/Scala等。岗位职责：1、负责设计人工智能核心架构方案，推进智能化金融产品的落地； 2、负责构建金融领域大数据、机器学习和深度学习训练系统； 3、参与公司新项目的评审，进行可行性评估并给予专业建议。,金融,2000人以上,人工智能,苏州
软件开发工程师 —苏州,https://www.lagou.com/jobs/6173434.html,工业园区,20k-40k,微软（中国）有限公司,不限,本科,职级开放，****,"软件开发工程师 (职级 open,招 SE, SEⅡ, senior SE)基本要求：1. 精通一种或多种通用编程语言（如C＃，Java，C， C ++，Python，Go等）2.  算法、数据结构3.英文沟通微软职位 苏州：Office 365；微软硬件团队北京：微软亚洲研究院/云计算与人工智能事业部/互联网工程院上海：云计算与人工智能事业部深圳：微软硬件团队面试流程：简历筛选-HR 沟通（20分钟）并直接推荐给Manager+1轮电话技术面试（45分钟-1小时）+4-5轮现场技术面试（45-60分钟/轮）苏州职位  (职级 open,招 SE, SEⅡ, senior SE，EM)后端1. Office 365（1年+经验，英文middle/strong）2.  Sharepoint（1年+经验，英文strong）移动端1. Outlook Mobile（1年+经验，英文middle）2.  Sharepoint（3年+经验，英文strong）Engineering Manager1. O365 (英文strong，3年+管理经验)2. Sharepoint (英文strong，3年+管理经验)","移动互联网,数据服务",2000人以上,人工智能,苏州
硬件工程师,https://www.lagou.com/jobs/7137185.html,工业园区,15k-20k,苏州思必驰信息科技有限公司,3-5年,本科,明星公司,职责描述：1.负责IoT各类产品硬件方案评估及设计，并完成相关文档的编写，输出；2.负责关键元器件选型以及生产对接，制定生产测试方案，优化生产效率；3.负责客户研发的硬件技术支持工作，协助完成产品的电路/声学结构设计以及测试整改；任职要求：1. 计算机、电子信息、自动化、机械电子类或其他电子类相关专业，本科以上学历；2. 有一定的声学基础或者人工智能语音相关工作经验更佳；3. 三年以上硬件设计经验，精通电路设计，掌握电子产品的设计理论和方法、具有产品量产出货的经验，熟练掌握常用的电子元器件的性能参数；4. 熟练使用Cadence软件，能够根据要求独立完成电路原理图与 PCB 图的设计；5. 具有良好的团队合作精神、动手能力、自学能力、独立解决问题的能力，乐观开朗、积极向上，心理素质好，可抗压。,企业服务,150-500人,人工智能,苏州
技术专家,https://www.lagou.com/jobs/7183588.html,吴中区,15k-25k,苏州工业园区凌志软件股份有限公司,5-10年,本科,上市公司，待遇优渥,AI1.作为技术专家，进行统计分析、机器学习、人工智能建模，支持软件开发领域的智能化应用落地。2. 根据产品项目需求设计出有效的算法，并进行深度优化，设计、指导和监督各种AI建模数据资源建设，实现项目与运营效率3.探索人工智能在人力资源领域的创新应用，对前沿算法进行研究分析。大数据1.作为技术带头人，带领数据科学团队进行大数据挖掘与建模项目研发；2.基于海量数据，应用先进的统计建模、数据挖掘、机器学习等方法建立项目开发的大数据模型，持续优化核心算法和代码实现，并推进大数据平台升级迭代；3.开拓前沿的挖掘分析与建模技术，落实数据产品的策略分析与设计规划；结合项目应用场景，探索业务创新模式；岗位要求：1、本科6年以上、硕士3年以上相关领域工作经验1、 计算机科学，统计学，数学或工程硕士及以上学位；2、 3年以上AI /大数据开发经验；3、 具备扎实的AI / ML和/或深度学习知识； 4、 具有在一个或多个常用ML框架（例如Keras，Tensorflow，Pytorch，MXNet等）中进行Python编码和调试的扎实经验； 5、 具有定制，重新训练和评估模型以解决领域特定问题的经验；6、 具有物联网/嵌入式系统（如车载DMS/ADAS、智能IP监控摄像头、智能家居等）的经验优先；7、 具有自动语音识别以及自然语言处理和理解的经验者优先；8、 具有良好的人际交往能力的团队合作者。,金融,2000人以上,人工智能,苏州
售前工程师,https://www.lagou.com/jobs/6597088.html,虎丘区,10k-15k,苏州南慧科技创新研究院有限公司,3-5年,本科,发展前景,职位描述：1.  带领团队，负责公司智慧城市顶层设计工作，对政务、教育、公安、交通等政府行业领域，有一定的经验和认知；2.  负责售前团队部门管理工作，建设售前队伍、执行对重点大客户的售前咨询活动，支撑销售工作；3.   能够把握人工智能行业发展方向，在产业互联网/消费互联网领域可以提供专家级支持；4.  通过对公司重点大客户业务需求的理解，不断深入挖掘大客户的潜在需求，快速设计和构造重点客户的解决方案；5.   详细分析客户的业务需求，结合公司的技术产品，为客户提供最佳的解决方案，引导客户对技术和产品的选择；6.   对产品线上的产品进行生命周期管理，监督产品改进，组织、指导新产品的相关培训。任职资格：1.  学历要求：-  毕业于211或985院校、统招本科及以上学历。2.  工作经验：-  3年以上售前技术支持工作经验；-  3年以上售前支持团队管理经验；-  熟悉软件类产品应用或人工智能类产品整体实现过程；-  了解开发能力。3.  能力要求：-  具备卓越的逻辑分析能力，思维清晰敏捷，较强的整理能力和归纳总结能力；-  具备良好的团队管理能力，能够激发团队成员热情、自信与合作意识；-  具有强烈的学习意愿，具备较好的学习能力、问题分析能力、以及问题解决能力；-  良好的沟通协调能力和团队合作意识，能够主动总结和分享自己的工作经验；-  具有较强的写作能力和较好的客户沟通技巧，及较强的语言沟通能力，工作条理清楚；-  具有良好的服务意识、职业素养，具备项目掌控能力。4.  素质要求：-  工作踏实，态度积极，能够承受较大工作压力，能适应严格项目管理及公司的各项管理制度；-  有很强的责任心，正直诚实，值得信赖、有冲劲，意志坚定。5.优先考虑：-  具有智慧产业或政府项目运作经验的优先。,"金融,软件开发",50-150人,人工智能,苏州
智能服务高级项目经理（苏州）,https://www.lagou.com/jobs/7060881.html,吴中区,20k-30k,苏州思必驰信息科技有限公司,5-10年,本科,AI 智能语音交互，自然语言处理,"职位描述：1.负责企业定制化项目的需求分析确认、项目建设中的管理及跟进。2.熟悉国内全媒体客服产品的公共功能，以及国内主流联络中心的建设实施方案。3,负责组织测试人员进行业务维度的产品测试，并提出产品的改进建议。3.根据项目运营效果以及业务发展状况，收集用户反馈问题及时响应解决。4.负责在项目推进过程中的跨部门协调沟通，以确保产品按时高质量完成；任职资格：1.本科以上学历，3年以上相关项目管理和实施经验。2.熟悉全媒体联络中心或人工智能呼叫中心市场及国内外相关产品。3.具备一定的产品系统思维，独立完整跟进过3个以上的项目。4.出色的逻辑思维能力和沟通协调能力，可接受经常性出差。5.具备团队精神及高度责任心，能承受高强度工作压力。6.有过人工智能呼叫中心或软件服务厂商项目经理经验者优化。",企业服务,150-500人,人工智能,苏州
储备主管,https://www.lagou.com/jobs/6991649.html,姑苏区,5k-10k,中国人寿保险股份有限公司苏州市分公司第四营销服务部,不限,大专,"一年四次晋升机会团队管理
年轻团队有活力","有志青年走过路过不要错过，点进来看看，这可能将是个改变你人生命运的机会~~~我们这边不是纯营销部门，我们负责售后服务！！！我们这边不是纯营销部门，我们负责售后服务！！！我们这边不是纯营销部门，我们负责售后服务！！！重要的事情说三遍！！！--------------------------华丽的分割线-------------------岗位职责:  1、了解并掌握公司的产品、提供的服务等各项知识点;  2、参与公司、部门业务交流会议及学习分享会议，了解他人工作技巧;  3、服务与经营购买过我们公司产品的老客户；  4、学习团队管理知识，并且发展属于自己的团队;任职条件:  1、有良好的职业道德操守;  2、良好的语言表达与沟通能力，具备服务他人的意识;  3、吃苦耐劳，目标性强，热爱挑战，有责任心,具有团队合作精神;  4、热情,积极主动,服从上级安排;  5、有上进心，学习新知识的能力，抗压能力强。----------------------华丽的分割线---------------工作时间: 一天八小时，做五休二，法定假日休息，基本不加班；----------------------华丽的分割线---------------公司优势：1.职位晋升空间: 一个季度一次升职加薪的机会，符合相关指标即可晋升，不存在其他人为干扰因素。2.薪资报酬优势：只要你有足够的能力，上不封顶。2.公司区位优势：1，2号地铁线交汇的地点，生活和交通都挺方便3.团队年龄优势：团队成员包括领导基本都是90后，气氛融洽，沟通交流无障碍，团队美女也多，妈妈再也不用逼我回家相亲了。4.工作性质优势：人工智能飞速发展，只有人与人打交道的工作才不会被AI取代，除非机器人统治人类。选择比努力更重要！！！---------------------华丽的分割线---------------公司福利:培训补贴                  节日礼物                  商业保险                  商业养老金                  带薪培训                  定期团队旅游                  餐饮补贴等","企业服务,金融",2000人以上,人工智能,苏州
产品经理 （规划方向）(J10827),https://www.lagou.com/jobs/6895642.html,高新区,20k-30k,中移（苏州）软件技术有限公司,1年以下,本科,五险一金、交通补贴、餐饮补贴、通讯补贴,,移动互联网,500-2000人,人工智能,苏州
8000+全额社保公积金饭补晚餐（课程顾问）,https://www.lagou.com/jobs/6385841.html,工业园区,8k-16k,苏州研途教育科技有限公司,不限,大专,带薪年假下午茶节假日福利餐补绩效奖金,岗位职责：1、了解学员基本情况，解答学员疑问，匹配适合课程，做好考研全程规划工作；2、 负责招生咨询工作：电话咨询，网络咨询及面谈咨询等工作；3、负责预报、续报的跟踪回访工作；4、负责学员入学手续办理，包括票据费用的收取发放等手续；5、负责学员档案管理及与总部相关部门对接工作；6、配合其他部门工作；任职要求：1、大专以上学历，专业不限，师范类院校毕业优先，有考研经验、有教育工作背景者优先；2、普通话标准、口齿伶俐、善于与人交流，表达能力强；3、有强烈进取心，学习能力强，能承受工作压力、完成销售任务；4、工作严谨，认真负责，具有较强的协调能力、亲和力；职位优势：1、工作时间：13:00-22:00，不能接受这个时间勿投2、 薪酬结构：无责底薪+个人提成+月度短期激励奖金+年终奖。3、 季度加薪和晋升计划（依据个人业绩表现，给予加薪及晋升机会）；4、 享受国家规定的所有福利待遇及假期（带薪年假、病假、婚假、丧假、产假等国家法定节假日）；非法定节假日同样有假期和礼品（妇女节、儿童节、圣诞节等）5、 试用期签订正式劳动合同，同时全额缴纳五险一金。6、 每月丰富多彩的团建活动和各种健身比赛（如：桌球、乒乓球、狼人杀、王者等）；7、 零食、饮料、咖啡、茶、水果，以人为本的管理，舒适的办公环境；8、公司提供最前沿的互联网大数据人工智能领军企业的成长机会，帮助有理想、有热情的职场青年更上一层楼。完备的新人起步支持计划以及丰富的能力培训/培养计划。良好的晋升发展平台，纵向和横向的上升平台，每个人都有机会竞聘上岗。团队介绍1.年纪轻:以80后为首的领导团队，90后为主的员工，沟通更顺畅，关系更融洽，工作起来更顺心。2.颜值高:看完公司的人，觉得隔壁的长的真的很抱歉。3.干劲足:一群志同道合的年轻人组成的团队，没有达不到的目标，完不成的任务！4.福利好:累了？躺下歇会吧！渴了？喝杯饮料吧！饿了？吃点零食吧！,"教育,移动互联网",150-500人,人工智能,苏州
