job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
高级Java开发（支付系统/人工智能AI方向）,https://www.lagou.com/jobs/7058663.html,雁塔区,13k-25k,上海中软华腾软件系统有限公司,5-10年,本科,技术前沿，团队稳定，晋升渠道,GIPS  定位于第四方支付服务，即基于业务需求，整合第三方支付、银行等多种支付渠道，聚合多种支付方式，打造安全、高效、便捷的支付服务平台，实现全场景的一点接入，提供端到端的综合支付解决方案。目前已完成一卡通，企业云、Vmall中国、Vmall马来、Vmall意大利多个场景商用岗位要求：1. 统招本科，计算机专业，5年以上java web项目开发经验，掌握ssm框架、mysql数据库，linux系统，熟练使用j2se、anjularjs、seajs、ajax技能进行前后台开发，会使用git、svn、uml建模工具，具有一定的管理、沟通、分析能力，具有相关华为项目经验优先2. Java开发：统招本科，5年以上java web项目开发经验，掌握ssm框架、mysql数据库，linux系统，掌握j2se、anjularjs、seajs、ajax技能进行前后台开发，会使用git、svn、uml建模工具，熟悉微服务框架,"企业服务,金融",2000人以上,人工智能,西安
大数据人工智能开发工程师,https://www.lagou.com/jobs/6956803.html,高新技术产业开发区,10k-20k,北京景行锐创软件有限公司,3-5年,本科,扁平化管理，季度奖，年终奖,"1. 计算机/应用数学相关专业，本科以上学历2. 有良好的团队协作精神，认真负责、精益求精的工作态度和沟通能力3. 熟悉软件工程开发和测试流程，交付高质量的代码4. 熟练掌握Java、Python、GO等主流开发语言（至少一种），有web开发经验5. 熟悉Linux操作系统操作和配置，熟悉Shell编程6. 需要短期出差，去用户现场实施和支持7. 了解Kubernets、Docker容器使用者优先8. 了解Hadoop、HDFS，Spark, Hive, HDP/CDH等开源大数据技术者优先9. 了解深度学习的基本原理DNN,CNN,RNN或TensorFlow、Caffe、PyTorch等AI学习框架者优先","企业服务,数据服务",50-150人,人工智能,西安
销售专员（人工智能方向）,https://www.lagou.com/jobs/7203094.html,高新技术产业开发区,4k-8k,西安天互通信有限公司,1-3年,大专,热门行业,技能要求：人工智能，系统集成，云计算，IDC，网站建设，软件行业工作职责：1、负责公司全线产品销售（主要方向：云计算、人工智能产品）；2、收集潜在客户资料并挖掘业务机会，利用各种渠道，积极介绍和推广公司产品；3、负责意向客户的项目进度跟踪，执行公司销售策略，完成销售目标；4、负责行业销售计划的制定与实施，行业范围内的项目协调与管理；任职资格：1、营销或计算机相关专业大专及以上学历，有同行业销售经验者优先；2、喜欢、热爱做行业销售；3、能吃苦、善表达，组织能力强，团队合作精神；4、有意向在互联网行业发展,"移动互联网,信息安全",50-150人,人工智能,西安
销售专员（人工智能）,https://www.lagou.com/jobs/7204751.html,高新技术产业开发区,4k-8k,西安天互通信有限公司,1年以下,大专,接触的范围广，发展机会多，晋升公开透明。,人工智能，系统集成，云计算，IDC，网站建设，软件行业工作职责：1、负责公司全线产品销售（主要方向：云计算、人工智能产品）；2、收集潜在客户资料并挖掘业务机会，利用各种渠道，积极介绍和推广公司产品；3、负责意向客户的项目进度跟踪，执行公司销售策略，完成销售目标；4、负责行业销售计划的制定与实施，行业范围内的项目协调与管理；任职资格：1、营销或计算机相关专业大专及以上学历，有同行业销售经验者优先；2、喜欢、热爱做行业销售；3、能吃苦、善表达，组织能力强，团队合作精神；,"移动互联网,信息安全",50-150人,人工智能,西安
大数据开发工程师,https://www.lagou.com/jobs/7049323.html,高新技术产业开发区,10k-20k,北京源清慧虹信息科技有限公司,不限,本科,二次医疗 健身房 体检 通讯补助,"技能要求：数据分析，数据架构，数据库开发职位要求1、熟练掌握Python语言，有数据工程领域开发经验，拥有数据分析建模理论、熟悉数据分析建模过程；2、能快速理解业务，发掘业务细节和数据之间的联系、做出合理的数据库设计与开发；3、了解关系型、非关系型、时序数据库及客户端工具等、并能够针对性的进行性能优化；4、熟悉各种消息队列、分布式任务系统以及网络文件存储软件或平台、并能够给出稳定高效的技术架构；5、熟悉NumPy、SciPy和Pandas等数据分析工具的使用, 并能针对性的进行性能优化、分布式应用；6、熟悉数据可视化编程、NoteBook类交互编程、能够解决较大量数据的可视化工程；7、熟悉时序数据的各种分析模型（如平稳性、分类、回归、重采样、特征工程、降维等）、有丰富的数据分析，挖掘项目经验；8、了解机器学习、人工智能等相关算法及软件应用；9、本科以上学历，工作经验2年以上；或者应届研究生以上学历；10、数学、统计学、计算机相关专业优先，有Web开发编程经验者优先；","信息安全,数据服务",50-150人,人工智能,西安
研发项目管理,https://www.lagou.com/jobs/6818487.html,雁塔区,8k-13k,深圳市云积分科技有限公司,1-3年,本科,"五险一金,周末双休,员工旅游,节日福利",岗位职责：能够完成独立项目的计划、组织、实施和控制，跟踪过有关产品、技术方案的确定、项目进度、项目风险、质量等方面工作，成功实现项目目标，使项目相关业务方、客户满意。任职要求：1、熟悉IT及电商行业项目专业知识、熟悉基本的项目管理知识，对项目管理工具和方法有一定的认识，熟练使用Project、Visio、SVN、Git、禅道等管理工具；2、有一定的技术背景，了解MYSQL或Hadoop等开发应用过程，或者了解PHP、JAVA、Spring开发，或者了解机器学习、深度学习等人工智能理论及方法；3、掌握公司的业务和项目管理流程、IT及电商行业项目的运作方式和管理方式。,"企业服务,移动互联网",150-500人,人工智能,西安
项目经理助理,https://www.lagou.com/jobs/6840022.html,雁塔区,5k-10k,深圳市云积分科技有限公司,1年以下,本科,"五险一金,周末双休,员工旅游,节日福利",岗位职责：能够协助PDT经理完成项目的计划、组织、实施和控制，跟踪过有关产品、技术方案的确定、项目进度、项目风险、质量等方面工作，成功实现项目目标，使项目相关业务方、客户满意。任职要求：1）有一定的技术功底，了解MYSQL/ORACLE/等至少一种数据库的数据开发方法，或者了解PHP、JAVA、Spring开发，或者了解机器学习、深度学习等人工智能理论及方法；2）了解IT及电商行业，了解项目管理和项目管理基本原理和方法。沟通能力：1）能够积极主动与项目经理、PDT经理、业务专家和技术专家进行沟通提高自己的任职能力。2）自身表达或传递的信息主题明确、清楚、简洁，能够让公司领导、公司职能部门、项目经理、项目团队成员等清楚准确理解自己的需求。,"企业服务,移动互联网",150-500人,人工智能,西安
区域销售总监,https://www.lagou.com/jobs/7011928.html,新城区,8k-15k,中科弘云科技（北京）有限公司,3-5年,本科,五险一金、年终奖、高提成、股权激励,Base在北京、天津、郑州、西安、济南、南京、武汉、成都岗位职责：负责公司软、硬件产品在所在区域政府、电力、军工等企业级客户的销售工作开展；• 开拓新市场，发展新客户，增加产品销售范围；• 负责辖行业市场信息的收集及竞争对手的分析；• 负责标杆客户的关系拓展和维护，分析客户需求，寻找项目机会；• 负责在所属区域拓展渠道合作伙伴，建立有效渠道生态圈，培养伙伴销售能力，覆盖目标市场。任职资格：• 本科以上学历，计算机或相关专业优先；• 两年以上销售工作经验，有良好的销售业绩；• 形象良好，语言表达和思维逻辑清晰、性格乐观、能承受压力；• 有安监、应急等行业背景优先考虑；• 熟悉人工智能行业、了解相关技术者优先考虑；• 熟知相关区域渠道市场现状，有良好渠道合作关系者优先考虑,"数据服务,其他",15-50人,人工智能,西安
售前技术支持,https://www.lagou.com/jobs/6900973.html,雁塔区,10k-18k,西安格蒂电力有限公司,3-5年,本科,大数据 国网,任职资格： 1、本科及以上学历，3年以上IT行业相关工作经验，具备国网项目合作经验者优先考虑；2、熟悉物联网、云计算、大数据、人工智能、区块链等前沿信息技术应用与发展趋势，具有一定前瞻性研究能力，能够独立完成方案策划。3、语言表达能力强，思维清晰，具有较强的演讲和说服能力，性格开朗、积极向上，能够在压力下工作，能接受出差工作。岗位职责： 1、配合销售针对所负责区域重点项目技术交流、方案设计和撰写，项目跟进及突破性工作。2、负责所属区域渠道拓展工作，包含渠道培训、技术交流、项目攻克等；3、对公司产品和方案进行竞争分析和对比，对市场竞争形势进行动态总结；4、负责研讨会演讲、销售团队市场拓展活动支持。,企业服务,500-2000人,人工智能,西安
数据标注主管,https://www.lagou.com/jobs/6611924.html,莲湖区,8k-11k,北京字节跳动科技有限公司,3-5年,本科,休闲下午茶,,文娱丨内容,2000人以上,人工智能,西安
