job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
人工智能研究员,https://www.lagou.com/jobs/6717932.html,管城回族区,6k-10k,郑州嘉琰教育科技有限公司,不限,大专,五险一金，年底分红,技能要求：机器学习，人工智能，深度学习，数据分析，算法岗位要求：1、熟悉Linux和C/C++、PHP/Python、Java等任一种编程语言；2、具备良好的沟通表能力及团队协作精神、有较强的主动性、责任心与执行能力；3、大专或以上计算机相关专业。岗位职责：1、协助工程师参与大数据和AI商业化产品的研发和交付；2、了解客户需求，按期保质完成研发计划；3、协助解决方案团队，完成客户化方案的实施；4、协助运维团队，保障已交付产品的运营和服务,"移动互联网,其他",15-50人,人工智能,郑州
大数据工程师,https://www.lagou.com/jobs/6943349.html,高新区,15k-25k,中移在线服务有限公司,3-5年,本科,六险二金 带薪年假 年度体检 日常补贴,【岗位职责】1、针对重点业务运营，提供深度数据能力支撑，完成业务数据分析、模型需求分析，以及数据接口、基础模型、汇总模型、ETL流程等设计、开发；2、统筹数据仓库模型建设与管理，制定模型开发规范、数据治理规范并推进落地，基于规范管理数据模型；3.支撑业务数据聚合，负责数据源调研、入库、开发的全流程工作，并保证数据质量。【任职资格】1、学历要求：本科以上学历，统计、应用数学、计算机、软件工程等相关专业背景；2、工作经验：具备互联网、电信相关行业3年以上工作经验；3、能力要求：1）熟练掌握维度建模理论，具备业务数据调研分析、仓库模型设计的能力；2）掌握Python、Java开发技能，熟悉Hadoop生态系统组件，如：Hive、MapReduce、Spark、HBase、kafka等，有Vertica开发经验者优先；3）具备数据仓库开发、数据治理、数据产品设计、运营经验之一；4）熟悉人工智能相关框架（包括但不限于Kaldi、Keras、TensorFlow、Pytorch）、工具及AI训练流程者优先；5）具有较强逻辑思维能力、研究能力、沟通能力和团队合作精神。,移动互联网,2000人以上,人工智能,郑州
工业物联网架构师,https://www.lagou.com/jobs/7140692.html,高新区,15k-20k,河南八六三软件股份有限公司,5-10年,大专,五险一金，双休，带薪年假,"技能要求：高级技术管理，人工智能，系统架构岗位描述：1.负责物联网项目及平台的方案设计、规划、实施并参与项目落地；2.理解客户的需求，并制定平台化的工业物联网方案，负责架构设计与落地实施等工作；3.推动工业物联网在不同领域的项目规划及落地；4.推动工业物联网平台的生态环境建设。任职资格：1.本科及以上学历，IT或工科背景；具备较强的沟通和逻辑表达能力，有清晰的问题解决思路，能够深入调查、攻克疑难杂症；2.5年以上工作经验，有较强的项目管理经验，有工业大数据智能化应用的经验；3.熟悉工业4.0，互联网+制造等行业发展及政策方向；熟悉工业4.0/智能制造的方向及实现路径；4.精通IoT系统架构，有实际架构设计经验，有前瞻性的规划和落地实施方案和路径；5.在工业“自动化，信息化，数字化，网络化和智能化”其中一化或者多化有相关项目经验；6.对工业物联网传输总线有一定的了解，比如profitnet/profitbus，EBA等；对物联网传输协议MQTT, CoAP，LoRa，NB-IoT等相关协议有认识和理解；7.工业行业背景（电子设备制造，装备制造，汽车制造，通用设备制造行业等），有过工业信息化、智能化改造经验和熟悉工业系统（如MES, ERP, PLM, SCADA等）等优先。",移动互联网,500-2000人,人工智能,郑州
大数据开发工程师,https://www.lagou.com/jobs/7194241.html,金水区,10k-15k,河南飙风信息科技有限公司,3-5年,本科,五险 双休 年假 旅游 年终奖,公司为纯技术公司 高新技术企业   软件企业团队技术氛围浓 活泼团结运维平台 大数据分析  数据治理 人工智能等业务的开发   五险 双休 年假 旅游 年终奖 项目奖过节福利  等等  你能想到的基本都有1、完成软件产品各模块的功能、代码实现等工作；2、参与项目技术难点攻关以及核心代码的编写；3、设计及运用前沿技术于产品开发；4、协助上级完成团队制定的研发计划。职位要求：1、3年以上软件开发经验，精通Java开发，熟练使用java 框架；2、精通java 和 SQL；熟悉Kafka、MR、Hive、Hbase 等；有丰富的spark项目经验；3、ETL数据处理开发经验，能独立完成数据处理开发工作；3、熟练使用Spark，并对spark-core/spark-sql/spark-streaming有深入认识，具备java/Scala/python语言开发经验者优先；4、对分布式缓存Redis和Nosql数据库（如：MongoDB、Hbase）有一定研发经验；5、熟悉数据仓库建设的流程及方法论、理解维度建模，有实际的模型设计经验5、具有良好的沟通及项目协调能力，优秀的分析问题和解决问题的能力，具备强烈的进取心和良好的团队合作精神。,"人工智能,软件开发",15-50人,人工智能,郑州
数学产品研发,https://www.lagou.com/jobs/6402365.html,郑东新区,7k-10k,河南校信通教育科技有限公司,应届毕业生,本科,五险一金、工作餐、图书馆、健身房等等,岗位职责：1.学习研究权威教育理论、课程标准及教材；分析优秀学生学习习惯、学习方法、学习规律，与团队一起构建完善的学科训练体系；2.持续研究学校老师的教学过程、学生的学习过程，依托众享训练体系，为学校老师、学生提供学习资源及服务方案；3.与技术、产品团队协作，推进人工智能教育平台的建设与完善。任职要求：1.国家统招一本及以上学历，理工科专业，数理化相关专业优先；2.在校成绩优异，学科专业功底扎实，中小学时期数理化功底扎实；3.热爱教育，有工作热情及奉献精神，有强烈的责任心和上进心，愿意致力于教育教学研究；4.优秀的问题分析能力和解决能力，勇于解决难题，能够承受较强的工作压力。,"教育,移动互联网",150-500人,人工智能,郑州
新媒体运营助理,https://www.lagou.com/jobs/7080154.html,金水区,4k-7k,北京车易网科技有限公司,1-3年,本科,双休+五险一金+餐补,工作内容：1、配合新媒体运营负责人开展广告经营、ETC相关新业务拓展、商务资料梳理、商务谈判、商务公关等工作；任职要求：1、大专以上学历，熟悉媒体经营相关行业；2、能独立开展广告及新业务拓展工作，熟悉商务谈判及资料梳理；3、形象气质佳，有一定的商务公关能力；福利待遇： 1、 双休、法定休（充足的休息时间）餐补、通讯补贴、满勤奖、司龄补贴等 2、 入职缴纳五险、年终奖、定期团建活动等（工作与放松两不误） 3、公司发展前景@朝阳产业（人工智能）；有国家政府背景支撑，稳定性高；,"移动互联网,电商",500-2000人,人工智能,郑州
新媒体策划,https://www.lagou.com/jobs/7080165.html,金水区,4k-6k,北京车易网科技有限公司,1-3年,本科,双休+五险一金+餐补,技能要求：公众号运营，文案创作，新媒体编辑，策划工作内容1、负责微信公众号、头条、抖音、B站等新媒体平台的内容策划、实施；2、负责基于新媒体用户的线上线下活动策划、执行；任职要求：1、大专以上学历，新闻、广告等相关专业，2、有新媒体内容工作经验，思维活跃、能够独立完成创意生产、策划文案等工作；福利待遇：1、 双休、法定休（充足的休息时间）餐补、通讯补贴、满勤奖、司龄补贴等2、 入职缴纳五险、定期团建活动等（工作与放松两不误）3、公司发展前景@朝阳产业（人工智能）；有国家政府背景支撑，稳定性高；,"移动互联网,电商",500-2000人,人工智能,郑州
python开发工程师,https://www.lagou.com/jobs/7199481.html,金水区,8k-12k,河南飙风信息科技有限公司,3-5年,本科,五险 双休 年假 旅游 年终奖,公司为纯技术公司 国家高新技术企业现有技术开发人员30多名  团队技术氛围浓 活泼团结运维平台 大数据分析  数据治理 人工智能等业务的开发   项目体量大  稳定 长期  加班很少 五险 双休 年假 旅游 年终奖 等等  该有的通通都有满足你各种职业规划     无论是技术还是 管理  1、四年以上后端开发经验，三年以上的Python开发经验；2、精通python，熟悉java、golang、ruby、php等语言者优先；3、熟练掌握Django，Flask等主流python web框架，深入理解框架实现原理及特性，熟练使用python的常用库；4、具备良好的基本功，熟练使用基本的数据结构和算法，深入理解多线程、网络等相关技术；5、熟练掌握Redis、MongoDB，具备索引优化、查询优化的能力；6、具备设计复杂系统、数据库的能力，能够独立开展需求分析及系统设计工作；7、具备良好的编码习惯，结构清晰，命名规范，逻辑性强，代码冗余率低；8、具备code review的能力，并能承担相关工作，能带动团队成长者优先；,"人工智能,软件开发",15-50人,人工智能,郑州
Java开发工程师,https://www.lagou.com/jobs/7131718.html,二七区,3k-6k,郑州领英教育信息服务有限公司二七区分公司,不限,不限,小白、实习生,本公司为财税公司，主要使用Java为主，Python，go为辅助，进行开发，方向主要是人工智能自动化。学历不限，小白以及应届实习生也可以入职，有老师可以手把手教，但前提是吃苦耐劳，品德良好，不收取任何费用，以免上当受骗，请大家诚信投简历，非培训机构！中介勿扰！         ——可提供住宿,企业服务,50-150人,人工智能,郑州
行政前台,https://www.lagou.com/jobs/7012071.html,金水区,3k-4k,河南省视博电子股份有限公司,1-3年,本科,入职五险/周末双休/餐补/满勤奖/年终奖,技能要求：前台接待岗位职责：1.负责公司来访人员接待、登记；2.负责公司考勤管理，编制考勤报表3.办公室各类表格、文件的打印与制作；4.公司的快件管理5.公司通讯录及备案、通知的张贴及文件下发；6.公司临时接待服务。任职要求：1.熟知基本的公关接待礼仪；一年以上行政类工作经验者优先，2.能够熟练操作各类办公软件，会制作编制基本的表格等；3.做事认真、有条理、责任心强、能吃苦耐劳、有团队奉献精神；4、可接受毕业生；福利待遇：1、 双休、法定休（充足的休息时间）餐补、通讯补贴、满勤奖、司龄补贴等2、入职缴纳五险、年终奖、定期团建活动等（工作与放松两不误）3、工作强度低，加班少，比较自由；4、公司发展前景@朝阳产业（人工智能）；有国家政府背景支撑，稳定性高；,移动互联网,500-2000人,人工智能,郑州
