job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据分析-人工智能,https://www.lagou.com/jobs/7171445.html,岳麓区,8k-13k,湖南草花互动网络科技有限公司,1-3年,本科,五险一金、年度体检、父母津贴、无息贷款,岗位职责：1. 负责公司投放系统智能算法策略设计；2. 负责数据建模需求挖掘，基于数据驱动，为改进算法提供依据，并不断优化自动化系统的交互和策略升级；3.负责对公司业务数据整理、挖掘游戏的价值。岗位要求：1. 具备2年以上数据分析经验，有游戏、广告行业背景优先；2. 能够熟练使用R、Python工具；3. 对算法、人工智能、数据分析有深刻的理解，具备人工智能、大数据、广告效果数据分析背景或经验优先；4. 善于沟通，学习能力强，能承担一定的工作压力。,游戏,150-500人,人工智能,长沙
媒体公关经理（PR）,https://www.lagou.com/jobs/6423902.html,岳麓区,10k-18k,湖南星汉数智科技有限公司,3-5年,本科,"扁平化管理,周末双休,五险一金",岗位职责：1、 组织、实施公司各类媒体宣传和广告投放；2、 组织公司各类展会活动；3、 策划公司各类宣传及广告材料；4、 危机公关。岗位要求：1、 较强的沟通及团队合作能力，热爱媒体工作，关注并熟悉大数据、人工智能相关领域；2、 熟悉传统媒体和互联网媒体行业，具有一定的行业渠道和资源；3、具有良好的文字组织能力，思维逻辑清晰，分析能力强；4、具备一定的广告策划能力，具有新媒体、短视频、海报的策划经验；5、信息技术、新闻传播等相关专业，本科及以上学历；6、四年以上工作经验；7、提供以往成功案例的佐证材料；8、责任心强。,"移动互联网,数据服务",50-150人,人工智能,长沙
机器学习,https://www.lagou.com/jobs/3886758.html,岳麓区,10k-15k,湖南星汉数智科技有限公司,不限,硕士,"扁平化管理,周末双休,五险一金,交通补助","岗位描述：1、对前沿人工智能算法和模型的研发和优化，应用场景包括OCR、目标检测/识别、人脸识别、图像分类等；2、将算法落地为工业应用，为公司图像相关业务场景提供服务。岗位要求：1、电子、计算机或数学等相关专业,硕士及以上学历2、对图像处理、计算机视觉和人工智能相关领域有扎实的理论基础,有深度学习经验者优先;3、良好的编程基础，至少熟练使用C/C++/java/python等一门编程开发语言,熟悉常用数据结构和算法;4、具备良好的创新和合作精神，较强的进取心和表达能力;","移动互联网,数据服务",50-150人,人工智能,长沙
财经编辑,https://www.lagou.com/jobs/7138955.html,岳麓区,4k-8k,湖南博互卓越网络技术有限公司,1-3年,大专,"学习平台,新媒体行业,高回报",技能要求：选题策划，文章撰写，金融分析研究职位描述：1、负责基于突发性热点事件进行解读，负责美股上市科技互联网企业的热点分析评论（此前没接触过有人指导）2、负责美股上市科技互联网公司财报解读3、打开脑洞，能与大家共同策划、挖掘出重磅、有信息增量的选题。4、对热点事件、突发事件快速反应，及时跟进相关的快讯和深度报道。要求：1、大专以上学历，金融类、新闻类、文学类相关专业毕业，经常关注金融类新闻优先考虑；2、爱思考、爱研究、爱阅读、爱写作，对商业、互联网、美股充满巨大的好奇心；3、具备一定的沟通能力、执行能力、突破能力，敢于挑战自己，能够承受较强的工作压力，能接受排版；4、对产业互联网、游戏、内容、文娱、社交、电商、人工智能、5G、任意一个领域有独特见解的优先，对美股市场有一定了解者优先；4、有金融类、新闻类相关学习经验或投行、证券公司工作经验者优先。5、有写作经验者优先，无写作经验但平时能以清晰思路在雪球上发表增量信息和观点者优先。,"移动互联网,广告营销",15-50人,人工智能,长沙
记者编辑/产业编辑,https://www.lagou.com/jobs/6003874.html,岳麓区,4k-8k,湖南博互卓越网络技术有限公司,1-3年,大专,"福利待遇好,公司氛围好,职业平台好",职位描述：1、负责产出优质的互联网热点分析评论，创业者采访，互联网行业故事，互联网公司财报分析、互联网产品分析对比等产业向深度内容。（此前没接触过有人指导）2、打开脑洞，能与大家共同策划、挖掘出重磅、有信息增量的选题。3、出席各大主流互联网企业举办的发布会、沙龙，加入各大媒体、创业者微信社群，快速提升公司及个人的影响力。4、对热点事件、突发事件快速反应，及时跟进相关的快讯和深度报道。5、能挖掘并写好互联网人的故事。要求：1、爱思考、爱研究、爱阅读、爱写作，对创新、商业、互联网充满巨大的好奇心；2、有志于深耕产业深度报道，结识大量产业优质人脉，接触知名创业者；3、具备一定的沟通能力、执行能力、突破能力，敢于挑战自己，能够承受较强的工作压力；3、对产业互联网、游戏、内容、文娱、社交、电商、人工智能、5G、任意一个领域有独特见解的优先；4、985或者211院校，有财经类、新闻类相关学习经验或工作经验者优先。5、有写作经验者优先，无写作经验但平时能以清晰思路在知乎等平台发表增量信息和观点者优先。职位诱惑：1、行业内**有竞争力的薪资；2、能接触大量优质的创业者和企业家；3、商业、经济、互联网等专业领域的书籍和相关学习资源，管饱。4、平等、开放、专业的团队，让你每天都看得到自己的进步和变化。5、身在长沙，思想却与北上广时刻接轨。,"移动互联网,广告营销",15-50人,人工智能,长沙
智能制造研究员（长沙),https://www.lagou.com/jobs/6259001.html,长沙县,8k-10k,中国信息通信研究院,不限,硕士,"发展空间大,工作氛围好,各种团建",1、从事智能制造、工业互联网、两化融合等相关领域的技术和产业研究，及行业应用趋势分析；2、协助开展智能制造、工业互联网领域的基础数据收集，参与相关系统平台的建设、升级与运营；3、支撑地方政府智能制造领域政策制定和宣贯；4、承担智能制造、工业互联网、两化融合等领域咨询项目和研究课题；5、完成领导交办的其他工作职位考核方式：协调供应商完成相关平台建设，完成项目各项目标（进度、质量、费用和安全等）；负责指定领域的课题研究和咨询项目1、对信息化与工业化融合相关领域工作有浓厚兴趣，具有清晰的系统思维逻辑和结构化思考能力，乐于接触新知识，能够接受跨学科、跨专业领域的综合性研究及咨询项目的挑战；2、掌握工业大数据、计算机、通信、物联网、自动化、数据分析等领域专业知识，有交叉学科背景优先； 3、具有高度的责任心，做事踏实负责、认真严谨，具有较高的自我要求；抗压性强，能够适应较快节奏的任务完成周期，善于与团队合作； 4、沟通能力强，能够与客户进行对接和项目交流，准备把握客户需求5、具有较强的文字提炼和撰写能力，熟练掌握常用办公软件，擅长使用PPT表达； 6、工业互联网、智能制造、云计算、工业大数据、工业人工智能相关专业或者从业经验；或离散制造、流程制造领域自动化、信息化改造经验；或管理咨询、业务分析经验优先；同时，我们我希望您：沟通协调能力强 ，抗压能力强，善于团队合作,通讯电子,2000人以上,人工智能,长沙
大数据中级研发工程师,https://www.lagou.com/jobs/5631157.html,天心区,10k-15k,湖南德锦信息工程有限公司,5-10年,大专,认真工作,要求: 1) 2年以上大数据相关经验。      2) 精通 Oracle 数据库大数据开发 或          精通 Hive 大数据开发 或         精通 Ogg+Kafka+Spark Stream 实时大数据开发           以上大数据开发路线精通一条或多条以上。      3) 精通 JAVA/Python/Scala 编程语言       4) 加分项: 熟悉数仓模型 ( 雪花模型或星型模型 ）者有加分                 熟悉 nifi 调度框架者有加分                 有过人工智能项目经验者有加分                 熟悉ElasticSearch/Lucene者有加分      5) 有过海量数据系统开发经验者优先      6) 对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力      7) 责任心强，工作认真负责，能够承受一定的工作压力。,数据服务,15-50人,人工智能,长沙
技术合伙人,https://www.lagou.com/jobs/6200362.html,岳麓区,20k-25k,长沙丹渥智能科技有限公司,5-10年,本科,五险一金、项目奖金、工作餐、下午茶、双休,岗位职责1、负责公司项目管理工作，包括项目规划、架构搭建、技术研发管理工作，带领团队完成公司制定的产品研发目标； 2、负责项目核心技术决策、关键技术攻关、知识积累、新技术应用、以及技术风险的把控； 3、协调项目开发管理的各个环节，把握项目的整体进度与资源分配；4、负责公司技术领域的创新和开拓，技术方向、技术规划与运筹实施，为公司业务发展提供全面的技术保障； 5、负责参与项目的招投标，组织技术商务谈判直至签订商务合同，协调和维系客户关系；6、公司开发团队的建设及管理，包括开发人员的培养、业绩评估和激励等。 任职要求：1、本科及以上学历，计算机相关专业，5年以上团队管理经验；2、具备软件开发能力，较强的架构设计经验，对现有大数据、云计算、人工智能主要产品的相关技术有深刻认识；3、熟悉银行、保险、券商、基金等金融行业的业务运作流程，有过相关领域大数据或者机器学习平台相关产品经验，能够把握行业业务发展动向和关键技术发展趋势；4、深入理解人工智能行业的发展，对机器学习、知识图谱、NLP、数学建模、算法应用有深入了解的优先；5、有一定的商业谈判能力，有较强的项目把控能力；6、可承受较大的工作压力，具备创业精神，可接受出差,数据服务,15-50人,人工智能,长沙
高级 Java 研发工程师,https://www.lagou.com/jobs/6999945.html,岳麓区,12k-18k,湖南明成峻达科技有限公司,3-5年,大专,五险一金 年终奖 节日福利 周末双休,"岗位描述：
 开发和维护公司后端服务，发现和解决问题，保证后端系统的性能和稳定性（调优）；
 负责公司后端系统的技术方案调研、架构设计、代码开发、保证产品质量；
 持续优化系统架构，提高系统在高并发、大流量下的容灾容错能力，保证系统的高可用性（性能、安全、容量）；
 参与产品项目的需求、概设、详细设计及系统接口API的文档编写及制定；
 研究业界最新软件技术和应用，将研究结果落地产品，提升技术竞争力。
岗位职责：
  熟悉Java/Java EE，熟悉常用的Java技术框架如Spring、iBatis、JPA等；
 熟悉Java基础技术，如JVM、类装载机制、多线程、IO、网络等；
 熟悉中间件、分布式技术，如缓存、消息队列、热部署、JMX等；
 良好的架构能力，能够协同完成架构解决方案；
 熟悉常见的研发最佳实践；
 热爱技术，思路开阔，认真负责，积极主动，善于沟通协作；
 具有分布式、高并发、高可用系统研发和优化经验者优先；
 有其他高级语言经验者优先，有Service Mesh经验者优先。
公司介绍：我司主要业务方向物联网、人工智能、区块链技术等。公司汇集了一批信息技术领域的优秀人才，定期会开展技术交流活动，良好的职业晋升渠道。欢迎有志之士加入明成峻达大家庭。",移动互联网,15-50人,人工智能,长沙
智慧教育研发总经理,https://www.lagou.com/jobs/7140655.html,岳麓区,25k-50k,拓维信息系统股份有限公司,5-10年,大专,五险一金 周末双休 带薪年假 绩效奖金,职责描述：1、负责集团智慧教育产品的研发统筹及组织工作：2、研究分析教育行业趋势及市场动态，持续做好市场预判及全面负责技术规划及管理；3、负责通过关键技术攻关及核心技术提升，推动公司产品性能提升、产品模块与功能优化；4、负责技术顶层规划、底层逻辑设计及技术评审工作，对系统业务方案的设计及评审进行整体把关与指导；5、负责研发团队组建、赋能、培养与激励，持续提升团队工作效能。任职要求：1.熟悉教育信息化、互联网+教育、5G+教育等教育行业工作，熟悉行业客户痛点，掌握教育信息化产品特性、应用范围、使用场景及所带来的价值，并且能够根据客户需要，输出一体化的客户解决方案；2、对云计算、大数据、人工智能、物联网、信息安全等创新技术有较高理解；具有快速学习新知识的能力，有激情，有理想，思维敏捷，有开拓精神；3、至少5年智慧教育、数字化校园、教育信息化的产品研发、系统集成工作经验，组织或者以主要参与者身份完成过成功的智慧教育产品2例以上。,"移动互联网,教育",2000人以上,人工智能,长沙
算法开发工程师,https://www.lagou.com/jobs/7074828.html,雨花区,12k-16k,中国电建集团中南勘测设计研究院有限公司,不限,本科,福利待遇好,一、工作内容AI算法在工程领域的深度应用，算法结构的更新，数据处理等二、基本要求1、专业：计算机科学与技术、人工智能2、最低学历：本科3、从业年限：3年以上工作经验（若无就业经验，则要求为应届毕业硕士研究生）三、能力要求擅长深度学习、机器学习等算法，具有一定的编程能力，能熟练使用Python、C等语言,其他,2000人以上,人工智能,长沙
销售总监,https://www.lagou.com/jobs/6715566.html,岳麓区,12k-15k,汉博利特（北京）信息技术有限公司,5-10年,大专,30%提成 带薪年假 年终奖,岗位职责：1.根据公司经营战略目标，确定部门销售工作目标与实施计划，进行销售预测，制定部门年度经营预算，完成公司制定的销售目标任务，关注于维护和提高公司市场竞争力；2.制订切实可行的区域/行业销售拓展策略和计划，用于支撑区域\行业的销售收入的短期和长期快速增长，并定期审核调整，确保销售计划的执行以及区域/行业销售目标的达成；3.支持重要项目的销售，并负责重要项目的合同谈判及签订；4.客户关系管理：拓展、管理销售渠道，协调维护客户关系，建立支撑多产品的稳固、均衡的销售网络体系与客户关系；5.建立和管理销售队伍，招募、培训、激励、考核下属员工，提升部门工作效率；6.支持下属员工完成下达的任务指标，领导团队达成季度及年度销售目标。7. 组织推动营销方案实施。组织推动线上线下的销售业务实施。8. 负责线上线下销售业务、渠道建设，终端销售管理，协调客户关系。任职要求：1、连续5年以上软件企业销售或者互联网企业销售或售前管理经验； -有一定行业客户资源，有智慧城市、金融、医疗、通讯、军工、政府、教育、广电行业经验优先； -有软件类或人工智能类产品销售经验（行业客户的直销及渠道销售）者优先； -精通熟悉营销、管理相关知识，具备目标绩效管理、过程控制、发展合作、冲突管理等方面的知识与实践技巧； -具备突出的演讲、沟通、系统思维能力； -具备的分析判断、决策、战略思维、驾驭全局、资源整合的能力； -工作细致、严谨，并具有战略前瞻性思维； -善于激发团队成员工作热情，能够发挥团队合力。2、具有较强的管理能力、判断和决策能力、人际沟通协调能力、计划与执行能力； -优秀的市场拓展、项目协调、谈判能力，具有高度的工作热情和责任感； -良好的沟通协调能力和团队合作意识，能够主动总结和分享自己的销售经验。3、素质要求： -工作踏实，态度积极，能够承受较强的工作压力，能适应严格项目管理及公司的各项管理制度； -有较强的责任心，正直诚实，值得信赖、有冲劲，意志坚定。优先考虑：一，有丰富的渠道开拓经验二，对线下代理模式清晰明了三，有过从零到一的销售团队带领经验优先考虑,"移动互联网,信息安全",15-50人,人工智能,长沙
运维开发经理（总监）,https://www.lagou.com/jobs/7121952.html,岳麓区,8k-12k,长沙网久软件有限公司,1-3年,大专,经理-总监-合伙人,"1. 熟悉linux，Docker，Git/Github2. 熟悉Ansible和Shell编程3. 具备Apache,Nginx,Tomcat,IIS等Web服务器软件运维经验4. 具备MySQL,MongoDB等数据库运维经验5. 具备PHP,Java,.NET,Python等运维经验6. 熟悉面向对象编程，认可面向对象的思维方式7. 有AWS,Azure,阿里云,华为云之一等使用经验期望您有1. 自主维护过一个开源项目（可在Github/码云上公开访问）2. 有博客写作习惯（可访问）3. 有意愿自主创业4. 独立主导过大型运维项目5. 具备优秀的全局思维习惯6. 擅长通俗化技术表达7. 其他自动化或人工智能研究经验",企业服务,少于15人,人工智能,长沙
长沙-大区实施经理,https://www.lagou.com/jobs/6768119.html,芙蓉区,15k-25k,和创（北京）科技股份有限公司,5-10年,本科,福利待遇 发展前景,"岗位：大区实施总监岗位职责：1、具备较高的行业业务敏感度，能够快速识别客户需求及需求价值点2、基于客户需求的项目全过程管理，能独立完成项目交付全过程的工作能力，包括需求分析、文档编写、系统建设、测试及培训交付等。3、具备很好的知识积累，知识培训传递能力，给全国的客户运营中心培训赋能，项目管理能力。4、能够带领团队，管理区域项目，项目群管理 岗位要求：1、5年以上实施工作经验(CRM、ERP、OA),丰富的客户沟通和项目管理能力，熟悉CRM产品优先。2、有文档编写和知识培训、传递能力。3、具有独立工作能力和团队带领能力。4、能跨部门沟通协作、团队合作。5、工作态度积极、热爱学习、有责任心、思维逻辑能力强，有很强的服务意识。6、能接受频繁出差。7、统招本科及以上学历。和创（北京）科技股份有限公司（原图搜天下）成立于2009年，目前在全国有20家分公司，近200家分支机构，服务能力覆盖全国。2015年11月13日，和创科技挂牌新三板（证券代码834218），目前市值45.18亿元，在所有新三挂牌企业中排名第32位，成功晋身新三板创新层。和创科技致力于帮助企业老板解决最重要也是最头疼的销售管理问题，目前服务于全国6万多家中小型企业并为其提供专业服务，是SAAS行业的领导者。自主研发的“红圈”系列移动销售云服务软件，融合了移动、社交、云计算、大数据、人工智能等技术，为企业提供从销售线索获取、销售过程管理到客户成交的销售全流程服务，全面解决了企业销售团队的拜访计划、客户管理、沟通协同与数据报表方面的管理需求，并基于快消、农牧、医药、服装与建材等各行业特点成功开发了行业标准化模块解决方案，为全国40余行业包括新希望六和、复星医药、三元食品、拉卡拉、中粮米业和燕京啤酒等众多知名企业以及60000多家中小企业提供了精准的移动销售云服务。无论是从用户数量，还是行业经验而言，“红圈”都是企业级移动管理服务的领先品牌。数万家正在使用红圈的客户正在改变其传统的工作方式，将想法和经验转化为可控的流程和标准动作，将传统的业绩考核管理方式转变为标准化、可量化、全过程的管理方式。红圈产品以围绕客户为中心展开对企业目标、过程和结果的管控的管理方式，让企业领导者依据科学化的数据做出精准的市场决策，从而达到提高企业效率、提升公司经营绩效的目的。红圈产品家族正在用移动互联网帮助企业构建新一代的管理桥梁。和创科技具备国家双软认证、国家高新技术、地图测绘等资质，并拥有二十多项核心专利技术。公司核心团队由来自北大、北师大、南大、北邮与新国大等国内外**大学的同学校友组成，核心成员曾服务过阿里巴巴、三星、中软国际、中国五矿、百度、复星与中国电信等公司。公司自2010 年以来先后获得雷军先生和中关村管委会等个人和机构的巨额投资， 成为投资机构广泛认可商业模式，相信和创科技将成为新的移动互联的“独角兽”公司。","软件开发,数据服务",500-2000人,人工智能,长沙
项目合伙人,https://www.lagou.com/jobs/7138588.html,雨花区,8k-12k,湖南未来春藤教育科技有限公司,1-3年,大专,这是一条超长期的黄金赛道！,此岗位无需全职，懂互联网/新媒体销售，时间自由。工作地点可在长沙，或湖南其它城市1、根据自身资源，与培训机构、家庭教育机构、幼儿园、学校、知识付费组织、家政机构、实体店主等，对接家长资源。2、可举办线上家长训练营（总部策划）、家长读书会/沙龙，分享和交流家庭教育及教育规划领域相关知识。未来春藤家长学院 平台的7大优势一，利润高：国内标准服务业利润为8-15%，未来春藤让利40-60%给合伙人，还享受用户无限裂变的分润 二，招募易：轻投入、辐射广、双风口（知识付费+家庭教育规划）、渠道宽三，运营易：超强运营体系输出四，模式好：终身绑定的会员制模式，会员一生一世的消费，你都分润五，师资强：所有师资都来自国内外一流名校六，管理易：SaaS系统结合人工智能及云计算能力，使管理高效、智慧七，生态优：未来春藤不是市场上的一个商业节点，而是提供一站式服务，是商业生态的搭建者，生态决定壁垒。项目合伙人有哪些要求：1.认可未来春藤企业文化和教育理念2.有一定的资源与投资能力3.针对未来春藤项目有一定的运营思路规划4.有文化教育、互联网行业销售经验者优先未来不再有公司，只有平台，未来不再有员工，只有合伙人！加入未来春藤教育，既分享蓝海红利，又能帮助身边千万家庭。拒绝平庸，欢迎热爱教育、有理想的伙伴与我们携手，让湖南孩子同步享受全球优质的教育资源！投资教育，就选未来春藤！,教育、人工智能,少于15人,人工智能,长沙
首席技术官,https://www.lagou.com/jobs/6362332.html,天心区,20k-40k,湖南土流信息科技集团有限公司,10年以上,本科,C轮融资 双休 扁平化管理,岗位职责：1、根据公司业务发展战略，制定技术路线图并组织落实技术框架搭建及完善，为公司业务发展和核心产品研发提供技术指导和保障；2、进行项目可行性分析，带领产品研发团队做发展规划并落实技术选型，架构设计，指导、审核总体技术方案，指导并适当参与底层框架、核心代码编写，管理项目成员的工作质量，对开发结果进行质量评估，对研发结果质量负责；3、管理公司产品版本的迭代开发，负责协调项目的开发、实施的各个环节，把握项目的整体进度，保证最终版本质量；4、对行业产品及动向保持敏锐的感知度，负责公司产品关键技术架构的制定和相关新技术的研究工作（如大数据/人工智能等方向），对公司的技术演进能够做出中长期规划，建立内部技术优化和能力沉淀机制；5、负责公司研发团队建设和管理，打造高绩效高能力的技术团队，培养团队创新文化和用开放的心态构建学习成长型团队。任职要求：1、本科及以上学历，计算机、电子、通信工程、软件等相关专业；2、8年以上平台/软件/移动端等领域开发、架构设计经验，3年及以上大中型移动互联网公司技术总监或CTO岗位经验； 3、有较强的平台化思维，对行业的新技术（如大数据/人工智能）有一定的研究或项目经验；3、精通互联网技术系统的架构设计、系统分析、编码实现、性能优化及系统安全，精通常用设计模式和主流设计工具；4、精通java程序开发和ssm、springboot、springcloud主流开发框架，掌握多线程高性能程序开发，掌握jvm工作原理，具备jvm调优经验；掌握java高性能网络编程；5、精通mysql，postgreSQL，oracle等数据库系统，掌握数据库和sql优化，数据库集群及数据库切分扩展；6、熟练掌握互联网中间件开发与集成技术体系，熟练掌握常见开源框架和技术，熟悉大规模分布式系统的负载均衡、缓存、网络存储、网络安全、数据库高可用设计及性能评估机制，具备海量数据、大批量、高并发、高性能分析及处理的成熟经验；7、熟练掌握大数据批量和实时分析处理技术，包括但不限于flume，kafka，hadoop HDFS，mongodb，hbase，mapreduce/spark，storm，hive，kylin等。8、有丰富的项目管理经验、产品研发和团队管理经验，有很强的计划执行能力及优秀的协调资源达成结果能力，有50人以上团队管理经验者优先；9、为人诚信，具有高度的责任心，工作主动积极，有大局观，能理解并执行董事长战略方向指导并坚定地落地执行。,消费生活,150-500人,人工智能,长沙
软件研发工程师（golang）,https://www.lagou.com/jobs/7027293.html,天心区,6k-10k,湖南心镜科技有限公司,1-3年,本科,周末双休六险一金，免费下午茶同事nice,福利待遇：①时间：9:30-12:00 14:00-18:30，周末双休。带薪年假+婚、丧、产、陪产假；②收入：上不封顶的；③培训：干货培训是免费的；④旅游：奖励多，方案多，免费周游世界；⑤晋升：空间大，是不靠关系的；⑥奖励：六险一金，福利多多；⑦心情：是自由的，还有每周免费下午茶，让你开心不下线。期待闪光的你，加入心镜科技！工作职责：1、软件研发工程师，负责产品服务端的设计、必须掌握Golang开发和单元测试工作；2、参与软件架构的设计和优化，并对软件性能进行优化;3、业务系统正常维护；4、完成其他相关工作。任职要求：1.涉猎面广，并且掌握Golang开发，主持，组织过项目的完成（或项目重要成员的）2.优秀的学习能力和问题解决能力，自我驱动，执行力强，主动承接任务3.对基本数据结构、网络协议、算法有深刻理解；对前后端分离有深刻理解，可设计restful接口；4.熟练掌握Golang开发，熟悉python/perl/shell等至少一门脚本语言，或熟悉Android或IOS开发基础知识5.熟悉linux服务器维护，可操作postgresql/mysql/mongo等数据库；6.有良好的工作及编码习惯；7.良好的沟通与表达能力、思路清晰，有较强的主动性和责任心，有较好的团队协作能力，技术视野广泛。8.能接受加班（非全日制本科以上与无诚意者勿扰）       公司拥有一支高水平的技术团队，技术骨干均为软件开发、系统管理、信息安全领域的大全栈极客；、如：AI人工智能(产品已上线)、大数据、云计算、创新的多种开源项目，还有多个合作项目。我们也是新大众创的创始合伙人，拥有2000平方的的创业孵化器。,"广告营销,移动互联网",15-50人,人工智能,长沙
图像算法工程师,https://www.lagou.com/jobs/6999671.html,雨花区,12k-18k,深圳昱拓智能有限公司,5-10年,本科,五险一金、双休、带薪休假、年底双薪,工作职责：1.参与整个算法实现过程，从需求分析、输入输出确定、方案设计、测试、算法库交付等；2. 图像目标检测、定位、检索、配准等算法设计、实现及优化；3. 基于可见光/热成像相机的全景拼接算法及可视化软件的开发；4. 机器人自主完成现场目标采集、识别的自动化工具的设计、开发与优化；5. 研究深度学习及传统机器学习中核心算法，针对目标问题收集样本，训练模型及优化。任职要求：1.本科及以上学历，计算机、应用数学、统计学、模式识别、人工智能、信号处理等相关专业；2. 有图像处理、模式识别、视觉分析、机器学习等算法经验3. 具有良好的C/C++语言功底，熟悉Python语言和opencv4.思路清晰，逻辑分析能力强，有解决复杂问题的能力。,人工智能,50-150人,人工智能,长沙
