job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
人工智能培训师,https://www.lagou.com/jobs/7106048.html,青岛经济技术开发区,10k-20k,北京市商汤科技开发有限公司,3-5年,本科,人工智能,1. 负责K12阶段人工智能方向的课程设计和课程发展体系的建设2. 负责课程需求的收集、挖掘和整理，分析对标企业动态、行业市场动态及客户需求分析3. 组织推动教材及教学资源的收集、开发、整理和维护等工作4. 负责课程产品从调研、设计以及持续迭代优化，不断创新和发掘课程产品5. 参与课程录制和文档资源的开发，对课程质量及进度负责6. 参加或实施行业学术交流与研讨、演讲、培训及师资培训任职资格:1、本科及以上学历，人工智能、计算机及教育学相关专业，3年以上相关经验2、两年以上计算机视觉、语音识别、自然语言处理等任意领域相关工作经验，具备一定的演讲授课经验3、掌握计算机视觉、语音识别、自然语言处理领域的基础理论和方法，有该领域算法的研究或开发经验4、至少熟悉TensorFlow、Caffe、PyTorch中的一种框架5、拥有优秀的创新能力、逻辑思维能力优秀的信息资料收集及整合能力6、具有较强的学习能力，具备学术专研精神，秉持教育的专业态度和方法7、热爱教育事业，热爱学习，具备一定的审美意识，工作细心、耐心、责任心强,人工智能,2000人以上,人工智能,青岛
大数据与人工智能工程师,https://www.lagou.com/jobs/6855131.html,,12k-18k,海尔集团,不限,本科,10002,,"物联网,电商",2000人以上,人工智能,青岛
高职AI培训师,https://www.lagou.com/jobs/7103204.html,青岛高新技术产业开发区,10k-20k,北京市商汤科技开发有限公司,5-10年,本科,大牛团队,岗位职责： 人工智能相关设计课程，并讲解人工智能、自然语言处理，经计算机视觉，数据挖掘，机器学习、数据科学的知识，使学生具备初级AI工程师或参数训练师的能力。任职要求：1. 本科及以上学历，五年及以上工作经验，计算机、数学、物理等相关专业毕业；硕士两年以上工作经验。2. 对自然语言处理、计算机视觉、数据挖掘或者推荐系统、数据可视化、无人驾驶等其中一个或者多个感兴趣且有足够的研究；3. 熟练掌握Python编程语言，精通数据结构算法，动手能力强，参与过实际的企业项目；4. 熟练掌握基础的数学、统计相关知识，对微积分，概率论等基础知识清楚；5. 熟练掌握基础的人工智能、机器学习方法；6、具备扎实的机器学习和深度学习功底，对于常用算法例如SVM，决策树，GBDT，CNN，RNN等的原理有深刻理解。具备一定的工程能力，熟悉至少一种深度学习开发框架(Tensorflow/Pytorch)；7. 有教育理想愿意把自身经验技术传播给更多的人；,人工智能,2000人以上,人工智能,青岛
物联网产品经理,https://www.lagou.com/jobs/6381633.html,市北区,15k-30k,山东海博科技信息系统股份有限公司,5-10年,不限,人工智能物联网产品,技能要求：竞品分析，产品设计，用户研究工作职责：1. 负责调研公安领域行业需求，挖掘智能穿戴、智能装备相关的产品价值；2. 负责对产品需求、交互方式提出创新型的想法，能够结合业务场景设计方案；3. 负责规划产品方向与内容，设计产品架构；4. 负责定义产品核心功能，并设计产品原型；5. 负责与设计和研发团队配合，推进产品上线；6. 能够与部门内、外部团队，外部供应商紧密配合，高效推动产品设计、研发及运营推广。任职资格：1. 优先考虑有人工智能、车联网方向产品经验的人选和有从0到1产品经验的人选；2. 具备5年以上产品相关的工作经验；3. 了解AI领域相关知识，对人工智能有强烈的兴趣；4. 具备良好的需求分析、产品设计、用户体验评估能力；5. 有良好的问题解决，沟通协调，和跨团队合作推动能力；6. 思维活跃，有创新思维，能承受工作压力，工作中有强烈责任感；7. 有优秀的执行力，面对挑战，能快速决策分析。,"移动互联网,信息安全",50-150人,人工智能,青岛
机器学习专家,https://www.lagou.com/jobs/6578537.html,市北区,8k-16k,青岛永嘎科技有限公司,3-5年,本科,"一同创业，共同成长。
成为联合创始人。",1.用好python.熟悉机器学习，深度学习，迁移学习，强化学习。熟悉基本的算法，机器学习常用算法，有自己擅长的领域。tensorflow.pytorch，caffe.solodity.至少要会使用一种。2主要实践方向，对二手房数据的机器学习推荐系统，广告系统，二手房区块链公链的实现，其他研究方向，人工智能下:脑机接口，癌症的诊断和基因治疗，量化交易。.3. 利用数据挖掘、建模分析的理论和方法解决具体业务需求问题，提升业务运转能力； 4、对互联网大数据挖掘、数据分析有一定的研究，并且拥有非常强的自我学习能力、自我激励能力。,"移动互联网,消费生活",少于15人,人工智能,青岛
课程顾问咨询顾问,https://www.lagou.com/jobs/7066452.html,青岛高新技术产业开发区,3k-5k,青岛兔小蕾教育科技有限公司,3-5年,本科,弹性工作，高额提成，不限地区，不限时间段,公司介绍:兔小蕾是由中远惠科集团联合青岛大学人工智能实验室、（青岛）腾讯众创空间重点投资孵化的专注于K12领域的共享教育生态平台。旗下拥有：兔小蕾云课K12知识付费创业平台、云小播名师直播平台、战国策教育联盟、金牌招生商学院、真牛拓客招生引流工具五大产品矩阵。集团总部位于世界啤酒之城，中国帆船之都青岛，腾讯众创空间青岛产业运营中心，办公总面积达1万平方米，是青岛高新区重点扶持的教育类高新技术创新项目。     兔小蕾诚招在线直播课教师 科目 :美术，英语，音乐，全脑，数学，语文等文化类，素质类全科老师职责描述1.参与培训、考核、备课、直播带课、社群组建等相关活动2.与助教老师配合，保质保量完成试听课的讲授与转化3.制定成熟的教学计划，为学生提供高质量的课程内容4.按教学计划与辅导老师配合完成系统课程5.根据学员反馈，迭代课程内容，优化教学方法 任职要求1.1年以上培训机构任职经验2.1年以上大班教学经验，教学功底扎实，教学风格鲜明，知名教育机构任职者优先3.学习能力及适应能力强，拥抱变化，有良好的团队协作能力4.认真负责，对教育事业抱有浓厚的热情且认同在线教育模式 薪资水平薪资构成：底薪+提成  月收入1-2万，优异者可达5万,教育,50-150人,人工智能,青岛
新媒体在线销售不外跑,https://www.lagou.com/jobs/7068052.html,黄岛区,3k-6k,青岛艾美伊人电子商务有限公司,不限,不限,环境优雅，同事平易近人，带薪休假,【任职要求】（1）18-26岁，大专及以上学历（优秀高中毕业生也可考虑哒）；（2）热爱销售，较好有过销售或电商运营的经验啦；（3）工作的你，认真上进，激情满满，敢拼敢冲；（4）你较好是不安于现状，想要在自己的人生中干出一番事业！【岗位职责】1.利用新媒体工具打造好属于你自己的网络自媒体IP2.对接公司给你的资源促进成交和二次消费（公司会给你充足的资源，而且会有人工智能的销售工具帮助你超快速工作）3.配合营销策划团队开展每一次电商大节日（例如双11、双12的剁手节等等）【岗位亮点】1.【学习】我们会为您提供企业商学院的学习账号、同时提供每个月较少2次的系统带薪培训机会，让您不断增值自己提升能力！2.【发展】我们会为您提供清晰的个人职业发展规划，为您提供多职能发展方向以及内部创业机会，让您保持进步、实现您的职业理想！3.【财富】我们会为您提供清晰透明的薪酬机制：无责任底薪+15%提成（比75%同行业要高），公司为您提供充足的客户资源，其中无需缴纳任何费用，提成不进行任何克扣和折算，真正保证您多劳多得！4.【办公】我们会为您提供较轻松的办公环境，无需外跑，冬天提供暖气、夏天提供冷气，中午提供零食下午茶，如需加班则提供糖水，每个月组织团建活动，每年组织省内、省外旅游，年底提供孝心红包以及3~5个月的年终奖金，让您觉得上班原来是一种享受！5.【福利】我们会为您提供五险、法定节假日、员工产品折扣补贴、零食货架、冰箱、充电宝、预算等方便员工的设备，同时为您提供舒适办公环境，提供24小时办公安保、近20家不同风味餐馆、篮球场、商场、公寓，让您工作无任何后顾之忧！【说在较后】感谢您的阅读，如果您感兴趣可以投递简历或联系我们的HR，我们24小时随时为您服务，希望我们能有缘成为同事，感恩！,电商,500-2000人,人工智能,青岛
C++开发工程师,https://www.lagou.com/jobs/6855141.html,,12k-18k,海尔集团,不限,本科,10002,,"物联网,电商",2000人以上,人工智能,青岛
文案策划,https://www.lagou.com/jobs/6950213.html,市北区,4k-6k,青岛易联匠心科技有限公司,3-5年,本科,环境好,岗位职责官微、软文推广、新闻稿等内容撰写和运营；结合行业热点和公司技术产品优势、客户案例，产出优质内容；应用新媒体资源帮助公司实现在品牌形象、人才招聘、营销宣传等方面的目标；岗位要求本科及以上学历，新闻系或中文系专业优先；思路清晰，良好的创意能力；对人工智能、大数据、企业服务等相关行业有一定见解；文笔优秀，有记者/编辑/文案或IT科技类媒体相关工作经验优先，经常发表文章优先；具备一定的抗压能力，工作效率高，有上进心，沟通能力和团队合作精神佳。,移动互联网,50-150人,人工智能,青岛
新媒体在线销售不外跑,https://www.lagou.com/jobs/7083235.html,黄岛区,5k-8k,青岛艾美伊人电子商务有限公司,不限,不限,五险 工作环境好 做六休一,【任职要求】（1）18-25岁，大专及以上学历（优秀高中毕业生也可考虑哒）；（2）热爱销售，较好有过销售或电商运营的经验啦；（3）工作的你，认真上进，激情满满，敢拼敢冲；（4）你较好是不安于现状，想要在自己的人生中干出一番事业！【岗位职责】1.利用新媒体工具打造好属于你自己的网络自媒体IP2.对接公司给你的资源促进成交和二次消费（公司会给你充足的资源，而且会有人工智能的销售工具帮助你超快速工作）3.配合营销策划团队开展每一次电商大节日（例如双11、双12的剁手节等等）【岗位亮点】1.【学习】我们会为您提供企业商学院的学习账号、同时提供每个月较少2次的系统带薪培训机会，让您不断增值自己提升能力！2.【发展】我们会为您提供清晰的个人职业发展规划，为您提供多职能发展方向以及内部创业机会，让您保持进步、实现您的职业理想！3.【财富】我们会为您提供清晰透明的薪酬机制：无责任底薪+15%提成（比75%同行业要高），公司为您提供充足的客户资源，其中无需缴纳任何费用，提成不进行任何克扣和折算，真正保证您多劳多得！4.【办公】我们会为您提供较轻松的办公环境，无需外跑，冬天提供暖气、夏天提供冷气，中午提供零食下午茶，如需加班则提供糖水，每个月组织团建活动，每年组织省内、省外旅游，年底提供孝心红包以及3~5个月的年终奖金，让您觉得上班原来是一种享受！5.【福利】我们会为您提供五险、法定节假日、员工产品折扣补贴、零食货架、冰箱、充电宝、预算等方便员工的设备，同时为您提供舒适办公环境，提供24小时办公安保、近20家不同风味餐馆、篮球场、商场、公寓，让您工作无任何后顾之忧！【说在较后】感谢您的阅读，如果您感兴趣可以投递简历或联系我们的HR，我们24小时随时为您服务，希望我们能有缘成为同事，感恩！,电商,500-2000人,人工智能,青岛
