job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
区块链,https://www.lagou.com/jobs/6921188.html,海淀区,20k-25k,北京金鸿睿信息科技有限公司,3-5年,本科,创业平台、期权奖励,【岗位职责】1、负责基于区块链技术隐私资产链、联盟链架构设计与应用平台开发；研究、开发并实现区块链协议、运行机制、加密技术、共识算法和底层实现；2、配合项目负责人实施技术决策和技术方案，组织架构设计与升级优化。【任职资格】1、3年以上区块链相关研发经验；2、良好的代码规范和文档规范；3、至少熟悉一种开源比特币框架（硬性要求！！）4、精通c++、go、rust、java或python中的一种。,"数据服务,软件开发",15-50人,区块链,北京
云计算产品研发岗(大数据、AI、区块链方向),https://www.lagou.com/jobs/6525811.html,丰台区,20k-40k,建信金融科技有限责任公司,不限,本科,初创团队，福利高，发展广,"岗位职责1.参与建行云的规划和设计。2.参与建行云云产品的创新和架构管理。3.参与建行云相关技术标准、规范、流程的建设和管理。4.负责大数据、AI、区块链等PAAS产品的需求分析、设计、开发、部署等。岗位要求1.具有2年以上云计算行业或相关领域的云产品设计、开发、实施经验，了解主流云平台的技术结构特性或运营框架模式。2.具有主流大数据、AI、区块链工具/平台实际项目经验，熟练掌握Hadoop、Hive、Spark、Elasticsearch、kafka，并熟悉所使用工具的技术原理； 熟悉数据仓库概念，分布式计算技术理论，具有大数据整体系统架构设计经验；具有实际部署及运维大数据集群环境的经验。3.熟悉常用机器学习和数据挖掘算法，如决策树、分类，聚类以及神经网络等。4.精通至少一种编程语言，如java、C++，python， javascript, css, jsp，R语言、go语言或php，了解UI/UE前端开发；了解性能压测、持续集成、持续交付系统和工具开发等。5.精通scala语言优先；具有海量数据处理、数据挖掘、数据分析相关项目的工作经验者优先，有大型知名互联网公司云服务产品设计、开发工作经验者优先。其他要求1.具有全日制大学本科（含）以上学历及相应学位，年龄35周岁以下。2.有较强的动手能力和学习能力，具备实际问题解决能力。3.具有较强的风险意识，良好的协调、沟通与团队协作能力，能够适应压力环境中工作4.薪酬根据工作能力协商确定，上不封顶。","金融,软件开发",2000人以上,区块链,北京
区块链工程师,https://www.lagou.com/jobs/6606346.html,海淀区,30k-45k,欧科互动网络科技（北京）有限公司,3-5年,本科,大牛团队 发展前景 薪资客观,"岗位职责◇配合完成编码任务；◇负责区块链公链研发；◇搭建基于区块链的底层架构，能实现公链、侧链、私有链及多种逻辑；◇实施技术决策和技术方案，实现模块升级优化；◇跟踪互联网领域相关技术变化，并应用于实际研发产品中。任职资格：◇本科或以上学历，计算机软件或相关专业；◇2年以上工作经验；◇熟悉Linux，精通GoLang或C++、熟悉Java、Node.js等语言中至少1种◇有区块链, 分布式网络、应用密码学、网络安全等研发经验；◇年轻有激情，能够承受工作压力；◇对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力，沟通技能，团队合作能力;◇熟悉高并发系统，有大型分布式系统性能调优经验者优先◇在区块链开发社区贡献源码者优先；",金融,500-2000人,区块链,北京
大数据/区块链售前咨询顾问,https://www.lagou.com/jobs/7156816.html,海淀区,13k-22k,北京彩智科技有限公司,3-5年,本科,成长空间好，扁平管理,岗位职责：1.组织公司的招投标工作，需要熟悉招投标流程，能独立完成商务、技术等不同的内容，可以独立投标（必备条件）；2.按照售前工作要求完成对应客户、合作伙伴的大数据、区块链交流，包括产品交流、解决方案交流和业务交流等，并编制售前解决方案；3. 协助完成市场部门对大数据、区块链等领域的国家政策研究及课题项目、资质申报材料；4.协助项目交付工作，参与客户调研、需求分析、方案完善以及项目汇报等工作5. 负责领导交代的其他事项任职要求：（1）通信工程、电子信息工程、计算机科学与技术、自动化专业，本科以上学历，研究生学历优先。2年及以上政务、大数据、售前技术支持优先。（2）能熟练进行方案、技术交流、文档的编写。（3）熟悉至少一类政府机关相关知识及业务流程，熟悉大数据、机器学习、数据挖掘、数据建模、BI、知识图谱、区块链中至少一项相关技术。（4）工作认真负责、态度积极端正。强调团队协作，善于与人沟通。（5）能承受较强的工作压力，具有较强的责任心和执行力。（6）具备创新思维，能基于已有知识体系，通过短时间的学习，快速掌握陌生领域的大数据或区块链解决方案。,"移动互联网,企业服务",15-50人,区块链,北京
区块链研究员,https://www.lagou.com/jobs/6048644.html,海淀区,50k-80k,北京有链科技有限公司,1-3年,博士,业内专家、NB团队坐镇,岗位职责： 1、深入研究区块链和分布式系统共识算法，解决 YOUChain 遇到的相关问题 ；2、跟踪学术界与工业界的最新区块链进展，形成独立观点，改进现有设计 3、对 YOUChain 运行机制进行数学模型抽象，推导其安全性，从理论上改善其安全性 ；4、与工程团队紧密合作，提升工程安全性；将研究成果付诸实践；使用实验来验证假设和断言 ；5、撰写和发布文档和论文来阐明研究成果和实验结果 。任职资格：1、计算机相关专业、数学、密码学相关专业背景博士学历 ；2、具有扎实的数学功底，有数学建模比赛获奖记录优先 ；3、在行业国际顶会发表过一作优先 ；4、有知名区块链项目区块链项目（如比特币、以太坊）担任研究员经历优先。,区块链,50-150人,区块链,北京
区块链产品经理,https://www.lagou.com/jobs/7138385.html,朝阳区,30k-60k,北京三快在线科技有限公司,5-10年,本科,发展空间大,,消费生活,2000人以上,区块链,北京
区块链内容运营策划,https://www.lagou.com/jobs/7182271.html,海淀区,8k-15k,欧科互动网络科技（北京）有限公司,1-3年,本科,五险一金，发展空间大，带薪年假,一、工作职责1、负责区块链宣发渠道内容的策划、撰写、维护；2、制定内容传播策略，提升粉丝/用户拉新转化；3、区块链产品相关课程的制作优化，如操作指南、产品解读等；4、及时跟进产品更新进行课程内容的迭代更新；5、协助其他项目组进行区块链方面的内容支持、推广文案、软文等。二、任职要求1、全日制本科及以上学历，新闻、中文、市场、金融等相关专业优先；2、能够快速捕捉区块链行业动态，制定相关内容传播策略；3、有成功的拉新转化案例，成熟的拉新增长方法论；4、文字功底较强，表达逻辑清晰，行业敏感度强；5、具备1年以上内容营销经验，区块链、财经、科技等领域为佳；6、对区块链有着强烈的兴趣，愿意深耕区块链行业；7、性格和善，善于沟通，具有良好的团队合作能力；三、以下任何一点都是您的加分项：1、汉语普通话优秀，谈吐大方得体；2、具有出色的英语水平；3、会简单的图片处理或音频剪辑；4、做过垂直类视频|音频主播。欢迎携带作品联络～,金融,500-2000人,区块链,北京
区块链研发工程师,https://www.lagou.com/jobs/7143283.html,海淀区,20k-40k,贝壳找房（北京）科技有限公司,3-5年,本科,"16薪,大平台",,房产家居,2000人以上,区块链,北京
技术处处长（国网区块链科技（北京）有限公司）,https://www.lagou.com/jobs/7199974.html,西城区,25k-35k,国网电子商务有限公司,5-10年,硕士,五险一金 节日福利,一、岗位职责：1.负责开展区块链科技创新管理体系建设；2.负责***、省部级、国网公司级重大科技项目的申报、实施和验收工作；3.负责开展区块链公共服务平台技术研发和业务场景落地工作；4.负责区块链等重大科技成果培育和产业化推广。二、任职要求：1.年龄不超过40周岁；2.全日制硕士研究生及以上学历；3.计算机、通信等相关专业；4.具有5年以上信息通信或电力系统工作经验；5.了解国家区块链产业发展政策；6.具有良好的区块链、人工智能、大数据等领域研发能力；7.具有国网系统内信息化、科技管理经验者优先。三、报名方式：应聘者需下载并填写以下材料：《人员信息表》、《应聘人员信息汇总表》、《应聘人员承诺书》（应聘人员承诺书需提交签字扫描版，纸质原件参加笔试时交予现场工作人员）以上三个表格详见公司介绍页面 附件下载地址链接应聘者请同时提供以下佐证材料扫描件：身份证正反面、学历、学位证书（全日制、在职教育学历学位），专业技术资格证书，业绩成果证明和获奖证书，每人限报1个岗位。,电商,500-2000人,区块链,北京
产品经理（区块链行业）,https://www.lagou.com/jobs/7164195.html,海淀区,20k-30k,北京聚和天成科技有限公司,5-10年,本科,丰厚薪资、团队氛围优,岗位职责： 1、负责公司产品的需求，设计金融方面产品；2、负责撰写产品文档，设计产品原型，交互流程；3、负责协调沟通相关资源，推动管理产品功能实施跟进产品进度，提高产品整体质量；4、根据市场调研，用户反馈及数据分析结果持续优化产品；5、与开发.测试对接沟通、协调，保证产品实施阶段的进度与质量；6、对金融产品的运营状况进行监控和分析，并提出改进方案；7、对公司相关各类人员进行培训；8、监督新产品上线效果及运营状况。任职要求：1、统招本科及以上学历，985、211优先考虑，工作五年以上；2、对用户需求能敏锐的察觉，有较强的逻辑思维能力，需求分析能力及产品规划能力；3、具有数字货币交易所或者金融行业量化交易系统设计者或者做市策略系统设计者；4、熟练使用产品策划工具，能设计页面原型，能独立撰写需求文档；5、善于沟通，具有优秀的团队协作能力及敬业精神及较强的分析问题和解决问题的能力；6、有金融行业产品策划，互联网金融产品、数字货币交易及传统量化交易、做市策划等方面经验的优先考虑。,"移动互联网,金融",50-150人,区块链,北京
