job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
区块链开发工程师,https://www.lagou.com/jobs/7115954.html,江汉区,15k-24k,力迩斯区块链安防科技（武汉）有限公司,3-5年,本科,工资高,"1.参与和分析产品需求，完成系统概要设计；2.根据开发规范与流程独立完成核心模块的设计和编码； 3.持续优化系统，构建可扩展、高并发、高可用的产品，以适应公司业务的高速发展； 任职要求： 1.本科及以上学历，计算机类相关专业，3年以上Java开发经验；2.Java基础扎实, 深入掌握IO、多线程、集合、JVM等基础知识；3.深入掌握MVC、IoC、ORM、RPC等主流框架技术原理；4.熟练使用SpringBoot等主流开发框架，熟悉Dubbo,SpringCloud等微服务架构；5.熟练使用SQL语言，熟练掌握各种存储的使用, mysql, redis, nosql；6.深入理解面向对象思想和常用设计模式，注重代码质量，有工匠精神；7.热爱技术研发，具有快速学习能力，有良好的软件工程知识和编码规范意识；8.具有较好的沟通能力、思路清晰、善于思考、能独立分析和解决问题；9.有互联网大型系统开发经验优先，有高并发、高负载、高可用性相关经验优先。",移动互联网,50-150人,区块链,武汉
高级web前端开发工程师（区块链攻防项目）,https://www.lagou.com/jobs/6823933.html,洪山区,10k-15k,北京西普阳光教育科技股份有限公司,3-5年,本科,五险一金、补充医疗、弹性工作、绩效奖金,"岗位职责：1、参与区块链攻防项目开发2、开发可视化网络拓扑组件3、开发动画效果岗位基本要求：1. 计算机相关专业毕业2. 熟悉各种 Web 前端技术，熟练跨浏览器、跨终端的开发；3. 熟悉前端性能优化，熟练使用各种调试抓包工具，能独立分析、解决和归纳问题；4. 精通 Javascript、H5、Sass/Less/PostCSS 和 HTML 前端模板引擎；5.了解 ECMAScript, CommonJS, Promise 等标准, 熟练使用 Git；6. 精通面向对象的 Javascript 开发，有开发过 JS 框架或公共组件等开发经验；7. 熟悉使用 Vue.js 或 React.js 框架，研究过其源码实现优先；8. 对 Javascript 引擎实现机制、浏览器渲染性能有比较深入的研究；9. 熟悉 Gulp，Webpack 等前端构建工具；10. 较好的问题解决能力、沟通能力及学习能力，能反馈并主动 Push 项目问题的解决；11. 技术视野广阔，有主导前端技术方案设计的能力和经验；12. 较好的团队精神，善于技术沉淀、技术分享、技术创新；13. 熟悉 D3.js、Highcharts 、ECharts等可视化组件库开发优先（可视化方向）；14. 开发过网络拓扑组件（jsPlumb，jtopo，Le5le-topology）优先","教育,移动互联网",150-500人,区块链,武汉
区块链高级开发工程师,https://www.lagou.com/jobs/6697848.html,东湖新技术开发区,10k-20k,远光软件股份有限公司武汉研发中心,5-10年,本科,国资委控股~六险一金~双休~免费班车,岗位职责：1、从事区块链技术研究，基于hyperledger技术体系的研究。2、参与企业区块链平台架构设计，功能开发和关键技术实现； 3、参与公司区块链技术与平台的推广。4、指导应用项目的日常开发工作，解决开发中的技术问题。 任职要求：1、至少3年以上技术平台开发经验，精通 Go、Java中的一种及以上开发语言；2、熟悉Hyperledger Fabric、Ethereum、OpenChain、Bitcoin等相关开源项目中一种，具备Hyperledger Fabric实施和开发经验优先； 3、熟悉各类主流的共识算法，包括不限于PoW、PoS、DPoS、PBFT、Paxos、Raft等； 4、熟悉主流NoSQL数据库的原理与使用，尤其是KV型数据库，包括不限于Redis、LevelDB、CouchDB等； 5、熟悉HTTP/2协议，理解RPC框架，具备使用protobuf的开发实践经验。 6、熟悉Socket网络编程，精通各种数据结构和算法，对密码学、安全协议和加密算法有研究，熟悉分布式、多线程、容器等技术； 7、熟悉Linux，熟练掌握Docker容器技术的原理，部署和使用优化。,"企业服务,其他",2000人以上,区块链,武汉
区块链研究员,https://www.lagou.com/jobs/6707128.html,东湖新技术开发区,12k-20k,远光软件股份有限公司武汉研发中心,3-5年,博士,国资委控股~六险一金~双休~免费班车,岗位职责：1、负责区块链实验室课题研究与定期汇报；2、负责客户需求跟踪与发掘，协助完成项目可研与申报工作，负责招投标技术文档的撰写；3、负责跟进科技项目，协助完成项目交付件及验收工作；4、对技术方案进行归纳整理，完成方案设计与优化；5、负责部门专利挖掘，完成专利交底书；6、负责跟踪区块链领域国内外最新进展，完成文献翻译及培训相关工作。任职要求：1、具备区块链基础知识，了解区块链技术架构，有GO语言开发经验优先；2、熟悉主流共识、加密算法，具备算法分析能力，能搭建实验环境对开源代码进行调试、对比，通过数据得出结论；3、具备英文文献的阅读、整理能力，具备研究论文的撰写能力；4、专业要求：信息、计算机、数学等相关专业、英语6级者优先；5、博士优先，有区块链项目实战经验者优先。,"企业服务,其他",2000人以上,区块链,武汉
驱动及应用工程师,https://www.lagou.com/jobs/7210608.html,洪山区,12k-18k,成都佳华物链云科技有限公司,1-3年,本科,五险一金 年终奖,岗位职责：1. 参与区块链系统方案设计及相关文档撰写；2. 参与Windows/Linux/MacOS多个系统驱动开发；3. 参与跨平台应用程序开发，如Qt、PWA；4. 系统级对接测试与调试；5. 相关开发与设计文档输出。任职要求：1. 本科及以上，电子、计算机类相关专业2. 2年以上工作经验， 熟悉区块链、数据库、超级账本等相关知识；3. 熟悉Windows/Linux/MacOS一个或多个系统的驱动开发，熟悉Intel SGX；4. 熟悉应用软件开发，如Qt、PWA等。5. 学习能力强、吃苦耐劳、善于沟通、有团队精神,"移动互联网,数据服务",15-50人,区块链,武汉
资深驱动与应用开发工程师,https://www.lagou.com/jobs/7210648.html,洪山区,15k-20k,成都佳华物链云科技有限公司,1-3年,硕士,五险一金 年终奖,岗位职责：1. 参与区块链系统方案设计及相关文档撰写；2. 负责Windows/Linux/MacOS多个系统驱动开发；3. 负责跨平台应用程序开发，如Qt、PWA；4. 系统级对接测试与调试；5. 相关开发与设计文档输出;6. 相关专利、著作权书写与提交。任职要求：1. 硕士及以上学历，985/211院校 ，电子、计算机类相关专业2. 2年以上工作经历，熟悉区块链、数据库、超级账本等相关知识；3. 熟悉Windows/Linux/MacOS一个或多个系统的驱动开发，熟悉Intel SGX；4. 熟悉应用软件开发，如Qt、PWA等。5. 学习能力强、吃苦耐劳、善于沟通、有团队精神,"移动互联网,数据服务",15-50人,区块链,武汉
产品经理,https://www.lagou.com/jobs/6406349.html,东湖新技术开发区,10k-20k,丰图科技（深圳）有限公司武汉分公司,5-10年,本科,弹性工作，行业大牛，高薪高福利,"工作职责：1. 负责公司产品、行业解决方案的提炼与设计，完成各类技术资料的编写；2. 可独立完成用户现场需求沟通及软件的安装、调试、测试、运营和交付工作。3. 制定GIS应用产品线规划，以及相关产品的功能迭代计划，协调相关设计、研发、测试资源。4 深入了解并掌握公司产品，收集并反馈用户需求，帮助用户获得更好的用户体验，帮助公司产品持续合理迭代和创新；任职要求：1. 统招本科及以上学历，计算机、信息技术、地理信息等相关专业；2. 职业经历：5以上年GIS行业、互联网/软件行业产品经理/项目实施相关经验技能要求：1. 精通主流二/三维GIS软件；熟练掌握ArcGIS等至少一项GIS软件,熟悉主流GIS软件二次开发或熟悉GIS软件底层开发；熟悉主流GIS数据格式，了解空间数据相关知识及市面上主流的地理信息平台；熟悉公安、智慧城市建设、物流信息化者优先，熟悉专业领域GIS应用者优先，如PGIS、TGIS，对包括云计算、大数据、区块链在内的前沿科技有相关应用经验和知识者优先；2. 对Oracle，SQL server,等数据库有一定的了解，熟悉数据库相关的基本操作；",软件开发,150-500人,区块链,武汉
ICT产业发展研究员(武汉),https://www.lagou.com/jobs/7205644.html,东湖新技术开发区,16k-18k,中国信息通信研究院,1-3年,硕士,"知识分享,工作氛围好",1.负责或参与5G、工业互联网、区块链等前沿领域战略研究，持续跟踪产业发展动态，撰写高质量研究报告；2.支撑相关政策、规划、标准等文件的起草编制，承接重要科研支撑工作；3.拓展产业交流合作，开展省市县以及开发区产业发展规划、产业园区顶层规划、园区运营管理咨询等业务4.完成上级领导交办的其他任务。1.全日制硕士研究生及以上学历，通信、电子、计算机、产业经济学等相关专业，2年以上工作经验；2.有工业互联网、5G、区块链等相关行业研究经验者优先；3.热爱产业研究工作，主动钻研、抗压能力强、责任心强，善于团队协作；4.文字及表达能力强，可独立撰写研究报告和PPT。,通讯电子,2000人以上,区块链,武汉
商务运营,https://www.lagou.com/jobs/7139405.html,洪山区,3k-6k,武汉驰泰区块链科技有限公司,1年以下,大专,福利待遇好,岗位职责：1、负责相关产品的运营与宣传推广等；2、线上活动参与执行，活动创意构思，给与前期提案，设计创意；3、社群维护、社群氛围引导，用户问题处理及采集；4、产品内容日常维护更新，挖掘优质的UGC内容；5、对用户进行深入研究，挖掘产品卖点；6、完成领导分配的其他工作任务。任职要求：1、大专以上学历，有财经、金融、互联网行业工作经历或者学历者优先考虑；2、对网络热点，突发事件有敏锐的嗅觉并可快速反应，了解区块链数字货币者为佳；3、有无经验均可，专人培训，需要勤奋好学，工作和学习的主动性强，有创业精神。,"移动互联网,电商",15-50人,区块链,武汉
.net高级研发工程师,https://www.lagou.com/jobs/6242586.html,东湖新技术开发区,15k-25k,湖北微交平台系统有限公司,5-10年,本科,五险一金 双休 带薪年假,"技能要求：工作流引擎、自定义表单工作职责:1、根据公司发展战略和市场营销需要，拟定公司中远期研发计划，把握研发方向，确定公司产品框架及开发实施计划，处理好与产品管理部门和核心成员的关系；2、根据市场营销需要，控制产品开发进度，调整计划并确保研发进度；3、针对公司具体项目实施，控制项目需求变更，支持项目实施的顺利进行；4、指导并监督研发部门执行公司研发战略、研发计划并能适应阶段性调整计划；5、负责研发中心各部门、项目组的日常管理工作和部门建设，制订并监督执行部门工作计划；6、组建并管理优秀的产品研发团队，永葆乐观积极态度，杜绝负能量，培训与考核技术人员；7、完成上级领导安排的其他工作。招聘要求：1、本科及以上学历，计算机相关专业；2、5年以上.NET项目研发经历、3年以上技术架构设计经验以及团队管理建设经验，具有战略管理、项目管理、创新管理等方面的知识，完全认同公司发展战略、路径选择、体系思维方法论和体系工具模式；3、精通.net，具备大型系统平台开发经验，具有多种语言开发经验者优先，有云计算、大数据、人工智能、区块链、可穿戴设备和物联网等产业互联网思维相关经验者优先考虑；4、精通C#及面向对象设计开发，熟悉 .net框架、winform、linq、async、task、lambda等 .net特性；具备良好的识别和设计通用框架及模块的能力；5、对技术市场具有强烈的敏锐度，并能及时掌握IT行业最新的技术发展趋势和业务发展动向，能够从客户和业务的角度来进行技术实现；6、具有大型ERP、OA、业务管理类项目、产业生态链产品研发或者电子商务网站系统架构设计（包括C端和B端系统架构设计）经验背景的优先；7、具有良好的团队合作精神和管理能力，具备较强的沟通、组织协调力、分析判断能力及执行力；较强的学习和运用新技术的能力。一经录用，公司将为您提供：1、工作时间：8:30-12:00,13:30-17:30，5天工作制，周末双休；2、公司福利：公司为全体员工缴纳五险一金(入职即享受)，节假日福利，超长春节假期；3、依法享有法定节假日，年假（5-15天）、婚假、丧假、产假、陪产假等带薪假期；4、提供完善的培训体系和广阔的职业发展、晋升空间，开放性的办公环境、自由融洽的工作氛围、丰富的企业文化活动。","其他,企业服务",50-150人,区块链,武汉
