job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
安全技术服务高级工程师,https://www.lagou.com/jobs/7071942.html,甘井子区,20k-25k,大连市世纪鲲鹏科技有限公司,5-10年,本科,"弹性工作,福利待遇好,发展空间大",岗位职责：1.支持企业级客户的日常安全技术服务需求，包括安全评估、代码审计、渗透测试、攻击面和威胁分析、漏洞分析和修复等，重点在Web应用、智能手机移动App和内网的安全评估和测试。 2.支持安全相关的技术体系建设，包括数据安全架构设计，漏洞风险扫描平台建设，企业级APT防护，安全风险演练与培训等工作。3.支持新兴安全技术领域的技术工作，如智能网联汽车安全、IoT安全、5G安全、区块链安全等。岗位要求：        1.扎实基础，对Web/移动App安全漏洞的原理、危害、利用及修复有较深入理解，有二进制逆向和分析能力。 2.熟练掌握代码审计的流程、技术方法及主流的代码审计工具。 3.熟练掌握渗透测试的流程、技术方法及主流的渗透测试工具。 4.熟练掌握内网渗透的相关技术方法和技巧，对绕过WAF等安全防护设备有相关的研究和实践经验。 5.具备客户服务意识，能够深入理解客户安全需求，并能够高质量交付和沟通服务成果，具备较好面向客户沟通能力和文档能力。 6.对安全新技术和新应用场景有技术研究和积累的热情，具备快速学习和实践能力。 7.有参加国内外行业安全竞赛经验者优先（如CTF比赛、实战攻防演练竞赛等）。,移动互联网,150-500人,区块链,沈阳
安全技术服务高级工程师,https://www.lagou.com/jobs/7086833.html,甘井子区,15k-25k,大连市世纪鲲鹏科技有限公司,5-10年,本科,发展前景大,岗位职责：1.支持企业级客户的日常安全技术服务需求，包括安全评估、代码审计、渗透测试、攻击面和威胁分析、漏洞分析和修复等，重点在Web应用、智能手机移动App和内网的安全评估和测试。 2.支持安全相关的技术体系建设，包括数据安全架构设计，漏洞风险扫描平台建设，企业级APT防护，安全风险演练与培训等工作。3.支持新兴安全技术领域的技术工作，如智能网联汽车安全、IoT安全、5G安全、区块链安全等。岗位要求：        1.扎实基础，对Web/移动App安全漏洞的原理、危害、利用及修复有较深入理解，有二进制逆向和分析能力。 2.熟练掌握代码审计的流程、技术方法及主流的代码审计工具。 3.熟练掌握渗透测试的流程、技术方法及主流的渗透测试工具。 4.熟练掌握内网渗透的相关技术方法和技巧，对绕过WAF等安全防护设备有相关的研究和实践经验。 5.具备客户服务意识，能够深入理解客户安全需求，并能够高质量交付和沟通服务成果，具备较好面向客户沟通能力和文档能力。 6.对安全新技术和新应用场景有技术研究和积累的热情，具备快速学习和实践能力。 7.有参加国内外行业安全竞赛经验者优先（如CTF比赛、实战攻防演练竞赛等）。,移动互联网,150-500人,区块链,沈阳
日语JAVA开发工程师,https://www.lagou.com/jobs/6755610.html,旅顺口区,10k-20k,国际商业机器（中国）有限公司,5-10年,本科,十三薪/ 年终奖/六险一金/ 优质平台,"1:2年以上Java语言为主的软件开发经验。2.日语可以沟通。2:掌握html/css/javascript基础知识,深入了解其中一种持久化框架(Hibernate、MyBatis、JPA等)3:熟悉MySQL或Oracle数据库、Linux操作系统、Nginx或Apache4:寻求java技术开发者或者架构师。5:有微服务/机器学习/大数据/云/区块链等经验背景更佳，或有兴趣此类技术和项目。","电商,数据服务",2000人以上,区块链,沈阳
区块链,https://www.lagou.com/jobs/6921188.html,海淀区,20k-25k,北京金鸿睿信息科技有限公司,3-5年,本科,创业平台、期权奖励,【岗位职责】1、负责基于区块链技术隐私资产链、联盟链架构设计与应用平台开发；研究、开发并实现区块链协议、运行机制、加密技术、共识算法和底层实现；2、配合项目负责人实施技术决策和技术方案，组织架构设计与升级优化。【任职资格】1、3年以上区块链相关研发经验；2、良好的代码规范和文档规范；3、至少熟悉一种开源比特币框架（硬性要求！！）4、精通c++、go、rust、java或python中的一种。,"数据服务,软件开发",15-50人,区块链,沈阳
php工程师（共享租赁+区块链）,https://www.lagou.com/jobs/5358904.html,天河区,10k-16k,广州研趣信息科技有限公司,1-3年,大专,带薪年假，五险，13薪，绩效股权激励,【岗位职责】：1、主要负责公司平台人人租机系统开发及维护；2、开发和维护项目核心代码；3、有机会接触大流量、大并发、大数据解决方案；4、有机会参与租赁行业区块链解决方案。【任职要求】：1、全日制专科及以上学历，计算机相关专业，三年左右开发工作经验（有大型网站系统设计和性能优化 ，并有实际的项目经验加分）；2、性格开朗乐观、积极向上，具有自我驱动能力、分析和解决问题的能力和强烈的进取心，以及良好的沟通能力和团队协作精神；3、熟悉至少1-2种PHP框架（yii，yaf，laravel，thinkPHP等）；4、熟悉nginx，php 等配置和调优工作，掌握数据库的性能优化，掌握常用缓存技术（redis/memecache等）；5、掌握MVC和常用设计模式，代码风格良好，对PHP框架设计有一定的见解；6、熟悉 es/队列/swoole/docker/k8s 加分。公司为每一位研趣家人发放12（要爱）超值福利大礼包：1、【五险一金】广州社保+广州住房公积金；2、【全勤奖】100~300元/月；3、【工龄津贴】100~300元/月；4、【任期津贴】任主管级以上管理层达到期限者200~500元/月；5、【伙食补贴】260~350元/月；6、【法定假期】与国家法定节假日同步假期，此外达到期限者享有带薪年假（5天）、带薪病假（5天）；7、【幸福周三】每周三美味下午茶；8、【生日红包】生日当月发放100元现金红包；9、【节日礼品】重大节日当日发放精美礼品；10、【年度体检】每年统一安排一次体检，保障每位员工身体健康；11、【人才培养】对核心骨干、精英人才建立培养计划：学习型企业文化、通用业务技能培训、管理者培训等；12、【多彩团建】经常组织部门聚餐、健康运动、户外拓展、温馨年会、不定期旅游等。【工作时间】朝九晚六（9:00-18:00），大小周~,"移动互联网,社交",50-150人,区块链,沈阳
产品经理（区块链社区方向）,https://www.lagou.com/jobs/4755169.html,越秀区,18k-30k,链行天下（广州）区块链研究有限公司,5-10年,本科,产品经理,"岗位职责：1. 负责区块链社区类项目与平台内用户体系相关产品端的设计、竞品的调研和分析；2. 负责与相关研发、业务部门沟通、讨论、跟进相关产品落地；3. 充分理解和提炼业务要点，落实产品需求，协调项目人员，把控项目质量；4. 负责产品上线前产品验收测试，整理产品验收报告；5. 结合项目目标，持续优化产品功能、业务逻辑、流程，保持长期留存逐步提升；6. 制定社区各阶段推荐策略，保证社区内容符合定位，并逐步做到多样化；7. 负责对接运营团队，从社区框架上支持运营需求，保持社区活跃度逐步提升。岗位要求：1、本科及以上学历，4年以上互联网产品经理经验；2、熟悉金融产品设计理念及方法，对用户体验有独到认识，了解技术特性和系统构架；3、具备独立撰写产品文档的能力，熟练掌握产品需求分析、设计技巧,对交互设计过程有深入了解，有成功的产品； 4、对区块链有深厚兴趣。",移动互联网,50-150人,区块链,沈阳
区块链（Java）开发工程师,https://www.lagou.com/jobs/7013314.html,福田区,10k-20k,深圳星际超脑智能系统有限公司,1-3年,大专,CBD交通方便 工作环境好 五险一金,职位描述：1、有扎实的java基础功底，良好的编码规范和代码注释习惯，熟悉tcp/ip；2、精通常用设计模式和主流设计工具，具有java框架自主设计能力，有搭建java框架经验，能承担核心模块和核心功能开发；3、熟悉mysql、Redis等主流数据库开发，有较强的sql编写能力，能使用elasticsearch优化查询；4、熟悉数据库设计理论，具备一定的结合应用的数据库调优能力；5、熟练linux下服务器环境开发部署和Java性能调优，熟悉maven、gradlew；6、拥有一定前端开发基础7、吃苦耐劳，有一定的自我约束和控制能力，意志力坚强；8、拥有较强的学习能力，逻辑能力较强，有较强的抗压力和高度的责任感9、较为熟悉ubuntu和centos系统，区块链，maven、jetty、本科或者以上，迅速到岗10、具备海量数据、大批量、高并发、高性能分析及处理的成熟经验者优先。,"移动互联网,数据服务",15-50人,区块链,沈阳
27216-区块链高级产品经理,https://www.lagou.com/jobs/7015143.html,南山区,25k-35k,腾讯科技（深圳）有限公司,5-10年,本科,专业团队/舒适办公环境/丰富的鹅厂福利,工作职责1、负责区块链基础产品、行业应用产品的策划和功能迭代；2、负责选型和设计适用行业场景的区块链产品，并推动区块链应用和解决方案的落地实施；3、负责梳理产品需求、明确产品功能、撰写产品文档、设计产品原型、跟进产品研发上线。工作要求1、5年以上产品策划经验，有区块链、金融、to B、to G产品经验者优先；2、有大型产品策划及项目实施经验者优先；3、熟悉Hyperledger Fabric、Ethereum、Corda等主流区块链产品的框架和技术特点；4、逻辑能力强，责任心强，积极主动，善于沟通，具有团队合作精神。,社交,2000人以上,区块链,沈阳
29569-VB区块链高级开发工程师,https://www.lagou.com/jobs/6571140.html,南山区,25k-50k,腾讯科技（深圳）有限公司,5-10年,本科,腾讯,"工作职责：1. 负责VB数字资产业务领域的技术研发工作2. 负责参与设计VB 区块链系统开发工作3. 负责沟通产品需求确保相关研发工作的顺利实施岗位要求：1、 软件工程或计算机相关专业本科及以上，5年以上开发工作经验; 2、 精通 C++/Java/Go 中的两种以上开发语言，3、 精通比特币、以太坊实现原理;4、 精通 TCP、UDP网络编程，精通P2P网络原理与实现;5、 精通常用共识算法(POW, DPOS, PBFT)等;6、 精通智能合约实现原理;7、 具有分布式系统开发经验，熟练掌握分布式网络等相关技术;8、 良好的团队协作精神和执行力，较强的分析问题和解决问题能力",社交,2000人以上,区块链,沈阳
KKJ-商务拓展经理(AI/区块链创新产品),https://www.lagou.com/jobs/6280783.html,南山区,20k-30k,深圳前海微众银行股份有限公司,3-5年,本科,五险一金 绩效奖金 带薪年假,岗位职责：1、负责泛金融以及互联网行业合作伙伴的商务拓展、客情维护；2、推动金融科技产品的对外合作，完成团队目标；3、探索客户需求以及行业解决方案，协同产品部门完善产品； 4、进行市场调研与分析，研究行业发展状况，为公司的市场决策提供依据。任职要求：1、全日制大学本科以上学历，具有3年以上互联网金融科技、区块链行业应用、人脸核身、电子签章、语音机器人等云产品、云服务的市场工作经验优先；2、具有较强的人际交往能力、表达能力和服务意识；3、具有较强的风险意识，严格遵守国家法律法规及本行各项规章制度，无个人不良处罚记录；4、性格开朗，具有较好的心理素质，高度的责任心和工作热情，良好的团队合作意识和逻辑思维能力，工作积极主动。,金融,2000人以上,区块链,沈阳
KFB-区块链技术工程师,https://www.lagou.com/jobs/6302716.html,南山区,15k-25k,深圳前海微众银行股份有限公司,3-5年,本科,五险一金 绩效奖金 带薪年假,岗位职责：1、负责基于区块链平台的组件和业务服务设计、开发和维护；2、参与区块链技术、行业研究及开源生态建设。任职要求：1、计算机相关专业，本科及以上学历，三年及以上开发经验；2、JAVA基础扎实，深刻理解面向对象，熟悉常用数据结构和设计模式；熟悉Spring、Springboot、Mybatis等JAVA技术框架，并掌握对应的实现原理；3、有分布式系统开发经验，熟悉微服务架构、常用分布式中间件及数据库；4、学习能力强、具有良好的表达和沟通能力，具备团队合作精神，责任心强，敢担当；5、热爱技术，有开源项目、大数据治理或银行从业经验者优先；6、对区块链有一定了解，熟悉常见共识机制、加密算法及区块链开源项目，熟悉FISCO BCOS等区块链底层平台，有一定实操经验的优先。备注：该岗位深圳、上海均招聘,金融,2000人以上,区块链,沈阳
区块链高级开发,https://www.lagou.com/jobs/6939734.html,下城区,25k-30k,杭州浮云网络科技有限公司,3-5年,本科,五险一金、员工旅游、年底双薪、年度体检,岗位职责：1、参与区块链技术的研发、设计和开发工作；2、结合实际业务场景，利用联盟链完成构架、开发、部署、实施、监控审计节点、智能合约；3、了解和研究国内外区块链发展动向，提供和制定区块链产品解决方向；4、完成公司分配的开发工作目标。任职要求：1、熟练使用GoLang开发语言；2、了解区块链平台产品优先，如超级账本Hyperledger、以太坊Ethereum等；3、本科及以上学历，信息系统、计算机科学、数学或信息管理相关专业；4、3年以上互联网应用开发/软件开发/安全技术/IT实施等经验，参与区块链相关开源项目者优先；5、具有强烈的好奇心和独立思考能力，学习能力强，接受新事物能力强。,"游戏,移动互联网",150-500人,区块链,沈阳
大数据/区块链售前咨询顾问,https://www.lagou.com/jobs/7156816.html,海淀区,13k-22k,北京彩智科技有限公司,3-5年,本科,成长空间好，扁平管理,岗位职责：1.组织公司的招投标工作，需要熟悉招投标流程，能独立完成商务、技术等不同的内容，可以独立投标（必备条件）；2.按照售前工作要求完成对应客户、合作伙伴的大数据、区块链交流，包括产品交流、解决方案交流和业务交流等，并编制售前解决方案；3. 协助完成市场部门对大数据、区块链等领域的国家政策研究及课题项目、资质申报材料；4.协助项目交付工作，参与客户调研、需求分析、方案完善以及项目汇报等工作5. 负责领导交代的其他事项任职要求：（1）通信工程、电子信息工程、计算机科学与技术、自动化专业，本科以上学历，研究生学历优先。2年及以上政务、大数据、售前技术支持优先。（2）能熟练进行方案、技术交流、文档的编写。（3）熟悉至少一类政府机关相关知识及业务流程，熟悉大数据、机器学习、数据挖掘、数据建模、BI、知识图谱、区块链中至少一项相关技术。（4）工作认真负责、态度积极端正。强调团队协作，善于与人沟通。（5）能承受较强的工作压力，具有较强的责任心和执行力。（6）具备创新思维，能基于已有知识体系，通过短时间的学习，快速掌握陌生领域的大数据或区块链解决方案。,"移动互联网,企业服务",15-50人,区块链,沈阳
区块链软件开发工程师,https://www.lagou.com/jobs/7134553.html,高新区,15k-30k,成都无右区块链科技有限公司,3-5年,本科,广阔发展前景,岗位描述1、从事区块链方向的设计和研发工作，研究区块链的协议，运行机制和底层实现等。2、配合项目团队完成区块链核心平台、产品线的架构与规划。3、参与区块链平台核心技术开发，包括共识算法、智能合约、权限管理等。4、参与设计和实现区块链应用开发。5、对项目制定和实施技术决策和技术方案，架构设计与升级优化。6、配合项目团队成员的日常开发工作，并能在开发中解决技术问题。任职资格1、本科（及以上）学历，3-5年工作经验计算机网络相关专业优先。2、精通linux，有区块链项目的研发及部署经验。3、熟练掌握 Go、C＋＋、Java 其中两种编程语言，具有良好的编程能力和编程习惯。4、熟悉ETC/BTC/超级账本/区块链的原理、机制和相关加密算法。5、掌握企业区块链架构Hyperledger Fabric开发技术，有1-2年区块链开发经验。6、拥有良好执行能力和团队意识，责任心强，态度积极，善于沟通。7、遇到问题时，具备良好的分析和独立解决问题的能力。,移动互联网,50-150人,区块链,沈阳
区块链开发工程师,https://www.lagou.com/jobs/7215661.html,南山区,15k-30k,深圳市天杭科技有限公司,1-3年,本科,"福利待遇好,额外商业险,2个月带薪休3天",岗位职责：1.能够独立进行区块链底层系统及应用平台的功能定义和架构设计，研究区块链的协议，运行机制、底层实现和应用平台研发等；2.从事区块链产品的设计和研发工作，研究区块链的协议，运行机制和底层实现等。任职要求：1. 2年及以上C/C++ 一线开发经验，学历本科及以上（计算机、软件工程、数学等相关专业优先），对区块链有浓厚兴趣和极大热情；2.精通C++ 11以上特性，熟悉C++编程；3.熟练使用各种数据结构和算法；4.熟练使用多线程、异步通信、进程间通信、网络编程、应用层安全协议开发等 ，熟悉P2P协议流程；5.擅长gdb和其它各类C++性能调优工具，善于解决各类线上问题；6.逻辑能力强、思维活跃，接受新事物能力强，责任心强，积极主动，善于沟通，具备优秀的团队合作能力；7.较强的学习、思考和总结能力，有清晰的思路和方法论去解决未知问题；8.有强烈的的技术追求，对技术精益求精甚至有完美主义。*英语CET6，有良好的的英语听说能力者优先。*加分项1）了解一些主流NoSQL数据库的原理与使用，尤其是KV型数据库，包括不限于LevelDB，RocksDB等；2）了解Bitcoin、Ethereum、EOS等开源区块链系统细节设计；3）了解BFT、Paxos、Raft等一致性协议之一的细节；4）了解PoW，PoS，DPoS等区块链共识算法/协议细节；5）了解智能合约虚拟机的原理和实现，例如EVM，WASM；薪资福利：1、薪资待遇：提供具有竞争力的薪资待遇，薪资采取基本工资 +多元化奖金，上不封顶。2、工作环境：本公司拥有年轻的管理层、良好的工作氛围、宽松的工作环境、和谐的同事关系。3、带薪休假：除了享受国家法定节假日以外，更有额外带薪休假（基本平均每2个月享受3天带薪休假）。4、晋升调薪：员工正式入职后每年有4次升职机会，2次薪酬调升机会。5、社会保险：员工正式入职后即购买社保五险（养老保险，工伤保险，医疗保险，生育保险，失业保险）、公积金。6、商业保险：为转正员工购买工伤险、意外险、重疾险。7、中长期激励：凡转正员工每月额外奖励30%-50%工资的WGRT奖金，奖励的奖金与工资一同在15号发放。8、免费体检：转正后6个月后有大型免费体检。9、跟投机会：对于公司的投资项目，公司员工有机会跟投一定额度。10、茶歇零食：公司配备微波炉和冰箱，定期提供水果、零食、饮料等。11、打车报销：如加班到22：30以后，回家可报销打车费用。12、文娱活动：不定期组织各种文娱活动，如聚餐、K歌、户外运动、拓展训练等。13、学习培训：根据需要，提供不定期的学习培训资源（资金由公司提供）。,"移动互联网,区块链",50-150人,区块链,沈阳
区块链工程师,https://www.lagou.com/jobs/6652324.html,江宁区,15k-30k,续科天下（北京）科技有限公司,不限,硕士,扁平化管理，全球资源共享,"职位描述
 设计与实现高可扩展、高性能的区块链基础架构。
 实现关键基础架构以支持大型区块链应用程序，包括p2p网络，异步共识，虚拟机，区块
 数据库等。
 构建基础测试套件和集成测试框架。
 与学术研究人员进行合作，研发下一代区块链技术。
 为开源项目贡献代码。
职位要求
 计算机相关专业硕士及以上。
 至少熟悉以下语言之一：C++，Rust或者Go
 熟悉网络编程，多线程编程，操作系统和编译器等相关计算机基础知识。
 能够编写质量高，覆盖率高的单元测试。
有以下任一经验者优先
 具有设计和实现区块链基础设施的经验。
 具有共识算法或分布式系统的研究背景。
 从头开始构建过一个编译器。","移动互联网,金融",15-50人,区块链,沈阳
