job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
商务BD（区块链）,https://www.lagou.com/jobs/7147422.html,经济技术开发区,7k-13k,北京隐匿网络科技有限公司,3-5年,不限,轻松，新颖,1、负责国内外区块链行业契谈和对接商务合作，寻找优质区块链项目并促成合作签单；2、从商务市场角度协助公司发展，主动开拓区块链圈内有效渠道，建立长远良好关系；3、及时了解区块链行业发展动态，竞品情况，持续学习增强行业洞察力；4、负责区块链领域的商务合作、资源拓展、市场合作；流量获取与资源互换、建立对外业务合作；5、负责区块链节目和区块连频道的市场推广、活动策划、品牌宣传、公关推广等活动；任职要求：1、大专及以上学历，管理、市场营销、金融、外语等相关专业者优先；2、具备3年以上商务BD/大客户业务拓展经验，对区块链有浓厚兴趣或区块链行业从业者优先 ；3、英语听说读写能力优，具备优秀的沟通谈判技巧，并掌握基本商务礼仪；4、极强的销售能力，以及开拓、沟通、理解和说服力，具备敏锐的市场洞察力、严密的分析能力以及出色的危机处理能力；5、拥有区块链圈子的人脉和资源，对区块链、钱包、交易所产品和业务有一定的了解。,"电商,信息安全",少于15人,区块链,西安
区块链开发工程师,https://www.lagou.com/jobs/6939595.html,高新技术产业开发区,8k-15k,陕西尚品信息科技有限公司,1-3年,本科,年终奖，国家节假日,岗位介绍：1、基于区块链的相关技术服务的设计和研发；2、基于区块链技术的应用项目开发。任职资格：1、统招全日制本科及以上学历，计算机相关专业，2、掌握常见的算法和数据结构，并拥有良好的编码能力；3、拥有使用 C/C++、Go 或 Java的经验，掌握至少一门脚本语言；4、拥有优秀的发现和解决问题的能力，良好的沟通和团队协作能力，能承担一定压力；5、对区块链有一定了解，熟悉常见共识机制、加密算法及区块链开源项目，熟悉FISCO BCOS等区块链底层平台，有一定实操经验的优先。,"其他,移动互联网",15-50人,区块链,西安
区块链开发工程师,https://www.lagou.com/jobs/6617355.html,碑林区,10k-15k,陕西区块洞察网络科技有限公司,1-3年,大专,工作轻松，灵活性大，上班时间灵活,1、参与基于区块链(blockchain)相关产品的设计和研发；2、研究区块链的协议，运行机制和底层实现等；3、研发区块链基础设施的关键技术，定制和维护区块链测试和运维平台；4、能够根据开发计划，完成相应模块的设计、开发任务。任职要求:1、硕士以上学历，计算机科学、电子信息、软件工程等相关专业，对新的技术有一定的敏感性；2、至少精通JAVA，C++或者GO中的一种或几种语言，具备良好学习能力；3、熟悉Linux操作系统，了解Ethereum、Bitcoin、Hyperledger等相关开源项目和区块链技术，熟悉主流共识机制实现原理；4、思维开放，不拘泥已有经验，以解决问题为工作导向。5、个性特质：性格开朗，为人真诚，善于倾听。,"电商,金融",少于15人,区块链,西安
售前技术支持,https://www.lagou.com/jobs/6900973.html,雁塔区,10k-18k,西安格蒂电力有限公司,3-5年,本科,大数据 国网,任职资格： 1、本科及以上学历，3年以上IT行业相关工作经验，具备国网项目合作经验者优先考虑；2、熟悉物联网、云计算、大数据、人工智能、区块链等前沿信息技术应用与发展趋势，具有一定前瞻性研究能力，能够独立完成方案策划。3、语言表达能力强，思维清晰，具有较强的演讲和说服能力，性格开朗、积极向上，能够在压力下工作，能接受出差工作。岗位职责： 1、配合销售针对所负责区域重点项目技术交流、方案设计和撰写，项目跟进及突破性工作。2、负责所属区域渠道拓展工作，包含渠道培训、技术交流、项目攻克等；3、对公司产品和方案进行竞争分析和对比，对市场竞争形势进行动态总结；4、负责研讨会演讲、销售团队市场拓展活动支持。,企业服务,500-2000人,区块链,西安
安全研究员,https://www.lagou.com/jobs/6772137.html,高新技术产业开发区,13k-26k,西安深信科创信息技术有限公司,3-5年,本科,弹性工作时间、14薪、五险一金、股票分红,"1. 漏洞风险及原因分析，开发和优化自动化漏洞挖掘系统。2. 负责产品的技术方案设计、算法开发、核心代码开发。3. 探索研究可信软件工程前沿技术（智能化缺陷分析、缺陷修正、自动化验证、代码补齐等）。4. 在可信计算、安全证明、虚拟化安全、软件故障分析等领域构建知识产权与专利。 任职要求：1. 本科以上学历, 计算机科学/软件工程/自动化/工程数学等专业方向优先。2. 熟悉常用数据结构和算法，精通C/C++或Golang，熟悉shell或至少一门其他脚本语言。3. 熟悉常见软件漏洞类型和模糊测试技术。有程序插桩，符号执行，静态分析，污点跟踪及相关分析工具使用经验者优先。4. 有Linux系统下C/C++开发经验，对多线程使用场景及其带来的问题有深入的认识者优先。5. 熟悉区块链，了解以太坊智能合约或Fabric Hyperleder者优先。6. 加分项： 有自己的技术博客或参与的开源项目或业余作品（Talk is cheap，show me your code!）","人工智能,区块链",15-50人,区块链,西安
产品运营专员,https://www.lagou.com/jobs/6769597.html,高新技术产业开发区,6k-8k,西安深信科创信息技术有限公司,1-3年,本科,弹性考勤、股票期权、14薪、带薪年假,1、负责人工智能开放平台，区块链开放服务平台相关链路的运营工作落地，包括但不限于参与相关产品设计，对接外部合作方等。2、收集内外部用户使用产品过程中的问题及反馈，对运营数据进行统计与分析，形成对产品运营和设计有价值的策略。3、根据目标用户的特点及需求，联动产品运营，迭代并创新完善产品服务各垂直行业客户的能力。4、协调组织各类资源达成目标。岗位要求：1、本科及以上学历，1年以上互联网产品运营相关经验。2、较强的数据及业务分析能力，善于通过数据分析挖掘问题并制定相应运营策略。3、出色的沟通协作和项目管理能力，具备解决复杂问题的能力。4、有团队意识，工作积极主动，责任感强，能够有效推动项目完成。5、拥有人工智能及区块链行业经验优先。6、英语可作为工作语言。,"人工智能,区块链",15-50人,区块链,西安
前端开发工程师（西安）,https://www.lagou.com/jobs/4606071.html,碑林区,8k-15k,西安纸贵互联网科技有限公司,3-5年,本科,"五险一金,弹性办公,带薪年假,双休",【你将得到】加入区块链底层和应用开发的最前线，与来自IBM、腾讯、百度、清华大学的一流区块链技术和产品团队一起探索区块链时代成为最早的开拓者更多样的技术挑战鼓励每一位多样的发展路径拥有全球化的项目机会【岗位职责】  负责网站用户界面、管理员后台、小程序、APP等项目的设计还原，逻辑开发和维护【任职要求】1. 3年以上Web前端开发经验2. 有良好的编程习惯，编程严格遵循css、js编码规范3. 熟练掌握用户端界面及逻辑开发，有一定的技术架构经验4. 熟悉http、http2、websocket、protobuf、grpc、restful5. 熟练掌握css、sass、less、javascript、typescript、dart等语言6. 熟练掌握Webpack、Gulp、Bootstrap、Bulma、VueJS、React、ElementUI、微信/支付宝小程序、React-Native、Flutter、NodeJS等打包工具、前端css框架、脚手架、移动端开发框架的设计模式及基本使用7. 熟悉lodash、axios、pixiJS、CI/CD等优先8. 有金融系统开发经验者优先9. 掌握linux，shell，docker者优先10. 掌握区块链技术者优先11. 有个人技术博客或开源项目者优先【关于我们】       纸贵科技（zhigui.com）是一家以数据治理、区块链技术为特色，专注于服务政务、金融以及司法等场景的监管科技企业，纸贵团队已经在分布式账本、云计算、数据安全与隐私保护等领域贡献了诸多行业成果和应用案例。       纸贵科技是中国信通院可信区块链推进计划理事单位、超级账本（Hyperledger）、企业以太坊联盟（EEA）正式成员，目前已在北京、西安、武汉、杭州、海南自贸区、新加坡、东京等地设立公司和分支机构。       历经近三年发展，纸贵科技组建了一支优秀团队，核心成员来自清华大学、北京大学、西安交通大学、哥伦比亚大学等海内外知名院校，并拥有IBM、阿里巴巴等知名企业工作背景；同时公司拥有一支清华大学、西安交通大学、西安电子科技大学、信通院可信区块链推进计划等为代表的**学术及行业顾问团队。       未来，纸贵科技将围绕监管科技，面向供应链金融、资产数字化、质量安全监督、司法存证等场景，持续提供安全、可靠、高效、易用的行业级解决方案。【公司官网】https://zhigui.com 【福利待遇】具有市场竞争力的薪资、期权激励、五险一金、学习基金、零食福利、员工体检、出差补助、旅游基金、带薪年假、五天工作日、法定节假日、节日礼物、Happy Hour等等持续增加中...,"文娱丨内容,企业服务",50-150人,区块链,西安
高级开发工程师（前端）-西安,https://www.lagou.com/jobs/6880794.html,未央区,20k-25k,联通系统集成有限公司,5-10年,本科,公司平台大 福利待遇优 发展前景好,"岗位职责：1. 负责公司移动Web和PC产品前端的设计与开发工作；2. 负责云计算行业系统的前端开发，利用html/css/js等web技术实现产品的页面及功能；3. 参与进行客户业务需求、数据分析需求的调研、收集与分析；4. 负责根据具体应用场景进行技术选型，架构设计，产品选型，提出解决方案；5. 负责系统的核心开发；6. 关注前端前沿技术研究，通过新技术服务团队和业务7. 前端团队工程化体系建设、容器建设和Node应用框架体系建设8. 关注业界最新技术动态和方向，结合公司业务和现有技术特点，负责对新技术预研，引进实践落地。技能要求：1. 5年以上前端开发经验，精通HTML,CSS,JQuery,JavaScript,ES5/ES6等前端技术，熟练掌握React、Angular和Vue前端开发框架和对应的技术栈，具有实际项目开发经验，架构设计经验；2. 熟练NodeJs相关技术栈；熟练掌握Webpack,Gulp等常见的构建工具；3. 熟悉HTTP/HTTPS协议；熟悉各种web标准，了解各主流浏览器特性；4. 熟悉常用的关系型，非关系型，多模型数据库中的几种；5. 熟悉Electron或React Native跨平台框架和产品实践；6. 熟悉Linux、Maven、Git，熟悉Tomcat、Apache、Nginx等开源服务器的配置和调优；7. 具备一定项目管理能力优先，良好的沟通能力，较强的逻辑思维能力，善于分析、归纳及解决问题的能力，良好的文档撰写能力和技术团队管理能力；具备良好的团队合作精神，较强的沟通能力，喜欢挑战，执行力强；8. 熟悉以下技术领域中的若干项，经验丰富者优先：熟悉混合移动应用开发；熟悉React Native；熟悉flutter的开发；有electron、微信、微信小程序、钉钉相关开发经验；9. 在5G、智慧医疗、智慧城市、物联网、区块链、人工智能、边缘计算等领域的，有一定经验者优先。",通讯电子,2000人以上,区块链,西安
售前咨询——解决方案方向,https://www.lagou.com/jobs/6878817.html,高新技术产业开发区,6k-10k,西安深信科创信息技术有限公司,1-3年,本科,弹性工作时间、14薪、五险一金、股票分红,职位描述1、了解AI、区块链、智能硬件、物联网等行业趋势，根据行业客户的战略、业务、产品及技术需求及公司内部产品布局，制定解决方案；2、负责与BD、业务拓展部门紧密合作，共同推进产品及解决方案拓展／销售过程，包括方案交流、需求分析、解决方案设计、商务合同签订等；3、负责与产品及研发部门沟通协调，促进解决方案落地，包括商务模式、项目进度、产品及服务交付等。职位要求1、本科及以上学历，计算机相关专业优先； 2、1年以上售前或解决方案架构师工作经验者优先； 3、具备优秀的书面、语言沟通能力，优秀的演讲及沟通技巧； 4、具备优秀的解决方案PPT输出能力；5、自我激励，深入了解产品，技术，客户； 6、具备出色的解决问题的能力，适应力和积极的态度； 7、能够同时管理众多项目并在最后期限内顺利交付。,"人工智能,区块链",15-50人,区块链,西安
安全工程师,https://www.lagou.com/jobs/6770498.html,高新技术产业开发区,8k-15k,西安深信科创信息技术有限公司,应届毕业生,不限,弹性考勤、股票期权、14薪、带薪年假,"岗位职责:1. 漏洞风险及原因分析，开发和优化自动化漏洞挖掘系统。2. 负责产品的算法开发、核心代码开发。3. 探索研究可信软件工程前沿技术（智能化缺陷分析、缺陷修正、自动化验证、代码补齐等）。 任职要求：1. 本科以上学历, 计算机科学/软件工程/自动化/工程数学等专业方向优先。2. 熟悉常用数据结构和算法，精通C/C++或Golang，熟悉shell或至少一门其他脚本语言。3. 熟悉常见软件漏洞类型和模糊测试技术。有程序插桩，符号执行，静态分析，污点跟踪及相关分析工具使用经验者优先。4. 有Linux系统下C/C++开发经验，对多线程使用场景及其带来的问题有深入的认识者优先。5. 熟悉区块链，了解以太坊智能合约或Fabric Hyperleder者优先。6. 加分项： 有自己的技术博客或参与的开源项目或业余作品（Talk is cheap，show me your code!）","人工智能,区块链",15-50人,区块链,西安
