job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
区块链平台开发工程师(J10712),https://www.lagou.com/jobs/7207591.html,长沙县,15k-25k,树根互联技术有限公司,不限,不限,年终奖 领导nice 平台稳定,,"移动互联网,企业服务",150-500人,区块链,长沙
php工程师（共享租赁+区块链）,https://www.lagou.com/jobs/7203979.html,芙蓉区,6k-11k,长沙华谷峰通信设备有限公司,1-3年,大专,发展空间大，餐补，高额绩效奖金,岗位职责：1、主要负责公司平台信小租系统开发及维护；2、开发和维护项目核心代码；3、有机会接触大流量、大并发、大数据解决方案；4、有机会参与信用租赁行业区块链解决方案。任职要求：1、熟悉至少1-2种php框架（yii，yaf，laravel，thinkPHP等）；2、熟悉nginx，php 等配置和调优工作，掌握数据库的性能优化，掌握常用缓存技术（redis/memecache等）；3、熟悉 es/队列/swoole/docker/k8s 加分；4、掌握MVC和常用设计模式，代码风格良好，对PHP框架设计有一定的见解；5、有大型网站系统设计和性能优化 ，并有实际的项目经验加分；6、优秀的学习能力，自我驱动能力，分析和解决问题的能力和强烈的进取心，具备良好的沟通能力和团队合作精神。,"电商,消费生活",少于15人,区块链,长沙
区块链运营经理,https://www.lagou.com/jobs/6862633.html,岳麓区,5k-10k,湖南铭泽数据技术有限公司,不限,不限,"金融,区块链,渠道",1、以区块链技术为基础的区块链数字资产的运营发展；2、负责区块链及产品，服务及解决方案体系的规划，实施及优化；3、负责区块链业务的商业模式，盈利模式的研究、指定和优化，确保运营目标的实现；4、负责区块链/数字货币行业市场分析、渠道拓展、资源整合及用户生命周期管理；任职要求：1、对区块链、数字货币等新兴行业有浓厚兴趣；2、熟悉互联网金融/区块链/数字货币运营及市场，懂流量运营，拥有相关人脉和渠道者优先；3、具有敏锐的市场洞察力和较强的开拓精神，优秀的跨部门沟通和整合资源能力；4、目标导向，有很强的计划制定能力和执行力；有责任心，能承受较大的,"数据服务,区块链",少于15人,区块链,长沙
区块链开发工程师,https://www.lagou.com/jobs/7011722.html,天心区,10k-15k,湖南融聚区块链科技有限公司,1-3年,本科,"我们是年轻、激情的团队, 看能力重贡献！",,其他,50-150人,区块链,长沙
软件工程师,https://www.lagou.com/jobs/7158447.html,长沙县,8k-15k,湖南潇湘大数据研究院,1-3年,本科,五险一金，周末双休，不定期大咖交流会,岗位职责： 1、负责公司产品、项目的功能模块开发，包括需求分析，系统设计和编码实现； 2、负责公司产品、项目的部署、运维等研发相关的工作； 3、重构现有产品或项目，不断完善系统健壮性，代码质量和用户体验； 4、解决项目中存在的性能瓶颈及隐患漏洞。任职资格： 1、本科及以上学历，计算机、应用数学、密码学等相关专业；2、熟练掌握 Java\Python\Golang\Nodejs\C++\PHP 的任意一种语言，Mysql 数据库 3、对计算机网络系统有深刻理解，有分布式，点对点网络协议或应用开发经验 4、理解各类主流的共识算法，包括但不限于 POW、POS、DPOS、PBFT 等； 5、有以下经验的优先 - 掌握 FISCO BCOS，Hyperledger Fabric 等区块链相关机制和原理并有开发经验； - 有信息安全相关工作经验； - 熟悉数据库设计，有 MongoDB、Redis、消息队列等经验；年龄要求：无 性别：无 专业：计算机、机械、电子信息、信息管理、自动化及应用数学等相关专业 学历要求：本科及以上 试用期：3 个月,"数据服务,人工智能",15-50人,区块链,长沙
软件工程师c++,https://www.lagou.com/jobs/7180736.html,长沙县,8k-15k,湖南潇湘大数据研究院,1-3年,本科,五险一金，周末双休，不定期大咖交流会,岗位职责： 1、负责公司产品、项目的功能模块开发，包括需求分析，系统设计和编码实现； 2、负责公司产品、项目的部署、运维等研发相关的工作； 3、重构现有产品或项目，不断完善系统健壮性，代码质量和用户体验； 4、解决项目中存在的性能瓶颈及隐患漏洞。任职资格： 1、本科及以上学历，计算机、应用数学、密码学等相关专业；2、熟练掌握 Java\Python\Golang\Nodejs\C++\PHP 的任意一种语言，Mysql 数据库 3、对计算机网络系统有深刻理解，有分布式，点对点网络协议或应用开发经验 4、理解各类主流的共识算法，包括但不限于 POW、POS、DPOS、PBFT 等； 5、有以下经验的优先 - 掌握 FISCO BCOS，Hyperledger Fabric 等区块链相关机制和原理并有开发经验； - 有信息安全相关工作经验； - 熟悉数据库设计，有 MongoDB、Redis、消息队列等经验；年龄要求：无 性别：无 专业：计算机、机械、电子信息、信息管理、自动化及应用数学等相关专业 学历要求：本科及以上 试用期：3 个月,"数据服务,人工智能",15-50人,区块链,长沙
播放技术总监（音视频）,https://www.lagou.com/jobs/7122874.html,开福区,40k-50k,湖南快乐阳光互动娱乐传媒有限公司,5-10年,本科,大牛多 福利好,此岗位****工作职责：1、负责用户播放体验优化，实现播放画质及效率等方面的提升;2、负责云边缘计算产品技术方案设计与开发工作; 3、负责播放、下载、DRM、P2P等相关SDK在平台内外的输出；4、负责VR、AR、5G、区块链等行业新技术的预研；5、跟进行业前沿视频相关技术，保障新技术方案在平台的快速落地。任职要求：1、计算机、通信等相关专业硕士以上学历，3年及以上工作经验；2、熟悉网络编程，精通TCP/IP协议及编程，熟悉互联网应用协议；3、具有扎实的图像、视频处理基础；熟悉H.264、HEVC等视频编码标准，熟悉新一代H.266编码标准者更佳；4、有音视频引擎的实际开发经验，掌握采集渲染，熟悉x264、x265、ffmpeg等开源代码；5、沟通交流能力强，良好的团队合作精神，工作积极主动,文娱丨内容,500-2000人,区块链,长沙
专利工程师,https://www.lagou.com/jobs/6839269.html,长沙县,10k-14k,湖南天河国云科技有限公司,不限,硕士,"高新技术企业,福利全,名企名校大咖带领",一、任职要求：1、计算机相关专业，本科及以上学历；2、掌握国内外专利法律法规，熟悉专利申报业务流程；3、英语六级或相应水平，能熟练完成中英互译技术文档者优先考虑；4、工作严谨、认真细致、责任心强，具备较强的沟通能力以及语言文字表达能力；5、具备一定的软件开发基础，熟悉区块链行业者优先考虑。二、岗位描述：1、深入技术部门，挖掘、布局专利点，尤其是区块链或分布式存储方面的专利。2、负责技术交底书的撰写，完善，审核工作；3、协助完成标准专利申报，配合专利机构完成专利的复审、校正等工作;4、负责有关项目申报和解决方案的编写。,"移动互联网,金融",50-150人,区块链,长沙
大客户经理,https://www.lagou.com/jobs/6734581.html,长沙县,15k-30k,湖南天河国云科技有限公司,3-5年,本科,期权分红、合伙人股权激励、公司品牌背书,一、岗位职责1、负责区块链项目客户拓展、业务跟进，主动寻访潜在客户，了解客户需求，洽谈合作，维护大客户客情关系，高端人脉关系建立及维护，最终能达成销售业绩；2、根据客户需求，组织资源完成高质量的产品解决方案等资料，并能主导组织开展方案交流等工作，促成合作意向的有效达成；3、负责客户信息反馈与传递，并及时跟踪并处理过程，收集市场产品信息，分析优劣势，协助制定并完善公司销售策略；4、参与合同条款的拟定、谈判、签约、项目进度跟踪、项目验收、回款等系列工作。二、任职要求1、两年以上产品销售或市场经验；2、熟悉区块链行业者优先考虑；3、有融资、政府资源、版权、互联网安全资源等各类人脉资源者优先考虑。,"移动互联网,金融",50-150人,区块链,长沙
技术合伙人(技术总监),https://www.lagou.com/jobs/571153.html,岳麓区,10k-20k,湖南金指王信息系统有限公司,5-10年,本科,高额的回报，发展前景好，回报丰厚,"一、素质要求： 1、逻辑清晰，思路敏捷； 2、好学上进，做事踏实，有责任心； 3、有整体观、并注重细节，追求完美； 4、时间观念强。 二、技能要求： 1、熟悉常规B/S、C/S系统开发实现原理； 2、具有大型系统开发经验，java后台开发三年以上工作经验 ，实际项目中用过spring boot框架，熟悉解springMVC，shiro权限，redis缓存。了解sso实现原理，以及nginx反向代理。掌握至少两种mybatis，hibernate springdada jpa orm框架。愿意学习新技术，了解并掌握区块链的原理、机制和相关加密算法者或有供应链追溯软件（溯源）开发经验的优先。3、对数据敏感，善于通过数据分析问题。 4、了解Express/Pomelo等开源框架、熟悉SQL，MySQL等数据库； 5、了解TCP、UDP、HTTP等网络通信协议; 6、了解面向服务架构、敏捷开发,有SaaS云服务架构搭建经验者优先。 职位描述: 职责概述： 1、根据公司战略、市场研究和用户需求，制定产品发展的长期规划 2、负责管理来自用户和公司内部的业务需求，完成需求分析，并完成产品设计 3、以用户体验为中心，改进现有产品，或设计新产品 4、协调相关技术，根据产品规划，制定项目规划和实施 5、协调跨部门成员，组成项目团队，带领团队完成需求分析、产品设计和项目实施 6、跟踪产品数据，分析用户反馈，持续改善产品。 7、本科以上学历，5年以上软件产品/互联网/移动互联网从业经验； 8、有物联网应用系统、食品追溯系统、药品监管码系统开发经验的优先；",移动互联网,15-50人,区块链,长沙
高级 Java 研发工程师,https://www.lagou.com/jobs/6999945.html,岳麓区,12k-18k,湖南明成峻达科技有限公司,3-5年,大专,五险一金 年终奖 节日福利 周末双休,"岗位描述：
 开发和维护公司后端服务，发现和解决问题，保证后端系统的性能和稳定性（调优）；
 负责公司后端系统的技术方案调研、架构设计、代码开发、保证产品质量；
 持续优化系统架构，提高系统在高并发、大流量下的容灾容错能力，保证系统的高可用性（性能、安全、容量）；
 参与产品项目的需求、概设、详细设计及系统接口API的文档编写及制定；
 研究业界最新软件技术和应用，将研究结果落地产品，提升技术竞争力。
岗位职责：
  熟悉Java/Java EE，熟悉常用的Java技术框架如Spring、iBatis、JPA等；
 熟悉Java基础技术，如JVM、类装载机制、多线程、IO、网络等；
 熟悉中间件、分布式技术，如缓存、消息队列、热部署、JMX等；
 良好的架构能力，能够协同完成架构解决方案；
 熟悉常见的研发最佳实践；
 热爱技术，思路开阔，认真负责，积极主动，善于沟通协作；
 具有分布式、高并发、高可用系统研发和优化经验者优先；
 有其他高级语言经验者优先，有Service Mesh经验者优先。
公司介绍：我司主要业务方向物联网、人工智能、区块链技术等。公司汇集了一批信息技术领域的优秀人才，定期会开展技术交流活动，良好的职业晋升渠道。欢迎有志之士加入明成峻达大家庭。",移动互联网,15-50人,区块链,长沙
新媒体运营,https://www.lagou.com/jobs/6857048.html,岳麓区,4k-6k,湖南本地星网络科技有限公司,1-3年,大专,优秀团队、福利待遇好、工作氛围轻松,职责描述：1、优质内容产出，新媒体日常运营：微信、微博为主，官网、头条、一点、百家等信息流内容分发及日常维护，短视频运营拓展）；2、定期统计运营数据，进行分析评估，对运营内容提出优化意见；3、熟知平台运营规则和相应平台的玩法；4、.洞察用户行为与心理，通过有效的运营手段增加粉丝数，提高粉丝活跃度。任职要求：1. 本科及以上学历，文学、新闻、市场营销或相关专业；2. 熟悉互联网传播渠道特性，熟悉市场推广；3. 学习能力强、工作积极、主动，具备较强的责任心、抗压能力。4. 敏锐捕捉，追踪，研究行业的新闻，热点资讯，及时做好内容选题各编辑工作。我们提供你：五险一金、大小休、朝九晚六、年底双薪、年终奖金、节假日福利、生日福利、员工期权等等还有学习氛围浓厚、工作氛围活泼的企业环境，相信你一定会爱上这里~我们是：连载阅读致力于重塑网络文学生态，利用区块链+网络文学打造网文新生态。连载神器是连载阅读旗下一款专注小说浏览阅读软件。百万热门小说实时更新提醒，精致版式设计，畅享无广告舒适体验。连载神器新创互动社区属性——连载号，实现集书评、交友于一体的新型实时互动的阅读体验，打造新一代免费追书神器。,"移动互联网,电商",50-150人,区块链,长沙
渠道销售总监,https://www.lagou.com/jobs/6943292.html,岳麓区,5k-10k,湖南兆物信连信息科技有限公司,3-5年,本科,区块链行业解决方案渠道销售总监,工作职责：负责公司渠道销售工作向销售副总裁汇报工作负责渠道销售组的组建、管理、业绩完成等工作制定渠道销售组的工作职责、工作制度、业绩指标、考核体系、薪酬体系等制度管理渠道销售组与解决方案部、市场运营部、研发部、战略合作部的工作衔接岗位要求：不少于1年计算机相关产品解决方案行业销售经验；IT相关专业，学历本科以上；善于学习新知识，尤其是区块链知识；表达能力强，能够和客户建立良好关系，擅长和客户沟通有一定销售团队管理经验责任心强，能够承受一定的压力，适应中长期出差薪资待遇：基本工资+销售提成（含团队提成）+期权+股权五险一金大小周休息公司团建等其他福利,移动互联网,50-150人,区块链,长沙
马上游副总裁,https://www.lagou.com/jobs/6928543.html,长沙县,15k-30k,马上游科技股份有限公司,10年以上,大专,发展前景好 股票期权 五险一金 绩效奖金,工作职责：1、负责华中区智慧旅游，营销，目的地运营及区块链业务规划及各阶段工作目标执行落地；2、负责分公司基本团队建设，规范内部管理，确保公司良性运转；3、负责智慧旅游，营销，目的地运营，区块链项目开拓业务及商务拓展工作；4、负责华中区外部、内部客户及当地政府关系的维护；5、负责完成年度个人及团队业务目标，促进公司其他板块的业务融合。任职资格：1、本科及以上学历，10年以上互联网旅游行业工作经验，5年以上大中型团队管理经验；2、能独立负责公司业务运作，有较强财务及人才培养意识；3、有较强公关能力、执行能力，对商业企划有独到的思路与见解，有成功的企业案例；4、有良好的抗压能力及自我驱动力，目标感强，有大局观；5、有政府工作或湖南电广体系管理工作经验优先考虑；,"电商,旅游",150-500人,区块链,长沙
