job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
后台工程师&amp;大数据工程师&amp;AI算法工程师,https://www.lagou.com/jobs/7079017.html,东莞市市辖区,15k-30k,华为技术有限公司,1-3年,本科,进一线厂商，大厂专业技术，薪酬体系憧憬,负责华为数通内外研发计算云业务开发，设计等工作1.要求熟练掌握java/python/c++/C；2.掌握常见的数据结构、算法，了解软件工程、敏捷开发等知识，熟悉常用设计模式3.熟练掌握人工智能、动态规划、计算几何、模式和图像识别、可视化建模相关算法，有相关经验者优先；4.具备良好的计算机、软件工程、通信等专业领域知识；5.华为&德科联合招聘，挂职外企德科，同德科签署劳动合同，在华为研究所办公，参与华为核心项目研发，待遇与华为岗位同等，五险一金均按照实际薪资缴纳，按绩效情况，1~4月的年终奖；（1-2年转靠华为）工作地点：东莞、南京、武汉,通讯电子,2000人以上,大数据,东莞
数据开发工程师,https://www.lagou.com/jobs/7198915.html,东莞市市辖区,8k-10k,东莞美信企业管理咨询有限公司,1-3年,本科,六险一金、包吃住、年底分红、带薪年假,【岗位职责】1、 负责客户画像体系的设计与开发；2、 负责数据模型的设计，数据仓库的搭建，完成数据同步、数据清洗的ETL过程，以及数据质量的治理；3、 构建数据的流式处理，形成尽可能实时的数据分析平台，并提供统一可对外调用的接口；4、 对业务进行深入分析，通过数据驱动业务的改进和优化。【技能要求】1、 熟悉Linux系统，熟悉Oracle、MySQL、PostgreSQL、Hive、ElasticSearch一种或以上的数据库；2、 熟悉Kettle等ETL工具，熟悉数仓模型和维度设计，有实际的数据仓库搭建经验；3、 熟悉Spark / Kafka / Hadoop / Flink体系，具备相关项目的开发经验，有数据实时计算项目经验优先；4、 积极创新，有开拓精神，乐于面对挑战，负责敬业，优秀的团队合作精神。,汽车丨出行,2000人以上,大数据,东莞
5G云化/服务化的分布式数据库开发,https://www.lagou.com/jobs/6834435.html,东莞市市辖区,20k-40k,华为技术有限公司,3-5年,本科,竞争力的薪资、奖金回报、股权激励,岗位职责：1、负责云化/服务化的分布式数据库系统的特性开发、问题定位和性能调优； 2、主攻分布式云化数据库弹性、一致性及大规模并发读写高性能数据库等技术方向； 3、参与产品云化/微服务化（docker、K8s）架构演进、微服务拆解，构建稳定、竞争力强的服务化架构并落地；面向未来承担关键软件技术的设计与开发； 4、负责看护产品核心技术，承担模块关键技术、疑难问题攻关，提升产品优势； 5、面向下一代网络架构，负责服务框架、网络切片和分布式磁盘引擎等前沿技术预研。业务技能：1、熟悉C/C++、Java、Python、Go、Js等语言的一种或多种，具备丰富开发能力和经验，能够熟练运用完成开发工作；2、具有良好的计算机和操作系统基础，熟悉常见的数据结构和算法，熟悉设计模式，具有一定的架构设计能力和重构经验；3、熟悉linux操作系统，对进程间通信/socket编程/多线程并发等有相关经验，有PaaS平台开发经验者优先；4、熟悉MangoDB/RocksDB等数据库者优先，具备数据库或高性能服务器软件设计开发经验者优先；5、熟悉Paxos/Raft等算法者优先；6、熟悉Tcp/IP/Sctp或者http，soap，diameter等协议者优先。,通讯电子,2000人以上,大数据,东莞
需求分析师,https://www.lagou.com/jobs/7213540.html,东莞市市辖区,16k-32k,易宝软件科技（南京）有限公司,5-10年,本科,团队都是90后，氛围非常融洽！,任职要求：1、全日制统招本科及以上学历，5年以上IT领域经验（特别优秀的可适当放宽年限）；2、具备以下其中2~3项专业知识和技能；*深入了解商业智能、数据仓库、大数据、建模技术、数据挖掘的技术体系，对业界的主流商业智能软件包具有丰富的应用经验；*熟悉Oracle、SQL server、Sybase等至少一个主流数据库；熟悉Hadoop、Spark、storm等至少一个开源计算框架，主导或参与过BI、数据仓库、大数据项目的设计实施和落地；*熟悉互联网用户使用体验分析，有门户网站、社区网站、电子商务网站等互联网项目的分析与架构设计、开发实施等基本技能；*熟悉主流的架构设计方法（微服务架构、分布式架构、高并发架构、云化架构等）；*精通ORACLE ERP财务模块功能，具备大型企业ERP上线经验及FUSion实施经验的优先；*熟悉ORACLE 、SAP、金蝶等至少一种ERP软件包或海波龙EPM软件包的技术架构者优先，掌握软件包后台表结构，熟悉并发管理器原理、了解trace和debug方法；*精通B/S系统架构的相关技术，熟悉J2EE设计模式，熟悉主流应用服务器框架、分布式数据库、缓存、文件系统、消息系统等技术，具备丰富的Java前后台开发经验；*熟悉软件开发项目管理，有中型的WEB系统开发实施经验，能独立完成项目的运作，具备敏捷、持续集成、DevOps经验者优先；3、具备以下其中1~2项成功实践经验；*IT产品规划实践经验；*技术方案设计实践经验；*ERP软件包技术方案实践经验*代码开发实践经验*中大型系统的实践经验。,移动互联网,150-500人,大数据,东莞
高端项目经理,https://www.lagou.com/jobs/7151296.html,东莞市市辖区,9k-18k,中国民生银行股份有限公司信用卡中心东莞分中心,1-3年,大专,优秀者即可晋升团队,一、工作内容1、根据我行授信政策，拓展场景金融渠道合作商户（目前主推教育培训类、大健康类、旅游公司、家居家电建材类）。该业务产品可实现申请全线上完成、实时支付交易，解决合作商户对客户现场交易的资金服务，该产品目前在银行业为我行独有，无竞争压力。2、负责东莞地区高端信用卡的营销推广、咨询。3、拓展建立线上发卡渠道（目前主推场景渠道和社交渠道），业务范围可覆盖全国。4、结合自身销售工作，推广我行其他业务产品，可大幅提高中间业务收入。二、工作要求1、善于拓展和维护渠道，在建立渠道后能积极推动合作渠道展开业务，从而提升我行场景金融消费信贷分期规模的快速提升。并与个人业绩奖金挂钩，上不封顶！2、运用我行高端信用卡产品的优势（主要优势体现在服务权益和额度上：各类卡种级别不一致从十万起步到千万不等），结合授信政策通过自拓高端客户圈层和我行金融资产高端客户展开营销工作，该项工作内容价值体现在经办人员收益高及提升自身高端客户资源。3、线上发卡渠道要求经办人员具备互联网大数据思维并善于整合渠道资源，懂得数据转化成效，继而带动线上渠道的批量获客。该项工作内容可快速提升个人业绩产能，以传统零散线下获客模式转化为线上引流批发，从而提升个人的绩效提升和奖金的有效增量。4、善于整合营销，在客户身上追加价值产品的叠加从而提高收益及增加客户粘性。,金融,2000人以上,大数据,东莞
开发部经理,https://www.lagou.com/jobs/4868000.html,东莞市市辖区,25k-30k,东莞市糖酒集团美宜佳便利店有限公司,5-10年,本科,"平台好,上升空间大,福利优厚",1、负责技术团队日常管理工作，包括工作流程梳理、组织结构优化、技术人才配置、团队能力提升、等，打造高效团队；2、负责公司内部系统整体技术架构、服务器架构、网站开发、产品实现及运维管理；3、对系统架构发展进行规划，并将业务发展需求、系统现状等结合起来；4、建立和完善公司技术支持体系，不断推动产品技术创新和流程优化，持续提升公司整体技术能力；5、推动并实施技术管理、技术开发等相关制度体系的建设，制订符合业务发展需要的规范化制度、流程并监督落地实施。任职要求：1. 熟悉互联网/电商领域业务，深刻理解行业发展方向，具备敏锐准确的洞察力和缜密的逻辑思维，能够把握行业业务发展动向和关键技术发展趋势，并有独立见解；2. 具有互联网/电商产品规划、设计的成功经验和具体实践，参与过多层应用程序、用户面向网站开发；3. 精通大型系统架构，具备宏观的大数据应用经验对高负荷超大数据量的系统架构及性能调优有深入的研究；4. 精通软件研发（开发平台、WEB框架、数据库、操作系统、软件设计）信息安全及项目管理；5. 具备优秀的综合分析能力、商业谈判能力、部门管理技能。,其他,500-2000人,大数据,东莞
高级数据研究经理,https://www.lagou.com/jobs/4867965.html,东莞市市辖区,30k-40k,东莞市糖酒集团美宜佳便利店有限公司,5-10年,本科,"大公司,发展空间,福利优厚",1、主要负责鲜食大数据研究产品创新工作；2、深入理解客户商业痛点，负责鲜食大数据研究产品的开发计划，实施和优化；3、搭建合理的团队，带领小组成员开展研究工作。4、定期召集组内项目讨论，解决大数据研究产品开发中遇到的实际问题， 掌控项目进度，更新/汇报项目进展。任职要求：1、 具有3年或以上鲜食专项研究经验，熟悉鲜食产品创新性研究；2、有大数据挖掘研究经验， 有零售行业研究者优先考虑；3、本科或以上学历，有数据产品背景、有学术算法背景的优先考虑；4、精通word、excel、SPSS，SAS等统计/办公软件；了解sql数据库软件优先；5、较强的组织协调、人际沟通能力，有良好的管理经验；能及时高效的与其他部门人员进行沟通和协调，如报告写作，数据与统计，质量保证等等，能够带领团队攻坚；6、有较强的责任心和严谨的工作态度，有强烈的学习意愿和优秀的执行力，能在压力环境下带领团队出色完成项目并实现技术创新,其他,500-2000人,大数据,东莞
java开发工程师,https://www.lagou.com/jobs/7181737.html,东莞市市辖区,12k-16k,广东鸿天通信有限公司东莞分公司,3-5年,大专,发展前景好，领导同事nice,岗位描述：1. 负责安康相伴产品的服务端开发，并交付高质量代码2. 负责解决安康相伴产品的服务端问题、大数据并发以及性能优化3. 负责公司其他产品的设计、研发和维护工作4. 参与需求调研、项目可行性分析与技术可行性分析 任职要求1. 具备4年以上JAVA后台开发工作经验;2. 熟悉web service、web socket相关技术，熟悉高并发处理、存储与RPC、消息队列;3. 熟练掌握Mysql等关系型数据库设计开发以及redis、mongodb等nosql框架;4. 熟悉架构设计、概要设计和详细设计，独自承担过大型项目的架构设计;5. 能够设计和开发高性能服务器框架、对线程、进程的使用做到合理控制;6. 精通常用的数据结构和算法，代码能力突出，代码风格良好，思路清晰，具备良好的沟通能力和理解能力; 加分项：1. 熟悉nginx、docker部署，精通移动端后台服务开发者优先2. 精通AOP思想，junit测试设计3. 有大型项目开发经验优先,"数据服务,软件开发",15-50人,大数据,东莞
高级Java研发工程师,https://www.lagou.com/jobs/7140515.html,东莞市市辖区,10k-18k,北京泛钛客科技有限公司,3-5年,本科,足额五险一金、员工团建、节假日福利,岗位职责：1、参与公司技术方案选型、技术框架预研；2、负责公司人工智能、大数据等系统的架构设计与功能开发；3、负责系统研发过程的技术管理，厘清技术细节，解决主要难点；4、负责发现和解决系统的性能问题，推进系统的性能优化，推进系统高并发、高可用的特性实现。任职资格：1、良好的沟通能力、分析能力和解决问题能力；2、具有3年以上银行、金融行业系统研发经验；3、计算机或者金融相关专业背景，统招本科及以上学历；4、JAVA基础扎实，对JVM原理有一定了解；5、熟悉分布式系统常用技术，如SpringMVC、MyBatis、Dubbo、Redis、MQ、Zookeeper等；6、熟悉大数据技术，如Spark、Hadoop、Flink、Tensorflow等；7、熟悉数据库技术，拥有较好的数据库设计能力，熟悉MySQL、Oracle之一；8、985/211高校毕业生优先；9、有一线互联网或金融机构科技工作经验优先；10、有人工智能、大数据系统研发经验优先。,"金融,数据服务",150-500人,大数据,东莞
会计助理,https://www.lagou.com/jobs/5139577.html,东莞市市辖区,4k-6k,金账本会计（深圳）有限公司,1年以下,大专,上升空间大，福利待遇好,岗位职责： 1、审核财务单据，整理档案，管理发票。 2、统计、打印、呈交、登记、保管各类报表和报告。 3、协助上级开展财务部内部的沟通与协调工作。 4、保管和发放本部门的办公用品及设备。 薪酬福利： 1、工资构成由无责任底薪工资4千-5千 + 绩效奖金 +工龄奖金+ 年终奖等若干项组成 2、购买五险一金; 3、晋升机制完善，晋升机会公平公正公开; 4、享受国家法定节假日，每年享受带薪休息 职位前景：出纳—普通会计--总账会计--财务主管--财务总监 上班地址：佛山/深圳/中山/虎门/厚街/长安/塘厦/常平/南城 金账本集团，成立于2004年8月，旗下拥有品牌金账本，集团以整合各方资源，打通园区、孵化器、培训公司、投资公司、金融公司等，金账本集团为实现大数据、大服务、大平台战略，现己拥有30多家分公司，旗下子公司有：会计事务所、会计培训学校、产业园运营公司、众创空间、刻章公司、网络公司、传媒公司等。,"企业服务,教育",50-150人,大数据,东莞
