job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据开发工程师,https://www.lagou.com/jobs/6426863.html,北辰区,15k-20k,天津市拓甫网络科技开发有限公司,5-10年,本科,五险一金、周末双休、年底双薪、年度体检,"岗位职责：1、满足业务需求，基于海量数据实现数据采集、清洗入库、统计计算、Web展示。2、主要负责实时计算分析和离线数据统计分析；3、构建推荐模型、排序优化系统的设计和开发；4、构建数据管理平台,用于存储、计算、分析、挖掘用户行为等日志数据处理和分析；5、利用挖掘技术分析用户偏好特征，构建用户画像、精细化运营等业务的数据基础。任职要求：1、本科及以上学历，有5年以上大数据开发经验；2、熟练掌握Java以及Scala/Python(2者任意一种)语言，熟练Linux开发环境以及Shell、Python常用脚本语言；3、熟练使用flink,Hadoop，Spark，Storm，Hive，Hbase，elasticsearch，MongoDB等开源技术；4、在实时计算、流计算、多维度olap分析方面有实践经验；5、有3年以上团队管理能力，具有团队合作精神，能独立解决遇到技术难题。","移动互联网,信息安全",50-150人,大数据,天津
大数据开发工程师,https://www.lagou.com/jobs/7160870.html,河北区,9k-18k,西安格蒂电力有限公司,3-5年,大专,ODS 数据存储,1、数据接入程序部署及测试，存储数据迁移。2、日常开展数据一致性对比、质量核查及数据接入链路日常监测与维护；3、二级系统数据按需上报保障，一级系统数据下发和质量核查；4、ODS场景的数据和业务功能的迁移；5、贴源层数据表到共享层标准表的抹平合并脚本、落模。,企业服务,500-2000人,大数据,天津
大数据开发工程师,https://www.lagou.com/jobs/6029864.html,河西区,15k-20k,中交智运有限公司,3-5年,本科,央企福利,"岗位职责：1、参与公司大数据系统研发工作；2、参与发掘和分析业务需求，进行系统方案设计；3、参与系统代码编写，确保性能、质量和安全；任职要求：1、全日制本科及以上学历，中共党员优先考虑，计算机相关专业，3年以上IT从业经验；2、精通Java 开发语言，熟悉常见的web前端开发；3、优先考虑有大数据平台Hadoop/Storm/Spark开发经验，熟悉Spark, Hive或Pig原理与实现；4、具有良好的抽象设计能力，思路清晰，善于思考，能独立分析和解决问题,责任心强，具备良好的团队合作精神和承受压力的能力；5、学习能力强，适应能力好，对技术、互联网有热情。","移动互联网,物流丨运输",2000人以上,大数据,天津
大数据初级开发工程师,https://www.lagou.com/jobs/7047496.html,河东区,8k-11k,上海诺悦智能科技有限公司,1-3年,大专,五险一金 奖金 餐补 通讯补助等,任职要求：1. 精通Scala、java语言，有Scala实际编程经验；2. 精通传统数据库（ORACLE、MySQL等）的存储过程的编写；3. 掌握SparkCore/SparkSQL的设计和框架；4. 掌握Hadoop、HIVE的数据的解析、传输和存储；5. 掌握ORC列式文件的相关使用；6. 深入了解分布式系统、大数据平台、消息队列等高可用高弹性架构;7. 对HDFS/Yarn/HBase/Hive/Spark相关组件的性能优化和补丁跟踪等有实际项目经验者优先；8. 熟悉银行业务，有过银行数据处理、分析经验者优先；9. 在Hadoop、Spark、Storm、Flink等开源社区有过贡献最佳；10. 具有良好的英语读写；11. 本科及以上学历，2年以上相关工作经验；,数据服务,50-150人,大数据,天津
大数据分析师,https://www.lagou.com/jobs/6295156.html,东丽区,7k-14k,北京大元互联科技有限公司,1-3年,本科,年底双薪、带薪年假、团队聚餐、节日礼品,岗位职责:1. 熟悉一种记忆山的数据库操作，包括SQL脚本编写、脚本审查、优化的等；2. 熟悉简单的数据分析、数据挖掘相关知识，可对模型进行简单调优；3. 熟悉Python数据分析相关的代码编写；4. 熟悉常用的NoSQL DB的架构设计、优化等；5. 熟悉电力行业业务，具备该行业IT项目经验尤其数据类项目经验者优先；任职资格:1.熟悉国网营销数据模型，有参与大数据风控等项目经验优先；2.有良好的沟通能力，能对公司级领导进行工作汇报；3.有较好的文字编辑能力，熟悉国网系统的工作汇报文档编制；4.熟悉PPT和word等常用汇报工具；5.能做好跨部门，跨公司的沟通和协调工作；6.本岗位在国家电网公司驻场办公，介意者务投。,"数据服务,人工智能",50-150人,大数据,天津
ETL/大数据/数据分析/实施,https://www.lagou.com/jobs/6635415.html,河北区,6k-12k,西安格蒂电力有限公司,3-5年,大专,上市公司，福利待遇优厚，职业发展空间广阔,工作职责1.   负责数据接入、数据整合中的链路配置与调度配置工作。职位要求1.   精通数据库产品，熟悉Mysql、GBase、Oracle、PostgreSQL其中一种。2.   了解ETL数据清洗转换工具使用，熟悉ptyhon、shell、sql存储过程其中一种。3.   有数据流转、清洗、转换、分析相关工作经验；4.   具有数据仓库相关经验、大数据分析、国网物理模型相关经验者优先。5.   2至3年数据相关工作经验。,企业服务,500-2000人,大数据,天津
IT Developer-大数据/2021届校招,https://www.lagou.com/jobs/7138591.html,和平区,15k-20k,捷信消费金融有限公司,应届毕业生,本科,六险一金 周末双休,"Join us, and you will1. Work in an Agile development environment, participate in technical team’s agile transformation.2. Grow as professional IT expert in an international and multicultural work environment.3. Touch cutting-edge IT technology, and be one of the members of the top Consumer Finance companies.We would like you to have1. Major in Computer Science, Mathematics, Statistics, Software Development, Electronic Engineering etc.2. Good at JAVA, C/C++, HTML, JavaScript (with practical programming experience preferred).3. Experience with machine learning, deep learning, data mining development experience under Linux, large-scale data processing experience is preferred.",金融,2000人以上,大数据,天津
IT Intern-大数据,https://www.lagou.com/jobs/7138599.html,和平区,3k-4k,捷信消费金融有限公司,应届毕业生,本科,六险一金 周末双休,"Join us, and you will1. Work in an Agile development environment, participate in technical team’s agile transformation.2. Grow as professional IT expert in an international and multicultural work environment.3. Touch cutting-edge IT technology, and be one of the members of the top Consumer Finance companies.We would like you to have1. Major in Computer Science, Mathematics, Statistics, Software Development, Electronic Engineering etc.2. Good at JAVA, C/C++, HTML, JavaScript (with practical programming experience preferred).3. Experience with machine learning, deep learning, data mining development experience under Linux, large-scale data processing experience is preferred.",金融,2000人以上,大数据,天津
大数据工程师,https://www.lagou.com/jobs/7098335.html,西青区,8k-15k,天地伟业技术有限公司,3-5年,本科,"奖金丰厚,福利待遇好,各种团建,发展空间","岗位职责:1、为涉及大数据技术的产品提供大数据服务，设计实现大数据应用业务    2、对现有大数据技术进行改进持续提升大数据服务支撑水平 3、对大数据新技术调研并将新技术应用到实际的大数据产品中4、设计并实现大数据基础架构，实现架构的性能和通用性、稳定性，扩展性的持续升级任职资格:1、精通Java 开发语言。    2、熟悉常见的web前端开发。3、构架支持超大数量级的数据的大数据平台系统，及相关监控，拓展系统设计及实现。4、精通Hadoop及其生态圈相关组件，比如MapReduce、HDFS、Hive、Impala、Spark等；5、优先考虑有大数据平台Hadoop/Hive/Storm/Spark/Flink/Kafka 开发经验，熟悉Spark分布式计算, cassandra/hbase/solr/Elasticsearch等数据库； 6、具有良好的抽象设计能力，思路清晰，善于思考，能独立分析和解决问题,责任心强，具备良好的团队合作精神和承受压力的能力；7、有大型分布式系统开发经验优先、有大型互联网工作经验优先；8、对现有系统的进行架构深入分析及系统优化，进一步提升系统的性能及数据处理能力；9、学习能力强，适应能力好，对技术、互联网、云计算、云安全有热情；","硬件,移动互联网",500-2000人,大数据,天津
高级数据库开发工程师(J11164),https://www.lagou.com/jobs/6866934.html,和平区,10k-15k,朗新科技股份有限公司,1-3年,本科,节日福利五险一金交通补助带薪年假弹性工作,,"移动互联网,企业服务",2000人以上,大数据,天津
