job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据工程师,https://www.lagou.com/jobs/6209765.html,鄞州区,15k-25k,宁波逸享电子商务有限公司,5-10年,本科,发展前景优,"职位描述  1、 负责数据仓库逻辑建模；2、 完成指标系统和数据看板系统搭建。3、根据需求使用海量数据建立完善的指标体系，支撑业务运营需求；4、负责数据清洗、加工、分类等开发工作，并能完成数据分析及挖掘对数据的需求；5、深度挖掘用户行为，开发用户精准定向模型任职资格1、本科及以上学历，计算机、数学、统计相关专业；2、3年以上相关工作经验，具有互联网、大数据开发经验；3、具备较强的学习能力，对数据敏感，具备良好的逻辑思维能力、具有团队精神以及优秀的问题解决能力；4、熟悉Java，对于Hadoop、Hive、Spark、HBase有实际的编码能力和项目经验；5、熟悉数据仓库建模理论、模型设计、ETL设计思路, 并有实际完整项目实践；6、熟悉至少一种主流数据库系统，精通SQL，有较好的SQL性能调优经验。","电商,社交",15-50人,大数据,宁波
大数据部经理,https://www.lagou.com/jobs/6920454.html,鄞州区,17k-30k,宁波逸享电子商务有限公司,5-10年,本科,发展前景优,岗位职责：1、负责大数据平台的基础建设，参与数据基础架构升级和优化，不断提升系统稳定性和效率2、负责完善数据统计、调度、分析、OLAP、可视化、应用等平台的构建和优化3、负责整体数据模型、数据质量、元数据体系，数据安全和数据血缘等体系的完善和优化4、设计和实现对用户画像、数据挖掘和机器学习等的系统性支持5、负责大数据团队的管理工作，带领团队完成技术解决方案，帮助团队成员快速成长任职要求：1、5年以上大数据平台研发经验，2年以上团队管理经验，计算机科学工程等相关专业领域本科及以上学历2、精通Hadoop/Spark/Hive/HBase/Kafka/Flume/DataX等技术，有丰富的多场景实操经验，掌握数据分析与各种算法与模型3、精通数据库设计，熟悉Mysql/Postgres/MongoDb及其集群等，对数据库设计、SQL编写和优化有丰富的经验4、熟悉OLAP系统、常见的BI解决方案，并有一定的搭建和开发经验5、熟练掌握Python/Scala/Java其中任意一种语言、Linux基本操作和Shell脚本，理解多线程，IO等6、具备优秀的系统架构设计能力，分析、解决问题能力和必要的产品意识；算法基础良好，编码能力优秀；执行力、沟通能力强，喜欢挑战，乐于团队合作7、有使用实时数据处理经验者优先，有数据挖掘、机器学习实际经验者优先 。,"电商,社交",15-50人,大数据,宁波
数据治理,https://www.lagou.com/jobs/7061729.html,鄞州区,8k-9k,宁波博威合金材料股份有限公司,3-5年,本科,1、重视IT发展。2、平台大，项目多,1、识别、分析业务部门数据治理需求，为数据消费方提供数据集成、数据治理、数据管理解决方案；2、深入理解大数据和数据仓库项目中数据架构与数据管理体系，参与数据治理规划，负责数据治理项目的整体推动及跨部门之间的组织协调工作；3、协助业务部门进行数据标准、数据质量/指标标准的制定、评审、复审与版本发布；4、通过开展数据治理工作，包括流程梳理、主数据标准、数据标准梳理等，保证数据的真实性、准确性、连续性、完整性和及时性。岗位要求：1、熟悉数据集成、主数据、元数据管理、数据质量管理常用工具和方法论；2、熟悉主流数据仓库技术，了解维度建模和实体建模的优缺点；3、具备制定数据治理各系统（元数据系统、数据标准平台和数据质量管控平台、数据资产管理系统、流程中心等）的功能规划能力；4、熟悉业界DAMA等行业标准，具备数据治理规划，制定实施方案能力；5、熟悉关系型数据库、NOSQL数据库、hbase、hive、Redis、elasticsearch等；6、具备数据资产管理思维，能进行数据资产的盘点、评估、管理等工作;7、具备数据安全意识，能制定数据安全管理制度。,硬件,2000人以上,大数据,宁波
渠道商务拓展/案场项目经理J10668,https://www.lagou.com/jobs/6787265.html,海曙区,7k-12k,北京高因科技有限公司,不限,本科,双线晋升 优秀团队 高额佣金,居理新房(Julive)——一站式购房平台居理新房（北京高因科技有限公司），创立于2014年，注册资本4.5亿元人民币，致力于打造一站式购房平台，拥有专业的高学历咨询师团队，提供从大数据找房、全城看房到低价买房的全程定制化服务，赢得了良好的用户口碑。历经5年，已经成为国内新房电商领跑者。业务范围目前已涵盖五大城市群，包括北京、上海、广州、深圳、苏州、杭州等24个城市，员工人数超2500人，年度GMV超300亿。凭借取得的优异成绩和规模，居理新房不断赢得国内外资本市场的青睐，先后获得源码资本、祥峰资本、斯道资本等多家知名投资方的注资，58集团也给予战略投资。2019年8月，居理新房宣布签约迪丽热巴为全新品牌代言人，并完成数千万美元C轮融资。 我们提供的岗位是——驻场项目经理和商务拓展！月入过万就满足了？不不不，这只是开始！【我们能给您提供的】1.薪酬体系：基本工资6500+高额提成。（基本工资包括无责任底薪5000+绩效1500，试用期按照基本工资80%发放）其中从18年4月开始实施的绩效与业绩无关，只要你有过硬的执行力，就可以全额拿到。2.多类补贴：每人每月可获得全勤奖+电脑补贴+话费报销+打车报销等。3.福利保障：试用期开始交五险一金+内部员工购房福利+年度体检+年度带薪出游+带薪年假+节假日福利+生日福利+ 每月团建经费。4.全职业生命周期的培训培养体系：从新人到管理者的每个阶段，均有完善的培训课程，且每个新人均配备资深导师进行入职引导及在职指导。①专业培训：入职初期，统一安排约两周的集中带薪培训，从地产行业的专业知识到营销咨询的业务技巧全方位覆盖。②入组培训机制：对于新员工安排入组孵化，即由主管全面培育和孵化，帮助新人达到转正标准实现顺利转正。③线上自主学习平台——猫头鹰学院，线上培训课程，让学习无处不在。5.两条个性化晋升通道：一条是专业方向，一条是管理方向①专业方向：职级从C1-C7，不断提升，对工作精益求精②管理方向：项目经理/商务拓展→项目/拓展主管→渠道主管→城市经理→大区经理从新人到管理者平均晋升周期为9-12个月，每月均会组织一次管理者公开竞聘。公司有刚转正就做到主管的超强实力新人，有95年的城市经理，你希望自己成为哪一类？6.丰富多彩的员工活动：公司专门设立员工满意部，为员工提供茶歇、零食、甜点等福利，同时还有员工自发组织的读书、撸猫、篮球、健身等各种兴趣小组，让你上班不枯燥，下班不单调！7.工作环境：办公室均入驻高档写字楼，办公环境宽敞明亮，舒适整洁；公司互联网扁平化管理，氛围轻松融洽。【项目经理岗位职责】1、在公司合作的开发商楼盘驻场，充分了解自己楼盘项目的信息，对自己楼盘的成交量负责，与咨询师对接，一同服务客户；2、对接开发商，完成与开发商的多层级关系维护工作，处理开发商和客户之间协调沟通工作；3、在案场进行信息的全面搜集，眼观六路耳听八方，清楚案场情况的方方面面；4、重点负责合作楼盘项目的回款工作，保证回款的时间点和进度顺利。【商务拓展岗位职责】1、负责居理新房领域的楼盘拓展，和开发商的项目负责人达成商务合作；2、负责合作项目的对接工作，了解项目的最新动态，及时传递给咨询师，保证咨询师能更好地了解项目；3、负责合作项目的后期回款，保证回款速度；4、负责开发商的维护工作，保证后续能有更多合作。【我们需要这样的你】1、来自一本及以上院校，统招本科及以上学历【我们的小伙伴45%以上来自海外和国内优秀高校，我们非常期待这样你加入我们，一同成长】；2、认为自己有不错的亲和力、沟通能力、逻辑思维能力以及协调能力；3、有良好的抗打击能力，愿意和一群加班狂一起工作；4、为人处世灵活，临场处理能力强，有正直的价值观；5、渴望和一群优秀的同事一起工作，让自己也变得同样优秀（真正公平、公开和谐的工作氛围）；6、一颗不安分的心、一颗能披荆斩棘的心、一颗热爱沟通的心。良禽择木而栖，我在居理新房等你！,移动互联网,2000人以上,大数据,宁波
数据分析师,https://www.lagou.com/jobs/6682541.html,鄞州区,12k-18k,宁波萌牙家科技有限公司,应届毕业生,本科,"扁平管理,绩效奖金,五险一金,快乐工作","【请仔细阅读招聘信息，理解招聘内容，并确认工作意向后，再投简历，谢谢！】岗位设定：业务参谋、经营策略研究岗位性质：偏运营、商务分析方向，大数据等涉及不多工作目标：做好广告投放的风险控制，帮助业务人员实现业绩目标，对业绩负责岗位需求原因：公司发展迅速，团队扩张岗位职责：1、帮助业务人员进行合作达人的质量评估和风险预测，对数据负责，为业务做支撑；2、与小红书、微博、B站等平台上优质的达人合作，进行萌牙家品牌和产品推广，扩大品牌知名度；3、定期对投放的笔记进行分析，总结经验教训，为今后合作积累经验；4、关注微博、B站、小红书等平台的动态，分析平台和推文特点，并及时调整营销方案。任职要求（都是硬性要求！）：1、985/211学历，数学、统计、计算机等相关专业优先；2、具有非常强的学习能力和自我提升意愿，能够做到每月4本书以上的阅读量；3、对自己严格要求，强烈希望可以在工作上有所建树，敢拼敢做，并愿意为此调整个人工作与休息时间。萌牙可以为你提供：1、有竞争力的薪酬体系！我们正不断创造更高薪资的可能性！优厚的待遇：基本工资（7000-10000）+餐补（300）+全勤（100）+提成+奖金+五险一金+节假日红包+生日福利+员工旅游+部门活动！我们崇尚梯度工资，提供多次调薪机会，你的付出一定和你的收获成正比！（月薪12k起！）2、广阔的发展空间！优先考虑内部晋升，你的舞台足够大！3、有趣、有挑战性的工作内容！初创型企业，期待你从0到1，从1到100的创造力！我们反对一成不变、枯燥死循环的工作模式，只要你敢想敢做勇于奋斗，你施展的平台无限广！4、轻松愉悦的工作氛围！90后团队，扁平管理，可以让你轻松融入，给你温暖，教你技能，伴你成长！5、看不完的书！帮助你提升知识面，进一步提高工作能力。公司分学习小组，让你在学习路上不孤单，也享受学习竞赛带来的乐趣！6、培训体系！虽然还不够完善，但一直在不断完善，只为你能够有更高的工作效率,也会为你提供良好的职业规划建议！7、冰箱、微波炉、吧台，还有各类花茶、咖啡和零食！希望给你紧张的工作带来一些帮助！8、股权期权！在萌牙，每个人都有可能拿到的期权，当前公司的员工持股占比高达33%！9、其他：双休、带薪年假、法定节假日福利、团建活动、业绩奖励、就业补贴等。萌牙的品牌理念：为生活展露健康自信的微笑！萌牙的使命：让全球人的口腔更加健康，生活更加美好！萌牙的愿景：希望让所有人能够得到健康幸福、职业幸福、财富幸福、社交幸福、最后都拥有社会归属感幸福！萌牙的价值观：不断学习，艰苦奋斗，团队合作，乐于助人；这是每个萌牙人必须要遵守和践行的!萌牙的坚持：和志同道合的人一起为梦想而奋斗！企业与团队：宁波萌牙电子商务有限公司从2015年创办初始，始终坚持打造高质量团队。目前80%以上的员工均是重点高校毕业，有较强的学习能力，钻研精神，在大家的团结奋斗下2019年预计全年营业额达*********；发展劲头已吸引多方风投关注及接洽。萌牙家的经营模式以线上为主，线下为辅。目前，我们拥有天猫、淘宝、京东、小红书等多个平台的店铺，萌牙家电动牙刷还被众多线上大V、网络红人热推,品牌影响力、用户基数正不断扩大；后续我们还将拓展洁面仪、冲牙器等多个产品体系。我们将继续秉持理念，不忘初心，致力于守护我们国人的口腔健康，励志成为让中国人骄傲的国际品牌。在萌牙家，你可以自由地发表工作想法，我们尊重每一位小伙伴的劳动成果，也重视每一位小伙伴的学习与成长。我们将一直强调身体和思想上同步的艰苦奋斗，努力学习知识，学习他人，不断反思自己，纠正自己，从而有所创新，有所进取！高压下的鞭策和成长，是我们对待每一位战友的态度和期许！我们欢迎所有有抱负、有野心，脚踏实地，能为自己的梦想而付出足够的努力和行动的人同我们一起奋斗、一起成长！对于有意向的候选人，我司将在三个工作日之内与您联系，请保持电话畅通！面试流程：电话面试(约3-10分钟）+笔试（80分钟以上）+面试（初面+复面）面试须知：1、由于我司面试准备工作较为繁琐，为保证您的面试体验，暂时仅接受电话、短信、邮件邀约后的面试，请见谅！2、面试时须携带纸质简历一份、签字笔一支，请勿遗漏！我们欢迎能够和我们有共同信念的你加入，迎接挑战以及分享成长过程中的快乐以及痛苦！我们不墨守成规，我们勇于创新，勇于挑战，为每个人的口腔健康做出我们的一份努力和贡献！","电商,医疗丨健康",50-150人,大数据,宁波
后端开发,https://www.lagou.com/jobs/5899250.html,鄞州区,6k-10k,宁波智士教育信息咨询有限公司,1-3年,本科,"高成长
高自由
自我管理",专业要求:1、本科及以上学历，计算机相关专业；两年以上后端服务系统相关实战经验；2、对大数据系统、云服务系统有一定了解，有企业大数据服务的互联网从业经历者优先；3、拥有扎实的编程能力，熟练掌握常见数据结构，掌握Java常用框架和开发模式；4、熟悉Vue，Js等开源框架，了解其工作原理；熟悉微服务开发；5、熟练掌握常见MSSQL、NoSQL数据库原理、数据库设计、查询编写和优化；6、熟悉Hadoop、Hive、Spark、ElasticSearch、Lucene、Kafka等数据和搜索系统；7、熟悉AWS、阿里云、Azure等云服务，有SaaS服务开发经验者优先；8、逻辑分析能力强，善于沟通，有良好的团队合作精神，良好的学习能力。工作职责:1、大数据和混合现实（Mixed Reality，MR）相关系统和模块的设计、开发；2、参与企业大数据服务项目、知识管理、知识搜索等系统和模块的设计开发；3、参与企业级SaaS服务平台的构建；4、进行系统的性能分析和优化工作。优先条件:1、有数据开发和数据系统相关从业经验者优先；2、有数据分析处理经验者优先；3、对新兴事物充满好奇，有创新能力；4、热爱编程，能在编程中感受幸福和成就感。,企业服务,15-50人,大数据,宁波
功能测试（外派宁波银行）,https://www.lagou.com/jobs/7169967.html,鄞州区,6k-10k,拉勾猎头,1-3年,本科,晋升,﻿宁波银行（全称宁波银行股份有限公司）成立于1997年4月10日，是一家具有独立法人资格的城市商业银行。2006年5月，宁波银行引进境外战略投资者－－新加坡华侨银行。2007年7月19日，宁波银行在深圳证券交易所挂牌上市（股票代码：002142），成为国内首批上市的城市商业银行之一。﻿1、代客系统测试：有代客系统、企业网银、外汇、信贷等相关系统测试经验 2、大数据测试类：熟悉大数据技术，如impala/hive/kudu/hbase等； 对数据敏感，有数据仓库，BI，大数据相关产品完整项目测试经验，熟练Java/Python等至少一种编程语言。,"移动互联网,企业服务",500-2000人,大数据,宁波
3D算法工程师,https://www.lagou.com/jobs/6539958.html,鄞州区,10k-20k,浙江一木智能科技有限公司,应届毕业生,本科,人工智能,岗位职责：1，负责零件3D模型重建；2，利用3D神经网络进行零件的定位；3，使用3D卷积神经网络对动态点云手势进行特征的学习；4，负责图像数据采集，数据标定等方案的设计；5，负责算法部署，算法对接，算法性能优化等技术落地细节；岗位要求：1，重点大学本科以上学历，计算机科学（含大数据），物理，数学，信息工程，电子工程或其他理工科相关专业；2，掌握一种常见的深度学习框架，如Tensorflow等，掌握OpenCV等相关工具的使用；3，在3D视觉，图形学方向有一定的实践基础，对深度摄像机有一定的了解；4，有扎实的数学功底，对常见的神经网络模型和机器学习算法，有扎实的理论和实践基础；5，具备3D建模，3D目标识别，点云数据处理等相关项目经验的优先；,人工智能,50-150人,大数据,宁波
图像算法工程师,https://www.lagou.com/jobs/6520519.html,鄞州区,10k-20k,浙江一木智能科技有限公司,应届毕业生,本科,人工智能,岗位职责：1，基于零件数据，进行尺寸检测，目标分类，视频目标检测等；2，利用图像，对生产过程进行预警，包括工人异常行为与机械手异常行为等的追踪；3，负责图像数据采集，数据标定等方案的设计；4，负责算法部署，算法对接，算法性能优化等技术落地细节；岗位要求：1，重点大学本科及以上学历，计算机科学（含大数据），物理，数学，信息工程，电子工程或其他理工科相关专业；2，掌握一种常见的深度学习框架，如Tensorflow等，掌握OpenCV等相关工具的使用；3，对常见的神经网络模型和机器学习算法，有扎实的理论和实践基础；4，具备CV背景的优先，熟悉目标分类，目标检测，轨迹追踪的优先，具备神经网络嵌入式部署相关经验的优先；,人工智能,50-150人,大数据,宁波
BI工程师,https://www.lagou.com/jobs/6209718.html,鄞州区,15k-25k,宁波逸享电子商务有限公司,3-5年,本科,发展前景优,"职位描述1、 负责数据仓库逻辑建模； 2、 完成指标系统和数据看板系统搭建。 3、根据需求使用海量数据建立完善的指标体系，支撑业务运营需求； 4、负责数据清洗、加工、分类等开发工作，并能完成数据分析及挖掘对数据的需求； 5、深度挖掘用户行为，开发用户精准定向模型任职资格1、本科及以上学历，计算机、数学、统计相关专业； 2、3年以上相关工作经验，具有互联网、大数据开发经验； 3、具备较强的学习能力，对数据敏感，具备良好的逻辑思维能力、具有团队精神以及优秀的问题解决能力； 4、熟悉Java，对于Hadoop、Hive、Spark、HBase有实际的编码能力和项目经验； 5、熟悉数据仓库建模理论、模型设计、ETL设计思路, 并有实际完整项目实践； 6、熟悉至少一种主流数据库系统，精通SQL，有较好的SQL性能调优经验；","电商,社交",15-50人,大数据,宁波
