job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据开发工程师,https://www.lagou.com/jobs/5541783.html,西湖区,15k-30k,杭州涂鸦信息技术有限公司,3-5年,本科,氛围好、福利好、成长空间大,"岗位职责：1、负责公司数据仓库建设（大数据平台的离线，实时数据仓库），主要从事数据仓库的基础架构、ETL设计、流程优化，元数据系统设计，整体管理数据的生产、建模、应用及监控体系建设；2、负责数据平台建设，设计并实现，数据产品开发；3、负责数据仓库团队的日常管理、以及团队的技术提升；4、协助咨询/算法/开发团队驱动基于数据的产品迭代，为运营决策平台提供充足的数据平台支持；岗位要求：1、本科5年以上相关工作经验，计算机、数学相关专业优先；2、有2年以上大数据系统架构与设计、重大模块设计经验，对大数据的技术趋势和SOA模式、微服务模式有较深的理解；3、 深入理解Hadoop ，及各种大数据计算框架，熟练使用Hadoop、Spark、HDFS、Hbase、Kafka、ElasticSearch、Kudu、Tidb、Druid有优化经验者优先；4、深入理解主流的OLAP项目架构设计方案和原理，如：Druid、Kylin、Impala等；5、了解数据仓库建设理论与方法、具备丰富的实践经验。精通SQL，有海量数据处理经验者优先；6、良好的跨组织协调、学习和沟通能力，乐于接受挑战；具备优秀的项目管理与团队建设能力者优先；有机会接触千亿级海量数据的离线和实时的数据处理，涉及Java,Spark,Hive,Spark streaming,Hbase,Elasticsearch,Flink等大数据的前沿技术和多云的统一架构。","移动互联网,硬件",500-2000人,大数据,杭州
大数据开发工程师,https://www.lagou.com/jobs/6869478.html,萧山区,15k-25k,浙江省农村信用社联合社,1-3年,本科,发展前景大、福利待遇好,一、岗位职责1、负责银行大数据相关系统平台的设计、开发及快速迭代；2、负责平台数据模型、指标、生命周期的设计和管理；3、基于对商业银行业务模式的深入理解，发掘数据价值。二、岗位要求1、年龄35周岁以下（特别优秀的可放宽至38周岁）；2、全日制本科及以上学历并取得相关学位，计算机科学与技术、软件工程、数学等相关专业；3、2年及以上大数据系统开发、设计经验，熟练掌握C/C++、JAVA等主流开发语言；熟练掌握大数据工具平台、DB2/ORACLE数据库者优先，具备金融行业业务分析、模型设计、数据挖掘、金融统计等相关工作经验的优先。4、具备良好的团队合作能力、沟通能力和综合分析能力，学习能力强，承压能力强，工作责任心强。有创新思维，对数据技术和业务发展有高度敏感性。,"其他,金融",2000人以上,大数据,杭州
数据开发,https://www.lagou.com/jobs/7031604.html,拱墅区,25k-35k,大箴（杭州）科技有限公司,5-10年,本科,15薪，年终分红；下午茶；,岗位描述：1.基于Hive， Spark，Hadoop的计算架构，进行大数据开发工作；2.在分布式集群上进行Hive和Spark数据开发；3.能够定位数据计算任务的瓶颈并进行性能优化；4.针对具体业务问题，构建数据化解决方案、分析框架，进行专题分析，或对具体问题进行相关设计与落地实现；岗位要求：1.有较为系统的海量数据性能处理经验；在大数据资产管理与治理有一定成功产品化经验；2.熟悉Hadoop、HBase、Zookeeper 、Spark等分布式框架，对Hadoop、Hbase或Spark源码有深入研究者优先；3.有元数据管理、可视化工作台开发、数据治理、数据安全、多租户相关的平台设计和开发经验；4.熟悉Spring、Dubbo、Mybatis框架；5.熟练掌握Linux各种命令行工具，具备良好的shell功底；6.良好的思维逻辑性、语言表达能力；,"人工智能,企业服务",50-150人,大数据,杭州
大数据开发讲师,https://www.lagou.com/jobs/6932192.html,西湖区,30k-60k,九章算法（杭州）科技有限公司,不限,本科,能把您过往积累的影响力转化成实际经济收益,"任职需求：1、三年以上大数据工作经验，熟悉大数据离线计算生态（Hadoop、Sqoop、zookeeper，hbase，Hive、Spark、调度框架等）；2、熟悉大数据实时计算生态（Storm、Spark、Flink,Flume、Kafka等）；3、熟悉分布式系统、负载均衡技术、搜索技术等；4、熟悉机器学习常见算法优先；5、有国内大厂工作经历优先。6、表达能力强，声音清晰自然，个性开朗，逻辑性强，乐于与人交流,幽默风趣工作职责：1、负责相关课程教学工作，按进度完成教学任务；2、参与大数据课程研发和后期优化；3、参与完成教学相关的文档编写工作（教学课件，教案文档等）；4、参与学术交流与研讨，不断提升业务水平；5、完成上级安排的其他与教学相关的工作；6、研究新技术，参与课程大纲的研发；7、负责回答学生的问题，以及远程帮助学生解决问题。","移动互联网,教育",15-50人,大数据,杭州
大数据开发工程师,https://www.lagou.com/jobs/7077763.html,拱墅区,15k-22k,浙江汇信科技有限公司,3-5年,本科,行业前景,工作职责：1、负责数据仓库开发2、负责存储过程编写3、数据模型研究开发任职资格：1、精通postgresql/mysql等数据库、精通sql语言，对数据库优化、sql优化等有相关经验2、熟悉数据仓库的理论和数据库建模，有一定的工作实践3、精通常用的开源工具如：DATAX、KETTLT等4、熟悉阿里云的ODPS、ADS、流计算等组件5、能够通过数据化运营发现、分析问题和优化流程，推动数据处理流程自动化6、对数据敏感，有良好的沟通表达能力和跨团队协调能力7、计算机相关专业大学本科以上学历，至少3年以上相关大数据开发经验,"移动互联网,电商",150-500人,大数据,杭州
大数据开发工程师,https://www.lagou.com/jobs/7086194.html,西湖区,20k-40k,杭州微拍堂文化创意有限公司,5-10年,不限,年底双薪，出国游,"职位描述：1. 参与和主导大数据平台的开发和设计， 数据产品的落地， 包括但不限于数据采集、调度引擎、开发平台、数据治理、数据服务等2. 参与和主导平台的技术攻坚， 解决平台的疑难杂症， 包括但不限于： 故障的定位与修复、 资源及性能的优化3. 参与和主导平台技术的选型，新技术的预研， 主流前沿技术的引入和落地， 包括但不限于： 存储、（流/批）计算引擎、多维分析及直接支持应用的各类数据产品4. 参与和主导团队CodeReview5. 参与开发流程的优化改造， 包括自动化测试等技能要求：1. 3年以上数据平台开发经验， 至少完整负责过下列模块之一： 数据集成/调度引擎/开发平台/任务运维/数据服务 2. 3年以上的Java开发经验， 可熟练开发MapReduce/Spark/Flink之一， 熟悉java的IO/并发/容器/内存模型。 3. 数据hadoop生态环境， 深入理解过下列组件中的两个以上（包括功能和原理）： HBase/Kafka/Hadoop/Hive/Spark/Flink/ES。 阅读过源码、 有过二次开发经验者尤佳4. 熟练操作Shell， 可独立使用命令行解决集群问题5. 具备快速学习、团队合作及高效沟通的能力6. 有过PB级数据平台经验者加分7. 熟悉Mongo/Redis/Mysql/Kylin/Druid/Flume/Zookeeper 等开源产品者加分8. 熟悉Spring Boot/Spring Cloud， 熟悉Web开发者加分9. 熟悉Python/Go语言者加分10. 有搭建数据中台经验者加分11. 熟悉前端开发， 有Reactive/AntDesigner经验者加分12. 有用户标签/画像/推荐等数据产品开发经验者加分13. 了解数据挖掘流程者加分14. 熟悉k8s, docker者加分","移动互联网,电商",500-2000人,大数据,杭州
大数据开发工程师,https://www.lagou.com/jobs/6978455.html,西湖区,6k-12k,杭州半云科技有限公司,1-3年,本科,节日福利、定期体检、六险一金、绩效奖金,岗位职责：1、理解产品需求，梳理产品需求和数据之间联系； 2、参与数据仓库总体架构设计； 3、参与数据仓库数据标准、元数据管理的规划设计； 4、参与数据逻辑模型与物理模型设计；5、保证Greenplum数据库的稳定性和高可用性；  6、优化数据查询算法及数据库性能调优。岗位要求：1、精通JAVA，有扎实的编程功底； 2、掌握MPP数据仓库设计原理、运行机制； 3、熟悉数据仓库各类建模理论，以及数据仓库数据层级关系，了解3NF和多维数据模型设计； 4、熟悉数据仓库的ETL的开发和优化，对BI有较深入的理解； 5、熟悉Greenpeum数据仓库模型设计，至少具有2年以上使用及相关开发经验； 6、有过 OLAP 系统开发经验，有过PB以上级生产环境经验者优先； 7、逻辑思维能力强，对数据敏感，有较强的学习能力和创新思维。,移动互联网,150-500人,大数据,杭州
大数据实时开发(flink方向),https://www.lagou.com/jobs/6770194.html,西湖区,15k-30k,杭州涂鸦信息技术有限公司,3-5年,本科,行业独角兽,"岗位职责1、负责业务数据和用户行为日志的实时采集、计算、存储、服务，为业务团队提供直接数据决策;2、负责部门实时计算体系架构建设及实时计算平台开发改进。3、负责即时分析相关技术方案的探索4、负责实时数据仓库的建设，完善实时计算方案任职要求1、本科至少3年以上相关工作经验，计算机、数学相关专业优先；2、掌握实时计算技术体系包括数据采集、计算引擎flink等,对实时计算所涉及的事务、容错、可靠性有深入理解 并有实际项目经验；3、熟悉 hadoop 生态包括 hdfs/mapreduce/hive/hbase,熟悉 kafka 等实时开源工具并有项目经验；4、熟悉 mysql 等关系型数据库,熟悉 redis 内存数据库,熟悉 linux 系统;5、掌握Java或Scala语言，如并发编程和JVM等，追求高标准的工程质量；6、有flink实时计算开发经验,熟悉olap的相关技术。7、有良好的沟通能力和自我驱动动力,具备出色的规划、执行力,强烈的责任感,以及优秀的学习能力,对技术有热情，愿意不断尝试新技术和业务挑战。","移动互联网,硬件",500-2000人,大数据,杭州
大数据开发工程师,https://www.lagou.com/jobs/7074941.html,余杭区,20k-30k,杭州邻汇网络科技有限公司,3-5年,不限,"五险一金(最高比例),福利优厚,期权",我们需要您:1、理解业务需求，负责数据仓库建设、ETL流程的开发和优化工作;2、解决业务数据分析、数据报表、数据异常相关的技术问题;3、性能改进、功能扩展、故障分析.我们希望您:1、计算机相关专业本科及以上学历;2、精通Java和SQL编程语言，并熟悉Scala、Python、Shell等一门以上脚本语言;3、熟悉Hadoop大数据平台架构及相关技术体系，熟悉Hive/Spark/Spark SQL/YARN开发调优技术，具有相关项目经验；熟悉阿里云ODPS开发优先;4、掌握数据仓库(DW)/OLAP/商业智能(BI)/数据统计理论，熟悉Oracle/Mysql数据库，熟悉数据仓库搭建全流程;5、思路清晰，具备良好的沟通能力和理解能力，较强的学习能力以及快速解决问题的能力;6、具有高度的责任感，工作认真、主动、踏实.,企业服务,150-500人,大数据,杭州
大数据开发工程师,https://www.lagou.com/jobs/5525492.html,西湖区,13k-25k,浙江百世技术有限公司,不限,本科,"数据量大,业务价值高,弹性工作,朝阳企业","岗位职责： 
 参与大数据分析平台和数据仓库设计、建模、研发
 对各源数据进行ETL与标准化
 根据业务需求，开发相应数据产品
任职要求：1、具备较强的数据分析，问题分析，逻辑思维能力，良好的沟通，团队协作能力。2、计算机或相关专业本科及以上学历；3、熟悉Hadoop生态，精通Spark RDD运算模型，熟练开发Spark Job、Spark Streaming应用程序；",物流丨运输,2000人以上,大数据,杭州
