job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据开发工程师,https://www.lagou.com/jobs/7102597.html,浑南区,8k-15k,东华软件股份公司,不限,不限,上市公司、五险一金、年终奖、弹性工作制,"任职要求：
 1、精通hadoop 体系技术或CDH大数据计算存储套件技术，有实际项目开发经验；
 
 2、熟悉Java语言；
 
 3、熟悉关系型数据库，如MySQL/Oracle/DB2/PostgreSQL，熟练使用Hive，Hbase，Spark等工具做数据加工处理；
 
 4、熟悉Linux操作系统和开发工具，了解docker，kvm/xen等虚拟环境；
 
 5、熟悉布式存储系统（Ceph、Gluster、HDFS、Moose等开源软件），具有相关实践实施经验；
 
 6、了解分布式系统和计算；
 
 7、接受东三省出差及驻场开发。

 岗位职责：
 1、软件产品研发，能根据需求，设计和开发产品功能，并参加单元、集成测试;
 
 2、具有较强的学习能力，能快速理解业务流程及逻辑;
 
 3、协助团队完成开发任务，协助项目实施工作以及项目的技术支持工作。","企业服务,数据服务",2000人以上,大数据,沈阳
大数据架构师,https://www.lagou.com/jobs/6653232.html,铁西区,10k-17k,华晨宝马汽车有限公司,5-10年,本科,15薪,工作描述：1、做为主要设计者，参与并协调IT内外部资源，创建跨数据平台的创新型架构及策略来提升并实现IT数据能力和战略2、确保系统，技术和产品架构与BMW中国数据平台战略保持一致岗位职责：1、具备数据湖设计、搭建及管理能力2、具备元数据、数据质量管理经验3、具备编程能力，熟悉JAVA/Python语言；4、精通Hadoop/Hive/Hbase/Spark/Mapreduce等大数据工具或技术；5、精通Oracle/SQL/HANA数据库；6、良好的英文沟通能力；,汽车丨出行,2000人以上,大数据,沈阳
大客户经理,https://www.lagou.com/jobs/4703989.html,和平区,15k-30k,杭州尚尚签网络科技有限公司,3-5年,本科,"靠谱团队,C轮融资,SaaS",岗位职责：1、负责所属区域或者行业的电子合同云平台（上上签SaaS）的销售和客户维护工作，负责区域或者行业的销售任务完成，包括公司级战略任务执行与推进；2、负责对市场不同阶段的市场规划以及重点项目、重点市场的推进；负责维护良好的客户关系；3、对市场的变化做出及时的判断和预测，及时作出反应和预判，并对于公司提出积极正面的建议；4、有制作客户解决方案的专业能力，并且可以带领虚拟客户团队为客户提供服务；5、负责监测、搜集、整理和分析各种市场信息，及时了解和总结市场反馈，对产品迭代给出建议，为公司提供决策建议。任职资格：1、通信工程、计算机、电子类、市场营销等专业本科及以上学历；对软件、服务、网络等IT领域有基本了解；2、熟悉移动互联网市场，熟悉SAAS市场，有至少3年以上销售经验；3、具有敏锐的市场洞察力，擅长捕捉机会，有创新思维，有团队合作精神；4、极强的目标感、执行力、沟通能力、推动能力、自我学习能力，善于自我激励，心态开放、正向、良好的抗压能力；5、信任、接受改变、接受挑战、注重承诺、结果和过程并重、追求卓越；6、计算机软件、硬件、互联网、大数据、云计算、SAAS行业经验优先；,"移动互联网,企业服务",150-500人,大数据,沈阳
（沈阳）大客户经理,https://www.lagou.com/jobs/6532789.html,和平区,15k-25k,杭州尚尚签网络科技有限公司,3-5年,本科,六险一金 高提成 朝阳行业,,"移动互联网,企业服务",150-500人,大数据,沈阳
高级系统运维,https://www.lagou.com/jobs/7165358.html,沈河区,13k-15k,北京百分点信息科技有限公司,3-5年,本科,六险一金，13薪，丰厚的年底奖金,【岗位职责】Leading项目运维团队完成项目/产品运维交付工作。1.整体设计，参与项目架构设计，运维方案撰写，推动落地实施。2.实施部署，合理计划，把控项目实施部署节奏，保障工作质量。3.系统优化，主导必要系统优化工作，解决系统性能瓶颈。4.日常运维，分析运维指标，优化执行过程，提供工作效率。5.问题处理，剖析问题根源，深刻理解原理，给出明确的解决思路。6.运维管理，主导新技术调研并分享，考虑系统稳定性、执行高效性，管理一个项目运维交付。【任职要求】1.精通Linux基础，常见数据库，熟悉大数据服务的部署及优化（ELK，hadoop，hbase，spark，storm等），理解其工作原理。2.熟悉Jenkins、Git、Github、Gitlab、puppet、ansible等工具。3.具备一定的架构设计能力和方案文档撰写能力。4.善于沟通，有极强的跨团队协作能力和执行力。5.本科以上学历，5年以上运维相关工作经验，有云计算背景优先考虑。6.能够接受国内出差。,数据服务,500-2000人,大数据,沈阳
java开发工程师,https://www.lagou.com/jobs/7149125.html,浑南区,10k-15k,辽宁津港科技有限公司,5-10年,不限,发展前景,岗位职责1、 参与系统的需求调研和需求分析，撰写相关技术文档2、 搭建系统开发环境，完成系统框架和核心代码的实现；3、 项目概要设计、详细设计、开发计划等的编制并实施；4、 系统开发测试、部署和集成；5、 负责解决开发过程中的技术问题；6、 参与代码维护与备份；任职资格1.计算机类或相关专业，本科以上学历，5年以上JAVA程序开发经验，熟悉软件系统的开发流程；2.精通SPRING MVC、SPRING BOOT等技术框架3.熟悉Redis、MQ、文件存储、 Restful API、WebService、分布式多线程等相关开发技术；4.精通oracle或MySQL数据库，有数据库SQL调优经验者优先；5.了解 Bootstrap/Vue等前端技术框架；6.具有SPRING CLOUD微服务项目研发经验者优先； 7.熟悉TCP/IP协议，有自定协议传输研发经验者优先8.熟悉软件技术文档的编写；具备良好的文档编制习惯和代码书写规范；9.思路清晰，善于思考，能独立分析和解决问题；10.责任心强，具备良好的团队合作精神和承受压力的能力；有大数据开发经验优先录取,数据服务,少于15人,大数据,沈阳
安卓工程师,https://www.lagou.com/jobs/7172494.html,沈北新区,8k-15k,北京遥领医疗科技有限公司,3-5年,本科,五险一金 周末双休 大牛带队 创业公司,技能要求：AndroidNDK，AndroidSDK，AndroidStudio，AndroidUI，java，service职位亮点1、常规福利：高前景行业 弹性工作 五险一金 带薪年假 定期团建 绩效奖金 餐补 交通补 高颜值MM；2、创业核心团队均来自国内或海外一线名校及行业专家，多元背景；3、超过十年的专病医疗大数据领域经验积累，服务全国上百家大型医院、药厂，既有项目也有风投，现金流充沛；4、IT和医疗融合团队，空间大，助你快速成长为跨界人才；5、无限成长空间。岗位职责：1、根据产品需求文档与产品原型，搭建安卓App架构并进行功能模块开发；2、了解App产品相关的业务流程，与产品经理一起完善App客户端的迭代与完善；3、与产品经理、后端人员、测试人员协同工作，参与从软件需求评审到实现、测试、发布的工作；4、对App客户端的Bug进行修复，保证App的稳定、可靠运行；5、负责开发相关的源代码、技术文档的维护工作。职位要求：1、大学本科或以上学历，计算机相关专业，2年以上Android开发经验；2、扎实的Android开发基础，熟练掌握Android界面绘制、后台运行、数据存储、XML/JSON解析、图片压缩与处理等相关技术；3、熟练掌握Android开发的各类开源库，对UI、性能及内存优化等有深刻了解；4、熟练使用Android Studio集成开发环境；熟悉git、wiki工具的使用；5、熟悉常用算法和数据结构等基础知识；精通网络编程、多线程、数据库编程；6、有良好的编程习惯，较好的文档编写能力；7、自驱学习型，抗压能力强；良好的表达沟通能力，团队协作精神。关键词：医疗，人工智能，临床研究查看更多内容,"数据服务,医疗丨健康",15-50人,大数据,沈阳
新媒体运营,https://www.lagou.com/jobs/6989032.html,大东区,3k-6k,沈阳汇世信息技术有限公司,应届毕业生,不限,新颖 有前瞻性 面向企业级用户,致亲爱的你，首先我们沟通时请别问我最低能开多少钱，我不想招一个像公司最低工资看齐的人，虽然公司有保底底薪，但是销售都是靠业绩吃饭养家买口红买车买房子的，我希望你可以咨询销售**开多少钱，提成多少，有没有定期培训，虽然说销售需要一个过程，但是他是**一个可以凭实力说话来了就可以有业绩的工作。只要你脚踏实地阳光开朗，一定给你回报，适合长期发展。如果我们约定好见面时间请你务必守时赴约，哪怕不来也请提前告知，我也很忙请你体谅。沈阳汇世信息技术有限公司成立于2015年，是大连汇世信息技术有限公司在沈阳的第二家分公司，主要从事移动互联网项目，负责微信商业化的整体发展及布局，有微信商业化1、积极开拓市场，与客户建立良好的关系，维护客户关系，并达成销售； 2、主动联系客户，与其进行有效的沟通、了解客户反馈的意见和建议； 3、和客户面对面沟通，详细介绍公司产品； 4、按时完成销售任务。 任职要求： 1、大专及大专以上学历； 2、可接收应届毕业生; 3、普通话标准，有较强的沟通能力，语言表达能力强； 4、有责任感，具有团队协作精神， 有青春的朝气，有极强的进取心，有挑战高薪的勇气； 4、有面销经验，有互联网、金融、保险销售经验优先。                                                        薪资待遇： 1、薪酬：底薪（2200-3000）+高额提成+奖金（5000+上不封顶）  五险2、完善的培训=专业的带薪入职培训+实用的在职培训+系统的阶段培训； 我们采取以老带新，一对一全新领带转正模式，师徒之情伴随你整个职业生涯。3、人性的工时=国家法定假日休假+带薪年假+带薪婚/丧/病/产假/陪产假等；4、清晰的规划=以业绩为导向+简单融洽的职场氛围+公开透明畅通的晋升通道； 我们为每位员工提供清晰的职业规划，无论是成为销售的精英还是优秀的企业管理者。你能得到什么：1. 公平：同等的平台、同等的环境、同等的机会，不一样的是你自己的努力2. 公正：我们会用心去爱每一名同事，因为我们都是年轻人，有的都是共同的语言；3. 公开：晋升表彰公开透明，业绩，人品，二者缺一不可4. 你可以迅速与同龄人拉开差距，无论是能力的提升还是金钱的收入，我们可以让你的梦想从这里起飞。沈阳汇世信息技术有限公司成立于2015年，是大连汇世信息技术有限公司在沈阳的第二家分公司，主要从事移动互联网项目，负责微信商业化的整体发展及布局，有微信商业化微商户项目，微信商业化小程序项目，支付宝商业化项目，5G商业化项目。基于移动互联网，新媒体为当地的传统实体企业提供系统性线上、线下相结合的落地解决方案，帮助传统实体企业实现O2O的转型，并更好的结合现代互联网及腾讯大数据的应用。已服务过的企业有辽宁禾丰牧业有限公司，北方化妆品有限公司，爱美丽卡有限公司等辽宁诸多企业。总公司大连汇世信息技术有限公司成立于2010年，沈阳汇世腾达传媒有限公司成立于2013年，沈阳分公司自成立起就经中国企业家联合成长计划管委会严格审核并授权的“辽宁工作站”，负责推荐辽宁省的优秀企业代表参与入围“中国企业家联合成长计划”相关活动，涉及的业务包括：CCTV证券资讯频道《影响力对话》栏目，CCTV发现之旅频道《华商论见》栏目，CCTV证券资讯频道《大国商道》栏目高端访谈节目。现负责CCTV发现之旅频道《追溯》、CCTV老故事频道《匠心》纪录片栏目为“国家品牌计划”在东北地区进行选题工作。为当地企业提供***媒体平台展播、视频联盟媒体播放、授权荣誉、品牌入围、品牌推荐等较系统性的一站式的品牌提升解决方案，并全权负责与当地企业的接洽、跟进与后续的服务及支持工作。入围的公司有：四平宏宝莱饮品有限公司，本溪木兰花乳业，大连九州建设集团，本溪桓仁五女山旅游限公司，桓仁思帕蒂娜冰酒庄园，营口盛宇耐火材料有限公司等多家东北知名企业。,移动互联网,15-50人,大数据,沈阳
产品经理,https://www.lagou.com/jobs/6989062.html,大东区,3k-6k,沈阳汇世信息技术有限公司,不限,大专,新颖 有前瞻性 面向企业级用户,致亲爱的你，首先我们沟通时请别问我最低能开多少钱，我不想招一个像公司最低工资看齐的人，虽然公司有保底底薪，但是销售都是靠业绩吃饭养家买口红买车买房子的，我希望你可以咨询销售**开多少钱，提成多少，有没有定期培训，虽然说销售需要一个过程，但是他是**一个可以凭实力说话来了就可以有业绩的工作。只要你脚踏实地阳光开朗，一定给你回报，适合长期发展。如果我们约定好见面时间请你务必守时赴约，哪怕不来也请提前告知，我也很忙请你体谅。沈阳汇世信息技术有限公司成立于2015年，是大连汇世信息技术有限公司在沈阳的第二家分公司，主要从事移动互联网项目，负责微信商业化的整体发展及布局，有微信商业化1、积极开拓市场，与客户建立良好的关系，维护客户关系，并达成销售； 2、主动联系客户，与其进行有效的沟通、了解客户反馈的意见和建议； 3、和客户面对面沟通，详细介绍公司产品； 4、按时完成销售任务。 任职要求： 1、大专及大专以上学历； 2、可接收应届毕业生; 3、普通话标准，有较强的沟通能力，语言表达能力强； 4、有责任感，具有团队协作精神， 有青春的朝气，有极强的进取心，有挑战高薪的勇气； 4、有面销经验，有互联网、金融、保险销售经验优先。                                                        薪资待遇： 1、薪酬：底薪（2200-3000）+高额提成+奖金（5000+上不封顶）  五险2、完善的培训=专业的带薪入职培训+实用的在职培训+系统的阶段培训； 我们采取以老带新，一对一全新领带转正模式，师徒之情伴随你整个职业生涯。3、人性的工时=国家法定假日休假+带薪年假+带薪婚/丧/病/产假/陪产假等；4、清晰的规划=以业绩为导向+简单融洽的职场氛围+公开透明畅通的晋升通道； 我们为每位员工提供清晰的职业规划，无论是成为销售的精英还是优秀的企业管理者。你能得到什么：1. 公平：同等的平台、同等的环境、同等的机会，不一样的是你自己的努力2. 公正：我们会用心去爱每一名同事，因为我们都是年轻人，有的都是共同的语言；3. 公开：晋升表彰公开透明，业绩，人品，二者缺一不可4. 你可以迅速与同龄人拉开差距，无论是能力的提升还是金钱的收入，我们可以让你的梦想从这里起飞。沈阳汇世信息技术有限公司成立于2015年，是大连汇世信息技术有限公司在沈阳的第二家分公司，主要从事移动互联网项目，负责微信商业化的整体发展及布局，有微信商业化微商户项目，微信商业化小程序项目，支付宝商业化项目，5G商业化项目。基于移动互联网，新媒体为当地的传统实体企业提供系统性线上、线下相结合的落地解决方案，帮助传统实体企业实现O2O的转型，并更好的结合现代互联网及腾讯大数据的应用。已服务过的企业有辽宁禾丰牧业有限公司，北方化妆品有限公司，爱美丽卡有限公司等辽宁诸多企业。总公司大连汇世信息技术有限公司成立于2010年，沈阳汇世腾达传媒有限公司成立于2013年，沈阳分公司自成立起就经中国企业家联合成长计划管委会严格审核并授权的“辽宁工作站”，负责推荐辽宁省的优秀企业代表参与入围“中国企业家联合成长计划”相关活动，涉及的业务包括：CCTV证券资讯频道《影响力对话》栏目，CCTV发现之旅频道《华商论见》栏目，CCTV证券资讯频道《大国商道》栏目高端访谈节目。现负责CCTV发现之旅频道《追溯》、CCTV老故事频道《匠心》纪录片栏目为“国家品牌计划”在东北地区进行选题工作。为当地企业提供***媒体平台展播、视频联盟媒体播放、授权荣誉、品牌入围、品牌推荐等较系统性的一站式的品牌提升解决方案，并全权负责与当地企业的接洽、跟进与后续的服务及支持工作。入围的公司有：四平宏宝莱饮品有限公司，本溪木兰花乳业，大连九州建设集团，本溪桓仁五女山旅游限公司，桓仁思帕蒂娜冰酒庄园，营口盛宇耐火材料有限公司等多家东北知名企业。,移动互联网,15-50人,大数据,沈阳
java开发工程师,https://www.lagou.com/jobs/7158648.html,浑南区,10k-15k,辽宁津港科技有限公司,5-10年,本科,发展前景,岗位职责1、 参与系统的需求调研和需求分析，撰写相关技术文档2、 搭建系统开发环境，完成系统框架和核心代码的实现；3、 项目概要设计、详细设计、开发计划等的编制并实施；4、 系统开发测试、部署和集成；5、 负责解决开发过程中的技术问题；6、 参与代码维护与备份；任职资格1.计算机类或相关专业，本科以上学历，5年以上JAVA程序开发经验，熟悉软件系统的开发流程；2.精通SPRING MVC、SPRING BOOT等技术框架3.熟悉Redis、MQ、文件存储、 Restful API、WebService、分布式多线程等相关开发技术；4.精通oracle或MySQL数据库，有数据库SQL调优经验者优先；5.了解 Bootstrap/Vue等前端技术框架；6.具有SPRING CLOUD微服务项目研发经验者优先； 7.熟悉TCP/IP协议，有自定协议传输研发经验者优先8.熟悉软件技术文档的编写；具备良好的文档编制习惯和代码书写规范；9.思路清晰，善于思考，能独立分析和解决问题；10.责任心强，具备良好的团队合作精神和承受压力的能力；有大数据开发经验优先录取,数据服务,少于15人,大数据,沈阳
