job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据开发工程师,https://www.lagou.com/jobs/7065501.html,南山区,20k-40k,腾讯科技（深圳）有限公司,5-10年,本科,大平台,岗位职责：1、负责部门海量数据的接入和清洗工作；2、支持部门数据产品的开发和服务化；岗位要求：1、 计算机或计算机相关专业本科及以上学历 ；2、 五年以上互联网行业工作经验；3、 精通Linux/Unix平台上的JAVA编程语言，熟悉海量实时数据处理过程，有相关经验者优先；4、 有海量服务开发或分布式系统开发经验，能独立进行后台架构的设计，熟悉分布式系统数据一致性保障手段；5、 有追求卓越的理想和团队合作精神，在中大型项目中作为核心人员参与关键工作，分析问题和解决问题能力强；6、 具备良好的文档书写能力，乐于学习及分享，勇于创新并接受挑战，做事认真、细致富有耐心，可以在较大压力下保持工作激情；,社交,2000人以上,大数据,深圳
大数据开发工程师,https://www.lagou.com/jobs/6390055.html,南山区,25k-40k,爱客科技（深圳）有限公司,5-10年,本科,全球项目、高薪资、高福利、国际团队,"有关 AfterShip2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 600 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。if (your_passions.includes('coding')) { switch(your_stacks) {  case 'Node.js':  case 'Python':  case 'Kubernetes':  case 'Serverless':   console.log('Join AfterShip');   break; }}岗位职责1、负责数据进行清洗、处理、分析（每月超过 10 亿条实时数据反馈）；2、负责大数据处理分析平台搭建，数据产品构建；3、负责生成 BI 报告以及实时生成不同纬度的报告；4、负责系统的 SLA 代码维护、秩代更新，保证任务质量和交付及时性；5、负责编写相关的技术文档、单元测试，对产品质量负责；6、负责基于Hadoop/Spark/Hive/Kafka/Flink等分布式计算平台实现离线分析、实时流分析的计算框架的开发。岗位要求1、统招本科及以上学历，英语读写熟练；2、熟悉 Git/GitHub，通信协议 TCP/HTTP 及 RESTful 标准；3、五年及以上数据平台构建，Java, Scala 或 Python 开发工作经验；4、深入了解大数据计算平台架构和产品组件原理和应用场景，如 Spark, Hadoop, Hive, HBase, AWS Redshift, AWS Kinesis, GCP BigQuery, GCP Cloud Dataflow 等。加分项1、有 NLP, TensorFlow 或其他相关机器学习使用经验；2、有 CI/CD 自动化测试经验；3、有使用 Docker、Kubernetes、AWS 或 GCP 云计算经验；4、有写 Blog 的习惯，活跃技术社区，参与开源项目等；5、有代码洁癖，对代码精益求精，对技术有极客热情；6、有软件著作权申请，有专利发明申请。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、行业头部企业: 海外驰名企业，细分领域领跑者；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,大数据,深圳
大数据开发工程师,https://www.lagou.com/jobs/7209593.html,福田区,11k-20k,深圳市博悦科创科技有限公司,1-3年,大专,五险一金年终奖金 定期体检年度旅游,工作职责： 1、负责数据接入、数据提取、数据清洗、底层重构、业务主题模型开发等工作； 2、参与投资数据仓库开发，投资集市开发； 3、负责接口平台、投资分析平台等系统的建设和维护； 4、针对具体大数据应用场景，提供有效解决方案，并针对具体模型落地实施； 应聘要求： 1、大专及以上学历、计算机相关专业优先，2年以上开发经验； 2、精通SQL，至少熟悉Oracle/Mysql/Posgresql中的一种。 3、掌握Sqoop、Hive、Hbase、Spark/Spark streaming、Kafka组件的架构及实现原理，能对其进行故障分析、性能调优；4、热爱技术，有很强的钻研能力，乐于接受有挑战性的任务。 5、大型互联网工作经验者，处理高性能、高并发实践经验者、精通Scala、Python者优先考虑。 6、具备良好的学习能力、分析和解决问题能力； 7、具有高度的责任心和团队合作精神,移动互联网,500-2000人,大数据,深圳
大数据开发工程师,https://www.lagou.com/jobs/7025067.html,南山区,18k-30k,深圳数位传媒科技有限公司,3-5年,本科,大数据 发展前景好 有竞争力薪酬体系好,"岗位职责：1. 参与大数据平台产品的架构和规划，用户基础数据及用户画像的体系建设；2. 负责大数据平台和基础产品的开发和维护，3. 建设日均增量100T数据基础平台建设；4. 基于用户行为数据，构建高性能，低延迟的处理流程；5. 业务数据仓库架构设计、建模和ETL开发，构建可扩展的数据仓库和分析解决方案；岗位要求：1. 3年以上的大型数据仓库/数据调度/数据报表分析平台建设经验；2. 精通Java/Scala，C++，Python等开发语言至少一个以上，具备良好的面向对象和函数编程思想，了解常用设计模式；3. 熟悉Hadoop、Flume、Spark、Hbase、Lucene、ES、MR等数据组件，有源代码阅读和剖析经验，Contributor或者Committer优先；4. 熟悉Mysql/Postgresql，有复杂sql优化经验;5. 熟悉分布式系统的基础理论, 有高并发系统的架构设计、开发和调试经验6. 熟悉数据可视化的基本方法，有数据可视化的开发经验优先；7. 良好的学习和沟通能力，责任心强，强烈的技术敏锐度，良备的逻辑分析能力，独立解决问题",企业服务,150-500人,大数据,深圳
大数据开发工程师,https://www.lagou.com/jobs/5777402.html,南山区,15k-30k,腾讯科技（深圳）有限公司,3-5年,不限,大数据,1. 基于大数据平台，负责BI、画像、数据仓库的开发和应用；2. 基于海量用户行为数据，建立、评估、持续优化数据模型，包括但不限于：用户价值评分、用户风险评分、用户偏好预测 、用户画像构建等等，产出用户标签；3. 结合公司的业务场景，进行数据产品设计，解决业务痛点，提升用户体验，探索新的商业模式；任职资格1. 本科及以上学历，计算机或数学相关专业，2. 思维清晰敏捷，逻辑分析能力强，具有良好的语言和书面表达能力；3. 精通hive sql，有海量数据处理的调优经验；4. 熟悉spark优先；5. 用户画像构建和应用实战经验的优先；6. 有数据挖掘实践经验，擅长从海量数据中发现有价值的规律的优先；,社交,2000人以上,大数据,深圳
大数据开发工程师,https://www.lagou.com/jobs/6254007.html,南山区,15k-25k,厦门吉比特网络技术股份有限公司,1-3年,本科,"上市公司,福利好,平台大,发展空间大","【岗位职责】1、负责大数据平台应用开发，实现离线/实时的数据存储和建模设计； 2、负责离线/实时大数据计算作业的性能优化； 3、负责和数据架构师协同工作, 完成架构升级及落地；【任职资格】1、本科或以上学历；2、有海量数据 （ 单数据源大于 10G ） 处理经验；3、能够编写复杂的 SQL 语句，对数据库调优具有基本的理解；4、对某种特定的数据库运行机制有基本的理解，包含不仅限 排序、归并、文件系统、索引、语法解析、事务等；5、熟练 Linux 基本命令。",游戏,500-2000人,大数据,深圳
大数据开发工程师,https://www.lagou.com/jobs/4813653.html,福田区,15k-30k,中国平安财产保险股份有限公司,3-5年,本科,"专业团队,大平台,薪酬,尊重",岗位职责：1、基于对公司业务的广泛理解，负责各个业务模块的数据提取和报表开发。2、校验数据准确性，并能独立完成差异解释。3、独立开发基于业务场景的数据模型。4、整合需求，为业务方提供系统化、可持续的数据解决方案。岗位要求：1、计算机相关专业毕业，本科以上学历，4年以上工作经验;2、熟悉hadoop、hive、hbase等开源工具的架构;了解数据仓库建设的基本思路; 3、精通hivesql，有丰富的hivesql性能调优经验;掌握python脚本语言; 4、有财务、运营数据分析经验者优先考虑; 5、具备出色的需求分析能力及快速学习能力，能深入理解复杂的业务逻辑; 6、具备良好的团队合作精神，具备出色的沟通能力。,金融,2000人以上,大数据,深圳
大数据开发工程师,https://www.lagou.com/jobs/7027398.html,南山区,20k-40k,小花网络科技（深圳）有限公司,3-5年,本科,互金行业，资金雄厚，业内大牛，奖金丰富,岗位职责：1.负责核心业务流程的数据仓库建模与数据分析模型方法、数据仓库架构设计、数据集市的设计;2.负责根据业务需求进行ETL开发、性能优化及代码Review;3.深入理解业务，围绕数据分析搭建完善的数据服务，驱动业务的发展；4.数据产品研发，提升数据平台的通用性和可拓展性；5.负责日常数据仓库的监控、分析、性能调优、故障诊断与排除等工作。岗位要求：1.本科或以上学历，计算机、数学或相关专业。有5年以上传统金融或互联网金融行业相关工作背景优先；2.具备必要的数据仓库理论知识。熟练掌握Hadoop/Hive生态相关大数据技术，熟练使用hive下的常用函数；3.具备贷款相关业务场景数据分析经验者优先；4.有从事分布式数据存储与计算平台应用开发、性能优化、管理过上T级别的大数据作业经验者优先；5.熟悉Linux系统环境，使用过Shell/Python/Perl等至少一种脚本语言；6.有良好的学习能力和数据sense、沟通表达能力及业务理解能力。,"移动互联网,金融",150-500人,大数据,深圳
大数据开发工程师,https://www.lagou.com/jobs/3585649.html,福田区,13k-20k,深圳市紫川软件有限公司,3-5年,本科,周末双休 五险一金 员工旅游 员工体检,1、岗位工作职责负责项目部分模块的设计开发工作；对系统出现的数据问题能快速定位解决；严格执行工作计划，主动汇报并高效完成任务保证部门及个人工作目标实现；2、任职要求熟练使用Storm/Spark Streaming，并具有实时计算项目经验；熟练使用Java、sql 编程，有良好的编码习惯； 能独立梳理业务逻辑，完成业务需求； 熟悉大数据处理相关产品架构和技能（如：Storm/Hadoop/Hive/HBase/Spark/Kafka/Flume/zookeeper/Redis等）；具备一定离线报表开发能力；熟练使用linux开发环境和命令；具备良好的学习能力，分析解决问题和沟通表达能力；,"电商,金融",500-2000人,大数据,深圳
大数据开发工程师,https://www.lagou.com/jobs/7214298.html,福田区,10k-18k,深圳市赢时胜信息技术股份有限公司,1-3年,本科,发展前景,1、 熟悉Python，熟练掌握目前主流大数据的开发技术，如Storm、Kafka、Flume、hadoop、Spark等主流大数据框架2、 熟练掌握J2EE技术，并熟练常规J2EE框架，如SSH等3、需具备独立动手搭建大数据框架等能力，并熟练掌握Storm、flume，Spark，haddop相关技术开发细节和开发能力，熟悉分布式系统设计，大数据4年以上开发经验。4、要求能够熟练掌握并使用Flume+Kafka+Storm框架，并能动手搭建框架，具备2年以上大数据开发经验，熟悉分布式系统设计。5、 参与过大数据开发（了解主要的工具、理论、模型）或资金系统开发（了解主要的金融产品）优先。6、 具有万得、财汇、大智慧、路透等系统开发或以上数据应用经验优先；7、 有良好的编码习惯和文档编写能力；8、 具有较好的逻辑推理能力；较为外向的性格，良好的沟通技巧和团队合作能力。,金融,500-2000人,大数据,深圳
