job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据研发工程师（中高级）,https://www.lagou.com/jobs/7203174.html,雁塔区,16k-24k,杭州评师教育科技有限公司,3-5年,本科,国产芯片、基础设施、行业应用、飞速扩展,1、计算机/通信/数学相关专业，具备软件编码经验，掌握Java/C/C++/Python/GO等编程语言的一种或多种；2、掌握大数据Spark/Hadoop/flink/hbase等开源大数据技术的一种或多种；3、熟悉Linux内核，了解内存管理、网络协议、文件系统、多线程调度等核心功能模块原理；4、有分布式存储技术、网络加速、资源调度等经验优先。5、211/985统招本科、硕士优先,移动互联网,50-150人,大数据,西安
大数据开发工程师,https://www.lagou.com/jobs/7070536.html,雁塔区,15k-30k,西安点告网络科技有限公司,3-5年,本科,薪资福利、晋升空间,"岗位职责：1. 负责大数据平台类产品的设计开发，性能优化等2. DMP系统设计开发，不断优化改善现有服务3. 公司业务系统数据需求开发，新技术调研落地等基本要求：1. 本科以上学历，2年以上大数据开发经验2. 扎实的java编程基础，熟悉scala,python开发语言3. 有hadoop,spark,flink,presto等大数据常用组件开发经验      4. 掌握mongodb,mysql等数据库，熟悉clickhouse,aerospike,tablestore等数据库者优先                      5. 较强的学习能力和独立解决问题的能力，责任心强优先条件：1. 熟悉阿里云相关服务者优先2. 有数据中台类产品开发经验者有优先",移动互联网,150-500人,大数据,西安
25664-大数据开发工程师（腾讯云全资子公司）,https://www.lagou.com/jobs/6906627.html,浐灞生态区,12k-20k,腾讯科技（深圳）有限公司,3-5年,本科,平台大，发展快，待遇好，福利棒,岗位要求：    二、能力要求1、5年以上后台开发经验；2、精通Java研发框架和代码开发，熟悉SpringCloud、SpringBoot等技术框架的设计、研发、调优流程，或者熟悉物联网相关网络平台的设计与开发，熟悉MQTT、CoAP等协议和应用；3、熟练掌握Hadoop、Spark、Flink、Hbase、Impala、Druid、Kylin技术栈中一种及以上；4、能够独立完成后端代码研发框架的搭建和开发；5、具有一定的数据模型和数据架构基础，熟悉大数据处理，大数据开发，物联网平台等相关技术。   岗位职责：    一、岗位职责1、参与技术方案和架构设计；2、负责数据中台产品研发工作；,社交,2000人以上,大数据,西安
22989-腾讯云大数据开发工程师,https://www.lagou.com/jobs/6974800.html,浐灞生态区,12k-20k,腾讯科技（深圳）有限公司,3-5年,本科,平台大，发展快，待遇好，福利棒,"1. 负责大数据组件产品服务平台（如智能监控，智能诊断等）建设； 2. 负责大数据组件产品基础功能建设；  3. 负责大数据组件产品中组件（如hbase, spark）等的优化；4. 负责客户接入过程中遇到的组件问题，负责迁移工具以及运维工具开发等。要求：1. 计算机、通信等相关专业，本科及以上学历，3年以上大型互联网产品或分布式系统开发设计经验； 2. 扎实的java编程基础，熟悉Spring等开源框架，熟悉Java内存模型、多线程、NIO、类加载等；  3. 有Hadoop、hbase、Storm、spark、TensorFlow等使用经验者优先，有大数据产品研发经验的优先；  4. 对企业级或云厂商大数据组件平台有比较多了解，有相关开发管理经验者优先；5. 有golang、mysql相关开发经验，数据golang常见开发框架；6. 熟悉常见的linux操作，精通linux环境者优先。注:此岗位为腾讯集团旗下全资子公司编制岗位",社交,2000人以上,大数据,西安
大数据开发工程师,https://www.lagou.com/jobs/7176942.html,高新技术产业开发区,15k-25k,北京中合利成电子商务有限公司,5-10年,本科,央企 五险一金,"岗位职责:1. 负责公司大数据平台及大数据应用产品设计、研发2. 负责大数据项目的架构设计、技术管理任职要求:1. 计算机或数学相关专业、本科及以上学历;2. 熟练掌握Java/Python/Scala等任意一种或多种编程语言,至少5年以上软件开发经验及2年以上技术管理经验,熟悉C++者优先;3. 熟悉Hadoop生态系统,熟练掌握Hadoop、Spark、Flink框架。4. 具有数据仓库、数据治理工作经验者优先",电商,150-500人,大数据,西安
大数据研发工程师（初中级,https://www.lagou.com/jobs/7203147.html,雁塔区,12k-16k,杭州评师教育科技有限公司,1-3年,不限,国产芯片、基础设施、行业应用、飞速扩展,1、计算机/通信/数学相关专业，具备软件编码经验，掌握Java/C/C++/Python/GO等编程语言的一种或多种；2、掌握大数据Spark/Hadoop/flink/hbase等开源大数据技术的一种或多种；3、熟悉Linux内核，了解内存管理、网络协议、文件系统、多线程调度等核心功能模块原理；4、有分布式存储技术、网络加速、资源调度等经验优先。5、211/985统招本科、硕士优先,移动互联网,50-150人,大数据,西安
大数据开发工程师,https://www.lagou.com/jobs/4164946.html,雁塔区,15k-25k,深圳市易流科技股份有限公司,1-3年,本科,"友好团队,前沿技术,发展平台",岗位职责：1、数据仓库和大数据处理模块的设计、开发和优化；2、数据预处理、数据分析及挖掘工作；3、大数据前沿技术的研究及应用。任职要求：1、本科及以上学历，1年以上大数据工作经验。心态端正，认真负责，学习能力优秀；2、熟悉mysql、SQLserver等主流数据库系统，精通SQL及调优；3、熟练使用Hadoop、Hive、HBase、Spark等基本大数据组件，必须有可靠的实际编程能力和项目经验；4、精通java、熟悉scala、python语言；5、有物流行业或时空数据处理工作经验优先考虑。,移动互联网,500-2000人,大数据,西安
大数据开发工程师,https://www.lagou.com/jobs/7049323.html,高新技术产业开发区,10k-20k,北京源清慧虹信息科技有限公司,不限,本科,二次医疗 健身房 体检 通讯补助,"技能要求：数据分析，数据架构，数据库开发职位要求1、熟练掌握Python语言，有数据工程领域开发经验，拥有数据分析建模理论、熟悉数据分析建模过程；2、能快速理解业务，发掘业务细节和数据之间的联系、做出合理的数据库设计与开发；3、了解关系型、非关系型、时序数据库及客户端工具等、并能够针对性的进行性能优化；4、熟悉各种消息队列、分布式任务系统以及网络文件存储软件或平台、并能够给出稳定高效的技术架构；5、熟悉NumPy、SciPy和Pandas等数据分析工具的使用, 并能针对性的进行性能优化、分布式应用；6、熟悉数据可视化编程、NoteBook类交互编程、能够解决较大量数据的可视化工程；7、熟悉时序数据的各种分析模型（如平稳性、分类、回归、重采样、特征工程、降维等）、有丰富的数据分析，挖掘项目经验；8、了解机器学习、人工智能等相关算法及软件应用；9、本科以上学历，工作经验2年以上；或者应届研究生以上学历；10、数学、统计学、计算机相关专业优先，有Web开发编程经验者优先；","信息安全,数据服务",50-150人,大数据,西安
大数据开发工程师,https://www.lagou.com/jobs/7184597.html,雁塔区,15k-20k,北京中合利成电子商务有限公司,3-5年,本科,发展前景广,岗位职责：1、负责流计算平台的开发与优化工作2、负责流式计算平台开发结合业务的应用、处理实时数据、实时应用场景的开发3、负责实时计算系统的运维，保证系统的高可用性和稳定性4、负责设计，开发，优化数据接入、数据存储、数据计算服务框架5、负责对业务的数据接口开发6、负责优化分布式框架，解决大并发下的各种问题岗位要求：1、5年以上工作经验，深入了解hadoop，spark生态组件，熟练使用并深入了解其原理，包括但不限于yarn，hdfs，hive，spark，hbase，kylin，presto，druid，flink。2、丰富的hive，spark，hbase调优经验，对olap引擎有比较深入的了解。3、熟悉java与scala编程，具备良好的源码阅读能力。4、具备组件二次开发能力，尤其是yarn，hbase，spark，kylin等。5、具备良好的沟通合作意识和能力，乐于分享。,电商,150-500人,大数据,西安
大数据开发工程师,https://www.lagou.com/jobs/6875312.html,莲湖区,8k-12k,上海诺悦智能科技有限公司,1-3年,大专,五险一金 奖金 餐补 通讯补助等,任职要求:1、精通数据库产品，熟悉Mysql、GBase、Oracle、PostgreSQL其中一种。2、熟悉SQL语法，熟悉ptyhon、shell、sql存储过程其中一种。3、有数据流转、清洗、转换、分析相关工作经验；4、有Java、Scala、Python等编程中一种或多种语言经验者优先。5、熟悉hadoop，了解mapreduce、spark者优先。6、有2至3年数据相关工作经验.,数据服务,50-150人,大数据,西安
