job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
25664-大数据开发工程师（腾讯云全资子公司）,https://www.lagou.com/jobs/6974825.html,渝北区,12k-20k,腾讯科技（深圳）有限公司,3-5年,本科,平台大，发展快，待遇好，福利棒,岗位要求：    5年以上后台开发经验；精通Java研发框架和代码开发，熟悉SpringCloud、SpringBoot等技术框架的设计、研发、调优流程，或者熟悉物联网相关网络平台的设计与开发，熟悉MQTT、CoAP等协议和应用；熟练掌握Hadoop、Spark、Flink、Hbase、Impala、Druid、Kylin技术栈中一种及以上；能够独立完成后端代码研发框架的搭建和开发；具有一定的数据模型和数据架构基础，熟悉大数据处理，大数据开发，物联网平台等相关技术。（注：此岗位为腾讯集团旗下全资子公司编制岗位）   岗位职责：    参与技术方案和架构设计；负责数据中台产品研发工作。（注：此岗位为腾讯集团旗下全资子公司编制岗位）,社交,2000人以上,大数据,重庆
大数据开发工程师,https://www.lagou.com/jobs/6670723.html,渝北区,15k-25k,马上消费金融股份有限公司,5-10年,本科,带薪年假,岗位职责：1、负责数据平台的设计、开发、维护、优化，满足公司各级部门的数据分析需求； 2、研究与跟踪大数据技术发展方向，参与大数据平台架构的设计。3、参与概要设计，负责详细设计，并负责完成核心代码，技术攻坚；4、根据开发规范与流程独立完成模块的设计、编码、测试以及相关文档；岗位要求：1、学历要求:统招本科及以上学历，计算机以及相关专业，2、经验要求:具有4年及以上软件开发经验，其中负责大数据开发经验不低于1年3、技能要求:（1）精通java编程、设计模式和组件技术；熟悉分布式、高并发架构（2）对信息技术领域的新信息、新知识具有相当的敏感性，能够迅速更新自身的知识内容，能够在短时间内攻克技术难关；（3）有独立设计开发能力，编码习惯良好；,"金融,移动互联网",2000人以上,大数据,重庆
大数据开发工程师,https://www.lagou.com/jobs/7044855.html,南岸区,5k-9k,重庆康洲大数据有限公司,3-5年,大专,周末双休、节日福利、五险一金,岗位职责：1.参与大数据平台的规划和建设；2.协助数据产品人员制定数据存储、处理规范；3.负责平台相关数据处理逻辑的设计与实现。任职要求：1.扎实的计算机系统和算法基础知识；2.扎实的Python或Java语言基础；3.具备较丰富的Structured Streaming开发经验；4.具备较丰富的HDFS、Hbase、Hive、Kafka、Elasticsearch及MySQL相关使用和开发经验；5.能熟练使用Linux操作系统；6.责任心强，沟通能力好，具备良好的团队合作精神。加分项：1.熟悉CDH的搭建和维护；2.熟悉CDH各组件的性能监控和调优。,"移动互联网,医疗丨健康",150-500人,大数据,重庆
研发工程师（大数据开发）,https://www.lagou.com/jobs/7113722.html,九龙坡区,10k-15k,重庆中电自能科技有限公司,3-5年,本科,五险一金、年金、补充医疗保险、定期体检,一、岗位职责1、参与大数据平台（CDH/HDP）的搭建和维护2、参与大数据平台的整体数据架构设计，完成从业务模型到数据模型的设计工作； 3、参与数据ETL的开发、流程的优化及解决ETL抽取数据过程中各类问题；二、任职资格1.掌握数据仓库基本理论，熟悉CDH平台，精通hadoop/hive/spark/azkaban开发等2.具有良好的编程能力，熟悉Scala/Java/Python等编程语言3.熟悉SQL/HQL，有较好的SQL性能调优经验4.有数据仓库大型项目经验5.有很强的数据分析能力，能通过数据分析发现问题,"数据服务,企业服务",50-150人,大数据,重庆
大数据解决方案经理,https://www.lagou.com/jobs/6841763.html,渝北区,10k-20k,中国联合网络通信有限公司重庆市分公司,3-5年,本科,五险两金,岗位职责1、承接和组织销售集团大数据公司标准产品，协助业务运营；2、负责收集、分析本地党政机关、行业企业在大数据领域的需求，协助推进应用及产品研发需求；3、负责项目成果在公司内的推广应用、培训，以及对外对内合作交流，不断提升公司的技术和应用能力；4、项目解决方案责任人，对解决方案技术竞争力负责，承担需求沟通与方案制作、应标技术文件编制与呈现、商务谈判的技术支持及项目实施的技术支持等工作；5、项目交付实施责任人，对项目交付运营及客户满意度负责，承担解决方案可交付性评估、项目实施计划方案编写、合同履行与项目实施管理及项目验收、交接与回款支撑等；6、承担对口业务领域的收入、利润等考核指标；7、完成上级领导安排的其他相关工作。  任职要求1、全日制大学本科及以上学历，管理、通信、计算机及自动化等专业方向，211、985院校优先；2、熟悉系统集成、通信与信息化、云计算、大数据、物联网等领域相关知识；具有行业主流资质证书者优先；3、具备云计算业务相关从业经验、具备公有云产品推广工作经验者优先；4、具备较强的人际沟通能力及谈判技巧，有良好的文档和PPT编写能力，能承受较大的工作压力；5、具有较强的工作热情，具有良好的团队精神。,"移动互联网,其他",2000人以上,大数据,重庆
大数据解决方案经理,https://www.lagou.com/jobs/6916876.html,渝北区,12k-16k,重庆生猪大数据产业发展有限公司,5-10年,本科,国有企业、五险一金、周末双休、年轻团队,岗位职责：1、行业大数据产品需求调研；2、根据公司的大数据产品制作适应各个行业的大数据方案；3、配合商务人员外出洽谈客户，协助市场部及商务人员，在项目推进中解决有关客户和项目中的各种业务及技术问题，产品介绍，提出咨询意见，撰写项目方案；4、负责项目方案的讲解和大型项目解决方案顾问式售前支持，配合公司市场的推广，主题演讲与系统演示，参与投标等。任职资格：1、全日制统考类大学本科及以上学历，5年以上IT领域工作经验；2、对农牧行业重点建设的业务系统和架构有深入理解，曾主导过农牧行业的重大项目设计及交付优先；4、有独立支撑过云计算、大数据、HPC、业务连续性、数据中心领域的整体解决方案项目优先；5、能够规划和设计IT管理方案；6、具有良好的问题分析能力和客户交流能力，有责任心，良好的团队合作精神；7、有较强的沟通表达和图文撰写能力，善于团队协作，可以承受较大的工作压力。,"数据服务,软件开发",15-50人,大数据,重庆
大数据建模科学家,https://www.lagou.com/jobs/6847970.html,渝北区,15k-20k,重庆生猪大数据产业发展有限公司,3-5年,不限,国有企业、五险一金、周末双休、年轻团队,技能要求：SASS，PYTHON岗位职责：1、设计和实施基于大数据和算法为政府客户提供优质的大数据产品。2、深入了解政府客户的需求，针对各种客户需求场景设计数据分析，数据挖掘，模型搭建的解决方案，并且不断地进行优化，迭代。3、和主要内部业务合作方，高层建立良好的沟通关系，发掘业务需求，积极主动地提出有效的基于数据分析建模的策略方案。4、 执行数据统计分析，模型搭建项目，撰写详细的模型技术文档。从数据分析和模型结果导出可执行的产品策略。任职要求：1、 计算机、统计学、数学、经济学、金融学等相关专业本科及以上学历；2、3年以上统计分析，数据挖掘建模等相关工作经验，有分析建模团队管理经验，咨询经验从优考虑 。3.、熟悉使用熟悉至少一种SAS、R、Python或其他数据分析建模工具；4、精通常用数据算法和建模，如：决策树、聚类、逻辑回归、关联分析等。其他深度学习如GBDT，神经网络等。,"数据服务,软件开发",15-50人,大数据,重庆
大数据工程师,https://www.lagou.com/jobs/7119927.html,渝中区,8k-15k,西安格蒂电力有限公司,3-5年,本科,上市公司福利待遇优厚，发展前景广阔,技能要求：Python，Shell，java，Oracle1.熟悉大数据体系和架构，参与过数据中台或数据平台的建设，具备数据链路设计经验；2.熟悉Hadoop、Lambda、Kappa、Kaffka、Storm、Spark等大数据体系架构及中间件，具备良好的数据平台设计经验，具有很强的分析与设计能力；3.熟悉Python、Shell、Java等语言的一种或几种；熟悉Oracle、MySQL、MongoDB、Redis、Cassandra、HBase及主流的数据库。,企业服务,500-2000人,大数据,重庆
大数据开发工程师,https://www.lagou.com/jobs/7149926.html,渝北区,15k-22k,重庆花儿投资管理有限公司,5-10年,本科,年底双薪，年终分红，团队氛围nice,【岗位职责】：1、负责全域数据和应用产品的数据体系的建设，通过数据+算法+工程化能力，处理和萃取数据，让其成为应用和产品的能源；2、参与大数据基础架构和技术体系的规划建设，包括数据采集平台、数据资产管理与治理平台、数据质量及稳定性保障体系、数据处理智能化和自动化体系的建设。3、参与大数据业务需求的分析、数据建模、设计与开发工作；【岗位要求】：1、具有数据仓库和数据建模的相关经验，熟悉ETL开发；2、熟练掌握至少一种分布式计算框架，如hadoop、spark、storm、flink等，并理解其架构和工作原理；3、熟悉mysql/redis 等常用sql和nosql数据库;4、至少熟练掌握java、python等两种以上语言;5、有丰富的大数据集群部署和维护管理经验;6、极强的工作责任心，良好的团队协作精神，优秀的表达和沟通能力；7、乐于挑战，有一定的极客精神，能承受较大工作压力；v,企业服务,500-2000人,大数据,重庆
大数据分析,https://www.lagou.com/jobs/7066850.html,渝北区,10k-20k,中国联合网络通信有限公司重庆市分公司,1年以下,本科,五险一金、项目奖金、年终奖、老板nice,岗位职责 1.  根据公司业务、管理、运营需要，开展相关的数据管理、基础数据分析、模型建设；2.  对公司业务、管理、运营方面的基础数据与能力需求，开展需求分析与评估，在对统一数据中台能力、数据、应用环境、应用流程理解的基础上，制定分析方案、应用方案、推广方案；3.  对大数据分析方案、应用方案、推广方案进行实施，提炼其中基础性共性能力在统一数据中台进行发布；4.  公司大数据运营能力的建设与维护，对公司各业务单元在大数据平台的数据应用提供基础数据与基础能力支持；5.  对公司、系统及行业相关大数据分析与应用进行研究，形成知识沉淀，对业务单元进行培训指导。  任职要求 1.  全日制统招本科及以上学历，计算机、应用数学、统计学等相关专业；2.  具有丰富的大数据分析应用经验，从事大数据分析应用达到一定年限（研究生3年以上，本科5年以上），担任过大型数据分析应用项目主要成员，对大数据分析与应用有较深入的理解；3.  熟练掌握orcale/MySQL等关系型数据库，能够自主完成数据提取与分析；4.  熟悉hadoop/hive/mahout/MPI/spark等一个或多个分布式计算框架/算法平台；5.  熟悉使用熟悉至少一种SAS、R、Python或其他数据分析建模工具；6.  熟悉决策树、聚类、逻辑回归、多元回归、神经网络、判别分析、因子分析等常用数据挖掘算法和统计分析方法，能够自主完成数据分析工作；7.  认同公司企业文化，很强的责任心、学习能力、沟通协作能力，优秀的沟通和表达能力，清楚的表达个人想法、理解他人观点，具备团队合作意识和推动协作达成的能力。具有较强的文字功底。,"移动互联网,其他",2000人以上,大数据,重庆
