job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据工程师,https://www.lagou.com/jobs/7161536.html,,10k-20k,海尔集团,3-5年,本科,大平台、工业互联网、牛人团队,1、负责数据库架构设计以及数据库详细设计、优化数据库架构、解决数据库中心建设设计问题；2、负责大数据平台的选型、模型设计及系统部署，数据集市的规划、设计等；3、负责大数据系统研发工作，包括大规模非结构化数据业务模型构建、大数据存储；4、负责组织ETL过程开发，优化存储方案，设计并实现分布式计算任务，搭建数据处理流程；5、负责组织针对海量的用户行为数据进行统计、分析与挖掘，提取商业价值,"物联网,电商",2000人以上,大数据,青岛
大数据架构师,https://www.lagou.com/jobs/7209777.html,黄岛区,15k-30k,青岛国信城市信息科技有限公司,5-10年,本科,五险二金，免费三餐,"岗位职责：1.负责平台的整体数据架构设计，完成从业务模型到数据模型的设计工作 形成快速解决方案；2.负责根据业务功能、业务模型，进行数据库建模设计 ，解决高并发的调度系统中的关键问题；3.负责平台数据提取、数据挖掘及数据分析，具有良好的商业敏感度和优秀的数据分析技能，能够解决复杂的商业问题；4.负责数据开发质量的评审，指导相关构建测试并完成性能、代码优化；5.负责组织开发人员进行技术研究和技术攻关工作，负责研发人员技术培训和技能提升，提升工作效率，降低研发成本；6.完成上级交办的其他工作。任职资格：学历：本科学历及以上专业：计算机、软件工程、数据等相关专业；年龄：不限；工作技能：1.有5年以上的大型项目工作经验,至少3年架构师或技术经理等工作经验。2.丰富的数据架构规划、数据建模、数据库设计以及程序设计、开发经验；3.丰富的数据解决方案或数据架构（数据仓库、数据集成、数据管理）构建经验；4.深入掌握业务抽象、SQL查询路径以及优化路径在内的方法和技能；5.精通至少一种数据库技术,至少一种开源ETL工具、数据建模工具；6.不少于三年hadoop生态圈相关经验，基于Hadoop、MPI或Cassandra、MongoDB分布式平台, HBase及类似的NoSQL存储, MySQL，和BI系统等大型商业系统实践经验。","人工智能,区块链",2000人以上,大数据,青岛
大数据应用（ETL）（中级）,https://www.lagou.com/jobs/6848278.html,黄岛区,13k-17k,青岛国信城市信息科技有限公司,3-5年,本科,市直企业、政府授权、智慧城市建设及运营,"一、需求量：1二、工作职责1. 负责大数据以及BI相关应用项目的ETL设计、开发、维护工作；2. 负责ETL调度架构和统一数据资源库的开发优化工作；3. 参与大数据平台产品及服务调研、构建与支持；4. 与团队内部以及需求部门进行有效沟通，支持项目实施以及解决相关数据问题。三、任职资格学历：本科及以上专业：计算机或其他相关专业年龄：40岁以下工作技能1. 3年以上数据工作经验；2. 有数据库开发和设计经验，熟悉数据仓库体系优先考虑；3. 熟悉数据ETL相关工具及架构体系，有Kettle经验的优先；4. 熟悉Linux, 会编写shell脚本；5. 至少熟悉Java/PHP/Python/C开发语言之一,熟练使用正则表达式优先；6. 熟悉Hadoop/hbase/HIVE优先；7. 正直、坦诚、有激情；8. 较强沟通和学习能力。","人工智能,区块链",2000人以上,大数据,青岛
大数据ETL实习生,https://www.lagou.com/jobs/6784006.html,市北区,5k-8k,青岛隆顺数据服务有限公司,不限,大专,薪资高、弹性工作、晋升快、底薪4000起,薪资高，有发展，晋升机制健全，福利待遇优，机会多，工作体面。工作时间：周末双休，朝九晚五，转正投五险一金，提供住宿，节假日正常放假（元宵节，情人节，端午节，七夕节等）岗位职责：数据分析、数据挖掘、数据开发任职要求：大专及以上学历、21-30岁之间、思维逻辑大数据属于新兴行业，人才匮乏，薪资普遍很高。,"数据服务,人工智能",50-150人,大数据,青岛
大数据实习,https://www.lagou.com/jobs/7111861.html,市北区,6k-8k,青岛楷皓大数据有限公司,不限,大专,五险一金节假日朝九晚五晋升机制健全薪资高,岗位职责:数据分析、数据挖掘、数据开发任职要求:大专及以上学历、21-35岁之间、逻辑思维良好、专业(会计、统计、数学及应用数学、计算机)相关专业优先,数据服务、人工智能,50-150人,大数据,青岛
大数据实习生,https://www.lagou.com/jobs/7212538.html,市北区,4k-6k,青岛东宸联合科技有限公司,不限,大专,周末双休，朝九晚六。入职即可提供住宿。,1负责数据的处理和公司业务需求分析2熟练使用办公软件3细心耐心，计算机、会计、金融、统计专业优先任职要求: 大专及以上学历，年龄20-35岁！实习期间综合能力优秀者优先转为正式员工！13-15薪，周末双休！偶尔加班，加班有1.5倍加班费，节假日正常休息，节假日若加班3倍薪水,通讯电子,50-150人,大数据,青岛
大数据ETL实习生,https://www.lagou.com/jobs/6522468.html,市北区,4k-6k,青岛航凯大数据科技服务有限公司,不限,大专,大数据行业是目前发展行业里最新兴热门行业,1，大专学历以上2，年龄在20周岁以上3，逻辑思维能力测试通过4，有一颗肯学习的心5，喜欢大数据行业，对行业认可,移动互联网,15-50人,大数据,青岛
大数据管培生,https://www.lagou.com/jobs/7211397.html,市北区,6k-12k,青岛莱信实业有限公司,不限,大专,高收入  不加班  周末双休  五险一金,"1、参与项目需求分析和设计；2、完成软件系统代码的实现，编写代码注释和开发文档；3、辅助进行系统的功能定义,程序设计；4、根据设计文档或需求说明完成代码编写，调试，测试和维护；5、分析并解决软件开发过程中的问题；6、协助测试工程师制定测试计划，定位发现的问题；7、配合项目经理完成相关任务目标；8、具有很强的学习和独立分析能力、工作责任心、良好的沟通能力和团体合作精神。任职资格：1、专科及以上毕业生；2、相关专业优先考虑；3、有责任感，良好的团队协助精神；4、有无经验均可，一经录用，待遇优厚；5、可接收应届毕业生。","移动互联网,数据服务",50-150人,大数据,青岛
ETL大数据实习生,https://www.lagou.com/jobs/7126404.html,市北区,6k-12k,青岛莱信实业有限公司,不限,大专,五险一金，周末双休，带薪年假，工作轻松,1.计算机相关专业及有工作经验者优先考虑。2.无工作经验者可岗前培训，要求爱学习，肯吃苦，逻辑思维能力强。3.具有良好的团队合作能力。4.负责数据仓库ETL流程的优化及解决ETL相关技术问题5.大专学历及以上,"移动互联网,数据服务",50-150人,大数据,青岛
大数据助教,https://www.lagou.com/jobs/6788600.html,市北区,4k-6k,青岛莱牛教育有限公司,1-3年,大专,公司培养，稳定，不可被替代享受法定节假日,辅助大数据讲师授课管理学员批改作业帮助学生更好的高薪就业朝九晚六 双休年底13薪工作简单，认真，细心，耐心即可。工作具有高度责任感！跟公司一起长远发展,"移动互联网,教育",15-50人,大数据,青岛
大数据讲师,https://www.lagou.com/jobs/6791603.html,市北区,16k-30k,青岛莱牛教育有限公司,3-5年,大专,真正的高薪且双休，年终奖丰厚，稳定长远,做好大数据ETL技术教学，帮助学生高薪就业解答学生技术或项目问题,"移动互联网,教育",15-50人,大数据,青岛
