job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据仓库工程师,https://www.lagou.com/jobs/6246550.html,西城区,15k-30k,北京多来点信息技术有限公司,3-5年,本科,带薪年假 专业培训 五险 双休,"职责描述：1、负责数据仓库模型设计、数据治理、数据资产标准建设及维护工作；2、数据仓库模型的ETL实施，ETL性能优化以及相关技术问题的解决；3、构建满足业务方数据需求的多元化数据服务体系，取数、智能模型、数据产品；4、负责数据开发平台中数据资产管理、数据质量管理、数据模型设计等功能的实现；任职要求：1、本科及以上学历，统计学、计算机相关专业；2、熟悉Linux系统,具备Shell、Python等脚本开发能力；3、5年以上企业级数据仓库开发经验，熟悉数据仓库理论，具备复杂业务需求梳理能力；4、熟练掌握Hadoop应用开发，熟练掌握Hive、Spark、Flink等大数据开发工具中一种或几种；行业标杆，高速成长， 团队活跃，平台广阔，交通便利！前景，专注于本地生活的广泛领域——餐饮O2O；晋升，广阔的职业发展空间，越努力你就越幸运；氛围，那是年轻人的世界，公司营造各种交流机会；环境，舒适高大上的办公环境，西直门地标建筑，没有雾霾还可看见西山落日。哗啦啦（www.hualala.com）期待你的加入！","移动互联网,消费生活",500-2000人,数据仓库,北京
数据仓库工程师,https://www.lagou.com/jobs/6988030.html,海淀区,25k-50k,北京字节跳动科技有限公司,3-5年,本科,"六险一金,弹性工作,免费三餐,租房补贴",,文娱丨内容,2000人以上,数据仓库,北京
数据仓库工程师,https://www.lagou.com/jobs/5120118.html,海淀区,20k-40k,北京字节跳动科技有限公司,1-3年,本科,六险一金，高薪期权，过亿用户，职业大牛,,文娱丨内容,2000人以上,数据仓库,北京
数据仓库工程师,https://www.lagou.com/jobs/7218255.html,朝阳区,15k-30k,北京瓴岳信息技术有限公司,1-3年,本科,大牛团队 扁平化管理,岗位描述： 1、负责公司级的数据仓库平台相关产品的设计研发，服务于公司各个业务线； 2、负责大数据服务平台接口的迭代开发，构建离线&实时的数据仓库平台3、基于hadoop、spark、hive、hbase、flink等开源技术构建解决方案满足业务方需求4、构建设计良好的数据仓库、调度系统、查询引擎，数据服务、分析系统等，保证系统稳定高效运行，以实现数据的最大价值。 我们期望： 1、熟悉多项大数据处理分析相关的工具框架，e.g. Hadoop Mapreduce Hive flink Spark kylin kafka hbase canal etc；2、强悍的编码能力，生产环境快速 troubleshooting能力，对新技术有强烈的学习热情；3、优秀的理解沟通能力，能快速理解业务背景，对数据敏感，崇尚数据说话，深信数据在驱动业务、支撑决策上的价值，有web应用开发能力者优先。4、熟练使用java语言，有大数据平台系统研发经验，熟悉Java\python开发经验优先。,"移动互联网,金融",150-500人,数据仓库,北京
数据仓库工程师,https://www.lagou.com/jobs/7152737.html,朝阳区,12k-20k,北京密境和风科技有限公司,1-3年,本科,通勤班车，360食堂，交通补助，健身房,"工作职责：1.负责直播业务数据仓库、数据集市的数据模型设计；2.负责原始数据的ETL规则设计和开发，数据产品研发；3.负责数据仓库需求调研和需求分析；4.为数据分析人员提供技术支持；5.满足业务线数据需求；岗位要求：1、数据仓库2年以上工作经验，规范的代码编写能力；2、熟悉仓库数据分层架构、ETL、数据建模，精通多维数据模型设计；3、熟练掌握msyql,hadoop,hive,MR,spark等，具备海量数据处理和性能调优经验，对Hadoop、Hive源码有研究更佳；4、熟悉unix/linux，熟悉java、python、shell编程中的一种，会java优先；5、学习能力强，有较强的业务理解能力、良好的数据敏感度。",社交,150-500人,数据仓库,北京
数据仓库工程师,https://www.lagou.com/jobs/6964166.html,朝阳区,15k-30k,阳光保险集团股份有限公司,3-5年,不限,五险一金、餐补、交通补、通讯补,"岗位职责：1、建设保险行业数据仓库，并基于数据对业务提供深入有效的支持。2、负责信保数据仓库的开发与优化。3、能基于一致性、及时性、准确性的要求不断提高仓库质量。任职资格：1、有数据仓库需求调研和需求分析经验，能根据业务需求设计数据仓库模型，并对数据仓库数据模型进行管理，保证数据质量。2、熟悉数据仓库技术，了解 ETL 生产流程，对ORACLE数据库有深入的掌握，精通sql开发。 3、熟练使用ERWIN,KETTLE等产品设计工具。4、有HBase、MapReduce生产环境工作经验优先考虑。5、有Hadoop/Storm/Spark/Hive等系统的开发经验者优先。6、工作认真、负责、仔细，有良好的团队合作精神，良好的分析能力、沟通技巧。",金融,2000人以上,数据仓库,北京
数据仓库,https://www.lagou.com/jobs/5720218.html,朝阳区,15k-30k,北京瓴岳信息技术有限公司,1-3年,本科,六险一金；十四薪；午餐晚餐；扁平化管理,岗位描述： 1、负责公司级的数据仓库平台相关产品的设计研发，服务于公司各个业务线； 2、负责大数据服务平台接口的迭代开发，构建离线&实时的数据仓库平台3、基于hadoop、spark、hive、hbase、flink等开源技术构建解决方案满足业务方需求4、构建设计良好的数据仓库、调度系统、查询引擎，数据服务、分析系统等，保证系统稳定高效运行，以实现数据的最大价值。 我们期望： 1、熟悉多项大数据处理分析相关的工具框架，e.g. Hadoop Mapreduce Hive flink Spark kylin kafka hbase canal etc；2、强悍的编码能力，生产环境快速 troubleshooting能力，对新技术有强烈的学习热情；3、优秀的理解沟通能力，能快速理解业务背景，对数据敏感，崇尚数据说话，深信数据在驱动业务、支撑决策上的价值，有web应用开发能力者优先。4、熟练使用java语言，有大数据平台系统研发经验，熟悉Java\python开发经验优先。,"移动互联网,金融",150-500人,数据仓库,北京
数据仓库工程师,https://www.lagou.com/jobs/6611895.html,丰台区,15k-30k,北京高灵智腾信息科技有限公司,3-5年,本科,集团化运作、年终奖金、大牛带队、专家坐镇,岗位职责：1、负责公司大数据方向的整体架构设计，结合公司实际业务情况进行技术选型2、参与数据能力中心的设计、架构及关键模块的开发3、负责架构优化及系统关键模块的设计开发4、负责公司数据产品研发任职要求：1、具有扎实的大数据和数据仓库功底，2、对Hadoop大数据体系有深入认识，对Hadoop、Hive、HBase、Spark、Storm、 Kafka、ES等有实际应用研发经验3、掌握常规ETL采集方法，熟练使用KETTLE 等开源ETL产品4、对医疗领域有项目经验者优先考虑,"医疗丨健康,移动互联网",50-150人,数据仓库,北京
数据仓库工程师(ETL方向),https://www.lagou.com/jobs/5386009.html,海淀区,20k-40k,北京微聚未来科技有限公司,3-5年,本科,"牛人团队,带薪年假,16薪考核,快速成长",岗位职责：1.理解业务，将产品和运营的需求用业务的思维转化落地；2.设计、开发企业级数据仓库平台，包括数仓模型设计、ETL开发；3.基于数据仓库构建用户、业务核心标签，建立分析模型，包含但不限于用户分层、画像挖掘、特征分析、业务评分，为策略、运营提供数据支撑;4.协助数据产品经理对BI产品进行数据开发、推进和优化；5.推动数据价值的发掘和应用。岗位要求：1.数学、统计学、计算机相关专业者优先，本科以上学历，2年以上相关工作经验，有较强的逻辑思维能力；2.精通hive、sparksql技术体系，能够独立完成高质量ETL开发，熟悉python语言、hadoop生态技术；3.熟悉常用的数据仓库建模方法和OLAP，能够独立完成数据模型设计、开发；了解用户行为数据埋点、采集；4.对数据敏感，善于数据总结并应用于数据仓库建设的优化中；5.有较强的自驱意识、自主创新能力；熟悉常用数据分析方法优先。,"移动互联网,金融",500-2000人,数据仓库,北京
图数据库研发工程师（java/C++）,https://www.lagou.com/jobs/7035226.html,海淀区,12k-18k,同方知网（北京）技术有限公司,3-5年,本科,年终奖、提供食宿、六险二金、大牛带队,工作职责:负责图数据功能研发任职资格:1、精通C/C++/java等开发语言，有良好的算法和数据结构基础；2、对主流数据库技术及其发展趋势有所研究3、有数据库、网络、操作系统、高并发系统、分布式系统等至少一个领域的工作经验，并深入理解该领域技术。,"移动互联网,电商",2000人以上,数据仓库,北京
