job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据库管理（DBA）（南京）,https://www.lagou.com/jobs/7207150.html,秦淮区,9k-18k,飞友科技有限公司,3-5年,本科,"六险一金,年终奖金,弹性工作,员工旅游假","岗位职责：1.负责MySQL数据库管理，优化，备份工作，根据业务需要设计、构建高可用架构；2.负责MongoDB数据库管理，优化工作；3.大数据Hadoop，HIVE，HBASE，SPARK管理,优化工作；4.根据公司业务需要设计数据库系统结构，构建数据库系统；5.协助优化开发人员的SQL程序等； 任职要求：1.具有mysql管理，优化，备份等从业经验；2.具有MySQL多节点从业经验，精通MySQL的主备结构M/S，集群结构Percona XtraDB CLuster,熟悉MySQL CLuster，了解MariaDB ColumnStore；4.熟悉NoSQL关系型数据库，如MongoDB，Redis，memcache等；5.熟悉大数据平台软件，如Hadoop，Hive，HBase，Spark等，大数据平台运维经验；6.具备Linux/Unix环境下的运维经验；7.具有自动化运维经验者，可以优先考虑；",移动互联网,500-2000人,数据仓库,南京
数据库开发工程师,https://www.lagou.com/jobs/7009871.html,雨花台区,10k-20k,易宝软件科技（南京）有限公司,3-5年,本科,五险一金，不出差不外派，加班补助,统招公办本科，理工科专业，毕业证学位证齐全1年以上数据相关工作经验，熟悉oracle数据库，sql语言，常用函数使用，对索引及性能优化有深入了解，有存储过程开发经验，熟悉BIDS、XDATA及LTS工具使用。,移动互联网,150-500人,数据仓库,南京
数据库,https://www.lagou.com/jobs/7141200.html,雨花台区,8k-15k,上海易宝软件有限公司南京分公司,1-3年,本科,五险一金 双休法定,数据库：熟悉oracle数据库，sql语言，常用函数使用，对索引及性能优化有深入了解，有存储过程开发经验。三本不限专业,移动互联网,150-500人,数据仓库,南京
数据库工程师,https://www.lagou.com/jobs/6995919.html,雨花台区,12k-24k,易宝软件科技（南京）有限公司,3-5年,本科,五险一金  免费班车 绩效奖金,统招本科学历，学信网可查3年以上数据库相关经验熟悉oracle数据库，sql语言，常用函数使用，对索引及性能优化有深入了解，有存储过程开发经验，熟悉BIDS 、XDATA及LTS工具使用,移动互联网,150-500人,数据仓库,南京
dba数据库管理员,https://www.lagou.com/jobs/6906993.html,建邺区,12k-15k,江苏高伟达信息技术有限公司,5-10年,本科,"五险一金,补贴",技能要求：DBA岗位职责：1.监控数据库各项指标，提前预防未来可能发生的风险；开发数据库相关各项监控脚本；2.解决现网系统的数据库问题，定位突发问题，迅速处理问题、故障；3.数据库备份策略的定制、部署、实施、调整；验证数据库备份的有效性、可用性；管理磁带、存储等备份资源的使用率；4.根据现网运行情况抓取低性能Sql及问题，针对问题优化现网运行任职要求：1. 本科毕业 ，5年以上工作经验，具有ocp证书2. 有管理过T级别数据的经验，熟悉主流数据库系统（Oracle、MySQL）的安装与日常维护；3.接触过Oracle goldengate同步软件，对软件配置和优化有一定的了解；4.了解Shell或python等脚本语言，并能进行简单的脚本程序开发；5.具有数据库管理和维护经验及数据库故障解决能力。,"信息安全,移动互联网",150-500人,数据仓库,南京
数据库运维工程师 (MJ001212),https://www.lagou.com/jobs/6192080.html,雨花台区,12k-16k,广州希音供应链管理有限公司,应届毕业生,本科,五险一金、扁平管理、技术大牛,"岗位职责：1) 、负责开发,测试,验收环境的数据库搭建及配置2) 、负责数据库备份恢复的测试演练3)、 负责数据库的日常巡检4) 、负责数据库监控告警的归档及收集岗位要求：1)、2020年毕业，本科及以上学历，计算机相关专业，或非计算机相关专业（但业余自修过计算机专业的所有必修课），英语四级及以上； 2）熟悉Linux平台，掌握基本的操作命令；3）至少熟悉一门脚本语言（shell/python/go/ruby/perl等）；4）掌握数据库基础理论；5）掌握标准SQL语法，可根据需求完成SQL语句的编写；6）有任意一种关系型数据库使用经验的优先（Oracle/DB2/SQL Server/MySQL/PostgreSQL）；7）热衷技术，具有责任心和团队合作精神。","电商,移动互联网",2000人以上,数据仓库,南京
软件开发工程师（数据库）,https://www.lagou.com/jobs/6318502.html,江宁区,15k-30k,南京新联电子股份有限公司,3-5年,本科,五险一金 年终奖金 定期体检,"技能要求：数据库，MySQL，嵌入式工作技能/工作经验1.计算机、自动化、电子相关专业本科以上学历,3年以上数据库设计、开发经验。2.熟悉数据库的基础理论，精通Oracle/Mysql/SQLITE3/等数据库管理系统，具备SQLITE3数据库的设计开发能力，精通SQL语句和性能优化；3.具有嵌入式数据库开发经验优先；4.熟悉Unix/Linux操作系统,能熟练使用常用的命令；5.有数据库高负载高并发系统设计开发经验者优先；6.善于思考，主动积极，沟通能力强，有良好的团队精神，能够承担压力。","移动互联网,其他",500-2000人,数据仓库,南京
数据库开发工程师,https://www.lagou.com/jobs/6249970.html,建邺区,15k-25k,南京轨道交通系统工程有限公司,3-5年,本科,轨道交通综合监控平台，自研发项目,"主要工作职责：
 轨道交通综合监控的实时库或历史库开发工作；
 参与综合监控系统的需求分析和模块设计；
 负责完成相关模块的编码和单元测试；
 完成客户端、服务端等模块的测试；
 负责有关技术方案、文档的编写；
 根据项目具体要求，承担开发任务，按计划完成任务目标；
专业经验和要求：
 有轨道交通自动化系统开发经验或者类似的工业监控平台开发经验优先；
 计算机、自动化、通信等相关专业本科及以上学历；
 精通C\C++编程，三年以上C++开发经验；
 熟悉Redis、FastDB、SQLite等开源实时库或者Oracle、Mysql等商用关系数据库；
 熟悉WINDOWS、LINUX、UNIX操作系统，具备跨平台开发经验；
 熟悉设计模式、多线程技术优先；
 有团队开发经验，具有团队协作精神和良好的与人交流能力；","物流丨运输,软件开发",150-500人,数据仓库,南京
java开发、C++开发、python、数据库,https://www.lagou.com/jobs/4139441.html,秦淮区,10k-20k,南京电子工程研究所（中国电子科技集团公司第二十八研究所）,1-3年,硕士,"平台好,项目好,福利待遇好",至少熟悉一种主流操作系统，至少熟练掌握C++、JAVA等任一种开发语言；有实际工作经验者优先。,"移动互联网,信息安全",2000人以上,数据仓库,南京
数据库工程师,https://www.lagou.com/jobs/6669652.html,建邺区,12k-13k,江苏通行宝智慧交通科技有限公司,不限,硕士,五险两金，餐补，交通补助,"江苏通行宝智慧交通科技有限公司，隶属于江苏交通控股有限公司，成立于2016年11月，是江苏省**负责高速公路ETC业务运营管理、营销推广、技术开发、产品开发和用户服务的专业化平台。公司致力于围绕“ETC+互联网”、“ETC+金融”、“科技+服务”产业链体系，通过一系列外延式场景构建叠加，打造“交通+”综合生态圈，建设成为集技术研发与输出、产品开发与生产、运营管理与服务、平台建设与运营的智慧交通整体解决方案的服务商。公司目前拥有管理、技术、营销团队624人（含感动科技114人），下设综合部、财务结算部、审计风控部、人力资源部、市场运营部、技术研发部6个职能部门，拥有南京感动科技有限公司、苏州惠尔保险代理有限公司两家子公司，在江苏13个地市下辖10个片区管理中心、63个自营客服网点。截至2018年末，公司资产总额40.90亿元，目前公司IPO工作正有序进行中。                                                                                                                                                                                   岗位职责：负责数据库设计、维护、调优、大数据统计、分析任职要求：1.具有一定的关键业务系统大型数据库DBA管理、运维经验，具备良好的数据库故障分析和解决能力；                                      2.精通Oracle、Mysql架构及工作原理，包括数据库架构；3.精通Oracle、Mysql的安装配置，故障处理，备份恢复操作，能够独立完成数据库的日常管理和运维工作；4.精通Unix平台下Oracle RAC高可用方案的原理、实现方法以及快速部署能力；5.熟悉数据库索引、分表等性能优化与调整，数据库核心参数的设置与调整；6.具备较好SQL调优能力；具备存储过程开发能力；具备利用操作系统工具分析和优化数据库的能力；7.熟悉Linux操作系统，具备一定硬件知识，熟练使用Shell脚本语言；8.熟悉nosql优先，如redis,mongodb；9.有开发经历优先、持有OCP证书优先；10.有阿里云、华为云、腾讯云、AWS、青云等云上数据库维护工作经验的优先。","汽车丨出行,数据服务",500-2000人,数据仓库,南京
