job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据仓库工程师,https://www.lagou.com/jobs/6836421.html,洪山区,20k-40k,北京一一万物科技有限公司,3-5年,本科,五险一金 周末双休 零食下午茶,"岗位职责：1、负责公司企业大数据平台建设，搭建层次合理、灵活、可扩展的企业大数据平台；2、理解业务分析需求，设计和开发对应的数据仓库/数据集市，ETL开发和优化工作，完成结构层次合理、灵活、可扩展的数据仓库；3、负责数据仓库模型设计、报表开发和维护；4、负责数据仓库系统性能，模型性能设计与调优；5、和数据产品经理一起，解决业务数据分析、数据报表、数据异常相关的技术问题；6、深刻理解业务模型，数据模型，系统模型，提升系统生产效率。任职要求：1、计算机、数学或统计学相关专业本科以上学历；熟悉互联网行业，3年以上DW/ETL/BI工作经验；熟练掌握至少一种主流ETL/BI解决方案；2、精通数据仓库架构及原理，具备大型数据仓库架构设计、模型设计和处理性能调优等相关经验；精通SQL/Hive，有较好的SQL性能调优经验，有Java/Python开发经验者优先；3、能够熟练应用一种或多种主流数据库（如：Oracle、MySQL等），有数据库设计经验者优先；4、有大数据分布式计算平台开发经验,熟悉Hadoop, Hive生态产品原理及应用；5、工作认真、负责、仔细，有良好的团队合作精神，良好的分析能力、沟通技巧。工作时间：10:00-19:00","移动互联网,社交",150-500人,数据仓库,武汉
数据仓库,https://www.lagou.com/jobs/7173188.html,江岸区,11k-22k,北京北明数科信息技术有限公司,3-5年,本科,公司福利待遇佳、团队年轻有冲劲、开放共享,岗位职责： 1、根据各业务领域分析主题，负责数据仓库的需求调研和分析； 2、负责根据业务场景需求，进行对应的数据仓库架构设计、模型建立，在大数据平台上搭建离线/实时数据仓库，并持续优化； 3、负责元数据、数据标准、数据质量管理工作； 4、开展业务数据质量探查，并出具数据探查报告； 5、负责建设和优化数据管控平台，落实数据治理相关流程，方案； 职位要求： 1、本科及以上学历，计算机及相关专业毕业; 2、3年及以上数据仓库设计建模开发经验; 3、熟练元数据管理、数据质量管理、数据标准管理、主数据管理方法及实践; 4、具备良好的沟通协调能力; 5、熟练编写SQL语句、视图、存储过程等，能够对数据库进行持续性能优化；熟悉hadoop、pg库。 6、具有智慧城市工作经验优先；,移动互联网,150-500人,数据仓库,武汉
高级数据仓库工程师 (MJ000019),https://www.lagou.com/jobs/6979226.html,洪山区,10k-15k,武汉掌游科技有限公司,3-5年,本科,福利多多，五险一金，晋升空间大,"工作职责：1. 负责数据仓库模型的设计，为上层应用提供优质的数据2. 根据数据集市的架构，对数据进行合理分层，设计、开发和优化高效的ETL任务体系3.总结与沉淀数据仓库，进行指标设计和梳理，优化数据地图和数据字典4. 负责元数据、数据标准、数据质量、数据安全、数据资产目录等功能总体方案设计,包括实时数据仓库和动态多维分析系统5. 负责推进数据治理实施方案制定及落地，支撑数据湖和数据中台的建设任职要求：1、 精通数据仓库建模理论，有参与过2个以上的数据仓库建设经验；2、 精通spark和hadoop全栈开发，具备大数据平台开发经验；使用hadoop及hadoop生态圈中的常用组件，如Spark、Hive、Kafka、Yarn、HBase、Presto、Elasticsearch等全部或者部分组件,精通其中3个以上优先；3、熟悉数据仓库设计流程，熟悉MySQL、Oracle、SQL Server等至少一种主流关系数据库，熟悉表结构设计、存储过程编写；4、逻辑思维能力强，对数据敏感，有较强学习能力和创新思维；5、对Linux操作系统熟练掌握，熟悉shell脚本编程；","移动互联网,游戏",150-500人,数据仓库,武汉
数据库系统工程师,https://www.lagou.com/jobs/7128979.html,东湖新技术开发区,10k-18k,东云睿连（武汉）计算技术有限公司,1-3年,本科,五险一金 年终奖金 弹性工作,1.负责数据库相关产品的设计与开发，涉及研究成果的工程化。2.负责系统服务或模块级别的软件架构和算法的设计与优化。3.为公司各产品的数据存储、处理与分析需求提供技术能力和组件研发支撑。4.解决产品及环境中涉及数据库的各类问题，持续改进软件质量。5.参与软件工程相关文档资料的编写整理工作。任职资格1.熟悉C/C++、Java、SQL等语言，熟悉系统和算法领域常用的C/C++、Java开发库。2.了解关系型数据库理论、一致性算法、SQL执行优化等原理；了解一种或多种SQL/NoSQL开源数据库产品（如MySQL、HBase）的软件架构设计与关键技术实现；开源贡献者优先。3.理解服务器端软件开发的全流程，并具有基本的软件架构设计能力。4.熟悉C/C++、Java开发相关的工具链，了解软件工程规范和流程。5.具有较强的学习、理解和团队合作能力，乐于探索新技术、新方法，追求知识和能力的进步。6.在数据库或相关领域有2年以上工作经验者优先；熟悉云计算、大数据或人工智能领域知识者优先。7.大学本科或以上学历，能够熟练阅读理解英文材料。,"人工智能,软件开发",15-50人,数据仓库,武汉
数据库内核研发工程师,https://www.lagou.com/jobs/6788671.html,洪山区,20k-40k,敏博科技（武汉）有限公司,3-5年,本科,五险一金、带薪年假、绩效奖金、弹性工作,岗位职责： HTAP系统架构设计、开发与优化。岗位要求：1.熟悉 MySQL/PostgreSQL/Greenplum等的查询引擎，并阅读过其中的源码。2.至少熟悉一种主流数据库(PostgreSQL、MySQL、CockroachDB、Greenplum等)的存储引擎系统架构，数据组织方式，存储格式，编码方式，数据压缩等技术细节。3.深入理解数据库的事务、一致性协议、MVCC、高可用、查询优化等一个或多个模块原理。4.有数据库代理、数据库内核研发经验。5.有高性能、高并发服务器开发经验，有在Linux进行profiling、性能问题分析的经验。6.开源项目Founder/PMC/Committer。7.优秀的抽象思考能力，具备扎实的算法基础，有极强的代码能力。8.有在业界高水平数据库、存储、系统会议上发表文章，例如SIGMOD、VLDB、ATC、OSDI、SOSP等。,"数据服务,物联网",15-50人,数据仓库,武汉
数据库引擎工程师,https://www.lagou.com/jobs/6972691.html,东湖新技术开发区,15k-30k,东云睿连（武汉）计算技术有限公司,5-10年,硕士,专家定向培养,任职要求：1.熟悉C/C++和SQL语言、Linux系统，以及Linux下常用的C/C++开发库、工具链。2.熟悉计算机网络和分布式系统原理；了解InfiniBand和RDMA网络技术者优先。3.熟悉关系型数据库理论，了解一种或多种SQL/NoSQL开源数据库产品（如MySQL、HBase）的软件架构设计与关键技术实现；开源贡献者优先。4.理解服务器端软件开发的全流程，并具有基本的软件架构设计能力。5.具有较强的学习、理解和团队合作能力，乐于探索新技术、新方法，追求知识和能力的进步。6.大学本科或以上学历，能够熟练阅读理解英文材料。7.在数据库或相关领域有2年以上工作经验者优先。岗位职责：1.负责分布式数据库引擎组件的开发、调试、测试与优化。主要涉及数据库内核及分布式系统层面，而非数据库管理系统或基于数据库的业务层面。2.负责数据库方向学术研究成果的产品化、工程化工作。3.负责数据库系统与算法领域的技术攻关与疑难问题解决，持续改进软件质量。4.为公司各产品的数据存储、处理与分析需求提供技术能力和组件研发支撑。5.参与软件工程相关文档资料的编写整理工作。,"人工智能,软件开发",15-50人,数据仓库,武汉
数据库管理员DBA,https://www.lagou.com/jobs/6438862.html,东湖新技术开发区,9k-12k,云智汇（武汉）科技服务有限公司,1-3年,大专,周末双休 五险一金 年底奖金,"1.掌握并精通MSSQL Oracle ,熟悉PL/SQL编程；2.熟悉MSSQL/ ORACLE/ 规划与安装配置  ；3.熟悉MSSQL/ ORACLE/ 日常管理细则及相关管理工具使用;  4.具备一定的性能优化及异常处理能力,能对问题做分析定位及改善建议;  5.掌握RMAN/Data Guard/ MSSQL备份恢复作业,相关恢复指令灵活运用;  6.熟悉了解Windows,Linux平台配置与效能改善  ；7.了解HP/Dell系统服务器  ；8.取得DB专业资格认证优先  ；9.语言能力:英文4级；  10.工作认真细心,责任心强,具备良好的沟通和团队合作能力；",数据服务,500-2000人,数据仓库,武汉
数据库中级工程师,https://www.lagou.com/jobs/6595893.html,江汉区,9k-14k,武汉锐视智汇科技有限公司,1-3年,本科,双休，五险、工作餐,"岗位职责： 1、负责大数据产品编码实现，编写详细设计、部署文档等文档资料；2、参与系统框架搭建及数据库的优化与维护工作；3、参与技术预研、选型与技术攻坚工作。 岗位要求：1、 测绘、GIS、遥感、计算机等相关专业，本科及以上学历，2年以上大数据开发经验；2、 熟悉linux常用命令，,熟练掌握Java、C/C++中一种编程语言；3、 熟悉Oracle Spatial、MongoDB、PostgreSQL等空间数据的存储；4、 有Hadoop/HBase/Spark/Storm实际开发经验优先；5、 有GIS项目实际开发经验优先；6、条件优秀者，薪酬亦可面谈。福利待遇：1：直面老板谈薪资，购买五险。2：根据个人来制定相应的培训，丰富自己。3：中午有员工餐，让你吃的安心，家人放心。4：朝九晚六，法定节假日全休。",软件开发,15-50人,数据仓库,武汉
大数据JAVA开发工程师,https://www.lagou.com/jobs/7011180.html,东湖新技术开发区,10k-15k,民生易贷（珠海）互联网金融信息服务有限公司,1-3年,不限,"双休,定期体检,节日福利,六险一金","岗位职责：1、构建并管理维护数据仓库中的元数据、主数据体系；2、参与数据中心大数据处理以及开发工作；3、参与大数据实时计算平台架构及开发；4、根据不同的业务场景，构建业务指标体系，建立和完善日常业务报告体系；5、负责数据中心的相关维护；任职要求：1、2年以上大数据开发相关经验；2、熟练掌握JAVA开发，熟练使用SQL，有较好的SQL性能调优经验；3、熟悉大数据开源技术及其生态圈，如Hadoop、Hbase、Hive、kudu、Kafka、Spark、Flink、ElasticSearch、Redis、kettle等；4、熟悉数据仓库模型设计方法论，并有数据仓库设计开发经验及ETL开发经验；5、有责任心,思维敏捷，对新技术敏感，有较强的钻研学习精神；6、有spark、flink实时数据开发经验优先；","移动互联网,金融",150-500人,数据仓库,武汉
大数据开发工程师,https://www.lagou.com/jobs/6799554.html,洪山区,20k-40k,北京金山云网络技术有限公司,5-10年,本科,三餐，七险一金，大平台,"1.理解业务分析需求，设计和开发对应的元数据模型/数据资产/数据治理工作，完成结构层次合理、灵活、可扩展的数据管理架构；2.开发数据生产、分析工具，不断提高数据使用效率；  3.负责数据仓库、数据中台和数据湖产品业务分析、设计、开发和维护； 4.负责指导初中级开发人员工作。岗位要求（参考）：1.计算机相关专业本科及以上学历，5年以上互联网数据开发工作经验； 2.具有扎实的计算机科学功底，扎实的Java编程基础和数据结构算法基础，熟悉Scale和python开发经验优先；3.精通数据仓库架构及原理，具备数据资产、数据治理、元数据模型设计和处理性能调优等相关经验； 4.有大数据分布式计算平台开发经验,熟悉Hadoop, Hive，Storm，Spark等大数据框架原理及应用； 5.善于交流，有良好的团队合作精神和协调沟通能力，有与产品、业务等多方密切配合的经验和意识。","移动互联网,数据服务",2000人以上,数据仓库,武汉
