job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
GP数据库开发,https://www.lagou.com/jobs/6847377.html,金水区,10k-15k,上海井胜通讯技术有限公司,3-5年,大专,项目稳定,1、大专及以上学历，计算机相关专业；拥有3年以上数据库开发经验，有spark sql和hive sql开发经验者优先；2、熟练使用Oracle、Vertica、GreenPlum、Postgresql等常用数据库平台的一种或多种，有扎实的sql语言功底，熟悉常用SQL函数，熟练利用执行计划进行sql语句调优；3、熟练对Oracle、Vertica、GreenPlum、Postgresql等常用数据库进行导入导出备份等操作。4、拥有处理和查询大批量数据(每天单表数亿记录)的工作经验，有大数据量查询性能调优经验5、能够通过查看IO、CPU、内存等了解数据库瓶颈者优先；能够通过系统日志、数据库日志分析排查数据库故障者优先；6、精通UNIX OS平台日常shell命令操作，对shell或是perl程序语言封装sql或shell命令的外部脚本程序开发使用比较熟悉；7、要求能够适应短期出差的工作性质,数据服务,500-2000人,数据仓库,郑州
dba数据库管理员,https://www.lagou.com/jobs/7184647.html,高新区,9k-15k,郑州中业科技股份有限公司,3-5年,本科,社保，带薪年假，上市公司,技能要求：DBA，MySQL，MongoDB，数据处理，数据库，数据架构工作职责：1，负责公司数据库架构设计，部署，优化，SQL语句审核，维护。岗位要求：1，计算机相关专业统招本科，3年以上DBA岗位经验；2，有java程序或python开发经验优先；3，精通mysql架构，部署和优化排错；4，精通mongodb，redis等nosql数据库架构，部署，优化和排错；5，有大型分布式数据处理经验，有千万级别数据优化处理经验；6，有丰富的数据库理论基础，独立完成数据库设计。,移动互联网,50-150人,数据仓库,郑州
大数据资深工程师,https://www.lagou.com/jobs/7208698.html,航空港区,20k-40k,富泰华工业（深圳）有限公司,10年以上,不限,五險一金 績效獎金 帶薪休假 定期體檢,职位描述：1.负责跨单位项目管理与执行，与项目中大数据相关技术之规划与督导，2.对内部大数据开发人员进行专业指导、监督或管理3.负责大数据end to end技术评估和技术方案之推展实施4.大数据应用方案需求收集与推广技能要求：1.至少具有以下专业两项共8年以上工作经验:(1)大数据架构开发或规划、(2)数据仓库开发或规划、(3)大数据分析及从业务进行大数据技术规划的能力；2.具备机器学习、大数据架构开源生态圈、数据仓库相关知识，另有前端开发经验尤佳；3.熟python、java、SQL、shell script、java script、Spark/flink/flume等(至少3项)；4.具备全面的技术视野与风险掌控，对技术问题有敏锐的洞察力，逻辑思维严谨。,"电商,数据服务",2000人以上,数据仓库,郑州
数据工程,https://www.lagou.com/jobs/5978763.html,航空港区,10k-20k,富泰华工业（深圳）有限公司,3-5年,本科,五险一金 绩效奖金 带薪休假 定期体检,岗位职责：1. 生产/制程/周边等大数据资料的采集、清洗与转换及数据仓库建置；2. 依各大数据分析项目所需，设计及开发数据自动收集/清理之ETL程式；3. 监控、维护ETL及分析job之执行，与效能调校优化。任职要求：1. 以下经验至少符合一项：(1)具备ETL或数据仓储开发经验2年以上；(2)有使用Spark、flume、kafka导入数据至Hadoop经验2年以上；(3)具备Data Warehouse导入、建置与管理经验3年以上；(4)具备带领数据开发团队经验2年以上；(5)具备规划与执行项目经验2年以上；2. 具备可快速利用SQL、python、java开发数据处理程式能力；3. 有数据ETL维运或程序、程序调优之经验与能力；4. 具备Data model设计能力尤佳；5. 有制造业数据处理经验尤佳；6. 具备与User谈数据需求之能力；7. 具备Data model设计能力；8. 有使用Spark、flume、kafka导入数据至Hadoop或制造业数据处理经验尤佳。,"电商,数据服务",2000人以上,数据仓库,郑州
数据工程师 (MJ000608),https://www.lagou.com/jobs/7117419.html,金水区,25k-35k,星环信息科技（上海）有限公司,3-5年,本科,大数据领航者+弹性工作制+节假日福利,"工作职责：1、PoC（Proof of Concept，原型验证），在客户业务场景下验证产品的功能与性能。2、在客户现场搭建大数据产品平台，与客户沟通，根据客户的需求或业务场景在大数据平台上实现大数据平台软件的项目实施与安装部署。3、进行二次开发和平台运维排障，更具实际情况完善需求解决方案。职位要求：1、计算机或相关专业本科（或以上）学历2、熟悉Linux 基础命令，熟悉shell语言，系统诊断等3、熟悉Java语言，会编写Oracle/DB2 存储过程，数据库的调优等，4、了解Hadoop，熟悉Hadoop，HBase，Hive基本命令5、有Hadoop/HBase/Hive/Sqoop/Flume使用经验者优先6、做事认真负责，沟通能力良好，自学能力较强，能够接受出差。7、linux、oracle、hadoop 技术有精通优先公司为员工提供系统科学的技术培训，主要课程包括：
 大数据平台数据工程师培训
 数据仓库与数据集市开发工程师培训
 实时流处理开发工程师培训
 搜索与检索开发工程师培训
 图计算与图检索开发工程师培训
 大数据平台架构师培训",数据服务,500-2000人,数据仓库,郑州
大数据工程师,https://www.lagou.com/jobs/6943349.html,高新区,15k-25k,中移在线服务有限公司,3-5年,本科,六险二金 带薪年假 年度体检 日常补贴,【岗位职责】1、针对重点业务运营，提供深度数据能力支撑，完成业务数据分析、模型需求分析，以及数据接口、基础模型、汇总模型、ETL流程等设计、开发；2、统筹数据仓库模型建设与管理，制定模型开发规范、数据治理规范并推进落地，基于规范管理数据模型；3.支撑业务数据聚合，负责数据源调研、入库、开发的全流程工作，并保证数据质量。【任职资格】1、学历要求：本科以上学历，统计、应用数学、计算机、软件工程等相关专业背景；2、工作经验：具备互联网、电信相关行业3年以上工作经验；3、能力要求：1）熟练掌握维度建模理论，具备业务数据调研分析、仓库模型设计的能力；2）掌握Python、Java开发技能，熟悉Hadoop生态系统组件，如：Hive、MapReduce、Spark、HBase、kafka等，有Vertica开发经验者优先；3）具备数据仓库开发、数据治理、数据产品设计、运营经验之一；4）熟悉人工智能相关框架（包括但不限于Kaldi、Keras、TensorFlow、Pytorch）、工具及AI训练流程者优先；5）具有较强逻辑思维能力、研究能力、沟通能力和团队合作精神。,移动互联网,2000人以上,数据仓库,郑州
大数据开发工程师,https://www.lagou.com/jobs/7202315.html,郑东新区,7k-12k,郑州科瑞思拓软件科技有限公司,3-5年,本科,双休、五险一金、节日福利、员工旅游,"统招二本以上学历，计算机专业，2年以上工作经验
 掌握Python、Java、C++至少一种编程语言，
 熟练掌握Hadoop大数据平台原理及相关技术，包括hdfs、hive、hbase、kafka；
 精通SQL存储过程设计与开发，常用函数、分析函数、熟练使用SQL完成业务需求；
 熟练数据仓库，对多维数据建模有深入理解；
 了解容器技术，包括docker、k8s等，能够对相关问题进行定位分析。","移动互联网,旅游",50-150人,数据仓库,郑州
大数据开发工程师,https://www.lagou.com/jobs/7190332.html,中原区,10k-15k,安徽甜心互娱网络科技有限公司,3-5年,本科,双休、五险一金、下午茶、旅游、年终奖,"1、负责 Hadoop 集群、数据分析平台、计算平台开发和维护； 2、负责公司海量用户行为日志数据收集、ETL； 3、支持实时数据报表、离线数据报表、交互式数据分析等多种数据应用； 4、负责数据仓库业务主题数据建模以及核心代码开发开发和调优。任职要求1.3年以上大型数据仓库规划和实施经验，熟练掌握主流ETL解决方案，计算机相关专业本科及以上学历； 2.精通SQL语言, 熟悉Java，Python，scala等数据科学开发语言，至少要精通其中一种 具备数据库（mysql，postgresql等）使用和优化实践；大数据仓库建模及数据ETL开发经验 3.掌握MapReduce系列大数据系统原理，熟练使用HDFS、Hive，Spark，Flink，HBase，Kafka等分布式计算系统，并对于使用场景，优化方式有着深入理解 4.至少具备阿里云、AWS、Azure等其中一种云服务上大数据存储、计算以及挖掘分析使用经验超过2年的时长经验 5.熟悉深度学习，有深度学习相关框架如Tensorflow,Caffe,PyTorch,Mxnet开发经验者优先 热爱数据开发以及科学分析工作； 工作责任心强，有较强的抗压能力、沟通能力、项目推动能力和良好的服务意识","游戏,社交",150-500人,数据仓库,郑州
Java高级开发工程师（大数据方向）-2020,https://www.lagou.com/jobs/6798673.html,金水区,13k-18k,郑州信大捷安信息技术股份有限公司,5-10年,本科,公司平台好 发展空间大,岗位职责：1、负责大数据平台的整体规划和设计、负责用户行为挖掘、产品改进；2、负责进行数据体系规划、数据治理及数据集市的架构设计、建模和ETL开发；3、负责用户画像、机器学习体系的构建；4、负责平台大数据组件相关的业务的开发运维工作。任职要求：1、本科及以上学历，3年以上大数据相关工作经验。2、3年以上数据平台（大数据平台、BI可视化、数据仓库、OLAP分析等）设计应用经验；3、熟悉ELK技术栈，熟悉Elasticsearch技术的开发运维工作；4、熟悉大数据处理及分布式系统前沿技术（包括Hadoop、MapReduce、Hive、Hbase、Spark、ZooKeeper、YARN等开源框架）及主流的数据应用产品或工具（BI、多维分析等），熟悉Java或Scala，会Python优先考虑；5、具备良好的数理基础，掌握常见的逻辑回归、决策树等模型和算法的应用场景及核心原理；6、熟悉数据研发过程，具备敏捷开发经验，具有优秀的项目执行能力，以及良好的沟通交流能力；7、敏锐的业务领域嗅觉，能够独立或协同，高质量按期完成项目，以及出色的系统规划能力；8、有较强的逻辑思维能力，善于分析、归纳、解决问题，持续学习和总结，自我迭代。9、有机器学习平台项目，或者华为大数据平台经验者优先。,"移动互联网,信息安全",500-2000人,数据仓库,郑州
大数据开发工程师,https://www.lagou.com/jobs/7194241.html,金水区,10k-15k,河南飙风信息科技有限公司,3-5年,本科,五险 双休 年假 旅游 年终奖,公司为纯技术公司 高新技术企业   软件企业团队技术氛围浓 活泼团结运维平台 大数据分析  数据治理 人工智能等业务的开发   五险 双休 年假 旅游 年终奖 项目奖过节福利  等等  你能想到的基本都有1、完成软件产品各模块的功能、代码实现等工作；2、参与项目技术难点攻关以及核心代码的编写；3、设计及运用前沿技术于产品开发；4、协助上级完成团队制定的研发计划。职位要求：1、3年以上软件开发经验，精通Java开发，熟练使用java 框架；2、精通java 和 SQL；熟悉Kafka、MR、Hive、Hbase 等；有丰富的spark项目经验；3、ETL数据处理开发经验，能独立完成数据处理开发工作；3、熟练使用Spark，并对spark-core/spark-sql/spark-streaming有深入认识，具备java/Scala/python语言开发经验者优先；4、对分布式缓存Redis和Nosql数据库（如：MongoDB、Hbase）有一定研发经验；5、熟悉数据仓库建设的流程及方法论、理解维度建模，有实际的模型设计经验5、具有良好的沟通及项目协调能力，优秀的分析问题和解决问题的能力，具备强烈的进取心和良好的团队合作精神。,"人工智能,软件开发",15-50人,数据仓库,郑州
