job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据库系统工程师,https://www.lagou.com/jobs/3886793.html,岳麓区,8k-10k,湖南星汉数智科技有限公司,不限,本科,"扁平化管理,周末双休,五险一金,年终奖",岗位描述：关系数据库、Hbase等数据存储与查询的设计与优化；数据库配置优化；软硬件系统安装、部署与运维监控。岗位要求：1、熟悉Oracle、Mysql和Hbase的安装、配置和优化；2、精通查询语句优化；具有数据库表、存储结构的规划和设计能力；3、熟练掌握任一脚本语言，能用脚本语言快速开发各类监控和调度工具。4、有数据挖掘、数据仓库实施经验者或自动化运维经验者优先。,"移动互联网,数据服务",50-150人,数据仓库,长沙
数据库工程师,https://www.lagou.com/jobs/6621448.html,开福区,13k-18k,湖南蓝途方鼎科技有限公司,3-5年,大专,项目管理,岗位要求：1、大专以上学历，三年以上工作经验2、有数据仓库架构、分析经验3、深入理解常用的数据建模理论，可独立把控数据仓库各层级的设计4、熟悉ETL设计及相关工具使用5、熟练使用Linux系统6、较好的业务理解能力7、良好的语言沟通表达能力8、逻辑思维能力强，有优秀的分析问题、解决问题能力岗位职责：1、负责数据仓库相关管理工作，包括：相关工作规范的制定、推动与实施落地2、负责数据仓库的建设和维护，包括：需求调研分析、模型设计、数据处理、质量管控3、负责来自业务团队数据需求的支撑,"移动互联网,信息安全",15-50人,数据仓库,长沙
ETL开发/数据库开发工程师,https://www.lagou.com/jobs/6847128.html,开福区,10k-16k,北京宇信科技集团股份有限公司广州分公司,1-3年,本科,六险一金 带薪年假 司龄假 补贴,岗位职责：1、参与BI类项目实施;2、负责数据仓库、数据集市、报表平台等BI项目的ETL开发、数据模型设计及应用开发；2、负责BI项目的报表设计及开发;4、针对数据仓库应用系统的数据处理需求，对金融行业（银行、证券、保险)业务数据进行分析，完成数据仓库的数据抽取、转换和装载过程;5、参与数据仓库中ETL流程的优化以及数据仓库系统实施过程中ETL相关技术问题的解决;6、需求分析，集市模型设计。任职要求：1、计算机、数学或者电子信息技术本科以上学历；2、2年以上BI从业经验；3、熟悉数据仓库架构及原理，熟悉UNIX/LINUX系统；4、熟悉数据ETL原理，熟悉Oracle或者DB2数据库；5、熟练应用Datastage等ETL工具；6、熟悉面向对象编程技术，良好的学习能力和逻辑思维能力；7、良好的沟通表达（口头及书面）和文档交付能力。,金融,2000人以上,数据仓库,长沙
大数据平台架构师,https://www.lagou.com/jobs/6988913.html,岳麓区,18k-30k,湖南福米信息科技有限责任公司,5-10年,本科,C轮，技术挑战，金融,职位描述：1、负责数据平台、数据仓库、计算平台、调度平台等搭建。2、负责用户画像、风险图谱、风控数据等的设计开发。要求：1、熟悉Hadoop、Hive、Hbase、Spark等，实时计算Flink等。2、具备扎实的java和Python基础3、具备较强的架构设计能力。4、良好的业务理解能力，良好的沟通能力。,"金融,移动互联网",50-150人,数据仓库,长沙
大数据架构师（长沙） (MJ000391),https://www.lagou.com/jobs/7136000.html,芙蓉区,20k-30k,杭州玳数科技有限公司,5-10年,不限,阿里系创业、云计算生态、餐补、双休,职位诱惑：挑战，激情，技术大牛，扁平管理，弹性工作1、负责数据中台项目规划、技术架构等工作，包括数据采集、模型、网络、安全、质量等架构设计；2、和产品经理一起推进项目需求落地，将业务和产品需求转变成为技术实现方案；3、深入理解产品的需求、场景，参与核心模块代码开发；4、协同开发工作，确保项目开发的正常进行；5、作为关键技术攻坚人员，解决重大项目的技术疑难问题。并能有效地对新人进行辅导，带领团队快速提升；6、能从技术视角对项目边界、项目投入成本给出合理判断，控制项目风险。  岗位要求：1、本科及以上学历，5年及以上大数据开发经验，精通数据建模理论，丰富的数据仓库设计和大数据项目实施经验；2、熟悉常见的关系型、非关系型数据库的使用，熟悉分布式计算框架Hadoop/Spark/Fink中的至少一种，有Flink开发经验优先考虑，熟悉大数据其他技术栈；3、Java/Python等开发语言至少掌握一种；4、具有良好的沟通、组织能力，强烈的进取心和优秀团队合作精神，接受出差。,数据服务,150-500人,数据仓库,长沙
高级数据治理顾问,https://www.lagou.com/jobs/7152682.html,天心区,15k-30k,秒针信息技术有限公司,5-10年,本科,"大牛多,学习型组织",工作职责:1、负责基于企业级数据仓库的数据治理工作，包括元数据管理、数据标准管理、主数据管理、数据质量管理等。2、根据项目现场情况提出数据资产管理的解决方案。3、参与数据治理现状调研，协助完成企业数据资产管理能力成熟度评估相关工作4、参与元数据管理工作，制定元数据标准，指导元模型设计，元数据盘点、接入及管理工作；5、参与数据标准管理工作，制定数据标准相关工作制度、流程，建设数据元，推动数据标准在系统中的有效落地；6、参与主数据管理工作，规划主数据管理工作，指导主数据日常管理实施。任职资格:1、计算机、统计学、信息管理等相关专业优先，5年以上数据资产管理相关工作经验，能独立带队完成数据治理项目实施工作；2、熟悉数据治理的方法论，在数据标准、数据质量、元数据、主数据、数据质量等至少一个方面有3年以上项目经验，；3、至少熟悉一种数据资产管理工具，熟悉Informatica、阿里或腾讯数据资产管理工具者优先，有数据资产管理工具开发经验者优先；4、掌握数据仓库或数据集市，有2年以上数据仓库相关的实施经验；5、至少熟悉两种常见数据库，Hive/Oracle/SQLServer/PostgreSQL/DB2/Hbase等；6、熟练使用office办公软件，善于Excel数据处理、数据分析，善于PPT Word等文档的编写；7、善于沟通，能快速熟悉业务，有电力行业工作经验者优先。,"数据服务,广告营销",2000人以上,数据仓库,长沙
大数据技术工程师（高级）(J11551),https://www.lagou.com/jobs/7150590.html,岳麓区,15k-25k,秒针信息技术有限公司,5-10年,本科,"大牛多,学习型组织",（岗位涉及长期出差）负责数据中台的汇聚和采集ETL详细设计和开发工作；参与专题库/主题库的模型设计，并负责模型开发；参与数据标准化和数据治理模型的设计，并负责落地开发；负责数据分析需求的模型开发和实现；负责数据中台技术的优化和质量改进；任职资格:1.精通SQL语言，具备存储过程开发能力，能熟练进行SQL查询优化；熟悉Hive数据仓库设计，了解数据仓库模型及思想、维度建模思想，了解数据仓库相关应用；2.熟悉Hadoop、Spark、Sqoop、Hive、Flume、Kafka、 HBase等技术，使用过ETL相关技术进行数据交换工作；3.了解数据调度平台的设计思想，良好的数据批处理 、调度、异常处理等经验，熟悉shell、python、java等语言；4.具备较强的语言表达能力，能与客户顺畅沟通或产品介绍；具有良好的逻辑分析能力、需求理解能力和解决问题的能力；具有一定的文档编写能力；5.具有良好服务意识，工作态度端正，耐心、细致、热情，抗压力强，对工作专注、投入，有很好的职业素养 。6.具有5年及以上数据仓库相关项目工作经验，有电子政务行业项目经验优先；7. 具备一定的组织领导能力，能妥善组织安排并指导组员工作；,"数据服务,广告营销",2000人以上,数据仓库,长沙
大数据开发工程师,https://www.lagou.com/jobs/6992876.html,岳麓区,13k-18k,中和农信项目管理有限公司,3-5年,本科,年底多薪 七险一金 大牛带队,"岗位职责：1、参与大规模数据系统的架构设计和应用，主要面向信贷业务方向；2、负责数据的开发和治理，满足可扩展性等业务指标；3、负责BI报表实现和数据服务需求；岗位要求：1、大学本科学历及以上；2、熟悉SQL,丰富的ETL设计和开发经验；3、对大数据理论、数据仓库理论、行业应用有一定的认识与研究，熟悉大数据相关技术；4、了解Hadoop各组件的原理和实现，具备故障排查能力，有很好的技术敏感度和风险识别能力；5、有阿里云大数据平台开发经验或金融风控领域的优先。","移动互联网,金融",2000人以上,数据仓库,长沙
ETL开发工程师,https://www.lagou.com/jobs/6885295.html,天心区,10k-16k,上海华钦信息科技股份有限公司,3-5年,大专,项目稳定 加班少 氛围好,1、岗位职责：（1）负责数据仓库ETL详细设计，ETL作业开发工作；（2）根据业务需求开发ETL作业，对数据进行加工、转换、汇总，实现复杂的业务逻辑；（3）分析SQL执行效率，提升SQL执行速度；（4）参与数据仓库/数据集市的模型设计；（5）负责Informatica数据资产管理相关组件（包括PWC、BDM、EDC、EDL、DIH、AXON、MDM等组件的实施/运维）；2、任职要求：（1）熟悉Informatica数据资产管理相关组件（包括PWC、BDM、EDC、EDL、DIH、AXON、MDM等组件的实施/运维）并有相应项目经验的优先；（2）计算机相关专业，3年以上数据仓库ETL相关工作经验，电力行业优先；（3）掌握数据仓库ETL开发方法论，了解数据仓库维度建模；（4）至少熟悉一种主流ETL开发工具，如：Kettle、DataStage等，Informatica优先；（5）至少熟悉两种常见数据库，Hive/Oracle/SQLServer/PostgreSQL/DB2/Hbase等；（6）熟悉SQL，具备SQL性能优化能力，熟悉Hive SQL，有大数据处理能力者优先；（7）熟悉Linux/Unix环境及脚本开发（shell或python等）；,"数据服务,金融",500-2000人,数据仓库,长沙
etl工程师,https://www.lagou.com/jobs/7197743.html,天心区,10k-15k,深圳市华盛天成科技有限公司,3-5年,不限,薪资高，福利好,工作职责：1、负责数据仓库ETL详细设计，ETL作业开发工作；2、根据业务需求开发ETL作业，对数据进行加工、转换、汇总，实现复杂的业务逻辑；3、负责Informatica相关产品组件的配置开发与系统运维等；4、分析SQL执行效率，提升SQL执行速度；5、参与数据仓库/数据集市的模型设计；岗位需求：1. 计算机相关专业，3年以上数据仓库ETL相关工作经验，电力行业优先；2. 掌握数据仓库ETL开发方法论，了解数据仓库维度建模；3. 熟悉Informatica相关产品组件（包括PowerCenter(PWC)、Big Data Management（BDM）、EDC、DIH、AXON、MDM等优先；4. 至少熟悉一种主流ETL开发工具，如：Kettle、DataStage等，Informatica优先；5. 至少熟悉两种常见数据库，Hive/Oracle/SQLServer/PostgreSQL/DB2/Hbase等；6. 熟悉SQL，具备SQL性能优化能力，熟悉Hive SQL，有大数据处理能力者优先；7. 熟悉Linux/Unix环境及脚本开发（shell或python等）。,"软件开发,物联网",150-500人,数据仓库,长沙
