job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据开发工程师,https://www.lagou.com/jobs/7102597.html,浑南区,8k-15k,东华软件股份公司,不限,不限,上市公司、五险一金、年终奖、弹性工作制,"任职要求：
 1、精通hadoop 体系技术或CDH大数据计算存储套件技术，有实际项目开发经验；
 
 2、熟悉Java语言；
 
 3、熟悉关系型数据库，如MySQL/Oracle/DB2/PostgreSQL，熟练使用Hive，Hbase，Spark等工具做数据加工处理；
 
 4、熟悉Linux操作系统和开发工具，了解docker，kvm/xen等虚拟环境；
 
 5、熟悉布式存储系统（Ceph、Gluster、HDFS、Moose等开源软件），具有相关实践实施经验；
 
 6、了解分布式系统和计算；
 
 7、接受东三省出差及驻场开发。

 岗位职责：
 1、软件产品研发，能根据需求，设计和开发产品功能，并参加单元、集成测试;
 
 2、具有较强的学习能力，能快速理解业务流程及逻辑;
 
 3、协助团队完成开发任务，协助项目实施工作以及项目的技术支持工作。","企业服务,数据服务",2000人以上,数据分析,沈阳
安全运维工程师,https://www.lagou.com/jobs/6503866.html,浑南区,6k-12k,辽宁博秋信息科技有限公司,1-3年,本科,五险一金 、双休 、带薪年假,职位描述 1. 负责安全运维方案实施，如信息安全风险评估与分析、安全设备日常维护等。 2. 负责相关故障、疑难问题排查处理，编制汇总故障、问题，定期提交汇总报告。 3. 负责维护公司内部安全平台。 4. 负责网络监控和应急反应，实施安全扫描评估。 5. 负责日常系统安全维护，及安全监控，提供IT软硬件安全方面的服务和支持，保证系统的稳定。 6.完成上级安排的其他工作。任职要求 1. 熟悉Windows、Linux等系统，具备良好的网络安全意识，具备系统漏洞扫描、安全加固等实战经验优先。 2. 熟悉主流安全产品， 如防火墙、IPS、WAF、防**等，能够完成设备的安装配置及日常维护。 3. 熟悉TCPIP协议，路由交换的基本概念，能熟练操作路由器、交换机、VPN的配置，熟练使用基本网络检查工具。 4. 熟悉python、ruby、shell等一种及以上脚本语言，能够独立编写各类小工具者优先。 5. 熟悉HTTP协议，了解常见WEB中间件及数据库的操作。 6. 较强的沟通和语言表达能力，能精确表达自己的思想和意图，并达到预期沟通效果。 7、具有较强的学习能力，文档编写能力。 8、熟悉zabbix监控者优先。 9、具有信息安全、安全监控、数据分析项目经验者优先。,信息安全,少于15人,数据分析,沈阳
产品经理,https://www.lagou.com/jobs/6424744.html,沈河区,12k-18k,中寰卫星导航通信有限公司,5-10年,本科,"弹性工作,试用期全薪,福利待遇好",1、通过市场调研和分析，完成产品设计，系统性规划产品全周期；2、快速响应需求，把控项目进度，推动产品快速高质量上线；3、持续跟进用户反馈，不断优化产品功能提升用户体验；4、和关联团队紧密合作，保证产品顺利落地；5、有效利用资源，在现有产品基础上思考创新模式并产生价值。1、本科及以上学历，具备5年以上产品经验，有移动产品经验者加分；2、能够独立完成产品原型设计，撰写输出高质量的产品文档；3、具备数据分析能力和解决问题的能力，做事以结果为导向；4、学习能力强，沟通能力良好，逻辑思维严谨，注重团队协作；5、有汽车行业产品经验者优先考虑。,移动互联网,500-2000人,数据分析,沈阳
高级产品经理,https://www.lagou.com/jobs/6424389.html,沈河区,12k-18k,中寰卫星导航通信有限公司,5-10年,本科,"弹性工作,试用期全薪,福利待遇好",1、通过市场调研和分析，完成产品设计，系统性规划产品全周期；2、快速响应需求，把控产品节奏，推动产品快速高质量上线；3、持续跟进用户反馈，不断优化产品功能提升用户体验；4、和关联团队紧密合作，保证产品顺利落地；5、有效利用资源，在现有产品基础上思考创新模式并产生价值。1、本科及以上学历，具备5年以上产品经验，独立负责过产品线更佳；2、有过0到1的产品上线经验，能够独立完成用户调研，原型设计，撰写输出高质量的产品文档；3、具备数据分析能力和解决问题的能力，能够承受较强的工作压力；4、学习能力强，沟通能力良好，逻辑思维严谨，注重团队协作；5、有汽车行业产品经验者优先考虑。,移动互联网,500-2000人,数据分析,沈阳
电话客服销售,https://www.lagou.com/jobs/7205717.html,沈河区,3k-6k,沈阳创联驿付电子商务有限公司,不限,本科,双休 无责底薪3000 五险 带薪年假,福利待遇：薪资无上限，只要你敢来，平台就敢让你完成梦想！！1.上班时间早九晚六，午休一个小时，周六周日双休，公司没有加班情况，假日按照国家法定休息。2.无责底薪3000，试用期3个月，试用期薪资按80%发放。3.薪资结构：无责底薪+电话补贴+奖金 每月平均薪资6000+4.公司为你缴纳五险、带薪年假、国家规定的各种节假日制度、婚嫁、产假等。5.每月业绩达标伙伴享受公司及团队丰厚奖励6.公司气氛比较活跃，气氛超级好，广阔的晋升空间。7.定期团建、节假日福利、晋升空间大、5A级办公地点8.不跑外，没有任务量的要求，没有通时的要求。工作内容：1.电话询问客户产品的使用情况，定期给客户更换我们的新产品，对客户的使用情况进行跟踪服务。2.负责公司老客户的维护等辅助性工作，解决客户提出的各种问题，提高客户满意度。3.统计每日工作数据，进行数据分析，不断提升工作效率。岗位要求：1.口齿清晰，普通话流利，语言富有感染力。2.学习转化能力强，能快速学习，学以致用，持续提升个人能力。3.工作态度端正，自信自律，严谨认真，有良好的团队合作能力。4.性格坚韧，思维敏捷，具有良好的应变能力和抗压能力。5.有敏锐的市场洞察力，有强烈的事业心、责任心和积极的工作态度。,金融,500-2000人,数据分析,沈阳
新媒体运营,https://www.lagou.com/jobs/5711103.html,浑南区,4k-6k,沈阳金柏诚文化传媒有限公司,1-3年,大专,带薪年假 ，不打卡，业务适合年轻人,技能要求：文案策划，内容运营，数据分析，社区运营职位描述：岗位职责：1、负责恋爱交友产品的双微平台日常更新维护、编辑撰写等，挖掘优质相关热点话题及策划并执行微信、微博等新媒体营销线上活动，策划方案并根据方案发布相关内容，并寻求与其他自媒体或多方合作； 2、广告和新媒体文案撰写，包括不限于品牌宣传相关文案、公众号推文、微博软文等；3、熟悉新媒体玩法，对公众号推文撰写，短视频创意，H5创意文案撰写等都很有经验；4、负责增加双微平台粉丝及活跃度，制定粉丝互动计划并实行用户维护，监控运营效果并总结；任职资格：1、新闻学、传媒学、市场营销、产品运营类相关专业优先，大专以上学历；2、熟悉互联网新媒体行业，一年以上产品运营及文案工作经验，有过恋爱交友类产品服务的双微运营优先；3、能够准确捕捉产品亮点，具备恰如其分的文字表现能力；4、熟悉专业创意方法，思维敏捷，洞察力强，文字功底扎实，语言表达能力强；5、能独立完成微信、微博等新媒体账号的运维。,"移动互联网,文娱丨内容",少于15人,数据分析,沈阳
人事专员,https://www.lagou.com/jobs/7188406.html,和平区,3k-4k,沈阳嘉亿佳文化传媒有限公司,不限,不限,有晋升空间，能力提升,1、负责招聘需求的搜集、招聘计划的制定及招聘工作的组织实施；2、利用各种招聘渠道，满足公司当前及发展战略的人才需求；3、建立完善公司人力资源库，以及后备人才选拔方案和人才储备机制；4、协助制定和修订公司绩效考核管理相关制度，协助建立绩效管理体系，规范绩效管理各项流程；5、根据公司及各部门实际情况，针对公司不同类型岗位的人员制定相应的考核方案，定期对各岗位关键绩效指标进行提取与更新；6、定期组织并协助各部门实施绩效考核工作，并及时向直属上级及各部门主管汇报绩效考核工作进展情况；7、组织落实绩效考核，负责考核的过程跟踪反馈等工作；8、汇总、统计、归档绩效考核数据，建立员工绩效考核档案，为绩效工资核算提供基础资料及依据；9、协助处理被考核者的投诉、复议申请及相关后续工作；10、协助做好年度绩效考评工作，结合日常绩效考核结果，做好员工年度绩效终评；11、协助相关部门做好试用期人员的考核；12、对绩效考核结果进行分析、总结，收集相关意见建议，对绩效管理相关资料进行存档；13、协助完成上级交办的其他临时性事务；任职要求：1、本科及以上学历，人力资源或管理类相关专业优先；2、具备2年及以上绩效管理工作经验，并有较强的招聘能力；3、熟悉各种绩效评价方法及绩效管理流程；4、熟练使用相关的办公软件，有较强的数据分析能力；5、具备良好的人际交往能力、组织协调能力、沟通能力及解决问题的能力；,"电商,消费生活",50-150人,数据分析,沈阳
策划总监,https://www.lagou.com/jobs/7108908.html,沈河区,3k-6k,沈阳市沈河区五爱市场聪好仼服饰商行,3-5年,本科,能者居上,"岗位职责：1、负责短视频平台的组织策划；2、依据方案内容写作短视频及直播内容的创意和脚本；3、参与项目创意策略讨论，提出合理化的创意观点；4、有服务服装品牌经验，可以写出创意主题里打动人心的文案；5、配合上级完成团队策划的日常管理工作。岗位要求：1、具备3年以上策划工作经验；2、良好的写作功底，过硬的文字驾驭能力 具有短视频及直播的编剧及脚本能力,网感好 ；3、具有发散型创意思维，善于独立思考，善于沟通，并具备良好的团队合作意识；4 熟悉市场推广、品牌策划、活动策划的整个流程。5、负责直播间节奏的场控，直播前准备与直播后数据分析、复盘。6、简历请附上你自己满意的作品。",电商、文娱丨内容,15-50人,数据分析,沈阳
地产策划专员,https://www.lagou.com/jobs/6771868.html,大东区,5k-6k,辽宁房小二信息科技有限公司,1年以下,本科,五险、年假、员工旅游,岗位职责：1、熟悉房地产市场的现状及趋势，了解房产营销流程及相关专业知识；2、收集相关市场信息，负责项目推广、市场调查和数据分析；  3、日常销售活动的执行及活动现场秩序的维护；4、广告及制作公司的沟通与对接任职要求：1、本科以上学历，房产、市场营销专业优先考虑；2、熟悉房地产市场的现状及趋势，了解房产营销流程及相关专业知识；3、沟通及协调能力强，善于维护与开发商及广告公司的关系；4、吃苦耐劳，对房产行业有炙热追求同时可接受灵活办公者优先考虑；5、学习能力强，有一定抗压能力；6、逻辑思维能力强，拥有严谨的思维能力和一定的市场经验。福利待遇：1、优秀部门基金、各类文娱活动、夏日旅游活动等；2、带薪假期：法定假日、丧假、婚假、产假、年假等；3、社会福利：养老保险、医疗保险、生育保险、失业保险、工伤保险等；4、发展空间：普通员工-项目主管-项目经理-部门经理-总经理；,文娱丨内容,150-500人,数据分析,沈阳
反欺诈产品经理,https://www.lagou.com/jobs/6853272.html,沈河区,10k-20k,辽宁振兴银行股份有限公司,3-5年,本科,五险一金、节日福利、自有食堂、年终奖金,"岗位职责：1、了解线上业务反欺诈决策流程和业务流程，设计通用性强、扩展性好的风控产品；2、和产品、运营、技术团队沟通协作，梳理反欺诈IT需求，实现反欺诈系统与业务系统交互；3、引入外部数据源，评估数据合作商质量，持续丰富数据维度；4、深入理解商业模式、业务及产品的方向和需求；5、参与构建公司数据分析与风控模型体系，参与研究和应用前沿知识与技术。任职资格：1、全日制本科及以上学历，经济、数学、统计、计算机、信息科学等相关专业；2、了解主流风险决策系统，对风险全流程管理系统熟悉，并有部署经验；3、2年及以上在消费金融产品流程涉及定、外部数据源管理的实践经验、具有科技开发经验；4、具有信用卡及互联网金融公司的风控系统建设经验优先；5、具备互联网思维, 工作积极主动、责任心和抗压能力强，有较好的沟通协调能力和团队合作精神。","移动互联网,金融",150-500人,数据分析,沈阳
