job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
测试工程师,https://www.lagou.com/jobs/6440283.html,东莞市市辖区,10k-15k,深圳市城市屋超科技有限公司,3-5年,本科,我们提供的不仅是一个职位，更是一次合作！,岗位职责：1.制定有效测试工作流程，制定项目测试总体规划；2.负责把控测试工作的进度，遇到问题能够及时制定可实施的解决方案；3.负责系统功能、兼容性、安全性、性能测试；4.编写测试计划、设计测试用例、测试数据；5.执行具体测试任务并确认测试结果，完成测试报告以及测试结果分析；6.合理、高效的对产品进行集成和回归测试用例设计和执行；7.对bug生命周期进行跟踪反馈；8.与研发等部门进行有效沟通，协助质量控制等工作。 任职要求：1.计算机相关专业，本科及以上学历；2.精通软件工程、软件测试理论和技术方法，熟知相关的测试流程、测试文档标准；3.熟练掌握测试工具，bug管理工具的使用，熟悉T-SQL语言；4.熟练掌握自动化测试，性能测试，具备编写自动化测试脚本能力；5.具有较强的沟通能力和文档编写能力；6.热爱软件测试工作，具备良好的逻辑思维能力、学习能力和质疑习惯，有良好的团队合作意识，有强烈的责任心和积极主动的工作态度，抗压能力强；7.善于沟通，乐于分享，与团队共同成长。,"消费生活,企业服务",150-500人,测试,东莞
测试工程师,https://www.lagou.com/jobs/7173183.html,东莞市市辖区,5k-7k,东莞市三基音响科技有限公司,1-3年,大专,垂直知识付费平台前景广阔,岗位职责1.对公司产品知识付费平台进行需求分析2..对公司产品知识付费平台进行竞品分析3.编写测试用例4.对系统进行单元测试5.对合作公司开发进度进行管理；6.落实需求开发进度跟进7.协助运营总监与合作方进行需求协调岗位要求1.专科以上计算机相关行业2.两年以上需求分析师或测试工程师经验3.精通需求管理方案，精通测试方法， 4.能够编写测试计划、测试用例、测试方案、测试报告及各类测试技术文档； 5.具有较强的逻辑分析能力、协调能力和抗压能力； 6.有代码阅读能力（js，html，php，python、java、c++等）熟悉Java或者Python语言，具有相关开发或测试经验优先,"企业服务,硬件",500-2000人,测试,东莞
测试工程师,https://www.lagou.com/jobs/6802483.html,东莞市市辖区,5k-10k,深圳市东宝信息技术有限公司东莞分公司,1-3年,大专,五险一金 全勤奖 项目奖金 年终奖,岗位职责： 1. 参与产品需求的评审，对产品需求缺陷提出改善建议，减少需求缺陷对开发资源的浪费； 2. 执行测试用例，提交执行过程中出现的BUG，并对BUG进行跟踪和回归测试；3. 跟踪产品/功能缺陷，，并与开发工程师讨论和确定缺陷的解决方案； 4. 分析测试结果，编写并提交测试报告；任职要求： 1. 精通软件测试工程的基本理论；2. 熟悉SQL，能进行基本的新增、修改、删除、查询等操作；3. 能独立完成测试用例的编写和执行；4. 具有良好的写作能力，能对缺陷发生的环境、情景、条件、影响进行清楚的文字描述；5. 具有良好逻辑思维和敏捷的洞察力，对问题的紧急度和影响度有准确的判断力；6. 有良好的沟通能力、学习力以及团队合作精神，能承受较强的工作压力。,"移动互联网,信息安全",150-500人,测试,东莞
软件测试工程师,https://www.lagou.com/jobs/7035170.html,东莞市市辖区,12k-20k,易宝软件科技（南京）有限公司,1-3年,本科,五险一金周末双休绩效奖金节日福利,技能要求：性能测试，自动化测试，功能测试岗位职责1. 根据产品规格和测试需求，编写测试方案、测试用例、测试脚本；2. 组织、执行产品的测试工作，帮助研发人员进行软件定位，协助解决问题；3. 对测试过程进行监控，完成集成测试、系统测试、回归测试等；4. 建立、跟踪、维护测试工作的相关文档。任职资格1. 全日制统招二本及以上学历（必要条件），从事软件开发或测试，工作两年以上；2. 可熟练根据软件设计需求制定测试计划，设计测试数据和测试用例；3. 熟悉主流测试工具，包括缺陷管理，测试管理，自动化测试工具等；4. 熟悉MySQL、linux系统，掌握Python、Java编程更佳；5. 掌握良好的测试理念、测试方法，具有良好的业务理解能力、交流、沟通能力，能够清晰准确的描述BUG；6. 有较好的协调能力，以及具有良好的团队意识和合作精神。,移动互联网,150-500人,测试,东莞
自动化测试开发工程师,https://www.lagou.com/jobs/7196713.html,东莞市市辖区,15k-30k,君师禾信息技术（上海）有限公司,不限,本科,福利待遇好,岗位职责：1、负责智能协作产品测试工程能力建设，包括自动化平台&脚本开发和维护、测试工具开发和维护、持续集成&验证工程能力建设、白灰盒测试能力建设等。2、负责智能协作产品和解决方案测试验证，包括自动化测试用例设计、自动化脚本开发和维护等。3、参与设计并根据业务持续优化自动化框架，保证自动化的效果，支撑测试用例的快速构建以支撑版本快速评估任职要求：1、熟悉计算机、网络、音视频通信基础知识2、熟悉至少一门主流编程语言，Python优先，Java、C#、C++/C均可；3、熟练掌握自动化测试开发、灰/白盒测试等方法，有测试工具开发经验优先,信息安全,15-50人,测试,东莞
软件测试开发工程师,https://www.lagou.com/jobs/7196781.html,东莞市市辖区,15k-30k,君师禾信息技术（上海）有限公司,不限,本科,福利待遇好,岗位职责：1、负责智能制造系统的测试需求分析、测试策略拟定、测试用例设计与测试自动化能力建设。2、按照安全要求，开展安全合规测试、渗透测试，以及对应的测试自动化实现，最终满足通用安全要求。专业知识与业务技能要求：1、熟悉web开发、Java开发或者Python开发，具备一定的编码能力与代码review能力；2、熟悉软件研发流程，具备软件敏捷开发实践、Devops等相关知识；3、有业界主流测试工具的使用经验，从事过1年以上的自动化测试工作；4、熟悉软件测试基本知识，对软件测试各阶段关键活动有较为深入的理解,信息安全,15-50人,测试,东莞
软件测试经理,https://www.lagou.com/jobs/6996805.html,东莞市市辖区,15k-20k,深圳市天瑞地安网络科技有限公司,不限,本科,五险一金，,职责岗位：1.参与项目需求、设计的评审，明确测试需求，推动可测试性需求落地；2.负责项目软件测试设计和测试用例实现业务技能要求：1、通信、计算机软件等相关专业，本科以上学历，2、了解音频、蓝牙终端类产品测试方法； 3、具备3年及以上实际的软件项目测试设计经验，全流程主导过产品/解决方案测试设计； 4、具备良好的沟通协调能力和团队合作精神、良好的学习、动手以及解决问题的能力。专业知识要求：1、计算机、通信、软件工程、网络等相关专业；2、熟悉软件测试方法和理论，如边界划分、白盒测试、黑盒测试、软件性能测试、软件可靠性测试等常用测试方法；,"移动互联网,电商",50-150人,测试,东莞
软件测试,https://www.lagou.com/jobs/7034414.html,东莞市市辖区,11k-22k,易宝软件科技（南京）有限公司,不限,本科,周末双休 五险一金 节假日福利,岗位职责1. 根据产品规格和测试需求，编写测试方案、测试用例、测试脚本；2. 组织、执行产品的测试工作，帮助研发人员进行软件定位，协助解决问题；3. 对测试过程进行监控，完成集成测试、系统测试、回归测试等；4. 建立、跟踪、维护测试工作的相关文档。任职资格1. 可熟练根据软件设计需求制定测试计划，设计测试数据和测试用例；2. 熟悉主流测试工具，包括缺陷管理，测试管理，自动化测试工具等；3. 熟悉MySQL、linux系统，掌握Python、Java编程更佳；4. 掌握良好的测试理念、测试方法，具有良好的业务理解能力、交流、沟通能力，能够清晰准确的描述BUG；5. 有较好的协调能力，以及具有良好的团队意识和合作精神。,移动互联网,150-500人,测试,东莞
软件测试工程师,https://www.lagou.com/jobs/6797424.html,东莞市市辖区,6k-10k,东莞市芝麻地网络科技有限公司,1-3年,大专,五险一金 带薪年假 周末双休 零食供应,岗位职责：1. 分析并能整理出产品的功能列表，写出规范的测试用例。2. 快速理解软件的功能逻辑，准确把握测试问题，并精准分析。3. 快速响应市场提出来的bug问题，并能懂得举一反三，具有多维度分析的能力。4. 对测试的问题提出优化改进方案。任职要求：1. 大专以上学历，计算机相关专业，3年以上互联网领域相关产品测试经验，有ERP测试经验的优先。2. 清晰的认识测试功能的优先级，工作中能把控测试的进度。3. 擅于总结和反思，并能针对测试的问题改进，提出优化的方案。4. 有浓厚的软件测试兴趣，并有强烈的分析思辨能力。5. 性格活泼，了解并洞察人性，擅于跨部门沟通并有着强烈的好奇心。6. 能独挡一面，有测试管理的能力，擅于组织并进行产品测试。公司的福利待遇：1、公司会根据员工的资历与能力提供具有市场竞争力的薪资待遇及不定期调薪；2、弹性工作，享有国家规定的法定节假日等假期，入职满一年享有带薪年假；3、入职购买五险一金，签订劳动合同；4、各类丰富的节日福利以及丰富的零食供应、下午茶等活动；5、作为高新技术企业，员工在入户、子女入学、政府人才保障房租赁等方面，享有优先权。,移动互联网,50-150人,测试,东莞
软件测试,https://www.lagou.com/jobs/6031736.html,东莞市市辖区,4k-7k,南京中创盎赛软件科技有限公司,不限,大专,长期稳定,岗位职责：1、进行相关软件测试工作（主要以手机软件测试为主）；2、根据业务情况协助或主导其它项目相关工作。3、提交Bug并跟踪Bug到解决状态；4、熟悉测试流程、测试方法以及测试用例的设计任职要求：1、大专以上学历2、对软件测试感兴趣，并愿意长期立足发展并有所突破3、能承受一定的压力，希望你足够聪明和努力，我们会提供良好的发展空间和平台4、耐心、细致、慎密的逻辑思维，有责任感，拥有较好的能力和技巧及团队合作精神,"移动互联网,人工智能",150-500人,测试,东莞
