job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
测试工程师,https://www.lagou.com/jobs/3704127.html,建邺区,6k-8k,北京凌云雀科技有限公司,1年以下,本科,"项目靠谱,资金充足,团队**,技术领先",【岗位职责】1、Review设计文档，提供feedback，撰写test plan2、设计高质量的测试用例，负责产品回归测试及新功能测试3、发现bug后能快速定位问题，并帮助开发解决问题4、和产品及开发团队紧密合作，实现产品快速迭代 【岗位要求】1、1年以上工作经验或者优秀的应届毕业生；2、熟悉软件测试理论，能独立完成新项目的完整的测试流程3、了解Agile软件开发测试流程，熟悉Scrum或XP方法论4、了解云服务及Docker相关知识5、工作稳定，能在一定的工作压力下工作6、计算机相关专业本科学历以上为佳,"数据服务,企业服务",150-500人,测试,南京
高级软件测试工程师,https://www.lagou.com/jobs/3324667.html,秦淮区,6k-12k,南京轩恩软件开发有限公司,3-5年,本科,"自主研发,气氛好",1.         参与产品需求分析以及功能设计，负责测试计划制定并实施，保证产品质量；2.         负责产品测试方案、测试用例的设计和执行，完成测试结果分析，并落实持续改进；3.         对测试中发现的问题进行分析和定位，与开发人员讨论解决方案；4.         掌握测试技术、测试工具和业务知识并对运维团队进行指导、培训；5.         自动化测试脚本编写，自动化环境日常维护等工作；6.         参与制定技术测试工作规章制度、测试流程及相关标准，上报上级主管后严格执行7、负责产品使用手册、安装手册，实施手册等的输出。 任职要求：1.     本科或以上学历，实际测试经验三年以上工作经验；2.      熟悉并掌握多种测试软件和测试方法、性能、安全等专项的实际测试经验；3、        具有较强的理解能力和沟通能力，有耐心，工作认真仔细，有责任心；4.         具有软件编程或软件脚本编写工作经验，至少精通一种脚本编码语言；5.         具备测试流程管理、缺陷管理能力。,"教育,数据服务",50-150人,测试,南京
测试工程师,https://www.lagou.com/jobs/3744665.html,玄武区,5k-10k,南京贝湾信息科技有限公司,1-3年,不限,"团队棒,个人成长快",关于扇贝团队：扇贝是国内知名的在线学习平台，已经拥有过亿用户，同时持续盈利。我们在分布式架构，自然语言处理等技术方面也有长期积累，结合精良的内容制作，能够为用户提供独特和优秀的产品服务。- 我们会有各种分享会，产品、设计、技术、运营、英语大家一起交流；- 我们有一个专门的活动室，工作之余可以与小伙伴一起健身、运动；- 我们每天提供下午茶；- 我们提供人体工程学座椅， 办公电脑是Mac。岗位职责：1、根据产品需求，准备测试方案、测试用例设计；2、根据需求和开发设计，编写接口、UI界面自动化测试脚本；3、手工或自动化执行测试用例，提交并跟踪缺陷，协助开发定位问题和解决问题；4、根据测试过程编写测试日报、测试报告，提交产品经理验收和项目经理结项；5、跟踪线上缺陷，推进线上问题解决任职要求：1. 熟悉常用移动端、WEB端测试技术，有较高的质量意识；2. 熟悉常用接口测试工具、可以独立搭建接口自动化测试平台加分；3. 熟悉Java、Python、Shell 中的一种或多种；4. 思路清晰，逻辑思维能力强，同时又较好的团队合作精神。,"移动互联网,教育",150-500人,测试,南京
测试工程师,https://www.lagou.com/jobs/6416392.html,江宁区,8k-13k,孩子王儿童用品股份有限公司,1-3年,本科,母婴行业独角兽、互联网氛围、晋升灵活,"职位描述：1、有erp，零售，电商的相关测试经验2、熟悉交易、促销、订单，商品进销调存等模块业务流程3、熟悉接口、服务，前端测试4、熟练sql,oracle，mysql等各种数据库的使用5、熟悉自动化工具或者压力测试6、熟练掌握服务和数据库搭建，熟练掌握linux命令7、能适应高强度的工作节奏，适应加班该岗位实际为：江苏创纪云网络科技有限公司  招聘。公司是五星控股集团下，和孩子王兄弟公司，在一个园区内办公。为线下新零售企业提供互联网系统软件和服务的合作伙伴。",消费生活,2000人以上,测试,南京
测试工程师,https://www.lagou.com/jobs/6935546.html,雨花台区,10k-20k,易宝软件科技（南京）有限公司,3-5年,本科,五险一金，绩效奖金，周末双休，节日福利,"熟练使用安卓客户端测试
 熟练使用IOS客户端测试
 熟练使用云侧服务器测试
 熟悉性能、自动化、功耗测试",移动互联网,150-500人,测试,南京
测试工程师,https://www.lagou.com/jobs/6888135.html,雨花台区,9k-12k,苏州博纳讯动软件有限公司,3-5年,本科,六险一金，年度旅游体检，补助，带薪培训,岗位职责：1、熟悉Linux（MacOS为佳）和主命令行；2、掌握python编程；3、至少了解一种自动化测试工具，如Selenium、AutoIT等；4、能独立根据需求编写测试用例，制定测试计划及测试方案；岗位要求：1、计算机或相关专业大专及以上学历；2、至少2年以上linux使用经验；3、有SQL和网络分析经验；4、四年以上工作经验；,"移动互联网,企业服务",150-500人,测试,南京
测试工程师,https://www.lagou.com/jobs/6507794.html,江宁区,5k-8k,北京中电广通技术服务有限公司,1-3年,本科,"五险一金,弹性工时,前沿技术,成长机会",岗位职责：1、负责公司各产品线产品的测试，按计划完成包括白盒测试（以及代码检查）、功能测试、集成测试、自动化测试等测试相关工作；2、阅读产品经理编写的《需求分析说明书》等产品开发的输入文档，充分与产品经理交流沟通，理解产品经理的思想，制定测试方案、测试计划，编写测试案例等相关文档；3、依据公司要求，制定和完善产品质量标准、优化测试过程、规范和工具、研究推行自动化测试；对各产品进行质量控制；4、积极主动落实公司和项目经理安排的各项任务。任职要求：1、计算机相关专业，统招本科及以上学历；2、具备高度的责任感和执行能力，能及时发现及处理项目中存在的问题并给出改进建议、确保项目顺利进行、保障项目质量；3、具备良好的沟通能力、团队协作能力，较强的学习能力和技术钻研能力及快速解决问题的能力；4、一年以上开发或测试工作经验，有白盒测试经验；5、熟悉LINUX系统，WINDOWS系统使用；熟悉shell/python/perl等一 种或多种脚本语言；熟悉Selenium、JMeter、Loadrunner等测试工具，熟悉JENKINS的管理使用；6、熟悉测试流程和规范，熟悉功能测试，性能测试，接口测试和单元测试等测试方法；7、有较好的理力，能够准确快速理解需求，撰写测试方案、测试用例、编写自动化测试脚本；8、对新技术有一定的敏感性，了解新技术的发展；公司提供1、各种内部分享活动，定期举办技术分享会2、员工生日会、团建活动，零食福利3、项目奖金、弹性工作、接触前沿技术4、全额缴纳五险一金，定期体检、带薪年休假,移动互联网,50-150人,测试,南京
测试工程师,https://www.lagou.com/jobs/6978369.html,雨花台区,8k-14k,北京南海中天科技有限公司,3-5年,本科,试用期享转正薪资,工作职责：负责服务端、web端或移动端产品的业务项目测试能够独立进行项目测试，编写测试用例，执行测试，编写测试报告负责项目进度和问题推进，能够对问题做简单分析、定位、跟踪问题单保证被测系统质量，提升测试质量和效率 任职要求：熟练掌握测试理论和测试技能数量使用Linux常用命令；熟练使用mysql数据库；有良好的沟通能力，逻辑思维能力，对工作有责任心，耐心，具有积极向上的心态,"电商,软件开发",50-150人,测试,南京
测试工程师,https://www.lagou.com/jobs/7104969.html,雨花台区,10k-13k,南京特望科技有限公司,3-5年,本科,福利完善,职位信息：1、根据公司产品或项目，制定测试计划，设计测试数据和测试用例；2、有效地执行测试用例，提交测试报告；3、准确地定位并跟踪问题，推动问题及时合理地解决；4、完成对产品或项目的集成测试与系统测试，对产品的软件功能、性能及其它方面的测试；5、负责软件版本发布工作；6、参与自动化测试工作。任职要求：1、 本科及以上学历，3年以上测试工作经验，通信类、电子类、计算机类、自动化等相关专业，大学英语四级以上；2、功能测试认真细致，接口和压测熟练，熟悉APP稳定性测试；3、数据库操作熟练；4、 逻辑思考能力强，思路清晰，思维缜密，工作细致、踏实，有责任心与时间观念；5、学习能力强，具有良好的表达能力和较强的沟通能力，坚持测试原则；6、 做过自动化测试脚本优先。,"移动互联网,社交",150-500人,测试,南京
测试工程师,https://www.lagou.com/jobs/6667986.html,雨花台区,8k-16k,武汉佰钧成技术有限责任公司,3-5年,不限,VIVO，高薪,一共4个岗位：功能测试：岗位一：1.有一定的android手机或App的测试经验及互联网审核相关工作经验 具备敏锐的风险洞察能力2.  熟悉互联网管控政策条例，具备应用审核和违规内容等业务管理经验3.  善于识别内容核心风险 产品逻辑风险及审核测试业务痛点 能够制定解决方案岗位二：1.丰富的android手机或App的测试经验，具备车联网或车机相关测试经验，熟悉车机相关安全及驾驶场景知识2. 具备独立主导软件测试策略制定，需求分析、测试用例编写能力，对功能和口碑体验结果负责；具备良好的品质管控意识；深度参与产品设计评审，主导软件可行性评估，风险评估和可测性，对产品功能、性能、系统安全和稳定性负责岗位三：1.计算机及相关专业毕业；开发或测试经验三年及以上；2. 有android 软件测试经验，熟悉软件测试流程及方法，思路清晰；3. 手机软件测试经验者优先，且有自动化测试经验者优先岗位四：1. 熟悉python开发，对 shell 有一定了解，有一定的编程经验；2. 熟悉Android手机，对Android手机自动化测试有一定了解，熟悉monkey；3. 熟悉脚本录制回放类自动化测试工具，对工具有二次开发经验者优先；4. 最好男生。,移动互联网,2000人以上,测试,南京
