job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
测试工程师,https://www.lagou.com/jobs/4320015.html,洪山区,10k-15k,北京金山办公软件股份有限公司,3-5年,本科,"六险一金,下午茶,团队氛围好,高额餐补",岗位职责：1、负责PC端 Office相关产品测试2、参与需求分析，制定测试方案，设计测试用例并执行，跟进问题处理3、推进项目顺利开展，评估项目风险，保障产品质量4、能编写测试脚本或测试工具，提高测试效率岗位要求：1、熟悉windows操作系统2、具有较强的分析定位问题能力，以及敏捷的思维能力3、具有良好的沟通能力，高度的责任心和主动性，以及自我学习能力4、有大型客户端软件测试经验者优先5、熟悉或掌握一至两种脚本语言（Ruby/Python/js），或有自动化测试经验者尤佳,移动互联网,2000人以上,测试,武汉
测试工程师,https://www.lagou.com/jobs/6939292.html,武昌区,10k-15k,神策网络科技（北京）有限公司,3-5年,本科,大数据行业，独角兽势头，重成长，团队好,工作职责：1. 负责数据应用产品的测试工作，协同产品经理、研发团队交付高质量的产品；2. 对产品质量问题进行跟踪分析和报告，推动测试中发现问题及时合理的解决；3. 完善研发过程中质量问题的发现机制，提升测试效率。岗位要求：1. 计算机相关专业，本科及以上学历；2. 具有 2 年以上大型项目测试经验，熟悉软件研发流程；3. 熟悉至少一种 BUG 追踪及持续集成工具的使用；4. 具有较强的业务分析能力，较好的沟通表达和综合协调能力；5. 做事积极主动，责任心强，有快速学习能力，对大数据方向感兴趣。,数据服务,150-500人,测试,武汉
测试工程师,https://www.lagou.com/jobs/4710986.html,洪山区,10k-15k,盈嘉互联（北京）科技有限公司,3-5年,本科,"五险一金,免费零食,技术提升,健康体检","岗位职责：1、参与项目或产品需求分析和评审，提出有价值的建议2、进行测试工具选型，负责公司研发产品的各项测试，并对结果负责3、编写测试方案、测试用例和测试数据4、搭建测试环境，执行测试之后输出测试报告5、测试领域新技术、方法的研究、应用与推广, 提升测试团队技术影响力6、积极总结测试经验，并在内部进行分享岗位要求：1、计算机相关专业本科及以上学历2、三年及以上测试工作经验，深刻了解软件测试知识体系，有编写测试方案的能力3、熟悉常用中间件、数据库和Linux操作系统，能独立在Linux环境下搭建测试环境4、学习能力强，有较强的分析和定位问题能力，沟通协调能力强5、具备一定的测试工具开发能力，能熟练使用python/java/c/c++ 其中至少一种语言6、有大型项目的测试经验者优先7、精通自动化测试或性能测试者优先","移动互联网,企业服务",50-150人,测试,武汉
测试工程师,https://www.lagou.com/jobs/2430290.html,东湖新技术开发区,8k-16k,武汉微派网络科技有限公司,1-3年,不限,"年底双薪,定期团建,用户量巨大",【职位描述】1、负责贪吃蛇大作战和会玩两款APP的测试： 功能完整性、系统性能、高可用性、前端界面用户体验以及兼容性等；设计模拟测试场景、测试报告汇总等日常测试工作，确保产品发布的质量；2、能够协助进行测试流程优化以及自动化，提供工作效率关注用户体验，对产品需求，交互进行质量评估。【职位要求】1、两年以上测试经验；2、熟悉常用的各种测试工具，如：测试管理工具、自动化测试工具、性能测试工具，且有项目应用经历；3、有存储平台(文件系统)测试经验，有自动化脚本（Bash、Python等脚本语言）开发经验者优先；4、良好沟通和团队协作能力，工作踏实，认真负责，能够承受较强压力。【加分项】1、有过测试框架或平台项目经验；2、有计算机背景；3、资深游戏玩家。,社交,150-500人,测试,武汉
测试工程师,https://www.lagou.com/jobs/4255807.html,洪山区,6k-12k,深圳羚羊极速科技有限公司,3-5年,本科,"五险一金,年终奖,期权,带薪年假",岗位职责：1、参与需求讨论，审核需求文档，挖掘测试需求；2、制定测试计划，编写测试方案、测试用例、测试报告等；3、根据测试需求搭建、维护测试环境；4、负责羚羊云产品后台相关的功能及性能测试工作；5、对产品质量进行总体分析评估，优化改进测试策略测试方法；职位要求：1、 本科及以上学历；2、 3年以上软件测试工作经验；3、 熟悉产品测试流程，能独立编写测试方案、测试用例；4、 有后台测试经验，熟悉linux操作系统，有性能及大并发测试经验；5、 熟练掌握JMeter、Wireshark、PostMan等工具；6、 工作积极主动，具有良好的沟通协调和抗压能力，能够独立负责项目测试工作。,移动互联网,150-500人,测试,武汉
测试工程师,https://www.lagou.com/jobs/6098023.html,武汉经济技术开发区,9k-14k,上海派拉软件股份有限公司,3-5年,本科,年终奖高，晋升空间大，扁平化管理,岗位职责1、理解产品需求并编写测试用例2、有效的执行测试用例，熟练运用Bug管理系统提交和跟踪Bug3、编写测试总结和测试相关文档岗位要求1、全日制统招本科及以上学历，计算机相关专业，3年及以上的软件测试工作经验2、热爱测试工作，具备良好的沟通能力和团队协作精神，工作积极主动，责任心强3、熟练功能测试、接口测试4、熟悉自动化测试优先5、有DevOps相关知识者优先6、熟悉开发语言（java、python、shell）者优先 【关于我们】1、丰厚奖金+各种补贴+弹性工作+五险一金+法定假期+商业保险+员工体检2、员工集体旅游/团建+优秀员工个人/家庭出国游+优秀达人出游+各种有的没的你想到的想不到的福利3、每年1-2次调薪+代码大神专业技能手把手培训+优秀人才股权激励+宽广的晋升空间4、读书会+马拉松+达人旅行团是我们的日常传统，CEO带着你一起冲刺马拉松。。。5、生日会+周年庆+丰富多彩的部门团建 PS：1、对，我们不打卡！不打卡！！不打卡！！！2、有且不仅有以上福利，而且是真的真的真的有~~~3、加入我们，每天与码农大神面对面，我们的团队都是大神，真的真的真的，都是都是都是~~~【了解我们】1、官网：http://www.paraview.cn/2、公众号：派拉软件,数据服务,150-500人,测试,武汉
测试工程师,https://www.lagou.com/jobs/7125643.html,东湖新技术开发区,15k-30k,武汉小药药医药科技有限公司,5-10年,本科,"带薪年假,节日福利,团队氛围好",岗位职责：1.参与产品的需求评审，根据项目需求制定测试用例范围和标准，并能提出风险点及关键性问题；2.制定测试计划，设计并执行测试用例，收集用户反馈，持续提高产品质量；3.项目测试中积极主动与产品、开发，测试内部进行有效沟通，优化测试流程及预警测试风险；4.对产品前端、接口、数据进行功能测试，进行有效的缺陷管理；5.协助测试内部其他成员定位问题，推进问题解决；任职要求：1.至少精通一种开发语言Python，Java等语言，编写过接口自动化或Web自动化；2.熟悉各种测试环境、工具的搭建和部署，有持续构建持续集成实际项目经验，熟悉Jenkins工具优先；3.有接口、数据测试经验，Jmeter熟练掌握优先；4.熟练使用Jira等Bug管理工具；5.从事测试工作5年以上，有电商系统、ERP系统、WMS系统测试相关工作背景优先考虑,医疗丨健康,2000人以上,测试,武汉
测试工程师,https://www.lagou.com/jobs/7029665.html,东湖新技术开发区,7k-12k,武汉木仓信息技术有限公司,3-5年,本科,专研技术的团队，晋升发展空间大,岗位职责：1、负责Android/IOS客户端产品质量保证，制定测试计划、测试方案，编写测试用例；2、独立完成项目测试工作，构建测试环境、设计和执行测试用例，进行缺陷跟踪分析和质量把控；3、提交测试报告。完整地记录测试结果，编写完整的测试报告等相关的技术文档；4、具备自动化测试能力，熟悉appium、selenium等自动化测试框架，能独立完成app性能测试等专项测试；  5、学习和研究测试领域的新框架或技术并加以利用；6、参与产品的设计、方案设计和可测性优化和技术改进。岗位要求：1、本科或以上学历，计算机软件、通讯相关专业优先；2、2年以上Android/IOS客户端测试经验，熟悉主流的移动测试工具和故障定位工具的使用方法； 3、对软件测试有浓厚的兴趣和丰富的经验，有很强的分析能力和定位问题的能力；4、掌握C++/Java/python/php等至少一种编程语言，掌握至少一种脚本语言；5、具有较强逻辑思维能力和表达能力。,汽车丨出行,150-500人,测试,武汉
测试工程师,https://www.lagou.com/jobs/7050675.html,东湖新技术开发区,10k-20k,武汉未来科技城人才企业发展服务有限公司,3-5年,本科,央企 大平台 福利好 稳定性高,1）熟悉数通各种协议（ISIS/OSPF/BGP等）和命令行配置2）熟练掌握手工测试或自动化测试经历者优先3）3年以上工作经验，特别优秀可以降低至2年4）熟悉数通各种应用场景（如IPRAN/数据中心/IP城域网等），有相关工程开通和故障排查经验优先5）有过SR/EVPN/SRV6/FLEXE等相关测试经验优先考虑,"移动互联网,企业服务",50-150人,测试,武汉
测试工程师,https://www.lagou.com/jobs/7059735.html,武昌区,6k-8k,湖北长江云新媒体集团有限公司,3-5年,本科,"节日福利,五险一金,车贴,餐补",岗位职责：1、负责开发支撑技术支持相关工作的各类工具平台；2、跟进客户，和客户一起解决项目过程中遇到的相关技术问题；3、问题分析/排查手册编写：项目过程中，对客户遇到的问题进行整理、分类，编写问题分析/排查手册；4、负责完成技术测试能力建设和测试工具开发等团队工作。任职资格：1、全日制本科及以上学历，软件工程类、电子信息类、计算机科学类等相关专业背景，三年及以上工作经验；2、熟练使用Linux操作系统，熟练掌握JAVA或PHP编程；了解C++（会patch各种开源项目）；了解以下语言：Python、C++、Golang（能hello world）；3、熟练使用LoadRunner、Jmeter等性能测试工具，具备丰富的技术/性能测试领域相关工作经验，具备体系化的测试思维及丰富的行业项目测试经验，对技术测试发展趋势有深入、独特的研究与实践；具备丰富的测试分析能力，能分析定位测试过程中的相关领域问题，并提供有效的解决方案；4、至少熟悉sql server、oracle、mysql等任一种数据库，会数据库的增删改查，备份、回滚等操作；熟悉其他数据库产品（Neo4j、JanusGraph、HBase、Pingcap等）的使用者优先；5、良好的沟通能力，服务客户的耐心，良好的分析问题和解决问题能力，文档编写能力；6、可接受短期出差。员工福利：1、五险一金，周末双休，国家法定节假日正常放假；2、工作满一年，即可享受带薪年假；3、每年定期身体检查；4、工会福利（生日蛋糕卡、电影票、节日福利等）；上班时间：周一至周五，8:30-17:30，中午休息2小时（夏令时间休息2.5小时），周末双休,"移动互联网,数据服务",150-500人,测试,武汉
