job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
测试工程师,https://www.lagou.com/jobs/7124636.html,金水区,3k-5k,河南元启网络科技有限公司,3-5年,大专,五险一金，弹性工作，节日福利,"岗位职责：1、制订测试计划，设计高效全面的测试需求或测试用例；2、根据产品经理的安排，按照测试用例和测试规范，开展测试工作，记录发现bug并推动问题解决；3、组织客户现场BETA测试工作的开展；4、测试流程及测试方法的不断优化创新，并在工作中推广应用；5、参与产品品牌维护工作：如社区维护，提单处理，重现客户反馈问题并推动产品优化。岗位要求：1、全日制大学本科及以上学历，计算机相关专业；2、熟悉产品测试流程、熟悉测试方案编写、测试用例设计，熟悉软件发布流程，对产品质量负责；3、掌握测试所需要的管理工具，熟悉以下至少3种以上工具或类似工具：JIRA 禅道，testlink，SVN,VSS,TD,Bugzilla等；4、掌握软件自动化测试原理或框架，能熟练编写自动化用例或脚本的为加分项；5、2年以上相关测试经验；有开发经验优先；6、工作严谨细致，高度责任心，有极强的定位问题的能力和团队合作精神。",移动互联网 电子商务,少于15人,测试,郑州
嵌入式测试,https://www.lagou.com/jobs/7159962.html,管城区,8k-9k,郑州科瑞思拓软件科技有限公司,3-5年,不限,双休、五险一金、节日福利、员工旅游,1. 统招本科及以上，计算机及相关专业。2. 具有5年以上嵌入式系统软件开发或测试经验，有物联网相关、车联网记录仪测试经验优先；岗位专业技能：1..熟悉嵌入式软件测试流程、软件测试理论和方法，能够熟练应用多种测试工具和自己开发测试程序；2.熟悉Linux系统常用指令；3..有自动化产品测试经验或嵌入式白盒测试经验，熟练掌握C、C++、shell脚本至少一种编程语言者优先考虑；4.熟悉CAN相关知识，熟练使用一种或多种CAN测试工具，如CANalyzer，CANoe，CANtest等；5.了解UDS诊断协议，对车辆电子电器基础架构了解者优先；,"移动互联网,旅游",50-150人,测试,郑州
测试工程师,https://www.lagou.com/jobs/6975459.html,中原区,2k-4k,郑州小桔大数据有限公司,应届毕业生,本科,共同成就你我,岗位职责】1、负责产品（Android、iOS、服务端）等测试工作，对产品的质量负责；2、根据产品需求设计测试方案及用例，并执行测试用例，及时汇报测试进度；3、制定测试计划，优化测试流程，对产品的缺陷进行评估，确定测试用例执行的优先级，输出测试报告；4、负责和产品开发等其他团队的沟通协作，推动项目顺利进展，并持续优化研发和测试流程，提高工作效率。任职要求】1、统招本科及以上学历，计算机相关专业，熟悉敏捷模式；2、掌握移动端（Android&iOS）应用或服务端的测试方法，善于发现问题及有一定的问题定位能力；3、熟悉至少一门开发或者脚本语言，如python、java等，并有一定的实际应用经验；4、有接口自动化/UI自动化/APP终端性能测试经验优先，有任一方面有经验均可5、有强大的自驱能力和追求卓越的心态，思维理解能力强，沟通顺畅，责任心强6、熟悉互联网金融产品或记账工具优先。福利待遇】l 五险l 核心团队成员均曾分别供职于知名互联网公司、跨国企业，你可以和大咖那里学到很多的知识经验；l 这里没有没有办公室政治，你完全可以等到下一个工作里再戴上面具；l 简单地说，这是一个工作扎实而环境单纯的公司，如果你的成长迅速，超越了我们的平台，那么我们也希望你在我们这里可以起跳，步入更好的轨道以后和我们一直做朋友。,"企业服务,不限",150-500人,测试,郑州
测试外包客户经理,https://www.lagou.com/jobs/6910279.html,高新区,10k-20k,河南八六三软件股份有限公司,1-3年,大专,周末双休、五险一金、带薪年假、餐补、交补,技能要求：软件行业，测试业务，大客户销售岗位职责：1.完成个人年度计划业务指标（到账额、利润率、合同额）；2.负责测评中心测试外包类客户的开拓、跟踪及维护；3.定期拜访客户，维护好客户关系，稳定与客户的良好合作关系；4.完成主管领导分配的其他日常性工作；任职要求：1.专科及以上学历，从事过软件相关行业业务至少一年以上经验，有电销、面销、网销经验的；有河南本地大客户资源者重点优先考虑；2.具备极强的市场开拓能力，有较好的创新能力，具备极强的商务谈判能力，3.具备一定的管理能力，具备较强的沟通能力及执行能力，责任心强；4.抗压能力强；5.具备处理突发事件的能力，灵活性强，学习能力强。,移动互联网,500-2000人,测试,郑州
软件测试工程师,https://www.lagou.com/jobs/7154081.html,航空港区,10k-15k,富泰华工业（深圳）有限公司,3-5年,本科,五险一金、绩效奖金、带薪休假、定期体检,岗位职责：1.系统软件质量保证；                                                   2.系统性能及功能测试；                                                              3.系统自动化测试。技能要求：1.工作经历：3年以上软件测试经验，有自动化测试工作经历者优先（Selenium+Python或java程序设计语言） ；                                     2.技能要求：(1).根据项目需求独立设计测试用例，组织和实施项目测试计划，对产品缺陷进行报告及跟踪，推动问题及时解决；(2).熟悉SQL基本语法，掌握常用数据库管理系统（MySql、Oracle等）基本操作；(3)熟悉一种性能测试工具（LR、Jmeter等），有性能测试及性能分析经验；(4).熟悉软件能测试基本理论、缺陷生命周期及测试管理工具，熟悉Web系统自动化测试，有自动化测试工作经历者优先（Selenium+Python或java程序设计语言；）(5)善于研究新技术，有独立判断力和主动学习意识，有团队合作意识。,"电商,数据服务",2000人以上,测试,郑州
高级测试工程师,https://www.lagou.com/jobs/6927749.html,高新区,13k-23k,中移在线服务有限公司,5-10年,本科,大平台 高起点 大牛同事,1、作为测试专家负责某一领域的整体质量规划、测试规划工作的开展；2、作为质量保障的领域专家，结合业界测试发展趋势，规划质量保障及版本测试的相关发展路径，并能够逐步进行落地；3、负责相关质量规划工作，落地部门质量管理相关工作。要求：教育：全日制大学本科及以上学历，计算机相关专业。技能：1、熟练使用jenkins、git、maven、eclipse等开发基础工具，对CI/CD与DevOp等基本理念有较为深入的理解和认知；2、具备质量管理能力，对质量管理体系有深入了解和认知，有过公司（部门）质量提升和质量优化的相关工作经验；3、承担过测试经理等工作，具备一定的测试管理能力，能够带领团队开展某一领域的测试和质量保障工作；4、对测试发展和业界先进的测试理念有较深入的认知，并具备逐步进行落地等规划能力。经验：五年级以上软件测试工作经验。,移动互联网,2000人以上,测试,郑州
初级测试工程师,https://www.lagou.com/jobs/7208834.html,高新区,4k-5k,广州市易杰数码科技有限公司,不限,大专,"企业好,平台好,福利好,项目好",（1） 计算机相关专业，大专及以上学历，一年以上软件相关工作经验；（2）熟悉软件工程、软件测试理论、方法和过程，掌握app、web测试方法和技能；（3）熟练掌握SQL语句及Linux基本命令；（4）熟练使用TestLink、Jira等测试管理工具；（5）能够根据软件相关文档独立设计与执行测试用例、分析测试结果、总结测试工作等；（6）工作责任心强，细致，耐心；抗压能力强，能够接受高强度工作；（7） 具有较好的沟通、分析能力，良好的团队合作精神；（8）能够适应加班。,"移动互联网,社交",150-500人,测试,郑州
软件测试主管,https://www.lagou.com/jobs/7170980.html,高新区,9k-15k,河南国超电子商务有限公司,3-5年,本科,稳定，工作时间灵活，年终奖,"岗位职责： 1.计算机相关专业，本科及以上学历，四年以上移动端软件测试工作经验，一年以上测试团队管理经验； 2.熟悉APP开发测试流程、掌握软件测试理论、方法和过程，熟练app、web测试方法和技能； 3.了解网络知识，对oracle、mysql数据库，SQL熟悉，且至少熟悉一种以上编程语言如：python、java等； 4.熟练使用测试常用工具，具备丰富的终端（Android/IOS）测试开发及性能调优经验； 5.会使用jmeter、loadrunner等常用接口、性能测试工具,掌握接口测试方法，做过性能测试、压力侧试，自动化测试，上岗后执行性能测试、自动化测试； 6.根据测试需求能独立搭建测试环境及环境联调工作，熟悉tomcat、nginx、redis等配置； 7.能够根据软件相关文档制定测试计划，设计与执行测试用例，收集分析测试结果，总结测试工作，输出测试报告等； 8.工作责任心强，细致，耐心，抗压能力强，能够接受高强度工作； 9.具有较好的沟通、分析能力，良好的团队合作精神；","文娱丨内容,社交",50-150人,测试,郑州
渗透测试,https://www.lagou.com/jobs/7080913.html,中原区,5k-10k,北京天融信网络安全技术有限公司,不限,不限,五险一金，带薪年假 ，各种补助,岗位职责 负责对公司相关系统的资产进行梳理，包括互联网、内网、公众号、小程序等资产信息的收集； 负责对各类安全设备告警进行简单的分析和处置； 负责对日常安全工作的总结报告梳理。工作内容 熟悉网络和系统安全加固配置； 计算机基础扎实，对网络攻击原理和攻击手法有基础认识； 熟悉渗透测试步骤、方法、流程，熟练使用常见的渗透测试工具； 能够落实安全设备上的安全策略； 具有较强的逻辑思维能力； 具有良好的团队合作意识，沟通表达能力； 熟悉windows或linux系统； 具备良好的Office文档能力。,信息安全,2000人以上,测试,郑州
性能测试工程师,https://www.lagou.com/jobs/7077459.html,高新区,10k-20k,中移在线服务有限公司,3-5年,本科,"六险两金,高福利,领导好,大平台",岗位职责1、负责web及app性能测试；2、负责项目性能测试方案的制定、测试实施、性能调优； 3、负责测试研究成果的推广应用及培训。任职要求1、计算机及其相关专业毕业，本科及以上学历；2、具有3年以上性能测试工作经验；  3、能够独立完成性能测试可行性分析、测试方案编写、测试工具及脚本调试、监控及结果分析、性能调优等工作；  4、至少熟悉一种语言（Java，Python，shell），至少熟悉一种数据库（Oracle、Mysql），掌握计算机网络，操作系统基础知识，了解MQ、es、kafka及redis等常见中间件； 5、至少精通Jmeter、Loadrunner的一种及其它性能测试技术。6、有良好的逻辑分析能力、沟通能力、快速学习能力，有责任感，主动性强，良好的团队合作精神。,移动互联网,2000人以上,测试,郑州
