job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
测试工程师,https://www.lagou.com/jobs/6962504.html,渝北区,6k-10k,缺月智能科技（上海）有限公司,3-5年,本科,氛围好，老板nice，福利有保障,"岗位职责：1、参与软件需求、研发设计的相关讨论,从测试角度帮助提升产品功能性、使用性及产品质量;2、负责编写软件测试计划,测试详细用例以及测试用例的执行，并按照要求发布测试报告;3、对测试中发现的问题进行详细分析和准确定位，与开发人员讨论缺陷解决方案；4、总结测试过程中的问题,总结版本历史和遗留问题,为以后的测试提供关键依据;5、负责自动化用例的设计和实现，负责产品的性能测试；6、提出对产品的进一步改进的建议，并评估改进方案是否合理；7、对测试结果进行总结与统计分析，对测试进行跟踪，并提出反馈意见； 8、为业务部门提供相应技术支持，确保软件质量指标。 岗位要求：1、3年及以上测试开发经验，有移动端网页测试和Saas软件测试经验者优先；2、熟悉Linux操作系统，能够部署测试环境；3、能够编写逻辑严密的测试用例，分析测试结果和输出测试报告；4、熟练使用主流自动化测试工具和框架，如Selenium,Postman,Jmeter 等5、至少精通1个自动化测试脚本编码语言，比如Python、Java等；6、具有较强的业务分析能力，较好的沟通表达和综合协调能力；7、有白盒测试经验和有测试工具开发经验的优先；8、有接口测试经验，且搭建过接口测试平台及相关框架的优先；","人工智能,物联网",15-50人,测试,重庆
测试工程师,https://www.lagou.com/jobs/7169914.html,渝北区,8k-12k,恒拓开源信息科技股份有限公司广州分公司,3-5年,不限,六险一金,必须满足的条件：1.大专以上学历，计算机或通信相关专业；2.优先有车机测试经验的，或APP的累计测试经验，不低于2年的其他3.有强烈的责任心和积极主动承担任务的品质者优先；4.有安卓和app性能测试和压力测试经验者优先；5.车联网方向、语音方向、音乐方向、导航方向优先；6.熟悉测试流程，并可以对测试流程提出改进者优先；备注：本职位是外派到腾讯旗下的公司，单休，介意慎投,"企业服务,数据服务",500-2000人,测试,重庆
测试工程师,https://www.lagou.com/jobs/7164517.html,渝中区,6k-12k,重庆商社电子商务有限公司,3-5年,本科,五险一金 前景可期,（一）岗位职责   1、独立负责项目系统的测试；建立并优化测试过程，提升测试效率和产品质量；    2、分配和执行测试任务并进行缺陷跟踪；    3、收集关于项目质量的信息，把控质量和风险； 4、负责参与产品测试评估，编写测试报告及评审，跟进项目上线后的问题反馈，推动问题合理解決。   （二）任职要求 1、熟悉软件工程知识，熟悉软件测试方法和流程；具备独立编写测试方案、测试计划、测试用例及测试报告能力；  2、能对负责模块、项目的Bug进行分析、定位，及潜在的Bug趋势进行预测；   3、熟悉网页结构，熟悉HTTP；   4、熟悉多种常用测试工具的使用，如 Postman、 Fiddler、Jmeter等；   5、熟悉Mysql，熟悉多种select语句来应对复杂性业务的查询；   6、熟悉 Selenium、 Python脚本语言优先；   7、具有良好的学习能力，组织、协调和沟通能力，有高度的责任心，能够承受较大的工作压力；,电商,50-150人,测试,重庆
测试工程师,https://www.lagou.com/jobs/6799939.html,渝北区,10k-20k,北京梧桐车联科技有限责任公司,3-5年,本科,五险一金 弹性办公,"岗位职责：1. 跟进分析车联网业务的需求、项目进展、外部合作方式，制定相应外场的测试方案、测试计划、质量目标，并且设计与项目相匹配的外场测试方法来保证项目质量目标； 2. 根据外场测试规程、测试用例进行测试，记录测试结果，跟踪验证故障的解决情况，并输出测试报告；3. 提交测试发现的bug并对bug进行定位分析；4. 并且帮助产品从功能,性能,稳定性以及专项质量和效率等方面进行提升；岗位要求：1. 计算机或汽车电子相关本科以上学历，3年以上工作经验2. 具有娱乐车机测试经验，熟悉车机的各项性能指标3. 能够熟练使用常见的BUG管理工具4.有用户体验测试经验者优先；5.有车厂测试经验者优先；6. 了解汽车总线及协议者优先考虑。7. 能够熟练驾驶汽车。8. 吃苦耐劳，能够适应互联网公司和汽车厂家工作节奏。9. 具备良好的沟通能力、协调能力、团队合作能力，定位&深入分析问题能力，强烈的责任心、团队感、积极主动的工作态度；加分项：1、男、会开车、有驾照、出差、加班；2、有车机、语音、导航、地图其一经验即可推荐","硬件,人工智能",150-500人,测试,重庆
测试工程师,https://www.lagou.com/jobs/6707144.html,渝北区,6k-11k,中盈立信（北京）科技有限公司,3-5年,本科,带薪年假，五险一金，六日双休,接受外包1. 计算机，软件工程或汽车电子相关专科及以上学历，2年以上测试工作经验2. 1年以上项目测试管理或开发经验，能制定测试计划、测试策略、用例设计、执行并质量跟踪3. 搭建和维护测试环境，进行台架、实车功能测试；按时保质保量完成测试工作，提交测试报告及Buglist。具备正规公司的软件测试流程和开发流程经验。4. 有车载娱乐系统测试、导航、语音识别、蓝牙、TBOX、TCU、CAN诊断或手机、APP等相关测试经验最佳，在探索性、兼容性、性能测试对BUG有较高的敏感度。5. 勤奋好学，踏实上进，积极主动、动手能力强，能够适应互联网公司和汽车厂家工作节奏。6. 具备良好的沟通能力、协调能力、团队合作能力，定位&深入分析问题能力，强烈的责任心、团队感、积极主动的工作态度；,软件开发,50-150人,测试,重庆
测试工程师(J11171),https://www.lagou.com/jobs/6884164.html,渝北区,8k-10k,朗新科技股份有限公司,1-3年,本科,技术先进 团队有活力 年终奖丰厚,,"移动互联网,企业服务",2000人以上,测试,重庆
测试工程师-重庆(J10469),https://www.lagou.com/jobs/7191927.html,渝中区,6k-8k,成都数联铭品科技有限公司,1-3年,本科,团队氛围好 成长空间 大数据领域,驻重庆银行工作职责:,数据服务,500-2000人,测试,重庆
测试工程师,https://www.lagou.com/jobs/7027963.html,渝北区,10k-20k,北京梧桐车联科技有限责任公司,应届毕业生,本科,福利待遇好，发展前景好,岗位职责：1、参与梧桐车联相关产品的研发与测试过程； 2、参与产品需求、功能设计、产品可测性设计与反馈，致力于提高产品的技术可靠性和用户体验。 任职要求：1、统招本科及以上学历，2020年、2021年毕业生，计算机相关专业优先；2、有android 开发经历或软件测试理论基础；3、有移动互联网测试经验，有自动化或白盒测试实习经验优先考虑； 4、 态度积极向上，责任心强，有较强的学习能力，能快速学习和掌握新技术并应用于实际项目中；5、具有较强的分析问题和解决问题的能力，能承受工作压力；6、对车联网相关领域有浓厚兴趣。,"硬件,人工智能",150-500人,测试,重庆
高级测试工程师,https://www.lagou.com/jobs/6743571.html,渝北区,10k-18k,马上消费金融股份有限公司,不限,不限,带薪年假,职责：1、根据产品规范编写测试计划，设计测试数据和测试用例；2、实施软件测试，并对软件问题进行跟踪分析和报告，推动测试中发现问题及时合理地解决；3、完成对产品的集成测试与系统测试，对产品的功能、性能及其他方面的测试负责；4、使用主流自动化测试工具与框架，搭建自动化测试环境，编制脚本进行功能或性能自动化测试；精通掌握至少一门脚本语言，并对该脚本语言进行自动化API提取和封装5、提出对软件的进一步改进的要求并评估改进方案是否合理；6、参与了解需求和设计文档，确定接口测试开发计划；7、分析需求制定测试研发方案，撰写相关测试接口文档；要求：1、学历要求: 本科以上学历；电子、计算机或相关专业，；2、经验要求:具有5年及以上测试经验，其中负责接口测试经验不低于3年3、技能要求:（1）有自动化接口测试方面经验，有设计、编码经验者优先（2）熟悉Java技术、J2EE技术、熟悉Spring、熟悉Junit、Maven等（3）熟悉Linux环境和操作和熟悉数据库Oracle或者Mysql操作（4）熟练使用QTP等自动化测试工具、熟练使用loadrunner等压力测试工具4、通用要求：（1）有较强的逻辑思维能力、分析能力和定位问题的能力；（2）有较强的学习能力和技术钻研能力，良好的沟通能力，善于团队合作；（3）对软件测试和软件工程有较好的理解，能承担一定压力，多任务并行能力强；,"金融,移动互联网",2000人以上,测试,重庆
测试主管,https://www.lagou.com/jobs/7119025.html,南岸区,5k-10k,重庆康洲大数据有限公司,3-5年,大专,周末双休、节日福利、五险一金,岗位职责：１、负责测试团队的工作安排，管理测试团队，负责完成公司WEB、APP产品功能测试、性能测试，自动化测试，为公司的产品提供质量保证；2、带领测试团队根据产品需求设计测试方案、编写测试用例、编写测试脚本，搭建性能测试环境、自动化测试环境，执行测试用例、管理缺陷跟踪、编写测试报告；3、负责测试团队日常管理：包括但不限于人员管理、技术管理、资源管理、团队培训；4、培训测试团队技能，提高测试效率和质量。任职要求：1、具有3年以上的软件测试经验（包含1年以上的测试团队管理经验）；2、熟悉软件测试理论和方法，熟悉软件测试流程和测试过程管理；具备扎实的软件测试技术知识和经验，如自动化测试，功能测试，集成测试，兼容性测试、稳定性测试等；3、能够编写合理测试计划、设计高质量测试用例，能够良好执行测试计划、编写测试缺陷报告，熟悉常用的缺陷管理工具；4、对Web和APP产品的功能测试方面有丰富经验；熟悉自动化测试、性能测试及相关的测试工具；5、良好的沟通协调能力和团队合作意识，能够主动总结和分享自己的测试经验；6、沟通能力、协调能力良好，执行力强、工作细致、有责任心、工作主动性强。,"移动互联网,医疗丨健康",150-500人,测试,重庆
