job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
36603-高级测试工程师（腾讯云全资子公司）,https://www.lagou.com/jobs/6931087.html,岳麓区,12k-20k,腾讯科技（深圳）有限公司,3-5年,不限,平台大，发展快，待遇好，福利棒,测试工程师 岗位职责： 1、负责腾讯云安全合规产品的测试工作，分析系统相关需求、设计、架构等，设计测试方法和测试用例； 2、挖掘并跟进实施性能、稳定性、可靠性等专项测试，保障和提升产品质量； 3、跟进建设云安全合规平台产品相关的自动化测试以及测试工具开发，提升测试效率。 岗位要求： 1、计算机或软件相关专业，本科及以上学历，具备扎实的计算机和软件技术基础； 2、两年以上软件开发经验，能熟悉掌握和运用golang/python/php等任何一门主流编程语言，有后台开发经验者优先； 3、在测试自动化、持续集成、静态分析、开发调试工具、框架设计和分布式系统等领域中，有涉及到一项或多项相关的实践经验； 4、在项目管理、配置管理、CI/CD、devops、workflow等一到多个领域有实践及推动经验者优先； 5、热爱学习，具有自我持续优化的驱动力，熟悉docker、K8s、cloudnative、微服务并有实践者更佳。 6、具备良好的团队合作精神，善于协调沟通，具备较强的问题定位和推动解决能力； 7、具备较强的抗压能力，能面对云计算的机遇与挑战，在较大压力下保持工作激情。,社交,2000人以上,测试,长沙
测试工程师,https://www.lagou.com/jobs/7066615.html,岳麓区,8k-12k,北京易观智库网络科技有限公司,1-3年,本科,技能培训、弹性工作、扁平管理、氛围融洽,岗位职责：1、根据软件需求分析需求，编写测试用例，设计测试数据。2、执行测试工作，确认结果，与开发人员一起定位并跟踪缺陷及时修复。3、在测试各环节与产品经理，开发团队沟通，推动各环节问题及时合理解决。4、对数据处理各环节进行正确性，有效性和完备性测试。5、编写软件测试内容各项总结文档。6、使用性能测试工具(Jmeter)进行性能测试。7、使用python基于Selenium编写自动化测试用例。任职要求：1、开放乐观，善于沟通，勇于承担。2、学习能力和执行能力强，善于分析与定位问题。3、熟悉软件测试流程，熟练掌握基本的测试方法。4、熟悉Linux，熟悉shell/python/Java 至少一种编程语言。5、熟练掌握SQL，了解presto基本操作。6、熟练掌握Jmeter工具。7、了解大数据平台和hadoop相关组件优先。8、有Selenium自动化测试开发经历优先。9、有接口自动化测试经历优先。,"移动互联网,数据服务",150-500人,测试,长沙
测试工程师,https://www.lagou.com/jobs/6599122.html,岳麓区,8k-12k,深圳市联软科技股份有限公司,1-3年,本科,"五险一金,带薪年假,月度绩效",岗位职责：1、根据需求设计测试用例，并制定测试技术方案；2、独立执行测试方案和测试用例，准确定位并跟踪问题，跟踪缺陷解决过程，推动问题及时合理解决；3、完成对产品的测试，包括功能、性能可靠性及其它方面的测试；4、撰写系统业务配置手册、组织编写系统相关文档。岗位要求：1、 计算机或信息安全相关专业本科及以上学历；2、 两年及以上开发或测试工作经验，熟练掌握各种测试理论和测试技术，有安全渗透测试、自动化测试经验优先。3、 网络基础扎实，熟悉TCPIP协议，二层转发和三层路由的原理， 熟悉windows和linux操作系统，熟练使用SQL语句；4、 诚信，责任心强，具有较强的团队意识与良好的沟通能力。,信息安全,500-2000人,测试,长沙
测试工程师,https://www.lagou.com/jobs/7130040.html,岳麓区,8k-12k,上海巧房信息科技有限公司,1-3年,本科,五险一金，周末双休，扁平管理,岗位职责：,"移动互联网,企业服务",150-500人,测试,长沙
测试工程师,https://www.lagou.com/jobs/7137773.html,岳麓区,8k-15k,深圳市思迪信息技术股份有限公司,3-5年,不限,年底双薪，六险一金，免费体检，周末双休,人员要求：1、独立带领3-5人完成测试工作（包括需求评审、测试计划和方案的制定、测试文档的准备和评审、测试执行、测试报告的生成）；2、与项目相关人员就项目进度和问题进行沟通；3、根据项目需要，具备利用测试工具对产品进行功能测试和性能测试的能力；4、要求具有3年以上测试经验，2年以上app测试经验，1年以上管理经验，熟悉软件测试基本理论、流程和方法；5、有券商行业测试经验优先；6、具备良好的沟通能力，工作主动积极，有团队合作精神。,"移动互联网,金融",500-2000人,测试,长沙
渗透测试（长沙）,https://www.lagou.com/jobs/7109727.html,天心区,10k-18k,杭州安恒信息技术股份有限公司,3-5年,本科,五险一金 带薪年假 国内外旅游,"岗位要求：1.参与渗透测试、安全加固、应急响应等安全服务实施工作；2.对Web应用、APP应用、数据库、主机等进行安全评估，并给出解决方案；3.负责安全攻防渗透相关技术研究；任职要求：1.具备良好的职业道德，具备良好的团队合作精神，自学能力；2.熟悉渗透测试的步骤、方法、流程、熟练掌握各种渗透测试工具的使用；3.熟悉常见的Web代码,熟悉SQL注入、XSS等常见的安全漏洞的评估方法、利用及修复。4.熟悉常见的主机系统和网络的攻击、防御方法、网络渗透技术；5.良好的语言表达能力、文档编写能力。6.熟悉内网渗透；7.具备良好合作态度及团队精神、学习能力、沟通能力，并富有工作激情、创新欲望和责任感。8.有CTF比赛经验，并获得名次（加分项）；9.有CISP、CISSP等证书（加分项）。","信息安全,数据服务",500-2000人,测试,长沙
高级测试工程师(J10098),https://www.lagou.com/jobs/7027908.html,岳麓区,10k-15k,深圳华锐金融技术股份有限公司,3-5年,本科,有广阔的发展空间，极强的战斗团队,,"移动互联网,金融",150-500人,测试,长沙
测试工程师(J10097),https://www.lagou.com/jobs/7027761.html,岳麓区,6k-12k,深圳华锐金融技术股份有限公司,3-5年,本科,有广阔的发展空间，极强的战斗团队,,"移动互联网,金融",150-500人,测试,长沙
测试主管,https://www.lagou.com/jobs/6904409.html,岳麓区,8k-15k,深圳市中兴新云服务有限公司,不限,本科,发展前景好、有竞争力薪资、团队氛围好,"【岗位职责】1、制定测试工作计划，包括人员安排、进度、使用的软硬件环境、测试的流程等；2、带领团队内的测试工程师，执行所负责模块的测试计划，跟踪并报告测试计划的执行进度；3、负责测试用例质量，开发高效的测试用例，保证软件质量指标；4、对所负责团队内的人员进行绩效考核管理，培养团队成员成长。5、分析用户的需求和推荐适当的硬件。【任职条件】1、4年以上APP/Web或android系统测试相关工作经验，1年以上团队管理经验；2、精通测试理论、测试策略、测试用例设计方法等相关测试技术；3、熟悉WINDOWS、linux,能独立完成测试环境的搭建部署；4、熟练使用MySQL或ORACLE数据库的常用操作,了解MongoDB、Redis的常用操作；5、熟悉使用至少一种语言，如java、Python、Ruby、shell等；6、熟悉Tomcat、Redis、Nginx等中间件分布式技术；7、熟练使用Jmeter或LoadRunner等性能测试工具,有大型web系统架构性能测试及性能分析调优经验者优先；8、有接口测试（SoapUI、TestNG、Junit、Jmter）、App自动化测试（Appium、Robotium）、安全测试经验者优先；9、具有较强的分析判断能力及逻辑思维能力，善于沟通、责任心强、敢于担当，抗压性强，有较强的团队合作能力。","移动互联网,企业服务",50-150人,测试,长沙
资深测试工程师,https://www.lagou.com/jobs/7177559.html,岳麓区,14k-25k,湖南兴盛优选电子商务有限公司,5-10年,不限,绩效奖金,工作职责：1. 参与业务的产品、技术方案评审，负责测试方案设计与相关业务的测试工作2. 协同开发者确保项目保质保量上线3. 负责提升项目组或协同部门提升工作效率；开展相关自动化测试工具或平台的工作，产出正向收益4. 协同上级，指导测试工程师的工作开展与能力建设岗位要求：1. 至少5年实际的中大型项目的测试经验，且在电商/支付/物流/供应链等有相关的项目经验2. 掌握各种测试流程和测试方法。对测试或软件质量领域的技术与发展，有一定的前瞻性和理解深度3. 了解数据库如 Oracle、MySQL、Redis 等，对常见技术特点熟悉4. 熟悉 TCP/IP 协议簇，如 HTTP、TCP 等协议，对接口测试有项目经验5.了解*nix系统常用的核心指令6. 熟悉面向对象编程设计思想，具备对开发设计方案评审的能力。了解Java 或 Python语言，并可开展一定的测试开发工作7. 对常用技术的中间件有了解，如 Redis、MQ、ES 等8. 有中大型项目经验，对分布式集群项目有一定的理解与实际的测试经验9. 态度端正，有主人翁精神。有强执行力、自驱力和较强学习能力团队介绍：测试部成员现近 50 名，核心成员来自一线企业，如腾讯、阿里、华为、唯品会等。组织结构现分为业务功能组、性能组。 部门有较完备的流程、管理与技术能力，有较好的组织结构，测试领域所涉及技术与理念均在业界前沿，日常有开展各类学习分享、培训与指导。,电商,2000人以上,测试,长沙
