job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
机器视觉算法工程师,https://www.lagou.com/jobs/7196806.html,东莞市市辖区,15k-30k,君师禾信息技术（上海）有限公司,不限,本科,福利待遇好,1.计算机视觉、控制类教育背景2.熟悉视觉算法，具有项目开发经验，算法包括：图像增强、分割、匹配、学习分类、3D检测与测量等；3.有计算机视觉系统开发项目经验4.C++/C#等主流编程语言精通其一；5.具有深度学习相关项目开发经历。,信息安全,15-50人,深度学习,东莞
后台工程师&amp;大数据工程师&amp;AI算法工程师,https://www.lagou.com/jobs/7079017.html,东莞市市辖区,15k-30k,华为技术有限公司,1-3年,本科,进一线厂商，大厂专业技术，薪酬体系憧憬,负责华为数通内外研发计算云业务开发，设计等工作1.要求熟练掌握java/python/c++/C；2.掌握常见的数据结构、算法，了解软件工程、敏捷开发等知识，熟悉常用设计模式3.熟练掌握人工智能、动态规划、计算几何、模式和图像识别、可视化建模相关算法，有相关经验者优先；4.具备良好的计算机、软件工程、通信等专业领域知识；5.华为&德科联合招聘，挂职外企德科，同德科签署劳动合同，在华为研究所办公，参与华为核心项目研发，待遇与华为岗位同等，五险一金均按照实际薪资缴纳，按绩效情况，1~4月的年终奖；（1-2年转靠华为）工作地点：东莞、南京、武汉,通讯电子,2000人以上,深度学习,东莞
算法软件开发工程师,https://www.lagou.com/jobs/7196603.html,东莞市市辖区,15k-30k,君师禾信息技术（上海）有限公司,不限,本科,福利待遇好,岗位职责：参与智能协作领域的音频、视频、多模态会议AI及 人机交互等创新技术的预研、算法开发及技术原型验证：1、 音频：基于传统方法及人工智能的语音增强、去混响、回声抵消、盲源分离、网络适应性、编解码等；2、 视频：基于传统方法及人工智能的图像增强、高清低码、内容分享、网络适应性、编解码优化加速等；3、 多模态会议AI：语音会控、声像匹配、声纹识别、会议摘要等智能协作语音；图像检测与识别、图像语义分割等智能协作图像；4、 大屏人机交互：基于红外屏、电容屏，触屏手势识别，主/被动笔的笔尖、笔帽、笔杆的识别；多指多手势识别。任职要求：1、 信号处理或者电子、通信、计算机等相关专业。2、 熟悉C 或 C++ 或JAVA(非Web)；3、 熟悉Linux操作系统，并能够在其上进行C/C++/JAVA开发；或者安卓上开发JAVA；4、 熟悉语音信号处理、视频信号处理，智能语音、智能视频、AI、机器学习(python/matlab)、神经网络、大屏人机交互和ARM平台优化者优先,信息安全,15-50人,深度学习,东莞
算法工程师,https://www.lagou.com/jobs/6836066.html,东莞市市辖区,25k-50k,华为技术有限公司,不限,本科,重视长期激励，工作环境优雅,【工作职责】1、负责可视化建模、图像识别、室内混合定位等核心算法设计与研发；2、主导可视化建模、图像识别、室内混合定位等子系统/模块分析、设计、开发工作。【任职要求】业务技能要求：1.从事算法研究3年以上相关工作经验；2.具备以下条件之一：（1）熟练掌握模式和图像识别、可视化建模相关算法；（2）掌握室内/外混合定位算法，具备室内/外定位相关经验。专业知识要求：1、精通JAVA/Python/C++/MATLAB，掌握常见的数据结构、算法，了解软件工程、敏捷开发等知识，熟悉常用设计模式；2、满足以下条件之一：（1）熟练掌握人工智能、动态规划、计算几何、模式和图像识别、可视化建模相关算法，有相关经验者优先；（2）熟悉室内/外定位算法原理，有室内/外定位算法实现或系统开发相关经验者优先。【工作地点】东莞/西安/北京,通讯电子,2000人以上,深度学习,东莞
演算法工程师（C#）,https://www.lagou.com/jobs/6898134.html,东莞市市辖区,15k-25k,广东思沃激光科技有限公司,3-5年,本科,岗位晋升、发展空间大、年终分红、带薪年假,职位描述：1、面向半导体和PCB制造应用的先进激光直接成像设备，设计和开发基于Windows平台的设备操控和图形数据转换软件；2、面向客户新需求，以及面向自动化和智能化的软件新功能设计和开发；3、持续维护、优化或重构现有软件系统架构；4、解决产品标准化、生产制造、工艺应用过程中涉及到的软件技术问题；5、协同软件测试工程师、工艺工程师完成软件测试验收工作。任职要求：1、本科及以上学历，软件工程、计算机相关专业方向，三年以上C#编程相关经验；2、精通C#、C/C++编程，具备多线程、Winform编程经验，熟练使用.NET开发平台；3、熟练掌握SQL Server数据库的开发和应用；4、熟练掌握TCP/IP、UDP通信协议及SOCKET编程技术；5、精通设计模式，掌握基本的软件架构设计思路；6、了解OpenCV、Halcon算法库，有图像处理、机器视觉经验者优先；7、有软件项目管理经验者优先。,其他,15-50人,深度学习,东莞
算法工程师（C++）,https://www.lagou.com/jobs/6901277.html,东莞市市辖区,15k-25k,广东思沃激光科技有限公司,3-5年,本科,"周末双休,五险一金,餐费补贴,全勤奖","职位描述：1、承担设计和开发基于Windows的客户端和服务端程序的工作；2、承担维护、优化或重构现有软件系统架构的工作；3、承担产品新功能设计、开发及测试工作；4、承担解决工作中关键问题和技术难题的工作；5、培训及带教员工，实施公司内技术辅导工作；6、具备创造性，撰写专利及相关技术文档工作。任职要求：1、本科及以上学历，计算机、数理或电子等相关专业，三年以上c++/c#编程及系统架构经验；2、具备一定的软件项目开发管理经验；3、具备scrum、agile software development 开发模式的能力；4、精通设计模式，掌握软件架构设计思路；5、掌握多进程、多线程、Component object model等相关技术并能熟练运用；6、熟悉掌握TCP/IP、UDP协议及SOCKET编程技术；7、熟悉基本的数据结构及算法，熟悉Template Metaprogramming,Standard Template Library、boost library 等；8、科学程序员方向（图像处理、机器视觉、机器学习、并行计算、计算机图形处理）。",其他,15-50人,深度学习,东莞
视觉算法工程师,https://www.lagou.com/jobs/7169729.html,东莞市市辖区,25k-35k,广东拓斯达科技股份有限公司,3-5年,不限,年终奖 项目奖金 带薪休假 包食宿,岗位职责：1. 负责AI视觉算法的研究、开发工作，支持产品落地；2. 负责优化现有算法，并跟进业界技术，对行业最新相关算法进行验证评估岗位要求：1，大学本科以上学历；2，计算机，电子信息，自动化，信号预处理，仪器仪表类专业；3，熟悉基本的图像处理算法原理，熟练C++或matlab编程,"物联网,电商",500-2000人,深度学习,东莞
视觉算法工程师,https://www.lagou.com/jobs/7170577.html,东莞市市辖区,20k-35k,广东拓斯达科技股份有限公司,1-3年,本科,包食宿，五险一金，股权激励，团队活动,岗位职责：1. 负责AI视觉算法的研究、开发工作，支持产品落地；2. 负责优化现有算法，并跟进业界技术，对行业最新相关算法进行验证评估1，大学本科以上学历；2，计算机，电子信息，自动化，信号预处理，仪器仪表类专业；3，熟悉基本的图像处理算法原理，熟练C++或matlab编程,"物联网,电商",500-2000人,深度学习,东莞
销售专员（工作地东莞）,https://www.lagou.com/jobs/6790525.html,东莞市市辖区,4k-8k,口碑（杭州）信息技术有限公司,不限,不限,新商业模式，阿里巴巴,岗位职责        1、阿里集团口碑的地面销售团队，负责对接所辖区域内的O2O商户，通过软硬件帮助商家进行新零售化升级；    2、根据公司下达的销售目标，针对不同商户制定相应的销售策略，通过个人、团队的努力，完成目标；    3、挖掘自身工作潜力，收集当地的市场信息、竞对信息，并收集客户对产品、运营、技术的需求，推动改进；    4、建立良好的客情关系，促进商家与阿里巴巴集团的深度合作，与阿里集团共享生态资源；    任职资格        1、大专以上学历，1年及以上O2O工作经验。    2、具备较强的学习能力和适应能力，适应互联网行业的快速发展。    3、热爱销售工作，善于挑战，有强烈的成功欲望和企图心，勇于挑战高薪。    4、为人正直、诚信、吃苦耐劳，对工作有激情，具有团队精神。    5、对互联网商业模式有思考和兴趣，有Saas产品销售运营\丽人\休娱\医美经验以及资源的优先。,"移动互联网,消费生活",2000人以上,深度学习,东莞
大客户销售（东莞）,https://www.lagou.com/jobs/6944802.html,东莞市市辖区,10k-20k,深圳易加油信息科技有限公司,1-3年,本科,补充商业险 一档社保 年终奖,薪资待遇：五险一金公司不定期组织旅游定期的团队outing体系化的成长培训岗位职责：1）主要从事加油站的拜访工作，通过各种渠道开发加油站资源，维护该地区合作油站关系，帮助油站提升销量，开拓新加油站合作；2）分析加油站的需求，总结分析加油站特征，负责该地区加油站端的易加油平台维护，包括系统上线、使用培训、协调解决系统异常等； 4）OPEN的企业文化，如果你有梦想，那这里是实现梦想的地方 任职要求：1）30岁以内，有一颗不满足现状，并明确目标的大心脏；2）大专以上学历，专业不限，3年以上直销商务经验；3）人品正、自律、自信、有担当、开朗大方、善于沟通、超强执行力4）快速适应高压力、高强度和快节奏的学习和工作5）必须有车有驾照，每月有车补我们是一家有温度的互联网企业，是行业前三，妥妥的行业独角兽，速度超级快的航母，没有道理停船靠岸来等你，所以……快点跳过来！跳过来！快点跳到我们船上来！我们坚信胜人者有力，自胜者强，如果你想挑战高薪，那就抓紧上船，一起驶向大海！,移动互联网,50-150人,深度学习,东莞
