job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
深度学习算法工程师,https://www.lagou.com/jobs/7042446.html,西湖区,15k-30k,杭州涂鸦信息技术有限公司,3-5年,本科,全额五险一金+丰厚年终奖,岗位职责：1.负责将训练完成的深度学习算法迁移到终端平台（移动端、设备端）2.开发和优化终端inference框架3.优化算子，负责完成特定平台的迁移过程中未实现的算子任职要求：1. 精通c/c++，精通算法与数据结构，熟悉python2. 具备较好的计算机体系结构背景和软件开发背景，熟悉arm neon指令及汇编优化，或者熟悉特定平台（海思NPU、昇腾）优化3. 了解计算机并行计算、异构计算4. 了解深度学习基本原理，熟悉神经网络基本架构和各layer计算方式，熟悉至少一种深度学习训练框架及其模型文件的解析，如caffe、tensorflow、pytorch5. 熟悉模型优化、量化优化、算子融合等相关优化手段6. 了解tvm的核心，对模型编译/IR设计/端上高性能代码生成有了解,"移动互联网,硬件",500-2000人,深度学习,杭州
AI算法工程师,https://www.lagou.com/jobs/5079402.html,西湖区,25k-40k,杭州涂鸦信息技术有限公司,5-10年,本科,"行业前景好,精英团队,技术一流",岗位职责：1、智能家居智能化应用的底层技术研究，如：深度学习，影像处理，自然语言处理等；2、从事智能家居领域文本挖掘、自然语言处理相关技术和方法的研发；3、关注人工智能深度学习大数据等业内前沿信息和发展方向，探索和创新相关技术并应用于智能家居。职位要求1、重点大学计算机、应用数学、自然语言处理或相关专业本科以上学历（硕士、博士优先）；2、具有深度学习、自然语言理解、文本挖掘、用户画像等相关领域的从业经历；3、熟练掌握常用的数据挖掘和机器学习算法（神经网络、逻辑回归、决策树等）；4、熟悉TensorFlow、Caffe、torch、Spark-ML等主流深度学习框架；5、具有良好的学习能力、业务问题分析和模型抽象能力；6、工作认真负责，有较强的沟通，有良好的创新意识；7、熟悉基本的数据结构，数值计算方法和算法；8、掌握Python，R，或Matlab中至少一种。,"移动互联网,硬件",500-2000人,深度学习,杭州
深度学习算法工程师,https://www.lagou.com/jobs/3988278.html,滨江区,20k-30k,杭州觅睿科技有限公司,3-5年,硕士,"大牛指点,高成长,舞台大,免息贷款","工作职责：负责计算机视觉相关的技术、系统、产品的研发工作，包括但不限于：深度学习技术应用、嵌入式视觉算法优化、人脸检测识别、图像分类、人体运动分析职位要求：-数学，计算机相关专业毕业-熟练掌握计算机视觉和图像处理基本算法-熟悉Caffe或者TensorFlow等深度学习框架-熟练掌握机器学习基本算法并有丰富的实践经验-熟练掌握C/C++和脚本语言编程(如Python, Shell等）-计算机视觉国际**会议期刊上发表论文、国际比赛获奖、及有相关专利者优先-编程、机器人、电子等比赛获奖者优先-有嵌入式编程经验和嵌入式算法优化经验者优先-熟悉海思NNIE架构者优先。","硬件,移动互联网",50-150人,深度学习,杭州
深度学习算法工程师,https://www.lagou.com/jobs/5556550.html,西湖区,16k-32k,虹软科技股份有限公司,1-3年,硕士,AI行业风口、技术成长快、,"岗位职责：1、图像处理和增强、图像拼接、基于图像的3D重建算法研究。2、深度学习项目深入研究，各种检测、特征定位、跟踪、识别、分类等相关算法研究。3、图形与三维重建；AR\SLAM算法研究。4、计算机视觉相关算法研究项目岗位要求：1、硕士及以上学历，图像处理、计算机视觉、模式识别相关专业研究方向；2. 熟悉当前流行的计算机视觉与模式分类理论以及常用的统计和学习方法：PCA、Boosting、SVM、Neural Net、Regression等；3. 熟悉常用特征提取方法：Haar、Gabor、LBP、SIFT、HOG等；深厚的数学功底与算法理论研究能力；4、精通C/C++；有2年以上图像处理和增强方面的独立研发能力及项目经验者优先；熟悉深度学习理论并有项目实践者优先；或发表过图像算法相关学术论文/专利者优先；5、至少精通其中一种嵌入式体系架构者（包括ARM,DSP,X86,MIPS，GPU，CUDA等），有图像算法优化经验优先；6、良好的团队协作能力，能够独立思考，善于创新，针对问题提出有效解决方案；7. 熟练的英文文献资料阅读能力；   8、工作认真负责，学习能力较强。","人工智能,物联网",500-2000人,深度学习,杭州
算法工程师,https://www.lagou.com/jobs/6563918.html,余杭区,20k-40k,杭州观远数据有限公司,3-5年,本科,牛人团队 成长空间 期权激励 独当一面,岗位描述：1、熟练掌握各种主流机器学习算法的基础上，分析不同的客户业务需求，针对场景特点，寻找并构建有效的行业解决方案； 2、对业界的机器学习算法应用有广泛了解并且能够跟踪最新进展； 3、针对行业机器学习相关方面的核心算法，进行研究工作； 4、承担模型开发与后续的迭代升级工作。 岗位要求：1、拥有计算机科学、统计或相关学科学位，或在大数据领域有工作经验； 2、在机器学习领域有3-5年研发经验并有项目落地；3、良好的沟通能力和团队合作精神，有一定的组织协调能力；4、Coding能力较强，主导过项目算法核心模块工程化实现优先； 5、有过零售、快销、鞋服类行业项目落地经验者优先。,"企业服务,数据服务",150-500人,深度学习,杭州
深度学习-算法工程师,https://www.lagou.com/jobs/6263521.html,余杭区,15k-30k,杭州宇泛智能科技有限公司,3-5年,硕士,美女多，六险一金，下午茶，春节假期长,岗位职责：1、跟进人脸/行人深度学习算法最新进展；2、负责图像检测、识别、跟踪等相关算法研究、设计、实现和优化；3、包括并不限于人脸/行人算法等研究方向；4、跟踪组内同学业务状态，汇总项目业务工作情况；任职要求：1、有良好的阅读文献能力和扎实的数学功底；2、至少熟悉Pytorch，Tensorflow，Caffe，Mxnet等常见深度学习框架中的一种；3、能够独立完成数据准备—训练网络—预测模型一整套流程；4、有人脸识别、物体检测、商品、手势识别工作或项目经验者优先；5、良好的团队合作和沟通能力，有独立完成项目或项目管理经验者优先。,"硬件,其他",150-500人,深度学习,杭州
AI音视频算法工程师(RM5K1),https://www.lagou.com/jobs/6994283.html,西湖区,20k-40k,杭州趣维科技有限公司,3-5年,硕士,"下午茶, 六险一金, 五险一金, 餐补",工作职责：1.负责基于深度学习的音频处理算法的开发：包括降噪、音频节拍检测等；2.将AI音视频算法上新技术应用到产品中；3.将所负责算法落地到产品端，特别是移动终端；任职资格：1. 数学、计算机、信号处理、电子工程等相关专业硕士及以上学历，3年以上相关工作经验；2. 熟悉数字信号处理、熟悉NS和VAD等语音信号处理的相关算法；了解语音信号特征及提取原理，熟悉声学模型训练；3. 深刻理解深度学习网络模型，熟练使用Tensorflow/Keras/ Kaldi等平台，有大规模语音系统训练经验者优先；4. 熟悉Linux开发环境，熟练使用Python，有一定的C/C++基础；5.有音频节拍检测方面项目经验者优先。,"移动互联网,文娱丨内容",150-500人,深度学习,杭州
Camera算法集成工程师（AI方向）,https://www.lagou.com/jobs/6940721.html,余杭区,30k-60k,北京字节跳动科技有限公司,3-5年,硕士,"六险一金,弹性工作,免费三餐,租房补贴",,文娱丨内容,2000人以上,深度学习,杭州
nlp算法工程师,https://www.lagou.com/jobs/6104838.html,拱墅区,20k-35k,大箴（杭州）科技有限公司,3-5年,本科,五险一金；15薪；弹性工作；扁平化管理,岗位描述：1、利用机器学习、深度学习及复杂网络等方法，分析及挖掘欺诈行为模式，开发高效的反欺诈识别算法；2、分析海量文本及时序位置数据，利用NLP及深度学习相关算法，实现相关风险的预测和预警；3、负责提供分布式的算法实现的解决方案，大幅提升算法计算规模和性能；岗位要求：岗位要求：1、统计、数学、计算机本科以上学历，3年以上数据挖掘相关的工作经验，熟悉常用的关系网络、数据挖掘和机器学习算法；2、扎实的编程基础，熟悉大数据开发的流程，并了解大规模机器学习算法开发；3、有强烈的责任心和数据安全意识，有团队沟通协作精神，吃苦耐劳，善于总结和分析；4、有反欺诈、深度语义理解、时序预测等相关工作经验的优先。,"人工智能,企业服务",50-150人,深度学习,杭州
深度学习/自然语言处理算法工程师,https://www.lagou.com/jobs/7176922.html,西湖区,20k-40k,深度好奇（北京）科技有限公司,不限,硕士,五险一金，年底13薪，周末双休，零食供应,深度好奇诚挚欢迎有志于NLP事业的各路人才加入我们。我们提供富有竞争力的薪酬及股权激励，相信我们能给的，一定对得起你的付出。工作职责：— 参与自然语言理解相关算法（深度学习和传统方法）的设计及应用，包括但不限于：多种类型和深度的文本解析、多轮对话和知识图谱构建等— 参与推理和决策相关算法的设计及应用，包括但不限于：匹配和预测模型、知识图谱上的推理等职位要求：— 熟悉机器学习基础理论和常用算法，有深度学习和强化学习经验者优先— 熟悉自然语言处理基础理论和常用算法，有信息抽取、机器翻译等经典任务相关项目经验者优先— 熟练掌握C/C++/python至少一种语言，熟悉tensorflow/pytorch/mxnet等优先— 动手能力强，可以快速实现想法,"企业服务,数据服务",15-50人,深度学习,杭州
深度学习-视觉算法工程师,https://www.lagou.com/jobs/7164297.html,滨江区,20k-30k,杭州觅睿科技有限公司,3-5年,本科,五险一金，带薪休假，晋升空间，免费零食,"工作职责：1.负责将训练完成的深度学习算法迁移到终端平台（移动端、设备端）2.开发和优化终端inference框架3.优化算子，负责完成特定平台的迁移过程中未实现的算子职位要求：-数学，计算机相关专业毕业-熟练掌握计算机视觉和图像处理基本算法-熟悉Caffe、Pytorch, TensorFlow等深度学习框架- 熟悉arm neon指令及汇编优化，熟悉海思NNIE架构及其API接口-了解深度学习基本原理，熟悉神经网络基本架构和各layer计算方式，熟悉至少一种深度学习训练框架及其模型文件的解析，如caffe、tensorflow、pytorch-熟悉模型优化、量化优化、算子融合等相关优化手段","硬件,移动互联网",50-150人,深度学习,杭州
算法工程师（深度学习）,https://www.lagou.com/jobs/5531288.html,西湖区,18k-32k,杭州火烧云科技有限公司,3-5年,本科,"大平台,学习空间大,年终奖","岗位：图像算法工程师工作职责：1.负责计算机视觉、图形学等相关图像算法的研究与实现2.负责智能修图的图像处理和增强：渲染、滤波、形变、锐化、颜色校准、降噪去雾、曝光矫正、高光去除、清晰度增强等3.实现通用修图软件(PS,LR, AE等)的图像处理功能，增强和矫正深度学习生成的图片。4.参与图像生成和风格迁移相关的深度学习算法研发。任职要求:1.有丰富的图形图像处理、图像分析经验。2.较强的算法实现能力，掌握C/C++、java、python，熟悉Opencv、OpenGL等图像处理框架，熟悉cuda编程。3.熟悉GLANN、GAN、SRGAN、cycleGAN、pix2pix、ResNet、VGG、DenseNet等图像生成对抗网络和图像深度学习模型, 有相关图像生成对抗网络建模经验者优先。4.优秀的文献阅读和文献查找能力（根据需求找到相关文献和算法），扎实的数学功底。",消费生活,500-2000人,深度学习,杭州
算法工程师,https://www.lagou.com/jobs/6901930.html,拱墅区,25k-40k,杭州装点文化创意有限公司,3-5年,本科,垂类电商 薪资福利好 业务空间巨大,岗位描述:1.负责玩物得志推荐系统、搜索投放系统、算法工程系统的设计和实现；2.负责相关技术的研究、推动团队的架构设计能力提升;3.持续对线上系统进行性能优化及稳定性提升任职要求:1.2年以上Java研发和软件设计经验；2.熟练掌握Java语言，熟悉高性能服务器的开发，熟练掌握多线程编程、异步编程模型等知识；3.熟悉java常用框架，熟悉rpc框架、消息中间件、缓存、大数据存储等常用技术；4.熟悉Spring/Mybatis或其他主流Java Web框架；5.有过搜索推荐系统开发经验优先，熟悉机器学习原理优先,"电商,移动互联网",150-500人,深度学习,杭州
算法工程师,https://www.lagou.com/jobs/7075076.html,余杭区,25k-40k,杭州邻汇网络科技有限公司,3-5年,本科,"五险一金(最高比例),福利优厚,期权",我们需要您:1、参与项目需求分析，新技术调研，按期完成指定系统的技术设计、开发工作；  2、负责用户、场地标签挖掘与画像体系构建  ；  3、按照产品需求开发场地推荐系统，场地/流量定价系统；  4、深入理解业务需求，精简业务流程，优化业务效果。   我们希望您:1、计算机或者相关专业本科及以上学历、3年以上工作经验 ；  2、熟练掌握python等编程语言与工具；熟悉Linux/Unix平台上的开发环境    ；3、熟悉数据挖掘、机器学习、自然语言处理、分布式计算技术，并具有完整的项目经验 ，掌握运筹优化加分；4、有较强的技术选型及规划能力、较好的沟通能力、积极主动，愿意接受挑战  ； 5、有房屋出租/酒店/机票等智能定价相关项目经验优先 ；6、有互联网广告/推荐/搜索等项目经验优先。,企业服务,150-500人,深度学习,杭州
算法工程师,https://www.lagou.com/jobs/6862649.html,余杭区,20k-40k,来未来科技（浙江）有限公司,3-5年,硕士,聚一群有情义的人做成有意义的事。,"职责描述：1、负责算法模型设计与开发。2、负责智能营销、销量预测、人货匹配等智能化解决方案的整体技术方案设计与交付等。3、负责商品匹配、会员标签挖掘等基础数据标签。4、负责NLP、图像、语音等基础算法模块建设。任职要求：1、研究生及以上学历，数学、统计、运筹等相关专业，有扎实的数理分析基础；2、熟悉机器学习、深度学习算法，有大规模数据分析、数据挖掘和建模经验，深入理解算法细节，能够熟练进行数学建模，有独立完整的建模实践经验；3、有招商选品、销量预测、智能定价、精准营销相关工作经验者优先；4、熟练掌握sql, 掌握python, java等编程语言，有大规模分布式计算框架开发经验，有基于TF、Caffe等深度学习算法开发经验或者相关研究背景的优先；5、积极主动，有技术热情、强烈的责任感、踏实勤奋的工作态度；有良好的沟通能力，跨团队协作能力，具备出色的规划、执行力；",企业服务,15-50人,深度学习,杭州
AI 音频算法工程师/专家-视频会议,https://www.lagou.com/jobs/6960242.html,余杭区,25k-50k,北京字节跳动科技有限公司,不限,本科,"六险一金,弹性工作,免费三餐,租房补贴",,文娱丨内容,2000人以上,深度学习,杭州
算法工程师,https://www.lagou.com/jobs/6966731.html,西湖区,20k-40k,杭州微拍堂文化创意有限公司,3-5年,硕士,独角兽企业,岗位职责要求： 1、熟悉机器学习和深度学习理论，熟悉概率论及数理统计，熟悉线性代数。 2、熟悉Python、Java、SQL等常用的编程语言，熟悉流行的机器学习框架如：Spark、TensorFlow等。 3、熟悉逻辑回归、XGBoost、深度学习等常见模型，并有实际调参经验。 4、熟悉搜索、推荐、广告的中的任意一种场景，熟悉CTR预估、各种推荐的召回策略、排序算法。 5、能快速阅读和理解当下流行或最新的论文。 6、具有NLP实践经验的优先。,"移动互联网,电商",500-2000人,深度学习,杭州
算法工程师,https://www.lagou.com/jobs/5702505.html,西湖区,20k-40k,杭州顶天网络有限公司,3-5年,硕士,技术牛，公司氛围好，奖金丰厚，福利多多,"工作内容： 1、负责参与区块链项目，进行加密算法、分布式算法、共识算法的研究；2、负责各类密码相关算法解读、编写；3、负责区块链底层算法的前瞻性预研，指导制定共识算法的设计与优化；4、参与相应项目模块的开发及文档编写。任职条件：1、算法、数学、密码等相关专业硕士及以上学历毕业；2、掌握扎实的数据结构和算法技术；3、技术能力扎实，能快速学习掌握新技术，有相关项目经验优先；4、具备分布式共识算法的设计和研发经验，有参与实现过相关算法等的优先；5、熟悉常见共识算法的原理（Paxos、RAFT、PBFT等）；6、熟悉至少一门编程语言(C/C++,Java,GO,python等)；7、有想法，有冲劲，有团队精神。","移动互联网,数据服务",50-150人,深度学习,杭州
算法工程师,https://www.lagou.com/jobs/7199112.html,余杭区,20k-25k,上海微创软件股份有限公司,3-5年,本科,五险一金、补充医疗保险、带薪年假、大平台,主要职责：1.参与智慧建筑数据中心的规划和研发，面向智慧建筑领域的投资、规划、成本、营造等业务领域进行数字化建模；2.分析梳理业务场景，结合实时计算和离线计算技术，进行数据分析和呈现；3.参与创新业务，结合数据挖掘、机器学习等技术辅助业务决策。岗位要求：1、在以下一个或多个领域有扎实的基础和3年以上相关工作经验：数据挖掘、机器学习、知识图谱；2、优秀的建模和数据挖掘能力与经验，熟悉常用机器学习算法；3、具备离线数据开发、或实时数据开发经验是加分项；,"企业服务,移动互联网",2000人以上,深度学习,杭州
算法工程师,https://www.lagou.com/jobs/6292101.html,西湖区,15k-30k,上海吸引子信息科技有限公司,不限,本科,五险一金 周末不加班 多种补贴,工作职责：1、负责公司的量化金融系统化工程，构建量化研究系统；2、负责公司金融产品的落地开发、以及其他后端开发和维护；3、参与后台系统架构的设计，核心模块的开发，明确设计需求。 任职要求：1、至少精通一门编程语言，熟悉Python优先；2、优秀的编码能力，有扎实的算法、数据结构功底；3、对代码和设计质量有严格要求，知道良好的编程习惯的标准；4、金融工程、程序设计、机器学习至少精通其一，多多益善；5、有自学能力和自我驱动力，喜欢研究，期待你成为专业内的大神。,金融,15-50人,深度学习,杭州
算法工程师,https://www.lagou.com/jobs/6847762.html,滨江区,15k-25k,杭州青枭科技有限公司,1-3年,硕士,五险一金、节日福利，国家规定节假日休假,岗位职责:1、负责深度学习算法的开发2、对深度学习有扎实的理论与实践基础。3、对已有算法进行优化改进，提高算法的精度和性能6、好的沟通能力与团队合作能力任职要求:1、 计算机、数学等相关专业2、3年相关工作经验3、熟悉linux开发，掌握常见的linux命令，精通python\shell\Matlab以及图像领域库4、熟练使用tensorflow、pytorch等框架5、熟悉OpenCV，特别是其中图像处理库、立体视觉库，有视频目标跟踪与识别项目实际开发经验者优先考虑；6、精通图像增强、目标定位和分割、边缘提取等基本图像处理算法；,移动互联网 硬件,少于15人,深度学习,杭州
算法工程师,https://www.lagou.com/jobs/7120049.html,余杭区,20k-40k,浙江学海教育科技有限公司,3-5年,本科,双休,职位描述：1、参与公司大数据行业应用项目的模块设计和调优工作；2、根据产品或项目的需求，进行业务建模和算法开发；3、积极跟踪业界开源的算法组件，学以致用；岗位要求：1、熟悉数理统计和数据建模方法，3年以上个性化推荐、画像、反诈等相关领域的实际经验；2. 具备优秀的编码能力，熟悉Python语言，精通常见的机器学习算法，掌握至少一个深度学习框架如TensorFlow，Pytorch等；3.掌握常规数据处理、数据清洗等技能，熟悉机器学习、自然语言处理、深度学习、统计学中一项或多项；4. 有比赛经验、相关科研论文者优先,教育,500-2000人,深度学习,杭州
