job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
算法工程师,https://www.lagou.com/jobs/5918007.html,浑南区,8k-12k,辽宁聚进科技有限公司,应届毕业生,硕士,福利全、绩效奖、项目奖、发展空间大,工作职责1、根据安排的研发项目与研究课题，熟悉相关业务和范围目标，制定相应的工作计划；2、根据研发项目与研究课题的需要，学习所涉及的业务、技术，并进行必要的现场调研、跟踪与学习；3、根据研发项目与研究课题的目标要求，设计相应的算法，并且和相关的业务人员、领导进行评审，确定算法的最终设计；4、根据算法的设计，进行算法的开发工作，遵守相应的编码规范及相关标准要求，完成自测；5、根据研发项目与研究课题的目标要求，结合算法的开发结果，主导、组织和推进算法在实际环境中的调试与测试、验证，并做好问题记录与总结分析，及时完善算法。任职资格1、 在读或应往届硕士研究生，数学类、计算机科学与技术、图形学、图像处理、信息工程、软件工程、自动控制等相关专业；2、具备扎实的算法和数据结构基础、较强的逻辑思维能力；3、具有一定的编程能力，精通Matlab等编程工具；4、在校期间有相关项目经验者优先。工作地点：沈阳/西安/鞍山均可,"移动互联网,企业服务",150-500人,深度学习,沈阳
学习管理师,https://www.lagou.com/jobs/5493828.html,皇姑区,4k-7k,沈阳大嘴教育科技有限公司,3-5年,本科,五险，同行业竞争力薪资，发展空间<,外交部学管师岗位职责: 1.负责外教学员学籍登记，学员档案整理，及时落实学员的课时安排及教师及教室分配； 2.负责对孩子教学进度的追踪及了解，对学生进行有效的指导和规定的辅导，做好对孩子的回访记录; 3.对学生出现的任何问题，给予及时输导和解决；做好与家长的沟通工作； 4.配合咨询部，教学部完成学员的学习计划； 5.观察学生、家长的思维动向，整理学员课时，跟进续费，做好续费方案。 6.完成领导交办的其他工作。 任职资格: 1.本科或以上学历，英语口语优秀，教育学、心理学、英语专业优先； 2.工作细致、耐心、待人热情周到，亲和力强； 3.能在压力下工作，具有良好的自我心理调节能力； 4.具有良好的表达能力和沟通能力，工作条理性强； 员工福利： 1、提供给每一个员工舒适的办公环境，和谐而富有激情的工作氛围； 2、专业的培训和广阔的发展晋升平台； 3、完善的福利制度和薪酬激励体系； 4、员工及子女可享受校内课程免费学习。 职业规划： 学习管理师-学管主任-学管部长-合伙人,"教育,企业服务",15-50人,深度学习,沈阳
AI工程师,https://www.lagou.com/jobs/6653259.html,铁西区,10k-17k,华晨宝马汽车有限公司,3-5年,本科,15薪,工作描述:1. 结合业务需求，负责AI解决方案设计及落地；2.参与前沿人工智能、机器学习、深度学习等相关技术调研和研发；岗位职责：1、优秀的AI解决方案设计能力2、优秀的数学基础（统计学、概率论、线性代数、微积分等）及变成能力（Java/Python）;3、掌握一种或多种深度学习算法及深度学习训练工具；4、在机器学习、计算机视觉、图像处理、或深度学习等方向有相关经验；5、精通R语言6、具备英文沟通能力,汽车丨出行,2000人以上,深度学习,沈阳
公交业务-城市运营经理（华北）,https://www.lagou.com/jobs/6762029.html,和平区,10k-20k,北京三快在线科技有限公司,不限,本科,创新业务， 成长空间大,,消费生活,2000人以上,深度学习,沈阳
大客户经理,https://www.lagou.com/jobs/4703989.html,和平区,15k-30k,杭州尚尚签网络科技有限公司,3-5年,本科,"靠谱团队,C轮融资,SaaS",岗位职责：1、负责所属区域或者行业的电子合同云平台（上上签SaaS）的销售和客户维护工作，负责区域或者行业的销售任务完成，包括公司级战略任务执行与推进；2、负责对市场不同阶段的市场规划以及重点项目、重点市场的推进；负责维护良好的客户关系；3、对市场的变化做出及时的判断和预测，及时作出反应和预判，并对于公司提出积极正面的建议；4、有制作客户解决方案的专业能力，并且可以带领虚拟客户团队为客户提供服务；5、负责监测、搜集、整理和分析各种市场信息，及时了解和总结市场反馈，对产品迭代给出建议，为公司提供决策建议。任职资格：1、通信工程、计算机、电子类、市场营销等专业本科及以上学历；对软件、服务、网络等IT领域有基本了解；2、熟悉移动互联网市场，熟悉SAAS市场，有至少3年以上销售经验；3、具有敏锐的市场洞察力，擅长捕捉机会，有创新思维，有团队合作精神；4、极强的目标感、执行力、沟通能力、推动能力、自我学习能力，善于自我激励，心态开放、正向、良好的抗压能力；5、信任、接受改变、接受挑战、注重承诺、结果和过程并重、追求卓越；6、计算机软件、硬件、互联网、大数据、云计算、SAAS行业经验优先；,"移动互联网,企业服务",150-500人,深度学习,沈阳
大客户销售（沈阳）,https://www.lagou.com/jobs/6847746.html,沈河区,10k-20k,杭州群核信息技术有限公司,不限,不限,五险一金，绩效奖金，餐补，定期体检,岗位职责: 1、负责各大家居厂商、设计团队、房地产公司等客户的项目洽谈；2、根据产品及行业特征，开发大客户、重点客户资源； 3、电话预约大客户并拜访，洽谈业务合作，跟进及维护与公司大客户、重要客户的合作关系，促成大的销售定单；4、积极协调内外资源以实现销售，确保销售目标完成，并能够独立完成项目的开发与服务； 5、与销售团队分享工作经验，相互协助，共同促进成长。任职资格：1、大专以上学历，市场营销专业优先考虑；2、熟悉计算机、移动互联网、电子商务、搜索引擎等，优先考虑； 3、具备优秀的电话沟通技巧、表达技巧和销售技巧，普通话标准流利；4、富有开拓精神和良好的团队合作意识，有很强的学习和沟通能力，良好的协调能力 ； 5、具有敬业精神，有强烈的竞争意识，能积极面对工作挑战；6、有较强服务意识、良好的职业素质、合作意识及团队精神；7、欢迎工作态度积极进取，具有强烈想成功的欲望，挑战高薪的人加入。,房产家居,500-2000人,深度学习,沈阳
测试工程师,https://www.lagou.com/jobs/7216232.html,沈河区,3k-5k,北京利物融通信息技术有限公司,1-3年,本科,五险一金双休法定体检生日礼团建零食咖啡,岗位职责：1、根据项目计划及需求等设计文档，制定测试计划并实施；2、搭建项目测试环境、更新测试软件，部署测试系统；3、编写测试用例，执行测试（包括：功能测试、集成测试、系统测试等），对软件产品进行功能、兼容性、安全性、性能等方面测试；4、分析测试结果，发现提交产品bug并跟踪结果；5、编写用户使用手册，测试总结分析报告；6、主动发现问题，深入了解用户反馈，能主动提出产品优化方案。任职资格：1、计算机或相关专业专科及以上学历；2、具有2年及以上软件测试工作经验；3、熟悉软件开发流程、测试流程、缺陷处理流程；4、熟悉常用测试工具、自动化测试工具、性能测试工具，能够自己编写维护测试脚本优先；5、熟悉软件测试基本理论，掌握常用测试工具、软件测试流程及其各项规范；6、熟悉一种或者多种主流编程语言；熟悉（mysql，sqlserver，oracle其中之一）数据库查询语句；7、工作积极主动，乐于思考，认真细致，执行能力强，具备良好的团队协作精神，良好的沟通能力、极强的责任心和学习能力。,企业服务,500-2000人,深度学习,沈阳
安全服务工程师（沈阳）,https://www.lagou.com/jobs/7090648.html,和平区,8k-16k,杭州安恒信息技术股份有限公司,3-5年,本科,五险一金 带薪年假 国内外旅游,"岗位职责：1.参与渗透测试、安全加固、应急响应等安全服务实施工作；2.对Web应用、APP应用、数据库、主机等进行安全评估，并给出解决方案；3.负责安全攻防渗透相关技术研究；任职要求：1.具备良好的职业道德，具备良好的团队合作精神，自学能力；2.熟悉渗透测试的步骤、方法、流程、熟练掌握各种渗透测试工具的使用；3.熟悉常见的Web代码,熟悉SQL注入、XSS等常见的安全漏洞的评估方法、利用及修复。4.熟悉常见的主机系统和网络的攻击、防御方法、网络渗透技术；5.良好的语言表达能力、文档编写能力。6.熟悉内网渗透；7.具备良好合作态度及团队精神、学习能力、沟通能力，并富有工作激情、创新欲望和责任感。8.有CTF比赛经验，并获得名次（优先）；9.有CISP、CISSP等证书（优先）。","信息安全,数据服务",500-2000人,深度学习,沈阳
大数据开发工程师,https://www.lagou.com/jobs/7102597.html,浑南区,8k-15k,东华软件股份公司,不限,不限,上市公司、五险一金、年终奖、弹性工作制,"任职要求：
 1、精通hadoop 体系技术或CDH大数据计算存储套件技术，有实际项目开发经验；
 
 2、熟悉Java语言；
 
 3、熟悉关系型数据库，如MySQL/Oracle/DB2/PostgreSQL，熟练使用Hive，Hbase，Spark等工具做数据加工处理；
 
 4、熟悉Linux操作系统和开发工具，了解docker，kvm/xen等虚拟环境；
 
 5、熟悉布式存储系统（Ceph、Gluster、HDFS、Moose等开源软件），具有相关实践实施经验；
 
 6、了解分布式系统和计算；
 
 7、接受东三省出差及驻场开发。

 岗位职责：
 1、软件产品研发，能根据需求，设计和开发产品功能，并参加单元、集成测试;
 
 2、具有较强的学习能力，能快速理解业务流程及逻辑;
 
 3、协助团队完成开发任务，协助项目实施工作以及项目的技术支持工作。","企业服务,数据服务",2000人以上,深度学习,沈阳
java开发工程师,https://www.lagou.com/jobs/7143623.html,皇姑区,6k-9k,北京开科唯识技术有限公司,1-3年,本科,"五险一金,晋升空间,金融项目,技术氛围好",主要职责：1、具备作为主力参与新项目的架构设计、概要设计、详细设计、编码实施、测试和文档编写的能力；2、根据项目小组总体计划要求，制定功能模块开发计划，负责完成分配的开发任务，并通过自测验证；3、配合测试人员的验证测试，完成相关文档的编写工作；4、根据项目小组总体计划要求，完成项目其它相关任务；岗位要求：1、本科及以上学历，计算机相关专业优先；2、1-3年Java后台软件开发和项目实施经验，有金融银行背景的优先；3、熟悉Springboot/Spring/SpringMVC等服务端开发框架，并有实际项目开发经验；4、熟悉jsp、Javascript、HTML、CSS前端开发，并有实际项目开发经验；5、熟悉SQL，熟悉Orcale、DB2、SQLSERVER、Mysql数据库应用开发中至少一个；6、熟悉Weblogic、Websphere、Tomcat、Jboss等J2EE应用服务器中至少一个；7、熟悉Eclipse开发工具；8、有linux/Unix操作系统下开发经验者优先；9、具有良好的沟通能力、团队合作精神和职业稳定性，工作积极主动、服从安排，能承受较大压力，责任心和学习能力强。,金融,500-2000人,深度学习,沈阳
