job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
AI算法工程师,https://www.lagou.com/jobs/6406959.html,南山区,18k-35k,中国移动通信集团设计院有限公司黑龙江分公司,3-5年,硕士,发展，稳定,"岗位职责1. 与计算机视觉算法研究员紧密合作，从事视频结构化、人脸识别、文字识别 (OCR)、3D人脸驱动、人体姿态估计和重识别等方向的前沿技术研发2. 负责算法SDK封装，撰写接口文档3. 搭建数据平台以及业务数据闭环、爬取整理训练数据、开发训练数据标注工具4. 负责视觉AI服务的开发，针对项目中的特定场景和需求搭建服务型SDK或API，团队协作完成一整套视觉应用方案，撰写项目文档5. 协同参与计算机视觉领域相关竞赛任职资格1. 国内外知名高校计算机科学，软件工程或相关专业硕士及以上学历2. 精通Python, C/C++中的至少一种语言，数据结构和算法功底扎实，编程能力强，编程习惯好3. 能根据项目需求熟练使用和改进常用视觉识别相关算法4. 熟悉Caffe/Caffe2/Pytorch等至少一种深度学习框架5. 符合以下条件者加分：   - 获得过ACM相关竞赛奖项的优先   - 有计算机视觉和多媒体相关领域的开发经验             - 有丰富的分布式平台设计开发经验   - 有丰富的云平台API开发经验",通讯电子,2000人以上,深度学习,深圳
深度学习算法工程师,https://www.lagou.com/jobs/6540899.html,南山区,20k-40k,深圳迪巨智能科技有限公司,1-3年,硕士,公司重点项目,职位描述：1.负责人工智能/机器学习/深度学习的算法研究；2.负责算法在运动智能、大数据分析等现实问题中的模型实现和项目落地；3.负责应用模型的开发、监控、改善、优化、迭代工作；4.基于海量数据和真实需求，对业务问题进行定义、分析、方案制定及实施；5.负责对国内外最前沿技术和应用进行跟踪和学习，并结合公司业务情况进行技术预研和项目规划。任职要求：1.统计、运筹、数学、应用数学、物理、信息技术、计算机等相关专业硕士及以上；2.拥有扎实的数学功底，对深度学习方法、数据处理等领域有深入研究和独到见解；3.两年及以上数据挖掘、深度学习等相关经验，具备较强的工程实现能力，至少使用深度学习技术解决过一个实际问题；4.具有较强的编程能力，熟悉C/C++、Python/Matblab；5.熟练使用Pytorch、Caffe、Tensorflow等框架至少其中之一；6.在相关领域内的学术会议上发表过相关paper优先；7.具备强烈的责任心和团队合作精神，能承受较强的工作压力，有强烈的学习意愿、有良好的自我驱动能力。,"硬件,人工智能",15-50人,深度学习,深圳
深度学习算法工程师,https://www.lagou.com/jobs/5757016.html,南山区,20k-35k,深圳趣途科技有限责任公司,3-5年,硕士,专业产品团队，专业项目管理，资深教育专家,"岗位职责：深度学习算法的研究和应用，包括以下方向：1. 实时人体/表情捕捉, 3D动画 （手部/脸部/全身）；2. 单目RGB摄影机图像/视频的人体3D转换（手部/脸部/全身）；3. 语音交互，手势交互；4. 使用少数量多视角照片的3D建模（一般物体）；5. 用户能控制的3D人脸生成（Generative Model）；6. 可以生成各种人声音的Text to speech model；7. Speech Animation（脸部）；8. 人体运动分析（Kinematics/Dynamics, Action recognition）；9. 贴图/材质生成，单张图像的BRDF推测；10. 虚拟试衣之类的布料物理运算；有以上某一个方向实际项目经验者优先；任职资格：1.  计算机视觉，人工智能，深度学习等相关方向硕士及以上学历；2.  熟练掌握C/C++，Python&Shell等脚本语言，熟悉Linux开发环境；3.  熟练使用Tensorflow、Caffe、PyTorch、MxNet等任一种深度学习开源框架；4.  熟悉常见的深度学习算法，如CNN，RNN，LSTM等；5.  熟悉神经网络模型的设计、调参、优化方法；熟悉模型压缩、算法性能优化；6.  有深度学习项目大规模样本训练、调优、应用经验者优先；7.  CVPR, ICCV, ECCV等会议发表过论文者优先；","移动互联网,教育",50-150人,深度学习,深圳
HAK-深度学习算法（高级）工程师,https://www.lagou.com/jobs/6318130.html,南山区,20k-40k,顺丰科技有限公司,3-5年,本科,弹性上下班；午餐补贴；五险一金；绩效奖金,职位描述：1.负责深度学习训练前的图像数据预处理，包括图像去噪、切割、数据增强等；2.负责目标检测识别领域深度学习神经网络模型开发，包括神经网络框架搭建、模型调参训练及测试、神经网络训练过程优化、网络压缩加速等。3.负责模型性能的测试，模型部署及产品化。 任职要求：1.硕士及以上学历，三年以上工作经验，数学、计算机等相关专业，具备扎实的数学基础和数据处理经验；2.熟悉图像处理常用方法及算法，如图像切割、去噪、增强、压缩、光照平衡等；3.至少熟悉/精通一种深度学习框架，tensorflow/keras/pytorch等；4.熟悉视频及图像领域神经网络分类及回归常用模型，具有丰富的神经网络设计，训练、调优经验；熟悉目标检测及语义分割常用模型，如FasterRCNN/YOLO/SSD等目标检测框架、FCN/UNet/PSPNet等语义分割模型，熟悉常用机器学习算法；5.对深度学习有独到见解，责任心强，善于学习新事物，有较强的分析问题和解决问题的能力；6.具备实际产品全流程落地经验或在国际**会议、期刊上发表过论文者优先。,"软件开发,数据服务",2000人以上,深度学习,深圳
算法工程师,https://www.lagou.com/jobs/6406930.html,南山区,15k-30k,中国移动通信集团设计院有限公司黑龙江分公司,3-5年,本科,发展，稳定,岗位职责1. 基于深度学习的视觉算法SDK和系统组件的开发、优化和维护2. 配合视觉计算领域的算法研究人员，共同完成新算法的设计、研发和持续优化3. 参与图像视觉应用软件，以及算法相关自动化测试、数据处理等工具的设计和实现4. 负责相关训练数据处理；任职资格1. 本科或以上学历，计算机相关专业，2年以上相关工作经验2. 熟练掌握C/C++，算法基础扎实，掌握常见设计模式，具有良好代码风格和质量意识3. 熟悉Linux系统和开发环境，有移动端跨平台C++开发经验为佳4. 掌握图像视频处理的基本方法，有深度学习相关研发经验为佳5. 了解GPU并行计算、熟悉CUDA编程者，或具有Neon/OpenCL等移动端性能优化经验者优先6. 责任心强，具有良好的学习能力、沟通能力和团队合作精神,通讯电子,2000人以上,深度学习,深圳
LE6349-QQ音乐算法后台高级工程师（深圳）,https://www.lagou.com/jobs/6736797.html,南山区,15k-30k,腾讯科技（深圳）有限公司,1-3年,不限,大平台,1. 负责推荐相关产品策略的系统研发，实验以及线上数据效果分析；2. 负责推荐相关技术的持续优化，机器学习算法及工程应用性能优化; 3. 负责内容价值评估与流量分发的技术架构实现，以及效果评估。 1. 熟悉Linux系统，精通C++/Go中任一编程语言，熟练掌握python脚本语言者优先； 2. 熟悉各类常用数据结构和相关算法，熟悉Linux下问题定位/系统调优的工具；3. 熟悉分布式系统的设计和应用，熟悉分布式缓存、消息等机制，并能合理应用分布式技术；4. 具备全面的软件知识结构（操作系统、软件工程、设计模式、数据结构、数据库系统、网络安全）；5. 具备良好的沟通表达能力及团队协作精神、有较强的主动性、责任心和执行能力；6. 具备良好的分析解决问题能力，责任心强，能独立承担任务和有系统进度把控能力；优先考虑：7. 熟悉分布式机器学习/深度学习框架相关技术优先：TensorFlow，Caffe，MxNet等； 8.有推荐后台或者算法后台产品开发相关经验,社交,2000人以上,深度学习,深圳
广告推荐算法工程师（深圳）,https://www.lagou.com/jobs/6114985.html,南山区,20k-40k,腾讯科技（深圳）有限公司,3-5年,本科,大厂经验，广阔的发展平台,"岗位职责：1、广告推荐冷启动策略以及算法优化; 2、基于博弈论/机器学习的广告竞价排序机制优化; 3、广告用户体验策略优化。 岗位要求：1、有扎实的编程功底，掌握算法/数据结构等基本知识，能熟练使用C/C++/Java/Python中至少一门语言，熟悉linux开发环境； 2、对AI/机器学习技术有强烈的热情，具备相应的数学功底，深入掌握两种以上机器学习算法(包括但不限于逻辑回归，FM, 决策树，svm，最大熵，神经网络)；3、 能主动思考，解决问题，有良好的团队合作意识 ；4、有自然语言处理，推荐系统，广告点击率预估，图像处理，大规模机器学习系统开发等工作经验优先。",社交,2000人以上,深度学习,深圳
1121T7-AI算法工程师,https://www.lagou.com/jobs/6525866.html,南山区,15k-30k,平安科技（深圳）有限公司,1-3年,本科,"五险一金,带薪年假,节日福利,绩效奖金",,金融,2000人以上,深度学习,深圳
深度学习算法工程师,https://www.lagou.com/jobs/5199764.html,南山区,15k-30k,深圳市铱硙医疗科技有限公司,应届毕业生,硕士,"人工智能,高端前沿,前景广阔","岗位职责：1、与公司国内外AI团队一起负责机器学习、深度学习相关算法研发；2、负责公司相关医疗AI产品的实现和专利论文的编写；3、维护与优化公司脑医生云平台；技能要求：1、硕士及以上学历，计算机及相关理工科专业；2、2年以上python开发经验，有扎实的数学基础，熟悉机器学习、深度学习相关算法；；3、熟悉TensorFlow, Keras, Caffe, PyTorch等常用深度学习框架至少一种；4、有使用python进行数据分析的经验，熟练使用Python常用库和工具，比如pandas，numpy，matplotlib等；5、有良好的英文文献阅读能力，适应全英文开发环境（包括英文论文／技术文档，英文交流，英文注释等）；6、善于思考，能提出高质量的问题，沟通能力良好，善于团队合作。有以下条件者优先考虑：1、有使用python进行deep learning数据分析的经验，熟悉CNN，R-CNN；2、能够熟练使用腾讯云或者阿里云资源，例如：云服务器、信息安全、IO、存储和网络产品；3、有分布式系统开发和维护经验；4、具有计算机视觉以及数据分析专业背景；5、211、985以及国外名校计算机相关专业毕业并具备相关经验；","医疗丨健康,数据服务",15-50人,深度学习,深圳
算法工程师,https://www.lagou.com/jobs/7055173.html,南山区,15k-30k,深圳市一号互联科技有限公司,3-5年,本科,复星旗下 晋升清晰,"岗位职责：1、 负责自然语言算法的设计、模型优化和研发。2、 负责业务环节中算法相关需求发掘，设计，技术研发，以及推动上线落地和不断迭代优化。岗位要求：1、 本科以上学历，3年以上相关工作经验；2、 熟练掌握C/C++,Python,shell中的一种或多种语言；3、 掌握一种或者多种深度学习框架（如Caffe，PyTorch、TensorFlow等等）；4、 熟练掌握基本的算法和数据结构；5、 掌握常用的NLP算法模型，对深度强化学习，GAN，BERT，Transformer 等熟练者优先，对深度文本匹配模型熟练者优先。","移动互联网,硬件",150-500人,深度学习,深圳
