job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
算法工程师,https://www.lagou.com/jobs/7183825.html,雁塔区,20k-40k,北京宝兰德软件股份有限公司,3-5年,硕士,发展空间大 上市公司 六险一金,"岗位职责：    1.负责OCR图像处理、机器学习、深度学习的实现与改进；    2.负责完成图像算法的实现，结合业务需求进行人脸识别加持证件识别、对比人脸、证件、后台信息记录三者的一致性；    3.收集研究行业内新的技术、算法，不断提高系统对图图像识别的效率与准确率；    4.负责相关方向技术难点攻关、前瞻研究以及应用拓展。    岗位要求：    1、学历要求：硕士及以上，数学或计算机相关专业；    2、在OCR领域有深入的了解，熟悉文本检测、文本识别等核心算法,在图像处理领域有丰富的研发和技术经验；    3、熟悉深度学习常用的算法和优化策略，熟悉常用机器学习算法，有相关研发经验；    4、精通Python、C++等至少一种编程语言，熟悉TensorFlow、PyTorch、MXNet、Caffe等至少一种深度学习框架，熟悉Linux工作环境，对数据结构和算法设计有深刻理解；  5、了解图像处理/深度学习领域的最新研究成果、公开数据集和相关的开源系统；    6、对图像处理、深度学习、机器学习等技术创新与应用充满激情；技术狂热者，乐于和善于完成具有挑战性的技术工作，很强的动手实践能力。",企业服务,150-500人,深度学习,西安
深度学习算法,https://www.lagou.com/jobs/6223726.html,雁塔区,10k-18k,北京竞业达数码科技股份有限公司,3-5年,硕士,"大平台,福利好,扁平化管理,周末双休",【职位描述：1、负责人脸识别（人脸检测、跟踪，人脸关键点检测、人脸识别等）、机器学习、深度学习等算法的研发；2. 负责人脸识别算法研究与产品化落地；3、参与公司图像处理/图像识别类项目的产品研发及实施，提供技术支持；4、学习、研究图像处理新技术以满足产品需求；5、支撑公司相关产品技术需求及运维；7、负责人脸相关专利、论文的撰写发表。岗位要求：1、计算机、自动化、图像处理、模式识别等相关专业，有人脸检测、人脸识别等相关技术或项目经验者优先；2、熟悉图像处理、模式识别、计算机视觉、人脸识别等专业领域的学科知识和常用算法；3、熟悉Matlab、Python等脚本语言和深度学习算法（如CNN、RNN等）；4、熟悉Caffe/Tensorflow/pytorch等开源深度学习框架；5、具备算法设计、实现、调试等相关能力，有一定的工程实现能力，能够将算法落地到实际的产品中；6、具有强烈的工作责任心、有良好的沟通能力和团队合作精神、承压能力,"移动互联网,硬件",500-2000人,深度学习,西安
算法工程师,https://www.lagou.com/jobs/7199727.html,长安区,10k-15k,西安恒盛安信智能技术有限公司,3-5年,本科,五险一金、体检、带薪旅游、双休,技能要求：C++，Python，ROS，SLAM，传感器融合，激光雷达岗位职责:1.完成车载平台多传感器融合模块的代码开发和维护；2.融合以相机、毫米波雷达、激光雷达、超声波雷达及IMU检测结果，提高感知系统的性能及适应性，提高障碍物检测精度减少误检和漏检；3.结合GPS，IMU进行车辆自定位判断。任职要求:1.有传感器标定、多传感器联合标定经验，对各类传感器数据自检有一定了解；2.对惯导IMU、毫米波雷达、激光雷达等工作原理有一定了解，有相关的数据处理经验；3.良好的数学基础，对常用融合算法有较深的理解和实际使用经验；4.精通C/C++、Python等开发语言，有Linux开发经验，对ROS/RTOS系统有一定了解及使用经验；5.有视觉SLAM或激光SLAM经验者优先。,通讯电子,50-150人,深度学习,西安
音频算法工程师,https://www.lagou.com/jobs/7113440.html,新城区,8k-16k,武汉佰钧成技术有限责任公司,1-3年,本科,音频算法,1、统招本科学历，计算机相关专业；2、1年以上C++/C开发经验即可，做大屏音箱的算法集成工作3、乐观积极，责任心强，学习能力强；,移动互联网,2000人以上,深度学习,西安
视觉算法工程师,https://www.lagou.com/jobs/7196054.html,长安区,10k-15k,西安恒盛安信智能技术有限公司,3-5年,本科,五险一金、体检、带薪旅游、双休,"技能要求：深度学习，RNN，CNN岗位职责：1.负责感知前处理后处理等方面的开发、维护和升级；2.负责图形图像处理程序的开发、分析和测试工作。任职要求：1.计算机、电子信息、应用数学相关专业本科以上学历；2.熟悉单目相机、多目相机以及超广角相机的工作原理及常规目标检测、深度检测等算法，对计算机视觉有一定程度的了解；3.熟练掌握C/C++/Matlab/Python常用编程语言，具有良好的编程习惯；4.掌握各种通用的深度学习神经网络：RNN,CNN等，熟悉CUDA编程；5.具有良好的3D立体视觉或机器学习的理论基础，对于深度学习框架:Pytorch, Paddle或Tensorflow有较深的理解；6.参与多传感器融合相关算法的设计、实现及优化，有无人驾驶相关项目经验者优先。",通讯电子,50-150人,深度学习,西安
算法工程师,https://www.lagou.com/jobs/6235577.html,碑林区,9k-15k,辽宁聚进科技有限公司,应届毕业生,硕士,福利全、绩效奖、项目奖、发展空间大,工作职责1、根据安排的研发项目与研究课题，熟悉相关业务和范围目标，制定相应的工作计划；2、根据研发项目与研究课题的需要，学习所涉及的业务、技术，并进行必要的现场调研、跟踪与学习；3、根据研发项目与研究课题的目标要求，设计相应的算法，并且和相关的业务人员、领导进行评审，确定算法的最终设计；4、根据算法的设计，进行算法的开发工作，遵守相应的编码规范及相关标准要求，完成自测；5、根据研发项目与研究课题的目标要求，结合算法的开发结果，主导、组织和推进算法在实际环境中的调试与测试、验证，并做好问题记录与总结分析，及时完善算法。任职资格1、 在读或应往届硕士研究生，数学类、计算机科学与技术、图形学、图像处理、信息工程、软件工程、自动控制等相关专业；2、具备扎实的算法和数据结构基础、较强的逻辑思维能力；3、具有一定的编程能力，精通Matlab等编程工具；4、在校期间有相关项目经验者优先。工作地点：沈阳/西安/鞍山均可,"移动互联网,企业服务",150-500人,深度学习,西安
算法工程师,https://www.lagou.com/jobs/6662744.html,雁塔区,8k-15k,中煤信息技术（北京）有限公司,3-5年,硕士,新设西安中心，职位晋升快；项目奖金,岗位职责：负责机电设备故障诊断算法研究，设备故障机理的研究任职要求：1、硕士以上学历熟练使用C++；2、对煤机设备故障机理清晰，熟悉故障机理常见算法，包括：傅里叶变换、小波分析、神经网络等3、能适应较强工作压力，踏实稳定,"企业服务,电商",50-150人,深度学习,西安
算法工程师,https://www.lagou.com/jobs/7212385.html,高新技术产业开发区,13k-25k,西安国微半导体有限公司,不限,硕士,团队成员具有一线公司的研发和项目经历.,岗位职责：1.     负责组合优化算法的开发和应用；2.     根据产品需要修改算法，并进行测试；3.     协助其他项目成员共同完成项目研发。 任职要求：1.     全日制硕士及以上学历，计算机、微电子、数学或相关专业2.     熟悉基础数据结构和基本算法3.     熟悉C/C++，有算法开发经验4.     了解或熟悉组合优化算法5.     加分项：了解FPGA或数字集成电路,其他,150-500人,深度学习,西安
算法工程师,https://www.lagou.com/jobs/6985739.html,高新技术产业开发区,20k-30k,陕西同纳信息技术有限公司,5-10年,本科,产品前景、团队氛围、工作节奏,职责描述：1.对大量结构或非结构话互联网数据进行清洗、整理、分析与挖掘；2.进行数据体系规划和数据治理，及数据仓库的架构设计、建模3.利用不同维度的数据，通过机器学习、神经网络、聚类分析、决策树、逻辑回归、文本分析等方法，对行业数据进行多维度的画像;4.建立各种计量模型，如评分卡、LBS、社交网络模型、反欺诈模型、关联模型等，帮助优化信贷资产管理;5.针对特定业务场景，制定相应数据分析方案，包括文本数据、图像数据;6.建设数据仓库及其服务（包括元数据管理、数据接入标准设计、数据服务流程制定、数据分析平台形态等）。任职要求：1.全日制数学、统计、金融数学、软件工程或计算机等相关专业本科以上学历；2.能熟练使用python，能熟练使用至少一种数据分析软件，如SAS、R、Matlab、SPSS等；3.对机器学习、分布式计算、神经网络等算法研究有兴趣；4.精通数据结构，能熟练运用数据挖掘和机器学习算法等常用算法，并对机器学习算法和理论有深入研究（如对熟悉决策树、聚类、逻辑回归，序列标注，关联分析、SVM，贝叶斯等数据挖掘算法有较深理解和实践经验）；5.精通数据建模方法论、熟悉运用数据分析、数据挖掘应用；6.五年以上数据分析与数据挖掘相关工作经验者优先。,移动互联网,15-50人,深度学习,西安
咨询顾问学习规划师,https://www.lagou.com/jobs/5433313.html,雁塔区,3k-6k,北京优胜辉煌教育科技有限公司陕西分公司,1-3年,大专,五险，节日福利，半年涨薪，定期团建,"一、岗位福利：薪资构成：底薪+提成+奖金。岗位底薪在2000-4000元之间，表现优秀者月度收入在3000-8000元，表现优秀者月度收入在15000-20000元。上班时间：9:30-18:30，月休六天；福利：试用期三个月，转正后交五险，节假日实行调休制，每年两次涨薪机会；二、岗位职责：1. 配合市场进行线上线下的品牌推广等市场工作；2. 接待前来咨询的家长，根据学生具体的学习情况跟家长沟通挖掘需求并邀约试听；3. 负责相对科目的学生进行“一对一教学”辅导，根据每个学生学习以及性格的特点，制定适合的个性化学习计划和方法并促成签单；4. 签单成功的学生跟学管进行交接；5. 认真参加公司组织的教研、月考，不断提升专业水平和授课技巧； 6.配合学习顾问老师做好沟通工作，齐心协力解决好学生的学习问题以及提高家长对公司的满意度。三、任职条件：1、大专及以上学历，接受室外工作，长相周正； 2、积极热情，相貌端庄，举止大方得体，普通话标准，思路清晰；3、具有良好的沟通能力，做事积极、抗压能力强，有责任心。四、职业发展：1.完善的培训机制：公司设有完善的培训机制，为每位员工提供岗位及个人综合能力提升等培训。培训项目：①免费的入职培训②定期业务能力及专业能力提升培训（岗位专业知识、职业素养、沟通能力、礼仪形象、管理能力等），由总部高层领导、人力资源部培训师及外聘讲师主讲。2.发展空间：公司设有专业和管理两大晋升方向，不同能力和职业倾向的员工可以选择不同的职业发展方向，部分员工入职 3-5个月晋升为销售组长或中级课程顾问，表现优秀员工入职5-8个月晋升为销售主任或高级课程顾问，表现更优秀员工入职6-12个月晋升为营销校长或资深课程顾问。1.管理方向：课程顾问——销售组长——销售主任——营销校长——区域销售经理——销售总监2.专业方向：课程顾问——中级课程顾问——高级课程顾问——资深课程顾问 五、公司介绍：优胜教育集团1999年成立，2006年建立教育研究院，由近千名一线教师和教育专家组成精英团队，在个性化教育领域里围绕着小初高的全科辅导形成了以“YOUWIN教学法”为代表的独特的“一对一”和“精品五人小班课”的个性化教育体系和模式。优胜教育集团作为个性化教育行业的开创者，凭借着18年的教育品牌运营管理经验创造了多项行业标准。1200余家直营校区分布于全国400多个城市。累计辅导中小学生超过2,000,000人次。并计划在未来1-2年内开设2000家学习中心，成为一对一个性化教育全国连锁机构领先品牌!优胜教育集团坚持以人为本的教育思想，以一流的专业师资团队、先进的教学理念、完善的教学模式更好地服务社会，是目前国内个性化辅导行业的领军品牌。面试地点：高新区科技四路枫林绿洲北门甘家寨小学对面（枫林绿洲站）联系人：马老师***********",教育,500-2000人,深度学习,西安
