job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
学习管理师,https://www.lagou.com/jobs/6810357.html,金水区,6k-9k,北京猿力未来科技有限公司,不限,本科,双休，六险一金，免费健身房，出国游团建,工作内容①负责跟课及课后答疑、作业批改等，实时掌握学生学习情况； ②通过电话、微信等方式跟学生及家长沟通反馈学生学习情况，增加用户粘性；③通过群运营，调动学生学习积极性，提醒学生按时到课，从而保证学习质量； ④通过全周期服务辅导，提高学生学习成绩，赢得家长认可，达成学员续费。 【招聘要求①统招本科及以上学历，专业不限；②热爱教育行业，乐观开朗，喜欢孩子；③有一定的学科功底，能够进行相关科目的辅导答疑；④普通话标准，沟通表达能力强，尤其擅长与学生、家长沟通交流。 【福利待遇hin靠谱1、月综合薪资6k-9k，六险一金（入职足额缴纳）、13薪；2、入职即配：ThinkPad、iPad、荣耀手机、手机卡（手机产生费用公司提供）3、晋升和培训：每年2次升职加薪机会，提供全体系职业培训；4、旅行和假期：年度国外旅行，旅游基金7000元/人，专属9天超长假期，全年7-15天带薪年假；5、每日零食水果下午茶、每月团建、年度体检、免费健身房游泳馆；6、北欧极简风办公环境，360°落地窗无敌观景体验，超nice高盐值团队小伙伴，戏精砖家段子手应有尽有。【上班时间】 周二周三双休，每天13:00—21:00 【公司地点】 郑州市金水区国贸招银大厦23-27层】】】,"移动互联网,教育",2000人以上,深度学习,郑州
学习管理师,https://www.lagou.com/jobs/7115693.html,二七区,8k-15k,北京爱云校教育科技研究院,应届毕业生,不限,无责底薪4000+、五险一金、带薪年假,岗位职责：1.针对公司提供的优质学习用户，分析学生学习情况，及时反馈学生学习报告，将适合的长期学习计划课程推荐给学生； 2、协调组织老师、学生上课安排，及时提醒用户上课、提交作业等，跟踪用户上课情况，阶段性检查学生课程学习状况；3、定期与老师、学生、家长沟通学习情况，了解用户的上课体验和满意程度；4、处理简单的软件使用问题，协助处理用户学习过程中遇到的各类问题；5、协助教务教学部门确保教学工作正常运行； 岗位要求：1、大专及以上学历，专业不限，有过教育行业经验、从事过学管师相关工作者优先；2、热爱教育事业，具有良好应变能力和学习能力；3、执行力强，工作踏实，具有较强的团队合作意识；4、熟练使用office办公软件；,教育,2000人以上,深度学习,郑州
算法工程师（语音）,https://www.lagou.com/jobs/6926484.html,高新区,15k-25k,中移在线服务有限公司,应届毕业生,硕士,国有企业，13薪，综合补贴，员工餐厅,【岗位职责】1、负责语音算法相关算法研究及工程实现，包括模型训练、语音算法引擎构建，功能优化等；2、负责跟进前沿算法演进，结合实际业务需求实现新算法、新功能落地封装；3、负责算法引擎模块移植、算法接口优化、功能开发等。【任职要求】1、全日制硕士及以上学历；2、熟悉深度学习算法，了解语音识别、语音合成相关引擎基本架构；3、熟悉相关深度学习平台，掌握C++/JAVA/python等至少一种开发语言。【网申流程】网申→简历筛选→测评→宣讲→面试→体检→offer,移动互联网,2000人以上,深度学习,郑州
计算机视觉算法工程师,https://www.lagou.com/jobs/6976729.html,金水区,10k-15k,河南代代环境科技有限公司,3-5年,本科,五险一金 周末双休,岗位职责1、根据业务的需要实现具体的物体检测、实例分割需求；2、能够根据业务的演进和变化作出一些有效的扩展和改进；3、跟进前沿的 CV 技术的发展方向；任职要求1、熟悉 linux 操作系统；2、英语阅读无障碍，对 arxiv 发表的一些论文有一定的模型转化能力；3、对常用的 CV 网络和算法有熟练的落地经验；4、熟练掌握 Python 语言，对常用的计算机视觉处理库、科学计算库熟练掌握 ；5、掌握 tensorflow 或者  pytorch 等框架；6、良好的代码编写习惯和学习能力，责任心强，善于沟通。,移动互联网,50-150人,深度学习,郑州
学习规划师,https://www.lagou.com/jobs/7035074.html,金水区,4k-8k,北京中公教育科技有限公司郑州分公司,应届毕业生,本科,双休，法定节假日，五险一金，就近安排,招聘岗位：学习规划师（考研项目）岗位职责：1、负责考研培训课程及产品的销售工作；2、对于上门咨询的学员进行接待与课程引导；3、日常对意向学员进行电话回访，解决咨询问题并引导课程；4、为学生提供院校专业的最佳选择方案；5、对学员咨询的问题给予耐心解答，提高客户满意度；6、其他与课程咨询相关工作。 福利待遇：实习期3个月，底薪3000/月（无责底薪）+提成，入职**天开始计算工资，入职当月开始交五险，第4个月开始（就是转正后的**个月）交五险一金；转正后工资构成：底薪+绩效工资+提成上班时间：8：20—12：00； 13：30—17：30；周末双休；（涉及调休和值班）职级晋升：P级：P1-P12，每年年中和年终两次述职，影响评级，评级成功可调薪。明确问题：1.营销岗，做招生工作，目标客户群体：考研学生。2.营销模式：电话70%+面谈30%工作地点：郑州11所分校，地市均有分校，可就近安排；,教育,2000人以上,深度学习,郑州
学习规划师,https://www.lagou.com/jobs/7082154.html,二七区,5k-10k,北京修齐治平科技有限公司郑州二七区分公司,不限,大专,无责底薪4000+提成+五险一金+下午茶,无责底薪4000+提成+五险一金+下午茶**过后的风口产业互联网教育行业1.根据公司分配的精准资源，分析学生学习情况，进行电话/网络沟通联系，确定意愿度；2.根据学生情况，安排试听课程，并跟进试听结果及反馈；3.帮助家长及学生了解公司服务模式、师资力量、课程安排，一对一制定辅导计划与课程方案；4.跟踪客户辅导项目实施及客户维护，促成订单成交并做好教务教学协调工作；5.完成每月通时、完课等关键指标要求，高效达成业绩目标；岗位要求:1、年龄20-32周岁，大专及以上学历；2、热爱销售，对金钱有渴望，乐于拥抱变化；3、有较强学习能力，踏实、专注，愿意为自我提升付出努力；4、良好的语言表达能力、沟通能力、执行力，心态好、抗压能力强；5、有教育情怀或有教育咨询工作经验者优先；,教育,2000人以上,深度学习,郑州
数据架构,https://www.lagou.com/jobs/5978734.html,航空港区,10k-20k,富泰华工业（深圳）有限公司,5-10年,本科,五险一金 绩效奖金 带薪休假 定期体检,"岗位职责：1. 依各大数据分析项目所需，搭建、研究或规划机器学习开原框架运算环境；2. 设计、优化、监控或维护自动化分析建模作业流；3. 各大数据分析项目布署至内云作业。任职要求：1. 具备深度学习相关框架(Tensorflow, Theano, Keras等)经验2年以上；2. 具备开源框架研究及自行搭建之能力；2. 熟悉Linux相关安装设定；3. 具备ETL开发经验1年以上；4. 具备hadoop数据分析程序开发能力，熟python、java、Spark、shall script等；5. 有制造业数据收集、处理经验尤佳。","电商,数据服务",2000人以上,深度学习,郑州
数据算法,https://www.lagou.com/jobs/5978717.html,航空港区,10k-20k,富泰华工业（深圳）有限公司,5-10年,硕士,五险一金 绩效奖金 带薪休假 定期体检,岗位职责：1. 机器学习、深度学习算法的智能应用开发；2. 设计生产/制程/周边等大数据信息萃取方法；3. 依分析应用议题需求，设计分析方法论；4. 机器学习/深度学习分析模型建置与部署、调校与改善。任职要求：1. 熟悉统计/资料探勘/机器学习/深度学习相关知识；2. 2年以上制造业数据收集/分析/判断/预测之数理模型建构经验或预测数据项目实际经验；3. 2年以上数据分析软件/平台(如R/Python/Matlab...)或可视软件应用经验；4. 有制造业分析经验尤佳。,"电商,数据服务",2000人以上,深度学习,郑州
bi实施顾问,https://www.lagou.com/jobs/7199899.html,金水区,6k-10k,海致网络技术（北京）有限公司,1-3年,本科,发展空间大,"一、工作职责1.熟练掌握公司产品(BI产品)及软件操作，完成数据分析产品的部署、调试及开发实施工作，为客户提供服务；2.依据客户业务流程和场景、分析业务需求，提供针对性的技术解决方案并加以实现；3.具备基本的项目管理素质，能够有计划的独立承担起整个项目从启动，需求，设计，实施，测试到交付的全过程；4.实施过程中，通过培训引导措施，提高客户对产品的使用深度；5.实施中发现问题、挖掘新需求，促进产品性能改进；6.根据项目推进进度，撰写相关技术文档和项目过程文档。二、能力要求1.强烈的学习欲望，善于独立思考；                      2.对于BI有一定的认识；    3.良好逻辑思维能力和理解力；    4.良好的团队合作意识、优秀的执行力；                      5.良好的团队内外部沟通协调能力；                      6.良好的归纳总结能力，工作条理清晰，有计划性；    7.良好的文档撰写能力，能够撰写各类实施和技术类文档。三、任职要求1.计算机相关专业，专科及以上学历，相关领域2年以上的工作经验；    2.至少1年以上软件产品开发实施实操经验；    3.必须具备必要的专业技能：熟练掌握数据库（Mysql、Sqlsever、Oracle）的基本操作，精通数据库sql语句,具有扎实的实际操作功底；了解LINUX环境/Perl/shell脚本/Cognos报表工具/Hadoop主流的HDFS；    4.了解软件项目管理流程，具备一定的管理知识；    5.有独立担当项目经理的能力，具备独立的现场实施、协调、维护和沟通的能力，为人务实，责任心强；    6.具有数据分析，数据挖掘相关工作经验加分；    7.懂数据分析，有较强的数据敏感度、逻辑分析能力；    8.获得PMP认证有加分，有公安行业业务经验者优先；    9.能胜任出差工作。","移动互联网,企业服务",150-500人,深度学习,郑州
虾皮运营,https://www.lagou.com/jobs/7163897.html,管城回族区,5k-8k,河南中横国际贸易有限公司,1-3年,本科,五险一金 带薪年假 年度旅游 节日福利,这是一家崇尚“兼容性与个性化”的公司！ 高颜值是基础配置，大智慧是常规装备！ 旗下品牌iSDG 亚洲健康行业的领军品牌 专注于健康食品研发，以“创造真正的健康”为主要事业。 企业实力雄厚，业务范围有宽度、有深度、有远见。线上渠道： 在天猫、京东、小红书、唯品会、云集、苏宁易购、美国亚马逊等近百家电商平台的相应类目中均为主力品牌，更是天猫国际亿元俱乐部的成员之一。 线下渠道： 遍及日本20000家药妆店与国内屈臣氏、盒马鲜生、万宁、华润OLE、绿地G-Super等一线商超。 90后主力团队，人性化管理，高效率，高创造力！ 优秀的成长空间，严谨的晋升机制，公平公正，能者居之！ 环境舒适，高格调，福利满满，压不住的幸福感 加入我们，有爱的团队助你雏鹰快速变“金鹰”，磐石细琢成美玉。 加入我们，让自由的思想，每每能碰撞出灵感的火花！ 如果你希望找到一份快乐多、进步快的工作，请往下瞄一眼： 岗位职责：负责所管理平台或店铺的年度目标和预算、月度营销规划和工作计划，确定店铺运营策略并完成销售目标； 2.负责监控店铺周、月及季度运营结果，发现问题及时解决，对销售额和利润目标负责； 3.负责产品文案翻译与写作，产品详情页和店铺首页英文页面修改与制作和平台订单录制发货； 4.负责店铺基础运营，如询单回复、产品上下架、标题优化、活动提报、产品翻译等； 5.负责制作店铺每日、周、月度数据分析记录及时反馈和沟通平台运营情况，针对平台运营存在的问题提出有效解决方案；6.负责敏感类目物流寻找对接服务商（每个平台发货流程不一样，需对应解决）；7.负责海外市场调研与选品分析，了解市场动向，借鉴分析同行业爆款，以此改善自己的运营模式； 8.负责与平台客户经理保持密切对接沟通； 9.领导交代的其他工作。任职资格：1.英语六级以上，有第二外语能力和一定的英语翻译能力；2.1-3年shopee跨境电商运营经验，熟悉平台物流流程和运营模式；3.学习能力强，有较强的责任感、抗压能力和沟通协调能力。4.能服从领导安排，及时完成领导交给的工作；5.具有良好商业道德和敬业精神，遵守职业规范有良好的职业操守；6.认同公司企业文化，遵守公司各项规章制度。,电商,150-500人,深度学习,郑州
电商运营主管,https://www.lagou.com/jobs/6644499.html,管城回族区,8k-10k,河南中横国际贸易有限公司,1-3年,本科,五险一金 带薪年假 年度旅游 节日福利,这是一家崇尚“兼容性与个性化”的公司！高颜值是基础配置，大智慧是常规装备！旗下品牌iSDG亚洲健康行业的领军品牌专注于健康食品研发，以“创造真正的健康”为主要事业。企业实力雄厚，业务范围有宽度、有深度、有远见。线上渠道：  在天猫、京东、小红书、唯品会、云集、苏宁易购、美国亚马逊等近百家电商平台的相应类目中均为主力品牌，更是天猫国际亿元俱乐部的成员之一。线下渠道：  遍及日本20000家药妆店与国内屈臣氏、盒马鲜生、万宁、华润OLE、绿地G-Super等一线商超。90后主力团队，人性化管理，高效率，高创造力！优秀的成长空间，严谨的晋升机制，公平公正，能者居之！环境舒适，高格调，福利满满，压不住的幸福感加入我们，有爱的团队助你雏鹰快速变“金鹰”，磐石细琢成美玉。加入我们，让自由的思想，每每能碰撞出灵感的火花！如果你希望找到一份快乐多、进步快的工作，请往下瞄一眼：岗位职责：1、负责整体店铺运营工作，合理规划店铺定位及发展方向，提升店铺各项收据；2、负责店铺及产品管理，优化店铺页面、产品标题、主图、详情、上下架等工作；3、完成店铺活动的策划、具体执行及数据复盘，协调美工、推广的活动配合工作，提升活动效果；4、负责店铺推广相关工作，不断优化推广数据；5、负责分析店铺销售数据、流量数据、CRM数据，及时提出改进措施，给出确实可行的改进方案，页面及营销策略方案、不断优化运营和服务；6、电商新兴推广及曝光方式的不断学习，运营大趋势，新动态的学习。任职资格：1、2年以运营工作经验，保健品相关运营经验优先；2、熟悉天猫、淘宝、阿里巴巴、小红书、拼多多、唯品会等平台规则、运营流程和指标数据分析；3、细致、耐心的工作态度，良好的沟通技巧和组织协调能力，富有激情和创造性。,电商,150-500人,深度学习,郑州
直播艺人,https://www.lagou.com/jobs/7219321.html,,4k-8k,河南省未名科商文化传媒有限公司,不限,不限,包食宿.新媒体运营。高薪.高颜值,不限学历，有无经验均可。想赚钱，愿意学习的来。抖音，陌陌、探探、安全靠谱。 (全部不限地区，可线上线下工作) 工资待遇:有经验者平均10000- -20000，优秀者上不封顶。新人通过培训后保底4000/月，底薪+提点+奖金有无经.验均可，有专业运营团队免费培训，一对一指导。 主播类型:娱乐主播，才艺主播， 福利:线下包食宿，别墅公寓房单人单间，免费提供全套直播设备。线上安排- -对一免费指导! 要求: 18- -30岁，服从公司安排，热爱直播行业，学习积极，工作踏实! 全民直播时代已经来临，抓住短视频的红利期，真的可以少奋斗好几年!错过了今年又错过一个时代!,文娱丨内容,50-150人,深度学习,郑州
视频运营,https://www.lagou.com/jobs/7129863.html,金水区,5k-10k,北京山香时代教育科技股份有限公司,1-3年,大专,新三板上市企业，前景好,岗位职责：1、根据公司要求策划出在抖音、快手上的创意内容主题，能独立完成原创内容的创意策划和拍摄执行2、结合公司产品、用户特性做好抖音、快手等短视频平台运营，定期产生视频内容，并可根据数据表现对视频内容质量进行调整优化，;3、制定针对性内容运营策划方案，提高用户关注度和粘性，通过内容输出，进行品牌宣传和粉丝转化任职要求：1、擅长视频拍摄与剪辑，有影视相关作品或经验优先，可提供原创视频作品；2、深度互联网用户，热爱抖音、快手等时下热点产业，抖音深度用户，熟悉短视频平台特性、用户喜好、内容玩法；3、思维活跃脑洞大，思维活跃，学习能力强。,"移动互联网,教育",500-2000人,深度学习,郑州
中高级产品经理,https://www.lagou.com/jobs/6812377.html,高新区,13k-26k,中移在线服务有限公司,3-5年,本科,年薪N薪 亿级产品 国企大平台 扁平化,一、岗位职责1、负责中国移动互联网服务渠道（微信、微博、APP等）产品的需求分析、规划和设计、项目和人员管理；2、负责产品生命周期管理，分析行业趋势，挖掘用户需求，制定产品发展战略；3、带领团队深度收集与分析竞争产品、行业产品、用户体验等相关信息，不断挖掘创新点；4、确立产品的阶段目标、把控开发流程、跨部门协调进度、分析运营数据、制定改进方案；5、建立有效的业务需求和问题反馈渠道，通过数据分析和洞察发掘问题和机会，充当技术与业务的桥梁。6、帮带新人，制定并管理从需求到实施的各项产品规范。二、岗位要求教育：全日制大学本科及以上学历；知识：熟悉互联网、通信行业产品和服务，具有互联网或IT产品管理与研发的知识，对移动互联网行业有深刻理解和成功经验；技能：1、具有较强的数据分析能力、2、丰富的C端产品需求分析、产品策划和运营经验，有产品部门规划、团队管理与项目管理经验；3、具备营销、管理、产品、IT支撑等多学科、跨专业的复合型知识储备；4、具备优秀的技术创新能力、团队协作能力强，拥有强烈的责任心和团队合作精神；5、良好的审美能力，学习能力和逻辑思维能力强，思路活跃，工作主动积极。经验：3年及以上互联网产品管理或研发管理工作经验，有一定的的团队管理经验、且培养过优秀产品团队的经验者优先。,移动互联网,2000人以上,深度学习,郑州
推荐算法专家,https://www.lagou.com/jobs/7025672.html,高新区,15k-30k,安徽甜心互娱网络科技有限公司,5-10年,本科,待遇优厚 周末双休,"职位描述工作职责1. 负责推荐系统核心算法研发，优化系统效果，通过技术驱动业务发展。2. 具体工作包括但不限于推荐算法研发、dnn建模、用户兴趣建模、用户实时意图建模等。岗位要求:1. 5年以上互联网公司数据挖掘/机器学习项目经验，有lead一个项目或者一个方向的经验，有较强的沟通能力和项目推动能力。2. 精通Linux环境下的代码开发，熟练使用调试工具，有推荐系统研发经验。3. 具备良好的编程能力和代码风格，熟练掌握一门强类型语言，并至少掌握一门脚本语言。4. 对常用的推荐算法有较深入了解，有实际算法调优经验。5. 掌握常用的数据挖掘和机器学习算法，如分类/聚类算法、预估算法等6. 熟悉机器学习的前沿技术和业界动态7. 优秀的领导力、推动力和沟通能力；【符合以下条件者加分】 1.有搜索/推荐/广告相关领域的研发经验，并在某一个领域有深入积累； 2.熟练掌握Hadoop/Spark/Storm等一种以上处理框架；有大规模机器学习相关实践经验； 3.熟悉深度学习算法原理，对机器学习梯度优化算法深入理解；熟悉深度学习框架（tensorflow,MXNet）4.有知名互联网公司工作经历；","游戏,社交",150-500人,深度学习,郑州
大数据开发工程师,https://www.lagou.com/jobs/7190332.html,中原区,10k-15k,安徽甜心互娱网络科技有限公司,3-5年,本科,双休、五险一金、下午茶、旅游、年终奖,"1、负责 Hadoop 集群、数据分析平台、计算平台开发和维护； 2、负责公司海量用户行为日志数据收集、ETL； 3、支持实时数据报表、离线数据报表、交互式数据分析等多种数据应用； 4、负责数据仓库业务主题数据建模以及核心代码开发开发和调优。任职要求1.3年以上大型数据仓库规划和实施经验，熟练掌握主流ETL解决方案，计算机相关专业本科及以上学历； 2.精通SQL语言, 熟悉Java，Python，scala等数据科学开发语言，至少要精通其中一种 具备数据库（mysql，postgresql等）使用和优化实践；大数据仓库建模及数据ETL开发经验 3.掌握MapReduce系列大数据系统原理，熟练使用HDFS、Hive，Spark，Flink，HBase，Kafka等分布式计算系统，并对于使用场景，优化方式有着深入理解 4.至少具备阿里云、AWS、Azure等其中一种云服务上大数据存储、计算以及挖掘分析使用经验超过2年的时长经验 5.熟悉深度学习，有深度学习相关框架如Tensorflow,Caffe,PyTorch,Mxnet开发经验者优先 热爱数据开发以及科学分析工作； 工作责任心强，有较强的抗压能力、沟通能力、项目推动能力和良好的服务意识","游戏,社交",150-500人,深度学习,郑州
