job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据/深度学习工程师（重庆）,https://www.lagou.com/jobs/6727540.html,渝北区,15k-25k,杭州安恒信息技术股份有限公司,3-5年,本科,五险一金 带薪年假 国内外旅游,岗位要求：1.精通elasticsearch群集设计，架构设计，数据存储；2.精通 tensorflow； 3.精通python/golang；4.熟悉深度学习模型，数据挖掘； 5.熟悉TCP/IP协议与socket编程，能独立分析常用的应用层协议；6.加分项：了解网络安全，网络攻击优先 。,"信息安全,数据服务",500-2000人,深度学习,重庆
深度学习算法工程师,https://www.lagou.com/jobs/5332526.html,渝北区,10k-20k,中冶赛迪重庆信息技术有限公司,3-5年,硕士,世界500强央企 大平台,"工作职责：1、研发高质量的计算机视觉和深度学习算法，包括但不限于目标检测、目标识别、目标跟踪、目标定位。2、负责影像数据的标注方案设计和质量检查。3、支持公司视觉相关产品的研发。任职资格：1、在深度学习、计算机视觉等方面有较深入的研究；2、具有良好的编程、工程实现和调优能力,熟练掌握c/c++,Python。3、了解深度学习的进展,熟悉MXNET,TENSORFLOW,CAFFE等至少一种深度学习框架,有GPU上模型训练的经验。4、熟悉物体(人脸、人体、通用目标)检测、跟踪和识别的基本算法,熟悉相关的开源项目。",移动互联网,500-2000人,深度学习,重庆
算法工程师,https://www.lagou.com/jobs/6694950.html,渝北区,9k-18k,中冶赛迪技术研究中心有限公司,不限,硕士,大型央企、五星食堂、三星住宿、工团福利多,岗位职责：（1）负责智能设计、数据分析类产品的算法设计、开发、优化、测试等工作；（2）负责机器学习算法方案的设计、性能优化和在具体项目中的应用实施；（3）跟进国内外机器学习及深度学习方向的最新技术研究及应用趋势；（4）根据业务需求开展算法研究和构建模型，负责探索机器学习算法在工业领域中的应用。岗位要求：（1）硕士及以上学历，计算机、自动化、数学、统计等专业，扎实的编程基础，精通至少一门语言；    （2）具有扎实的编程基础，熟练掌握 C++ 编程，熟悉 Python/Matlab 编程之一，熟悉一种或多种深度学习主流框架，熟悉Hadoop/Spark/Flink等任意一种大数据开发框架者优先；（3）对机器学习系统有一定了解，熟悉最优化的基础理论，能够将业务问题转化成相关的优化问题并求解，深刻理解并独立实现过相关算法（回归、决策树、分类问题、深度神经网络、图模型，概率统计，最优化方法等），并具备相关项目实践经验；或熟悉常用的机器学习算法，了解不同模型的特性，具有运用高级数学模型进行综合数据分析的能力和实践经验；（4）工作认真负责，善于沟通，具有良好的团队协作能力，能承受工作压力，愿意接受挑战，参加数学建模比赛并获得奖项者优先考虑。,其他,2000人以上,深度学习,重庆
算法工程师,https://www.lagou.com/jobs/6821979.html,南岸区,13k-15k,重庆盛海科技发展有限公司,1-3年,硕士,六险一金，周末双休，带薪年假，年底双薪,岗位职责 ：1. 利用机器学习方法解决视频图像的分类检测跟踪等问题；2. 探索深度学习、增强学习、迁移学习等技术在图像领域的应用；3. 跟踪人工智能前沿技术，在实际业务中尝试应用。任职条件：1. 计算机、数学、统计或相关领域学位，硕士及以上学历，1-3年相近工作经验；2. 扎实的算法、编程、数理基础，熟练使用C/C++、Python中的至少一种编程语言；3. 熟悉常用的机器学习、深度学习算法，有实践经验者优先；4. 具备大数据处理能力，有分布式环境下非结构化数据处理经验者优先；5. 善于学习，思维活跃，乐于挑战，有良好的沟通表达能力和团队精神；6.有北上广深工作背景优先。,"人工智能,物联网",50-150人,深度学习,重庆
算法工程师,https://www.lagou.com/jobs/7172888.html,九龙坡区,11k-16k,重庆锦禹云能源科技有限公司,1-3年,硕士,大牛指导，竞争性薪酬，挑战性工作,岗位职责：1）面向电力、石化、金融、公安、交通等公共事业客户提供大数据算法解决方案，帮助客户挖掘数据价值，构筑差异化竞争力，支撑解决方案取得商业成功；2）负责智慧电网中智能巡检AI算法和电网智能决策的建模和算法设计、开发；3）负责金融、石化、交通等公共事业领域的大数据建模和算法设计、开发；5）在新数据分析算法上实现技术突破，比如在精度、准度、效率等方面有显著提升，进一步成果达到业界领先水平，在产品竞争力上可以跟行业标杆可比；6）能够把握行业发展趋势，根据未来客户的潜在需求，提出并论证新的技术方向和课题。岗位要求：1）熟悉Spark、流计算、Hadoop、Flink、GraphX、GraphLab、HBase等开源大数据平台；2）熟悉数据挖掘算法，对分类、聚类、时序、图等算法有很深了解；3）熟悉机器学习算法，对目标检测、异常检测等算法有深入了解；3）具有大数据软件工程能力，至少在大数据开源平台上有2年以上开发经验者优先；4）具有电网、金融、石化等行业数据分析、数据建模经验者优先。5）须具有硕士研究生及以上学历，985、211院校研究生优先。,"移动互联网,企业服务",15-50人,深度学习,重庆
图像算法工程师(重庆)(J10071),https://www.lagou.com/jobs/7017999.html,九龙坡区,20k-25k,创新奇智（北京）科技有限公司,3-5年,硕士,五险一金，商业保险，午餐补助,工作职责:1. 计算机视觉核心算法（图像分类、目标检测、图像分割等）的研发；2. 负责深度学习（CNN、RNN、GAN等）在计算机视觉领域的核心算法的研发；3. 展开上述算法在工业检测、安防等领域中的项目研发；4. 与产品开发团队协作实现公司核心算法平台的技术迭代与优化，完成产品开发周期的升级迭代。任职资格:1. 硕士以上，计算机相关专业；2. 有3年以上计算机视觉、图像处理领域研发和技术经验；3. 熟悉深度学习常用的算法和优化策略，熟悉常用机器学习算法，有相关研发经验；4. 精通Python、C++等至少一种编程语言，熟悉TensorFlow、PyTorch、MXNet、Caffe等至少一种深度学习框架，熟悉Linux工作环境，对数据结构和算法设计有深刻理解；5. 了解深度学习/计算机视觉领域的最新研究成果、公开数据集和相关的开源系统；6. 对深度学习、机器学习、计算机视觉等技术创新与应用充满激情；技术狂热者，乐于和善于完成具有挑战性的技术工作，很强的动手实践能力。,移动互联网,150-500人,深度学习,重庆
算法工程师 实习生,https://www.lagou.com/jobs/6506028.html,九龙坡区,4k-8k,重庆锦禹云能源科技有限公司,应届毕业生,硕士,大牛指导，氛围轻松，支持多方发展学习,"岗位职责：
   负责产品的算法研究、开发和实现
  2.  负责设计和采集算法特征数据  3.  针对特定需求，综合运用数据挖掘和机器学习等工具，从数据中建模，解决问题； 岗位要求：1、硕士及以上学历，接受实习生；2、精通神经网络等常用机器学习算法，CNN等；3、熟练Python开发语言编程；熟练tensorflow等深度学习框架4、具有团队合作精神。","移动互联网,企业服务",15-50人,深度学习,重庆
机器学习工程师,https://www.lagou.com/jobs/6800659.html,渝中区,8k-15k,重庆众意网科技有限公司,3-5年,本科,项目奖金，年底奖励，股权激励,职责描述： 1、结合大数据机器学习等技术，深入挖掘和分析海量商业数据； 2、分析业务模型与应用场景，参与数据清洗和过滤、特征抽取、参数选择、算法实验、效果分析； 3、根据业务需求，从机器学习角度给出有效的优化解决方案； 4、从事公司用户画像与商品推荐系统算法的研发工作； 5、借鉴业界相关开源技术，不断改进技术体系，驱动业务发展； 任职要求： 1、熟悉主流的机器学习，数据挖掘基本算法和数据模型，有大量数据搜集、整理分析的经验； 2、具备大型互联网电商企业的用户画像商品推荐搜索系统经验； 3、在特征工程、模型评估、模型上线等方面具备充分的实践经验； 4、具有扎实的统计学、数据挖掘相关知识，熟悉数据仓库和数据挖掘的相关技术； 5、精通Python，Java，R等至少一门语言； 6、学习能力强，对商业和业务逻辑敏感； 7、对海量数据挖掘分析有浓厚兴趣，了解Hadoop及Spark生态圈相关技术具备分布式机器学习相关经验。 加分项: 1.具备深厚数据建模（机器学习，数据挖掘）和分析理论知识和经验,其他,15-50人,深度学习,重庆
图像算法工程师,https://www.lagou.com/jobs/4910857.html,渝北区,10k-20k,中冶赛迪重庆信息技术有限公司,不限,硕士,"央企,发展平台",岗位职责：1、负责图像算法的需求分析2、编制相关设计文档；3、负责相关算法的设计、开发和现场验证工作.岗位要求：1、硕士及以学历，计算机、软件工程、自动化、数学、统计等相关专业；2、熟悉图像处理算法及工业检测、自动化机器视觉算法3、有人脸识别、物体检测、图像分类、图像搜索、缺陷识别、视觉引导定位、3D构建、激光点云处理等项目经验者优先；4、熟练掌握C++开发者优先.,移动互联网,500-2000人,深度学习,重庆
算法工程师,https://www.lagou.com/jobs/6865955.html,南岸区,7k-12k,中国信息通信研究院,不限,硕士,"周末双休,六险一金,定期体检,专业培训","职位描述：1. 根据业务需求开发工程项目。2. 负责开发图像处理，目标识别，实例分割等相关算法。3. 负责算法的测试与优化。4. 相关文档的撰写。 职位要求：1. 相关专业硕士及以上学历；2. 熟悉机器学习/深度学习相关的算法；3. 熟练使用C++或C#, python等开发语言，至少熟悉tensorflow, pytorh或mxnet中一种深度学习开发框架。熟练的使用opencv或halcon等工具；4. 具有良好的英文文献阅读能力；5. 有实际项目开发者优先，有参加过竞赛者优先，有模型优化经验者优先。",通讯电子,2000人以上,深度学习,重庆
