job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
图形算法工程师,https://www.lagou.com/jobs/6647398.html,市北区,6k-11k,山东海博科技信息系统股份有限公司,不限,本科,"五险一金,员工旅游,专业培训,带薪年假","岗位职责：1、从事图像处理与模式识别算法研发工作； 2、负责车型识别、车牌识别、人脸识别、行为动作识别、智能视频分析等工作。任职要求：1.应用数学、计算机、图形图像、多媒体、电子工程领域本科或以上学历； 2.熟悉C、C++编程，基础好，熟悉图像算法，熟悉机器视觉算法； 3.熟练使用OpenGL, OpenCV, Matlab等库； 4.对算法研究和应用有浓厚兴趣； 5.有视频质量诊断、人脸识别的工作经验优先； 6.具备高度的责任心及团队精神，愿意接受挑战性的工作，能够及时高效完成任务； 7.吃苦耐劳，具备良好的抗压性.良好的学习能力和团队协作能力； 8.深入了解视频编解码算法H264/HEVC优先。","移动互联网,信息安全",50-150人,深度学习,青岛
机器学习专家,https://www.lagou.com/jobs/6578537.html,市北区,8k-16k,青岛永嘎科技有限公司,3-5年,本科,"一同创业，共同成长。
成为联合创始人。",1.用好python.熟悉机器学习，深度学习，迁移学习，强化学习。熟悉基本的算法，机器学习常用算法，有自己擅长的领域。tensorflow.pytorch，caffe.solodity.至少要会使用一种。2主要实践方向，对二手房数据的机器学习推荐系统，广告系统，二手房区块链公链的实现，其他研究方向，人工智能下:脑机接口，癌症的诊断和基因治疗，量化交易。.3. 利用数据挖掘、建模分析的理论和方法解决具体业务需求问题，提升业务运转能力； 4、对互联网大数据挖掘、数据分析有一定的研究，并且拥有非常强的自我学习能力、自我激励能力。,"移动互联网,消费生活",少于15人,深度学习,青岛
用户画像算法工程师,https://www.lagou.com/jobs/6848341.html,黄岛区,12k-17k,青岛国信城市信息科技有限公司,不限,本科,市直企业、政府授权、智慧城市建设及运营,一、需求量：1二、工作职责1、基于跨领域的多场景的用户行为数据，建立、评估、持续优化数据模型，构建和优化用户画像，产出用户标签；2、用户画像需求分析，构建基于用户行为特征的平台化画像服务能力；3、参与搭建完整的用户画像挖掘系统，包括数据处理、挖掘用户画像、准确性评估等；4、建立用户画像产品的监控和评估机制。三、任职资格学历：本科及以上专业：计算机或其他相关专业年龄：40岁以下工作技能1.具备扎实的数学和计算机编程功底，以及坚实的文本数据挖掘和机器学习理论基础；2、精通至少一种编程语言，如R、C/C++、Java、Python等；3、掌握基于Hadoop或Hbase等大数据平台工具的开发与设计，熟悉Hive，Spark开发 ；4、熟练掌握熟悉常用的机器学习算法（贝叶斯，聚类，逻辑回归，SVM，GBDT，RF等）5、具有用户画像、个性化推荐、千人千面、DMP系统等相关的项目经验优先。,"人工智能,区块链",2000人以上,深度学习,青岛
算法工程师,https://www.lagou.com/jobs/7088595.html,市北区,8k-16k,青岛上啥班网络科技有限公司,3-5年,本科,纯互联网公司，扁平化管理，晋升多，培训多,岗位职责：搜索推荐场景下利用机器学习、数据挖掘等方法建立用户画像和商品画像的算法模型，提升搜索推荐质量，改善用户体验岗位要求1.数据挖掘、机器学习相关经验3年以及以上2.有较强的数据结构和编码能力3.有hadoop使用经验，有NLP经验者尤佳,"移动互联网,企业服务",50-150人,深度学习,青岛
密码算法工程师,https://www.lagou.com/jobs/6672556.html,崂山区,12k-15k,青岛方寸微电子科技有限公司,3-5年,不限,五险一金 餐补 年终奖 福利 弹性工作,"岗位职责：1.密码算法的研究和开发；2.指导芯片开发人员进行硬件模块设计实现和验证 ；3.研究、跟进芯片安全相关的攻击和防护技术；4.指导设计人员在安全硬件模块中加入对应的防护措施；5.撰写开发文档，以及商密产品型号申请所需的技术文档。岗位要求：1.信息安全、密码学、数学、计算机相关专业本科及以上学历 ，3年以上工作经验，硕士优先；2.熟悉DES/SM4/SM3/SHA/RSA/ECC/SM2等安全算法,熟悉SM2/RSA/ECC者优先；3.熟悉 verilog或C 语言；4.熟悉网络安全及密码协议者优先；5.熟悉侧信道攻击或错误注入分析者优先；6.热衷于技术工作，具有较强的学习、沟通和团队合作能力。福利待遇：1.按国家规定入职缴纳五险一金；2.底薪+餐补+绩效+年终奖+股权激励；3.定期体检，员工活动，节日福利；4.弹性工作，专业培训。","硬件,其他",50-150人,深度学习,青岛
高职AI培训师,https://www.lagou.com/jobs/7103204.html,青岛高新技术产业开发区,10k-20k,北京市商汤科技开发有限公司,5-10年,本科,大牛团队,岗位职责： 人工智能相关设计课程，并讲解人工智能、自然语言处理，经计算机视觉，数据挖掘，机器学习、数据科学的知识，使学生具备初级AI工程师或参数训练师的能力。任职要求：1. 本科及以上学历，五年及以上工作经验，计算机、数学、物理等相关专业毕业；硕士两年以上工作经验。2. 对自然语言处理、计算机视觉、数据挖掘或者推荐系统、数据可视化、无人驾驶等其中一个或者多个感兴趣且有足够的研究；3. 熟练掌握Python编程语言，精通数据结构算法，动手能力强，参与过实际的企业项目；4. 熟练掌握基础的数学、统计相关知识，对微积分，概率论等基础知识清楚；5. 熟练掌握基础的人工智能、机器学习方法；6、具备扎实的机器学习和深度学习功底，对于常用算法例如SVM，决策树，GBDT，CNN，RNN等的原理有深刻理解。具备一定的工程能力，熟悉至少一种深度学习开发框架(Tensorflow/Pytorch)；7. 有教育理想愿意把自身经验技术传播给更多的人；,人工智能,2000人以上,深度学习,青岛
HRBP-项目运营,https://www.lagou.com/jobs/7089091.html,市南区,20k-40k,北京字节跳动科技有限公司,不限,本科,"六险一金,租房补贴,带薪休假,下午茶",,文娱丨内容,2000人以上,深度学习,青岛
高职AI培训师,https://www.lagou.com/jobs/7106058.html,青岛经济技术开发区,10k-20k,北京市商汤科技开发有限公司,5-10年,本科,人工智能,岗位职责：人工智能相关设计课程，并讲解人工智能、自然语言处理，经计算机视觉，数据挖掘，机器学习、数据科学的知识，使学生具备初级AI工程师或参数训练师的能力。岗位要求：1. 本科及以上学历，五年及以上工作经验，计算机、数学、物理等相关专业毕业；硕士两年以上工作经验。2. 对自然语言处理、计算机视觉、数据挖掘或者推荐系统、数据可视化、无人驾驶等其中一个或者多个感兴趣且有足够的研究；3. 熟练掌握Python编程语言，精通数据结构算法，动手能力强，参与过实际的企业项目；4. 熟练掌握基础的数学、统计相关知识，对微积分，概率论等基础知识清楚；5. 熟练掌握基础的人工智能、机器学习方法；6、具备扎实的机器学习和深度学习功底，对于常用算法例如SVM，决策树，GBDT，CNN，RNN等的原理有深刻理解。具备一定的工程能力，熟悉至少一种深度学习开发框架(Tensorflow/Pytorch)；7. 有教育理想愿意把自身经验技术传播给更多的人；,人工智能,2000人以上,深度学习,青岛
教研专家,https://www.lagou.com/jobs/6577547.html,黄岛区,15k-25k,广东讯飞启明科技发展有限公司,3-5年,本科,具有竞争力的薪资,岗位职责：1.针对学龄前或者海外用户群体，研发、策划出受欢迎的学习内容体系；2.完成视频节目的选题策划、组稿及制作，产出精准打动受众的优质内容；3.规划日常制作进度表，策划、协调安排项目进度；4.配合部门完成产品上线所需的物料及运营推广；任职要求：1.本科以上学历，有5年以上相关工作经验优先：（1）电视台、出版社、图书公司工作经验；（2）一线传统媒体专栏编辑工作经验；（3）有内容策划、知识付费类课程研发等方面的成功案例2.对文学艺术、人文社科、亲子、科普等方向感兴趣且有深度研究者优先；3.热爱读书，知识面广，乐于学习新事物；4.一流的内容策划能力及鉴赏力，敏锐的创意意识与判断力，文字功底扎实；5.善于沟通和协调，有责任感，执行力强，抗压能力强。,教育,150-500人,深度学习,青岛
运营总监（高考志愿填报业务）,https://www.lagou.com/jobs/7168786.html,即墨市,10k-20k,深圳道道网络科技有限公司,5-10年,本科,牛人团队 弹性工作 阳光环境,职责描述： 1、负责公司志愿填报及升学规划项目的业务体系搭建，团队组建；2、负责公司志愿填报及升学规划方向相关政策和本科学校专业分析，制定市场推广营销方案；3、负责更新、开发培训课程及培训资料及开展现场、线上讲座；4、为学生职业发展进行路径规划与研究；5、对新高考多元渠道进行研究，积极开发合作方，进行产品拓展。  任职要求：1、本科以上学历，五年以上高考志愿填报及高中升学规划相关工作经验；2、深度了解志愿填报，自主招生，新高考等各项高考政策。3、对教育行业尤其是中学教育有深刻独到的见解；有很强的经营、管理、领导能力；极强的学习意识和快速学习的能力；富有人格魅力。,数据服务,50-150人,深度学习,青岛
