job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
广告美工,https://www.lagou.com/jobs/7212414.html,朝阳区,7k-10k,北京云保网络科技有限公司,1-3年,不限,职位诱惑： 五险一金、定期团建,工作职责：1、有独立制作广告素材的能力，包含但不限于图片、视频等形式；2、根据广告产品的特点、投放场景及用户画像设计与其匹配的图片、视频素材，并根据投放效果对素材进行修改及定期更新；3、对投放广告的点击率负责，不断优化广告素材及物料，4、和运营保持良好沟通，积极配合运营的投放方案，随时调整设计内容。任职要求：1、熟练运用各类制图、视频剪辑软件，如：Adobe Photoshaop、Adobe Premiere Pro等；2、有良好的审美能力，对素材的设计、配色等有准确的把控；3、工作认真细致，有良好的沟通能力、具有较强的责任心及团队合作协作精神。4、有广点通、今日头条、百度信息流等广告设计经验者优先；,移动互联网,50-150人,美工,北京
美工,https://www.lagou.com/jobs/7062041.html,丰台区,4k-6k,北京盒马网络科技有限公司丽泽桥分公司,1-3年,大专,盒马发展快，晋升空间大,岗位职责：负责卖场氛围营造，包括但不限于店内装饰物料提报、接收、张贴；POP打印与检查等。岗位要求：会使用AI、PS等软件；主动意识强，有活力，有创新性；愿意在新零售发展。,"移动互联网,电商",50-150人,美工,北京
美工/编辑,https://www.lagou.com/jobs/7130991.html,朝阳区,6k-11k,北京中书艺莲网络科技有限公司,1-3年,大专,法定节假日、带薪年假、周末双休、五险一金,任职资格：1.熟练使用ps等修图软件，有良好的文字功底，掌握基本网络知识；2.有网站运营或天猫／京东相关工作经验者优先；3.有美工类经验者优先。岗位职责：1.负责天猫、京东的商品详情页、商品图修图、商品卖点提炼；2.负责店铺后台信息的编辑、整理与上传；3.负责产品页面的日常维护；4.领导安排的其他工作。,电商,50-150人,美工,北京
广告美工,https://www.lagou.com/jobs/7212414.html,朝阳区,7k-10k,北京云保网络科技有限公司,1-3年,不限,职位诱惑： 五险一金、定期团建,工作职责：1、有独立制作广告素材的能力，包含但不限于图片、视频等形式；2、根据广告产品的特点、投放场景及用户画像设计与其匹配的图片、视频素材，并根据投放效果对素材进行修改及定期更新；3、对投放广告的点击率负责，不断优化广告素材及物料，4、和运营保持良好沟通，积极配合运营的投放方案，随时调整设计内容。任职要求：1、熟练运用各类制图、视频剪辑软件，如：Adobe Photoshaop、Adobe Premiere Pro等；2、有良好的审美能力，对素材的设计、配色等有准确的把控；3、工作认真细致，有良好的沟通能力、具有较强的责任心及团队合作协作精神。4、有广点通、今日头条、百度信息流等广告设计经验者优先；,移动互联网,50-150人,美工,北京
网页设计美工/UI设计,https://www.lagou.com/jobs/5338729.html,朝阳区,9k-15k,北京新数科技有限公司,1-3年,本科,创新技术 发展稳健,职责：1、配合产品开发团队进行相关WEB类软件产品的界面设计、美化等工作；2、负责企业VI和宣传物料平面设计工作。要求：1、本科以上学历，2-3年以上美术设计相关工作经验，有IT或互联网行业相关经验为佳；2、有WEB网站界面设计经验，尤其是后台管理软件界面设计经验者优先；3、较强的审美和页面版式规划设计能力，能很好的把握色彩搭配与网页布局，熟悉用户体验；4、熟练使用Photoshop、AI等专业绘图工具；5、有一定html/css前端开发经验者加分，有市场宣传相关工作经验者优先；6、具备工作责任感和团队合作精神，以及良好的沟通能力，具备创新的精神，可以独立完成工作。,企业服务,50-150人,美工,北京
3D美工(J10169),https://www.lagou.com/jobs/6723670.html,朝阳区,25k-30k,珠海随变科技有限公司,不限,不限,"**C2M,六险一金,扁平化管理",,电商,150-500人,美工,北京
美工实习生,https://www.lagou.com/jobs/7173879.html,朝阳区,3k-4k,北京蜜莱坞网络科技有限公司,应届毕业生,本科,"专业团队,办公环境,福利完善,上升空间",岗位描述：1.负责产品信息流广告的图片素材处理，落地页处理等；2.负责优质素材的收集整理工作，并跟踪设计广告素材的投放效果，根据数据表现优化创意方案；3.负责代理信息流素材的审核；4.根据产品用户群体设计不同种类风格素材。任职要求：1.熟练掌握PS或其他图片处理软件；2.善于创新、思维活跃，有优秀的审美能力，良好的创意构思能力；3.抖音、快手、微博等重度使用者，善于跟踪当下热门话题；4.良好的文案产出能力；5.能处理简单的视频剪辑是加分项；6.要求21届同学，能尽快到岗者优先。,文娱丨内容,500-2000人,美工,北京
美工设计,https://www.lagou.com/jobs/7013755.html,朝阳区,10k-15k,北京中书艺莲网络科技有限公司,5-10年,大专,交通补助、饭补、五险一金、带薪年假,工作内容 1.负责天猫/京东官方旗舰店的设计，整体视觉的把控；2.配合运营做好营销活动的策划与设计，不断优化，提升页面转化效果；3.配合官旗营销活动，更新促销宣传版面、定期更新官旗主页、主KV、页面的美化、各种活动及专题页面的制作；4.负责线下活动物料的设计工作，如海报、易拉宝等；岗位要求 1.具备三年以上电商设计、运营设计等相关工作经验（UI岗位勿投）；2.能够熟练使用电脑手绘板进行手绘设计者优先；3.精通Photoshop 、AI、C4D等设计软件；4.有较强的独立设计能力，有独到的见解和表现力，色彩感觉良好，对图片色彩把控到位，图片视觉有冲击力；5.对文创产品感兴趣者优先；6.投递简历时请附带设计作品（网站链接/pdf）。,电商,50-150人,美工,北京
美工,https://www.lagou.com/jobs/7209726.html,丰台区,6k-8k,安心相助金融服务外包（北京）有限公司,不限,本科,周末双休 五险 全勤奖,1.负责公司公众号页面设计及后台运营2.负责公司线上推广文案、素材的收集整理与设计要求新求异能达到良好推广效果3.负责公司线下门店的职场环境以及宣传材料(包括海报、宣传单页、H5链接视频、会议PPT)的设计与展示4.负责把握公司整体的视觉设计，配合满足各个部门的工作需要,金融、企业服务,15-50人,美工,北京
小游戏美工,https://www.lagou.com/jobs/7186098.html,昌平区,6k-10k,北京中恒嘉科技有限公司,1-3年,大专,初创公司 人性化管理   五险一金 双休,1.负责小游戏所有美术工作；2.具备游戏美工经验、有一定游戏审美；（重点）3.熟练运用PS、ai、painter等常用工具软件，美术基础扎实，有原画功底；4.熟练UI设计、模型设计、熟悉2D、3D动画、会剪辑者优先考虑；5.简历请附带相关作品。备注：没做过游戏的宝宝们就不要投简历了❤️,游戏,少于15人,美工,北京
