job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
美工实习生,https://www.lagou.com/jobs/6480328.html,南开区,1k-2k,天津市神州商龙科技股份有限公司,应届毕业生,本科,福利待遇优厚,岗位职责：1、公司网页图片修改；2、负责图片审核修改等工作；3、图片资源资料库的建立及管理。任职要求：1．具有良好的审美能力。 2．有良好的理解能力，认真完成公司交待的不同任务； 3. 熟练使用Photoshop、图片处理软件和Office办公软件； 4．学习能力强，适应能力好；有潜力，有激情； 5.与美术相关专业者优先，有扎实的功底，色彩感悟力强； 6.有平面媒体、图片库或图片网站的图片编辑和拍摄经验优先。,"移动互联网,消费生活",500-2000人,美工,天津
网页设计美工,https://www.lagou.com/jobs/7046946.html,河东区,3k-4k,天津东方优财财务咨询有限公司,不限,不限,五险一金，节假日，团队旅游,1、负责公司网站的维护与更新；2、负责公司公众号等的更新与宣传；3、负责公司宣传图片，H5等的制作；4、熟练使用PS与AI制图软件，5、熟练使用办公软件(PPT制作等）；6、熟悉了解基础的前端和后台开发原理。薪资待遇，3000-4000/月，五险一金，法定节假日，双休，带薪年假。,企业服务,15-50人,美工,天津
平面美工,https://www.lagou.com/jobs/6950867.html,西青区,3k-4k,青岛恩伯斯教育有限公司,3-5年,不限,兼职，急聘,从事视觉美术服务外包类项目，主要包括电商平面、原画插画、视频剪辑制作等，请携带个人作品和简历,教育,少于15人,美工,天津
淘宝天猫美工,https://www.lagou.com/jobs/7007491.html,红桥区,4k-6k,星沃文化传媒（天津）有限公司,1-3年,不限,老板nice；工作环境轻松,"1、负责京东、天猫、自有线上商城等各渠道店铺页面装修和日常维护、焦点图、活动页、详情页设计，注重用户体验与页面加载速度； 2、负责产品页面、首页、关联营销模板的设计制作； 3、负责公司品牌推广平面设计，包装印刷设计等，能够独立按照公司的要求完成设计工作；4、负责产品图片的PS美化；5、关注同类型电商的设计方向，并进行深入分析和研究；6、能把握不同设计风格，并用视觉设计来引导用户 ；7、其他日常的产品图片的设计制作。 岗位要求：
 大专以上学历
 年以上同行业工作经验
 有成功的案例
 审美较好",文娱丨内容,15-50人,美工,天津
电商美工,https://www.lagou.com/jobs/6892311.html,红桥区,4k-8k,天津库瑞恒兴科技有限公司,1-3年,不限,每年旅游度假,1 熟悉电商系统规则2 会ps ai等制图软件 3 有1-2年电商工作经验,广告营销 移动互联网,15-50人,美工,天津
美工助理,https://www.lagou.com/jobs/6760634.html,武清区,2k-4k,北京国润信昌网络科技有限公司,应届毕业生,不限,很亮,1.熟悉相关，工作认真勤奋；2.熟悉常用的设计软件，精通PHOTOSHOP等软件的操作，熟练使用常用办公软件；3.需具备良好的沟通和表达能力，较强的团队合作精神；4.有较强的构图审美能力；5.对时尚行业有一定的敏感度；,"移动互联网,电商",15-50人,美工,天津
3D效果图/建模/家装设计,https://www.lagou.com/jobs/7114797.html,南开区,4k-6k,美屋三六五（天津）科技有限公司,1年以下,不限,绩效工资高，发展潜力大，公司拟准备上市,岗位职责：1、负责3D建模、贴图渲染及后期处理；2、配合美工和策划的相关需求方案设计；3、定制家具效果图设计和制作。任职资格:1、学历不限，有无校外培训经历均可，入职前会有为期3天的培训和压力测试（不收费）；2、熟练使用3DMAX，Photoshop等相关软件，熟悉MAX各种渲染插件；3、富有创造力，有较强的审美和色彩运用能力，对家具行业了解；4、有较强的团队合作意识和沟通能力，注重细节，有较强的抗压能力。,"移动互联网,企业服务",50-150人,美工,天津
美术编辑,https://www.lagou.com/jobs/6949298.html,河东区,3k-6k,北京智启蓝墨信息技术有限公司,1-3年,大专,午餐、生日礼物、年假、婚育金,技能要求：图书封面设计，美工，平面设计岗位职责：1.纸质图书全数字、富媒体排版设计；2.负责美编样稿的审核和指导；3.图文插画的设计和手绘。任职要求：1．熟练运用PhotoShop、InDesign、AI等图形处理软件、排版软件，具有一定美术功底；2.了解或熟悉UI/UE设计；3.有美术功底，可手绘插画、素描；4.熟悉互联网媒体的形式和发展趋势，对新媒体和媒体特点有独特的理解；5.对色彩有良好的认知，熟练使用色彩的搭配组合，熟悉当今流行排版风格，具有一定的审美品位；6.一年以上媒体类美编工作经验；全媒体电子杂志、数字图书工作经验者优先。其他待遇：1.双休、法定节假日2.五险一金3.带薪年假8天4.定期培训、出游及员工生日活动,移动互联网,50-150人,美工,天津
3d建模师,https://www.lagou.com/jobs/7109367.html,河北区,4k-7k,天津鑫茂润天科技有限公司,不限,大专,急需3dmax建模师，薪资高，发展空间大,岗位职责1、3D家装方案的设计；2、负责3D建模、空间设计渲染及后期处理；3、配合美工和策划的相关需求方案设计；4、板式定制家具效果图设计和制作。任职资格:1、学历不限，有无培训班学习经历均可；2、熟练使用3DMAX，Photoshop等相关软件，熟悉MAX各种渲染插件；3、富有创造力，有较强的审美和色彩运用能力，对家具行业了解；4、有较强的团队合作意识和沟通能力，注重细节，有较强的抗压能力。,移动互联网,少于15人,美工,天津
网站编辑,https://www.lagou.com/jobs/4097557.html,红桥区,3k-5k,天津艺卓文化传播有限公司,应届毕业生,大专,"发展空间大,创业型团队,氛围活跃,全勤奖金",1.网站（自媒体平台）结构与内容的策划与组织，网站内容采编策划、网站设计和页面编辑。2.根据公司发展的总体方向，与技术等部门的沟通协作，策划、建设所负责的栏目。3.栏目内容的采编与日常维护，完成相关栏目的每日内容更新工作；4.信息合作渠道的建立与维护（媒体联盟）。负责与技术、设计等部门的沟通协作。5.了解网站媒体的特性，具备优秀的写作能力，编辑策划能力，熟悉网站规划，良好人际关系。6.熟悉使用Photoshop，Dreamweaver等常用软件，有一定的美工基础，对搜索引擎优化有一定的了解。7.与市场部专员（校园部）或者作者交流，提出相关线上活动设想。8.了解（网站、微信、媒体平台）后台统计数据、对内容等进行改进。9.信息价值是网站发展之本，要对用户有深刻的理解，对细节有偏执的追求。10.关注浏览站点的用户，关心他们需要什么，我们及提供什么，及时反馈顾客的需求。,文娱丨内容,15-50人,美工,天津
