job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
美工,https://www.lagou.com/jobs/6953154.html,南山区,7k-10k,深圳市博悦生活用品有限公司,1-3年,大专,年轻团队，准上市企业 氛围活跃,岗位职责：1、主导电商店铺的视觉设计，包括店铺调性、详情页、主图、活动、推广图的首席设计，能独立完成整案，快速给出设计方向；2、主导其他相关平面设计，包括如海报、单页、广告、新品推广等平面设计；3、主导定期优化店铺主页、促销图和页面，配合活动制定相关营销设计策略；4、对店铺整体设计输出、设计效果（图片点击率、转化率）负责；5、其他相关设计工作，包括公司产品线下设计、公司企业文化和品牌设计等。6、带领组员完成各项工作内容，包括合理分配工作事宜，给到组员建设性意见，跟进各项工作的时间节点顺利进行；7、能够对活动的策划提出优质的视觉解决方案，并进行执行和输出；8、能够和横向部门及组员顺畅沟通；9、把握当今设计趋势，分享设计经验；10、具有良好的职业素养、敬业精神及团队精神，擅于沟通、工作态度认真积极、有自主工作意识、善于主动挖掘网络资源、有自我挑战精神。岗位要求：1、本科及以上学历，美术、广告、平面设计第相关专业优先；2、有扎实的美术功底，能够准确把握整体风格及视觉表现，对结构布局策划有丰富经验，对竞店图片敏感，创作灵感丰富，时尚触觉敏锐；3、有良好的职业素养、敬业精神及团队精神，擅于沟通，工作态度认真积极，有自主工作意识，善于主动挖掘网络资源，有自我挑战精神；4、具有较强的创意策划能力，丰富的视觉创作经验和审美修养；对产品摄影图进行精修，提升产品品质感与品牌感；5、有电商店铺设计经验（主要是熟悉京东天猫淘宝），较强的创意、策划能力，对宝贝详情图、细节图有丰富处理经验，有良好的文字表达能力。,"电商,其他",150-500人,美工,广东
美工推广,https://www.lagou.com/jobs/7176879.html,南海区,4k-8k,佛山市青松科技股份有限公司,不限,本科,免费食宿 五险一金 扁平化管理,岗位描述： 1、负责美工设计、公司各网站及对外公众平台的推广与维护等工作； 2、负责公司产品的推广或展示方案设计等； 3、完成上级交办的事务。  岗位要求： 1、本科及以上学历，了解基本的HTML，有相关工作经验者优先； 2、制定并实施网络推广计划，熟练掌握软文、交换链接、SNS推广，SEO关键词推广等；  3、熟练应用Adobe Photoshop / CorelDRAW /AI等平面设计软件； 4、具有一定的的美工创意、文案编辑能力以及沟通协作能力，逻辑思维能力强，做事有条理。,硬件,150-500人,美工,广东
美工学徒,https://www.lagou.com/jobs/6639284.html,番禺区,4k-6k,广州图美信息科技有限公司,不限,不限,福利好前景好，稳定高薪，工作轻松不加班,职位要求：1、年龄18-32岁，基础不限。2、应届生、无技能工作者、转行等有志于从事设计行业的各界人士均可。3、不会可以培养，要有上进心，勤奋、看重长远发展的上进青年。4、热爱电商工作，对网店设计有浓厚的兴趣，性格开朗，想要有一份稳定的工作。工作范围：负责网店店铺的设计工作，看好且想往电商美工这方面发展的从业人员可以直接电话或者投递简历。 工资待遇这一块可咨询。工作时间：早九晚五不加班，周末单双休，正常法定节假日。,电子商务,50-150人,美工,广东
电商设计美工学徒,https://www.lagou.com/jobs/6643512.html,番禺区,4k-6k,广州图美信息科技有限公司,不限,不限,福利好前景好，稳定高薪，工作轻松不加班,职位要求：1、年龄18-32岁，基础不限。2、应届生、无技能工作者、转行等有志于从事设计行业的各界人士均可。3、不会可以培养，要有上进心，勤奋、看重长远发展的上进青年。4、热爱电商工作，对网店设计有浓厚的兴趣，性格开朗，想要有一份稳定的工作。工作范围：负责网店店铺的设计工作，看好且想往电商美工这方面发展的从业人员可以直接电话或者投递简历。 工资待遇这一块可咨询。工作时间：早九晚五不加班，周末单双休，正常法定节假日。,电子商务,50-150人,美工,广东
美工,https://www.lagou.com/jobs/7198400.html,南山区,6k-8k,深圳市超盟金服技术信息服务有限公司,3-5年,大专,晋升：美工组长,"工作内容：1、负责项目平台整体风格和产品图片的美工设计； 2、协助运营完成活动的专题页面设计，创意图设计，活动图设计等图文素材； 3、具备一定的电商运营思维，独立完成页面设计和素材排版制作。""任职资格：1、2年以上美工工作经验，有电子商务网站和电商平台页面设计经验优先；2、视觉营销设计，对设计美感有天生触觉和独特见解，并能图文并茂；3、有一定审美基础，熟练掌握Photoshop等相关软件操作。""",移动互联网,500-2000人,美工,广东
美工,https://www.lagou.com/jobs/7181345.html,天河区,5k-8k,广州市两棵树网络科技有限公司,1-3年,大专,福利好、前景大,岗位职责：1、负责社群运营整体设计把控改版和优化工作；2、负责制作商品详情页，详情页面产品资料和信息，对所店铺所销售的产品进行描述的策划及设计，包括对商品卖点挖掘、产品比较、功能描述、产品口号创意等设计；3、负责平台促销期的设计排版及促销宣传版面，配合推广制作推广宣传图、；店铺网页的设计、专题banner、页面的美化、各种活动及专题页面的制作；4、设计及把控视觉VI、新品的产品包装、广告图片等。职位要求：1、艺术设计相关专业专科以上学历；有网站美工经验1年以上；2、熟悉PS、DW、等技能；3、思维敏捷，想象力丰富、积极主动、工作认真，沟通协作能力强，富有团队精神；4、有较高的美术基础和审美能力；有网店美工设计及美工团队经验者优先考虑。,"移动互联网,电商",500-2000人,美工,广东
美工,https://www.lagou.com/jobs/6849032.html,龙岗区,7k-9k,深圳市万臣国际科技有限公司,1-3年,不限,福利齐全，发展空间大,1.对旺铺网店页面风格、整体布局进行改善和维护；2.负责设计产品详情页/主图/海报；3.配合运营不定期的制作促销图片和页面等促销活动；4.负责公司相关设计工作。任职要求：1.有两年以上淘宝/天猫/京东店铺设计经验2.精通AI、PS等设计软件，会简单的视频剪辑3.有自己的设计思想及创意，会拍照。懂广告设计原理。4.有良好的沟通、协作能力（求职者请附上作品）全职，非诚勿扰。,电商,50-150人,美工,广东
淘宝美工,https://www.lagou.com/jobs/7219252.html,南山区,4k-6k,深圳童叻童叻科技有限公司,1-3年,大专,营业额提成、定期体检、带薪年假、节日福利,岗位职责：1、负责公司淘宝店铺的装修、图片制作及美化设计、整体美化，直通车，钻展活动广告和相关图片的制作，以及设计定期的推广活动图片；2、促销活动期间的单品设计整改及促销设计宣传版面；强化店铺的内容互动，配合频道的内容规划，加强店铺特色；3、根据不同的产品类别，设计不同的宝贝描述模板及宝贝相关推荐促销页面；4、负责公司内的其他视觉元素设计。 任职要求：1、具有良好的美术基础和创意，有一定的素描手绘能力；2、熟练掌握Photoshop、Dreamweaver、Flash等专业网页设计工具；3、熟练掌握DIV/CSS模式，熟悉 HTML、CSS等web标准，了解JavaScript等页面技术；4、有较强的网站美工及页面视觉美化、布局设计，能够在规定时间内高质量的完成设计任务；5、具备良好的职业素质，工作态度认真负责，有较强的敬业和团队合作精神，愿与公司一起长期稳定发展。,电商,少于15人,美工,广东
美工,https://www.lagou.com/jobs/6896202.html,龙华新区,4k-7k,深圳前海百川投资管理咨询有限公司,1年以下,大专,五险一金、节日福利、全勤奖、年终奖,岗位职责：1、负责公司网站以及各电商平台页面内容更行制作；2、完成产品介绍及产品详情页；3、产品修图以及公司其他营销物料处理；4、配合市场部做项目前期设计简图。岗位要求：1、熟悉各类平面设计用软件，了解使用办公软件（主要用到ps）；2、有独立完成整个设计的工作能力；3、 对文案及策略有较强理解力，作品富有创意，色彩把握及整体构成有良好运用能力；4、沟通能力强、工作细致、注重效率、有团队写作精神。福利待遇：1、入职购买六险一金（公司全额购买商业险可用于门诊医疗报销）；2、1-2个月年终奖金，根据入职时间来计算（多数员工可拿到超过一个月薪资年终奖）；3、转正员工每季度享有600元额外季度奖金；节假日：端午，中秋，春节，年后开工利是分别有300元现金福利；4、入职满一年可享有5天带薪年假；法定节假日放假安排；5、入职满一年有2次调薪调级别机会（4，10月）；6、团队每月1-2次下午茶活动，不定期聚餐安排，每年公司会组织一次外出团建旅游活动；7、办公环境优良，加班有加班费（全额工资为计算基数，加班不超过晚上10点，平日加班为时薪1.5倍，周末加班为日薪2倍，周末加班也可优先选择调休，管理人性化，工作时间为9:30—18:30）。,软件开发、通讯电子,150-500人,美工,广东
美工,https://www.lagou.com/jobs/7209890.html,南山区,5k-7k,深圳市超盟金服技术信息服务有限公司,1-3年,大专,公司主营业务,注：一定要会AE和插画，并有相关作品工作内容：1、负责线上产品的banner及广告位制作2、负责满足公众号推文所需元素，不限于插画、动画效果等3、负责项目线上推广所需素材任职要求1、本科学历，1-2年相关工作经验，优秀应届毕业生优先2、熟练Ps、Ai、Ae、插画3、有视觉效果，具备有一定的审美观4、工作效率高，有抗压能力，有团队协作精神,移动互联网,500-2000人,美工,广东
