job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
美工,https://www.lagou.com/jobs/4647995.html,金牛区,3k-4k,成都市卡姿微雅商贸有限公司,不限,不限,具有发展前景 上升空间大,1•负责公司电商平台整体版式和风格的设计；2•完成店铺装修，把握店铺风格及商品展示设计，3•结合商品的特性制作成图文并茂、有美感、有吸引力和购买力的宝贝详情页面；配合店铺营销活动，制作促销图片和页面，美化修改产品页面，定期更新店铺首页；4•定制产品.包装设计.效果图制作。5•配合完成其他工作。,其他,少于15人,美工,成都
美工,https://www.lagou.com/jobs/6164618.html,锦江区,5k-7k,安踏体育用品集团有限公司,1-3年,本科,五险一金、工会福利、内购优惠、年度旅游,【岗位职责】1、独立负责京东或天猫店铺的页面设计，店铺装修等工作；2、负责店铺的宝贝详情、banner图等制作，并根据产品卖点优化；3、根据店铺平台活动、营销活动，完成店长交代的设计工作；4、完成爆款、主推款等相关图片设计，提高主图点击率；5、协助团队的产品拍摄、视频制作。【职位要求】1、有天猫或京东美工设计经验超过三年，熟悉天猫或京东后台美工操作要求和规则；2、有运动、户外、鞋服等店铺美工经验者优先；3、有爆款、主推款包装独立设计经验；4、有产品拍摄、视频制作经验者优先5、热爱运动、对时尚、潮流搭配有自己的见解；6、30岁及以下，本科以上学历（能力优秀者可放宽）【我们的亮点】1、办公环境：春熙路、太古里潮流核心商圈，银石广场超甲级办公室楼。2、员工福利：   1）入职社保，转正公积金；   2）节日福利；   3）年度免费体检；   4）年度团建（国内or国外）、季度生日会；   5）铁军跑团、篮球赛等，员工活动丰富；   6）带薪年假，超长春节假期。3、薪酬待遇：月薪+年度绩效奖金+优秀者分红4、个人成长：业务以每年超过50%高速增长，提供很多晋升通道和平台。    1）直线晋升：专员——组长——主管————经理——总监-品牌总经理    2）横向晋升：客服——商品岗/运营岗（具体视个人能力而定）安踏四川分销电商每年以50%的增长速度发展，我们缺的是人才，只要你足够优秀，足够努力，电商平台就是您最好的选择。,其他,2000人以上,美工,成都
淘宝美工,https://www.lagou.com/jobs/7116532.html,高新区,4k-6k,成都泛山科技有限公司,1-3年,大专,周末双休，五险一金，带薪年假，行业大牛,请注意：投递时需附上最具代表的原创作品或者链接哟~工作内容：1、负责淘宝店铺的装修设计、风格定位，色彩美感布局，装修和美化2、负责商品主图、详情页、首页的设计及优化3、负责宣传图片、促销图片、促销页面和活动专题页的设计与制作4、负责短视频剪辑和制作 任职要求：1、有淘宝等相关电商平台的半年设计经验2、熟练掌握PS、PR等相关软件3、工作效率高，能吃苦耐劳，责任心强，有良好的团队合作精神4、有短视频剪辑、编导等相关经验者优先,人工智能,15-50人,美工,成都
美工设计师,https://www.lagou.com/jobs/4181879.html,武侯区,3k-5k,长沙伟航互联网信息服务有限公司,1年以下,大专,"周末双休,五险一金,下午茶,住房补贴",岗位职责：1、负责公司天猫旗舰店的页面创意设计，对首页及详情页面进行网页美化设计； 2、对新产品图片后期处理，精修图片排版，优化店内宝贝描述，美化产品图片，上传商品； 3、定期制作促销图片和页面，配合店铺销售活动；4、旗舰店风格及商品展示设计，结合商品的特性制作成图文并茂、有美感、吸引购买力的描述模板；5、配合运营做好推广宣传广告图、直通车、钻石展位及淘宝活动推广图片。岗位要求：1、美术设计等相关艺术类专业优先，电商行业优先；2、有扎实的美术功底，对画面的光影、色彩等有较强理解和把握能力，有很强的网络页面创意、设计和制作经验；3、精通各类平面设计软件（Photoshop、Dremwaver、CorelDraw、AI等），具有较强的创意策略能力，能够充分渗透理解品牌理念和品牌所表达给顾客的文化风格，很好的把握视觉色彩与版面布局，具有丰富的视觉创作经验和独到的审美修养。,"移动互联网,电商",50-150人,美工,成都
美工兼行政助理,https://www.lagou.com/jobs/7181378.html,青羊区,2k-4k,成都万宝利电视购物有限公司,1-3年,本科,定期体检、六险,请看清楚再投简历，不招线上美工工作内容：1、对公司产品的界面进行设计、编辑、美化等工作；2、对公司的宣传产品进行美化设计；3、负责客户及系统内的广告和专题的设计。任职要求：1、大专及以上学历；2、有美术功底，会视频剪辑，及良好的创意思维和理解能力；3、有责任感、团队意识强，有较好的学习能力。行政助理工作内容：1、熟练操作办公软件。2、具有良好的沟通及写作能力，以及工作细致。3、对供应商品做资料分析及整理以及相应的报表分析。4、负责与合作方和各大媒体联系对接。5、定时统计各渠道的销量，做销售汇总，与各销售渠道做日常沟通。任职资格：1.年龄22岁以上，试用期1-3个月。2.能接受单休，一年以上的工作经验优先。3.上班时间9:30—18:00。,"消费生活,旅游",50-150人,美工,成都
电商美工,https://www.lagou.com/jobs/6572630.html,武侯区,5k-7k,新控国际健康管理有限公司,1-3年,大专,"创新平台,弹性工作",岗位职责：1、负责线上电商平台相关店铺装修、产品详情页设计；2、 负责完成电商平台促销活动页情的设计及相关详情页的改版升级；3、 负责电商产品详情页相关拍摄效果的把控、效果跟踪；4、协助完成产品包装调整与迭代升级；5、负责线上宣传海报设计，相关渠道推文排版优化等事宜。任职要求：1、大专及以上学历，设计类相关专业；2、2年以上设计工作经验，有快消品电商平台店铺装修及详情页设计经验者优先；3、具备较强的审美、创意、设计输出和创新能力；4、有一定的用户思维能力、沟通协调能力。,"电商,其他",500-2000人,美工,成都
美工设计师,https://www.lagou.com/jobs/6907670.html,高新区,2k-4k,成都斯达领科网络科技有限公司,应届毕业生,大专,入职购买五险一金、下午茶、加班补贴,注：请认真看岗位职责与任职要求，条件不符请勿投递，不接受在线办公！！！【岗位职责】1. 商品图片与实物的色彩、款式、细节等方面的校对和美化、处理工作；2. 负责对拍摄图片抠图，修图，各种常规及特殊调色手法，设计排版，美化产品图片3. 产品主图设计，不断优化产品图片信息，使之获得竞争优势，提升产品的体验感，保证图片与产品的一致性，将产品核心卖点传达给目标消费者；任职要求：1. 熟练使用PS\AI 软件，有服装类工作经验者优先2. 能熟练处理各种类型图片，懂图片精修对网站色彩、构图等有独特见解3. 优秀的沟通协作、执行能力、团队合作意识 ，热爱设计工作，拥有强烈的责任心4.工作时间：公司实行大小周制，朝九晚六，午休1.5h，实际每天工作时间7.5h。入职即购买五险一金可接受条件优秀的应届毕业生,"电商,物联网",50-150人,美工,成都
淘宝美工,https://www.lagou.com/jobs/7202423.html,青羊区,4k-6k,四川仁辉生物科技有限公司,1-3年,不限,年轻化 社保 生日会 下午茶,hello:   有淘宝美工经验and会使用C4D的童鞋们可以直接将简历和作品发送至拉钩网上哦，我们将会用最快的速度进行简历筛选，给您们答复！期望和“有创意、脑洞大开”的您们成为同事。一、你所关心的工作内容：1、负责淘宝/天猫/京东/小红书店铺页面创意设计（首页、单品页、活动页等）；2、维护店铺营销活动所需宣传推广设计；3、定期根据节假日、季节转换、店铺促销等制作活动模块；4、配合电商运营岗位，完成电商店铺装修工作，提升设计效果，促进线上销售增长和销售效率提升；二、我们需要您具备：1、学历不限，会使用C4D（硬性要求），具备店铺型电商（淘宝或天猫）设计工作者优先；2、能把握品牌页面的整体风格和视觉形象，提升整体效果及用户体验能力；3、有较高的审美能力，良好的创意构思能迅速将品牌的设计风格融会贯通；4、热爱设计行业，有责任心和团队合作精神，抗压能力强，注重自身的成长和发展。5、具备良好的跨部门沟通和协调能力。三、你最最关心的薪酬福利：1、购买社保2、带薪年假、带薪病假and只要你想到的假我们都有；3、月度优秀员工奖金200元/礼品、季度优秀员工奖金200-800现金奖励、年会表彰奖励最高可达2800现金奖励（这些都是工资以外的额外奖励哦）4、绩效奖金（考核95分以上，可以拿到高于原有绩效20%的绩效工资）5、带薪培训6、员工生日（小礼品+生日Party）7、节日福利（月饼、粽子、礼盒and祝福等）8、每月部门团建：聚会、吃饭、唱歌、看电影、泡吧蹦迪、蹦极由你来定！9、人力资源部策划的各种文化类活动10、公司新职场，超快晋升渠道，欢迎来挑战！上班时间：9:00-18:00，本岗位单休介意者慎投。,电商,50-150人,美工,成都
美工,https://www.lagou.com/jobs/6965193.html,金牛区,4k-6k,成都易拉冠网络科技有限公司,不限,大专,带薪培训、晋升空间广阔,一.职位描述成都易拉冠网络科技有限公司我们在做什么？？？公司从事互联网交易服务，主要业务体系包括各大电商平台网店转让公司已是一站式企业服务平台和西南地区最大的虚拟资产第三方交易平台。此处划重点——每个月10号发放工资，不拖欠福利待遇：绩效奖+全勤奖+五险+节假日福利+带薪年假+每月聚餐办公环境：5A级写字楼办公，空调、wifi、办公环境舒适；工作内容：1:主要对产品和实景图片进行后期处理，利用专业技术美化图片，给文字做立体光影效果。替换一些商标图案。 2:banner设计、海报设计等设计工作。公司提供到：带薪培训：免费提供新员工入职培训、员工心态培训、管理层培训、业务技能培训、员工晋升培训包括行业介绍、企业文化、业务介绍、职业生涯发展优质资源：免费提供（公司大量投入推广，会有很多客户主动来咨询，无需你去找）晋升空间：公司管理全由内部晋升，相关部门有对各员工、管理都有横向和纵向的职业规划建议和引导，让你有自我选择的机会，广阔的发展平台和晋升空间。上班时间：9：00-18：00（中午休息1.5小时）公司地址：成都市青羊区雄飞中心3楼（紧邻春熙路，恒大广场和王府井），公司地处市中心商圈，交通方便，四通八达！！！,"移动互联网,电商",150-500人,美工,成都
美工设计助理,https://www.lagou.com/jobs/5336405.html,武侯区,3k-5k,长沙伟航互联网信息服务有限公司,应届毕业生,大专,朝九晚六 年底双薪,任职资格：1、18-30岁，专科及以上学历。2、想从事美工设计工作，有优秀的视觉设计能力和品味，发现图片与整体美感；岗位职责：1、协助设计专员做产品页面美化、修图、排版；2、负责图片编辑处理；3、网站整体形象设计及更新；4、具备强烈的责任心、可以有学习能力，有进取心及团队合作精神。薪资福利：1.双休，朝九晚六，五险一金。2.员工享餐补、健康体检、生日礼物，过节物品等福利。3.享受法定假期，带薪年假。,"移动互联网,电商",50-150人,美工,成都
