job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
美工,https://www.lagou.com/jobs/6205250.html,西湖区,7k-14k,杭州布奇托网络科技有限公司,1-3年,本科,领导nice 氛围好 发展空间大,岗位职责：1、负责公司品牌活动、广告创意、线上线下活动等相关的视觉策划与设计；2、配合产品推广需求，完成动画、广告片、宣传片和视频特效等相关作品的制作和后期处理3、根据产品需求参与视频拍摄的脚本讨论与策划，提供创意性内容；任职要求：1、美术、栏目包装设计、影视制作，多媒体动画设计专业本科以上学历； 2、熟练使用相关软件 ：3dmax、MAYA、C4D、 After Effects、Photoshop、EDIUS及PR剪辑软件等；3、具备扎实的美术、动画基础，有较强的独立制作能力和创新意识；4、对产品的设计能有有自己独特的认识和见解，能很好的完成日常广告图片、视频的后期制作。,"移动互联网,电商",50-150人,美工,杭州
美工,https://www.lagou.com/jobs/7171434.html,滨江区,5k-8k,乐麦信息技术（杭州）有限公司,不限,大专,晋升空间大,岗位职责：1.负责店铺整体风格装修；2.负责天猫店铺主图，推广图，小型banner的制作设计；3.定期更新促销图片和页面、配合店铺销售活动、美化修改产品页面及定期更新店铺主页。任职资格：1.大专及以上学历，有电商相关工作经验；2.精通Photoshop、Illustrator、dreamweave等网页设计图形设计软件；3.具有较强视觉色彩把握能力，构思新颖创意独特，审美能力强；4.良好的沟通表达能力和团队协作能力，学习能力强，抗压性强。,电商,500-2000人,美工,杭州
品牌设计美工,https://www.lagou.com/jobs/6938353.html,江干区,3k-4k,杭州所罗门信息科技有限公司,应届毕业生,不限,视觉设计 品牌设计 图文设计,企业简介先知：杭州所罗门信息科技有限公司是一家创新型互联网金融科技企业，企业属于初创发展期。公司主营业务为通过大数据建立数据库，分析银行业相关金融产品，建立具有实用性的理财产品信息推荐平台，立志服务大于5000万以上的中产人群。公司秉承诚信、踏实、专业、追求卓越的企业文化理念，为社会进步创造价值。公司要么不做，要做就做领域内最优秀的产品。此次招收的人员能认可公司的文化，有创业激情者更佳。我们积极组建一支团结的团队，吸纳有品格、有才干的同志加入，因为优秀的团队是优秀产品的基石。如果你愿意脚踏实地与公司同行，成就未来，非常欢迎你来加入。职位要求：1、如果你有想做一款出色的互联网品质产品，来崭露头角、打响名声，那我们非常欢迎你。2、团队吸纳诚信、有扎实基础功底、有自己的设计理念、追求卓尔不群的优秀品质成员。3、技能方面我们希望你有一定的移动端设计经验，精通Photoshop、Sketch 、Illustrator、AI等设计软件；希望你是把设计当做生活，生活当做事业，善于思考，勇于创新，这里是一个你可以放手展示，成就未来的地方。职位描述：1、设计完成成套品牌设计方案，用品牌印象触及人们心底。2、参与产品web端、移动端风格界面UI研究、设计；设定整体视觉体验风格和UI设计；做好用户视觉体验控制3、熟悉客户特征，负责制定、完善和优化产品的界面设计；设计公司宣传图文、文案图文、广告图文等内容。4、辅助公司做好客户拓展与宣传工作。,数据服务、金融,少于15人,美工,杭州
美工,https://www.lagou.com/jobs/6925831.html,下城区,6k-8k,杭州智盾信息技术有限公司,1-3年,大专,接地气,1，较强的美术功底和出色平面设计审美功力；2，对于网页的美工布局及色彩的搭配有着独到的见解和体会，并具有较好的审美观及美感意识；3，精通Photoshop、Illustrator等相关设计软件应用；4，图片处理、美化、设计、修改、更新等 。,"企业服务,数据服务",15-50人,美工,杭州
美工设计师,https://www.lagou.com/jobs/7029803.html,滨江区,6k-8k,满贯（深圳）电子商务有限责任公司,1-3年,大专,五险一金，下午茶，年假等,投递简历时，请附带作品链接或将作品发送至该QQ邮箱：**********，谢谢！岗位职责：1、 面向平台：包含但不限于淘宝、天猫、京东2、日常设计：输出店铺日常需要图片，包含但不限于钻展入口图、钻展承接页、店铺首页装修、宝贝主图、宝贝详情页、直通车推广图片3、活动设计：输出店铺活动需要图片，包含但不限于聚划算、6·18、双11、双12活动4、设计规范：输出设计图片规范，图片设计模板，提升工作效率5、工作协助：协助主管完成照片拍摄，包含但不限于拍摄脚本制作、道具购买、场地租赁、照片修图任职资格：1、一年以上平面设计经验2、 优秀的沟通能力和理解能力3、 良好的审美及判断能力4、 加分项：电商设计师从业经验或者母婴/美妆/保健品行业从业经验优先考虑,电商,50-150人,美工,杭州
美工,https://www.lagou.com/jobs/6923640.html,余杭区,4k-5k,杭州长业科技有限公司,应届毕业生,不限,五险一金、单双休、旅游、、、、、,岗位职责：1、负责公司旗下网店的装修设计，修图排版，美华产品图片；2、负责店铺首页、二级页、宝贝详情页、活动图等整体形象设计、装修、制作；3、配合营销活动及时更新，首页定期维护；4、负责商品图片的前期设计、后期优化；5、完成店铺或领导布置的其他任务；任职要求：1、21-30岁，两年以上淘宝、天猫等平台美工工作经验，2、熟悉淘宝、天猫后台操作，掌握淘宝、天猫直通车站展页面制作要求3、有较强的责任心、沟通能力4、适应压力环境下工作，能很好的配合团队工作5、主动意识强，能根据店铺状况主动发现和解决问题薪资福利：1、底薪4000-5000+餐补+交通补贴+五险一金+话补+员工生日礼品+节假日礼品+额外奖励+年底双薪+带薪休假+法定节假日+公司旅游+团建 工作时间：8：30-17：30（单双休）,电商,50-150人,美工,杭州
美工平面设计,https://www.lagou.com/jobs/7206560.html,滨江区,7k-10k,壹玖壹玖酒类平台科技股份有限公司,1-3年,大专,发展空间大 办公环境优美 同事关系融洽,2018年阿里巴巴战略投资20亿元，1919接入阿里巴巴商业操作系统，承接酒类运营业务。酒类新零售独角兽，行业领军上市公司，线上入驻各大电商平台，线下1000多家门店，业务快速扩张期，发展前景广阔。连续两年天猫酒水双十一**店铺，双十一销售额过亿店铺！岗位职责：1、 负责天猫、淘宝、京东、饿了么等电商渠道无线、PC端设计。2、 负责各级页面设计，包括店铺、活动、产品、专题、详情等。3、 提高页面质量、用户停留时间、访问深度、点击率，提升转化率。4、 配合渠道业务人员，通过设计提高销售，增加品牌曝光，提升用户体验。5、 设计数据分析、总结和优化。任职要求：1、天猫、淘宝、京东等电商平台设计2年以上经验。2、熟悉电商平台各级页面设计，店铺装修，具备高品质的视觉审美。3、有优秀设计案例，独立撰写商品说明及一些宣传推广软文。4、熟练使用photoshop、dreamweaver等工具。5、思维活跃，抗压力强，主动积极，有责任心。薪资福利1、薪资：底薪+绩效+提成；2、优秀员工年终分配股权；3、上班时间：09:00-18:00，周末双休，五险一金，福利优越；4、国家法定节假日正常休假，生日当天可休假；5、公司制定个人晋升和长期发展规划。,消费生活,2000人以上,美工,杭州
高级美工,https://www.lagou.com/jobs/6961186.html,余杭区,8k-10k,杭州特泽瓦科技有限公司,3-5年,本科,五险一金 节日福利 每年多次加薪机会,工作内容：1、负责店铺的装修设计工作；2、对网店活动图片制作、发布、修改、调整；3、配合店铺销售活动美化店铺及产品展示；4、根据店铺营销活动计划，对店铺首页及附加页面进行美化设计；5、不断编排优化店铺页面结构、商品描述美化、店铺产品图片处理；6、日常产品图片，制作宣传海报和网络广告图片。职位要求：3年以上淘宝，京东 等一类电商平台美工相关工作经验，能独立完成设计任务。工作时间：9:00-12:00 13:30-18:00 单双休,电商,50-150人,美工,杭州
美工,https://www.lagou.com/jobs/7181152.html,滨江区,4k-8k,杭州云店科技有限公司,1-3年,大专,"五险
团建活动
节假日福利生日福利",岗位职责：1、负责店铺爆款产品打造、维护，制定运营策略、目标及执行方案；2、善于数据分析，能剖析数据找出店铺（爆款产品）问题，提高店铺产品访客、点击率、转化率；3、深度分析用户需求，并依此制定商品主图详情、卖点提炼、宝贝详情的方案并实施；4、每日监控营销数据、交易数据、商品管理、顾客管理、及时提出营销改进措施，给出确实可行的改进方案；5、对竞品的分析与追踪，并及时提出问题和应对方案6、对推广（直钻）有一定经验和基础，配合推广工具提升宝贝的搜索权重岗位要求：1. 大专及以上学历，有2年电商工作经验者优先考虑；2. 热爱互联网社区与电子商务，对网店运营有浓厚的兴趣；3. 善于总结分析，具有较强的数据分析能力和逻辑思维能力；4. 思维敏捷，有较强的执行力和进取心；5. 有较强的团队合作精神，较好的抗压能力和吃苦耐劳精神福利待遇：1、活动：如聚餐、旅游等各种文体活动2、关怀：如周到的假期和员工关怀，各种团建，丰富业余生活；3、福利：国家法定节假日以及节日福利、高温补贴等；超有爱团队，超快乐工作氛围；4、薪资：具有行业竞争力的优厚薪资待遇，超丰厚奖金；5、超有爱团队，超快乐工作氛围，欢迎你的到来6、上班时间9:00-18:00 午休12:00-13:30,电子商务 数据服务,少于15人,美工,杭州
美工,https://www.lagou.com/jobs/7076263.html,江干区,6k-9k,杭州如涵控股股份有限公司,1-3年,本科,学习机会多 下午茶,岗位职责：1、负责红人相关活动专题海报制作、推广图片制作； 2、负责红人店铺的banner，直播战报；任职要求：1、有一定的审美意识，想象力丰富、色彩感觉好；2、对时尚有敏锐的洞察力，能掌控流行时尚服饰搭配元素；3、具备良好的合作态度以及团队精神并富有工作激情、创造力跟责任感；,电商,500-2000人,美工,杭州
