job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
美工编辑（派遣制岗位）,https://www.lagou.com/jobs/6188737.html,武昌区,3k-5k,湖北长江云新媒体集团有限公司,不限,大专,"新媒体,国企","岗位职责：1、负责IPTV产品海报图和宣传等平面设计,设计成果符合标准化要求；2、设计成果确保时效性、美观性；3、具备细致的观察能力，一定的总结能力，能够对内容推荐位配色、布局提出优化建议。 任职要求：1、35周岁及以下，身体健康，全日制专科及以上学历，设计等相关专业优先；2、精通Photoshop、Illustrator等矢量图形编辑软件；3、具备很好的理解力、敏锐的观察力，独特的视觉感受能力，能积极配合团队作战；4、具有良好的政治素质和思想品德，拥护中国共产党领导。 工作时间：周一至周五，8:30-17:30（夏令时间为8:30-18:00）；每月有1-2次周末值班员工福利：1、入职后工作满一年，即可申请年假，年假天数按累计工龄计算；2、试用期一个月，缴纳社会保险；3、周末双休（每月有1-2次在周末值班，值班时间通常为半天），午间休息2小时4、丰富的培训资源，有机会参加湖北广播电视台内举办的各类型培训。拟聘人数：4人","移动互联网,数据服务",150-500人,美工,武汉
光谷招聘美工,https://www.lagou.com/jobs/5533977.html,武昌区,4k-8k,武汉富有美誉科技有限公司,应届毕业生,不限,初级美工、中级美工、高级美工、专家设计师,"职位描述工作内容：1、负责店铺整体的页面创意设计；2、抠图排版，优化店内宝贝描述，美化产品图片，上传商品；3、跟进促销计划，或定期制作促销图片和页面，配合店铺销售活动；美化修改产品页面，定期更新店铺主页；4、网店风格及商品展示设计，结合商品的特性制作成图文并茂、有美感、有吸引购买力的描述模版。职位要求：1、精通Photoshop,CorelDraw,DreamWeaver等平面设计软件；2、具有丰富的想象力和良好的创造力；3、成熟稳重、吃苦耐劳、较强的团队精神及学习能力，谢绝有经验但自以为是者；4、心态积极阳光，能承受工作压力，工作仔细负责，高效执行；5、有淘宝美工、店面装修经验及坐班优先。","信息安全,移动互联网",50-150人,美工,武汉
电子商务美工,https://www.lagou.com/jobs/5094142.html,洪山区,5k-8k,武汉金华兴电脑系统集成有限公司,1-3年,大专,"美工设计,美化店铺,产品设计","岗位职责:1、天猫店面店铺形象维护更新 ;2、商品描述页面美化 ，单页美工设计制作;3、图片编辑处理 ;任职要求:1、平面设计专业;2、熟练掌握的软件：Photoshop，Dreamweaver;3、要求会相关的绘图软件，懂一定的网页设计语言和有一定的文字功底。福利待遇：.高额月奖金+高额年度分红+午餐补贴及节假日福利+.社保+定期公司旅游+月休6天+年假一经录用，我司将提供完善的职业规划及透明的纵向晋升空间 、广阔的横向发展平台（公司中层管理和其他职能部门管理的员工全部采用内部晋升）；任职期间，我司提供完善的在职培训、同行业具竞争力的绩效考核体系、我司提供完善的福利及专业知识培训(产品知识，销售流程，销售技巧等)注：有意向者可带简历直接前往公司面试！若通知面试却无故不到者，将进入HR黑名单！无良求职者请勿投，后果自负！面试时间：周一至周五早上09:00-12:00,下午13:30-17:00面试地址：武昌广埠屯武汉电脑大世界16楼金华兴总部（华师大门正对面武大测绘学院旁，地铁站广埠屯K出口出门对面即到武汉电脑大世界）","电商,硬件",50-150人,美工,武汉
淘宝美工,https://www.lagou.com/jobs/7191896.html,黄陂区,4k-6k,武汉珍草商贸有限公司,不限,不限,销售提成,工作职责（1）负责淘宝、拼多多、天猫（筹划中）等网络店铺视觉规划、设计、包括店铺装修、产品详情页、主图、钻展等制作。（2）负责网站产品图片的处理和排版，并制作各类宣传图、活动页面。（3）配合网店运营对促销活动方案的构思与文案策划。职位要求（1）电子商务、美工设计专业。（2）高中或中专以上学历优先。（3）有1年以上电商美工食品类设计岗位工作经验优先考虑。（4）熟练使用Ps或手绘，有良好的构图、排版和色彩搭配能力。（5）学历不限，35岁以下优先。（6）有美术功底或摄影功底优先考虑。（7）要有吃苦耐劳及学习精神，愿意和公司共同成长。（8）能够长期稳定做好工作，频繁跳槽者勿扰。（9）请准备好近期设计作品，以便了解设计水平。（10）本岗位招聘全职坐班美工，网络或外包美工敬请勿扰！工作时间（1）上午  8:30 - 12:00；下午  13:30 - 17:30（2）每周一至周六上班，周日休息，节假日原则上休假，遇到平台促销比如618，双十一，双十二，年终促销等特殊时期需要调休。,"电商,医疗丨健康",少于15人,美工,武汉
美工设计,https://www.lagou.com/jobs/7217503.html,武昌区,4k-7k,头号玩家（湖北）国际旅行社有限公司,1-3年,大专,五险 带薪年假 定期旅游 年终奖励,"1.必须有一年以上旅游电商设计经验（淘宝，天猫，京东，携程等）2.有一定美术功底及审美能力，熟练各种做图软件，会视频剪辑更好。3.有较强的责任心,具备良好的与人沟通的能力及积极的合作精神，善于学习，能够熟练运用Office办公软件。5.负责企业的推广宣传品的设计及制作，同时有知一定的文案及组织能力6.会剪辑视频优先。","企业服务,旅游",15-50人,美工,武汉
淘宝美工,https://www.lagou.com/jobs/7158272.html,江夏区,5k-9k,武汉市品创乐派商贸有限公司,1-3年,大专,福利待遇好,在线美工勿扰！在线美工勿扰！在线美工勿扰！在这里没有论资排辈，只要你肯学习，有能力，下一个晋升的就是你！如果你充满期待，工作会如礼物般精彩。如果你做好准备，你的舞台将会比你想象的更大。如果你有能力，可以与我们BOSS面对****。我们知道你很关心：1、工作时间：09:00---18:00，每月休息5-6天，法定节假日休息，带薪年假，转正后购买意外险，员工体检薪资：底薪+绩效+店铺销售额提成+全勤+奖金晋升体制：运营方向：美工（美工助理）+高级美工-副运营-运营组长-店长-类目总监美工方向：美工（美工助理）-初级设计师-中级设计师-高级设计师-设计总监2、工作内容：1>首页广告图片制作及美化、整体布局、活动广告和相关图片的制作。2>对新开发的产品进行抠图排版、优化店内宝贝描述、美化产品图片及商品的上下架。3>定期更新促销图片及页面、配合店铺促销活动、美化修改产品页面及定期更新店铺主页。3、我们的要求：1>两年以上的设计师工作经验，熟练操作设计软件，优秀的设计能力；如果你没有工作经验，但是一个优秀的应届毕业生，我们也热烈欢迎你的加入！2>我们希望你是美术、平面设计相关专业，专科及以上学历；3>我们希望既是你不是长腿欧巴或者小萝莉，但一定要有良好的沟通能力和学习能力，当然，努力比什么都重要；4>我们希望你善于与人沟通，有高度的责任感，能够承受压力，有创新精神，保证工作质量；有扎实的美术功底、良好的创意思维和理解能力；5>希望你有良好的语言表达能力和团队协作精神，有较强创意能力和领悟能力。6>了解后台程序制作流程，对图片渲染和视觉效果有较好认识，以独立自主的进行网站美工设计。4、我们能给你的：1>虽然谈钱很伤感情，而且还有一些乱七八糟的各种补贴，但我们还是要说，干电商最基本的底薪5000——7000是不会少的，但你会由老板直接面试，如果你的能力突出，那么薪资根据能力来定，我们会单独为你制定薪资，公司不怕你提出高工资，但希望你有真才实学；2>最好你是一个美颜相机的使用达人，不然每年两次的境内境外带薪旅游，怎么把自己和我们拍的更好看？3>最好你很活泼，合群，不然我们的各种素质拓展，比赛，团队建设游戏，怎么赢到超级大奖？4>如果你爱吃，那更好了，毕竟公司聚餐，每月员工生日会，蛋糕，海鲜，披萨，水果……都需要人消灭；5>如果你够努力，工作业绩突出，保证速度像坐了火箭一样，美工设计一样可以挑战店铺店长，那么，升职加薪，走上人生巅峰，都是分分钟的事！6>福利和岗位晋升，我们不管你care不care，但会为你准备好一整套的薪资和岗位晋升体系图。如果这么巧，你和我们是同类人，你欣赏我们的风格，喜欢我们的公司，不妨把你的简历投过来，我们欢迎一切有想法有激情的年轻人，让我们看看你究竟有多么的好，毕竟，好看的皮囊千篇一律，有趣的灵魂万里挑一。,电商,150-500人,美工,武汉
高级电商设计师/视觉/美工,https://www.lagou.com/jobs/7109103.html,江汉区,10k-15k,湖北铂云垚生物科技有限公司,3-5年,本科,绩效奖金节日福利评级达标可就近安排租房。,岗位职责1.负责CATENA品牌整体视觉创意与页面设计，把控及制定整个店铺视觉调性及设计规范，提升 品牌整体视觉效果，强化品牌意识；2.结合全年品牌推广及营销计划，负责对电商大促等大型活动（如618，双十一等）的页面视 觉设计项目进度规划，协调公司内部，外部的设计资源，推进设计执行落地；3.分析后台店铺相关数据（如转化率，页面点击，访问深度，停留时长等），能够根据数据变 化进行视觉设计的迭代优化；4.结合品牌的定位，对店铺和商品页面进行创意设计及视觉美化工作；5.理解市场用户及产品，基于对设计趋势的分析和思考不断优化整体设计方向，帮助指导平面 设计技能提升； 任职要求1、至少3年以上电商视觉设计工作经验。有较好的创新意识、能力，对问题有自己独到的见解 ，有美妆、母婴，及护肤品行业设计经验尤佳；2、手绘/C4D建模/合成能力三项至少擅长其一；3、熟悉天猫后台装修代码及动效设计；4、能够独立负责设计项目，有较强的数据分析能力；具备高度责任心、耐心及应变能力，对 内对外均可进行清晰的表述与沟通，工作激情、创造力跟责任感，工作有韧性，抗压能力强，为人踏实，工作态度端正、耐心、细致。5、必须懂得日语喜欢日本文化，有日系风格设计经验。1、绩效奖金。2、节日福利，定期团建。3、转正后买五险4、转正达到优秀员工评级可就近安排租房。工作时间早上9：:30 至中午12:00  午休一个半小时 下午13:30至18:00下班，周末单休。其他假期视情况调班调休。,电商,15-50人,美工,武汉
美工设计,https://www.lagou.com/jobs/6653129.html,东湖新技术开发区,3k-5k,美益添生物医药（武汉）有限公司,1-3年,大专,五险一金、年度旅游、周末双休、交通补助,岗位职责：1.活动海报设计制作;2.新媒体图片设计制作;3.线上品牌裂变活动h5、电子海报图片素材制作等。 职位要求：1、熟练使用Photoshop、Illustrator等常用设计制作软件；2、工作经验1年以上 对平面设计有良好的色感和编排能力；对Banner设计有独特视角及观点，对色彩敏感度较强，设计逻辑清晰；3、具有扎实的美术功底，较强的创意能力，以及学习能力；4、善于沟通协调，工作认真专注，有责任心，执行力强，有团队合作精神；5、有一定的文案功底。,"移动互联网,电商",15-50人,美工,武汉
天猫/淘宝/京东 美工设计,https://www.lagou.com/jobs/4198726.html,洪山区,5k-8k,武汉卌利锦电子有限公司,1-3年,不限,地铁口、五险、节日福利、绩效奖金,1、负责公司天猫整体形象设计、网店风格及商品展示设计；2、首页广告图片制作及美化、整体布局、活动广告和相关图片的制作；3、店铺促销期间的设计排版及促销宣传版面；4、对新开发的产品进行排版、优化店内宝贝描述、美化产品图片；5、定期更新促销图片及页面、配合店铺促销活动、美化修改产品页面及定期更新店铺主页；6、对店铺进行视觉优化设计；任职要求：1、有2年或以上电商设计工作经验，3C数码、电器类目优先考虑；有运营经验优先考虑；2、有C4D、视频剪辑技能者优先，待遇从优3、具有良好的网页及平面设计能力，对于网页的排版及色彩的搭配有着独到的见解和体会，有创意，有较强视觉效果表现能力；4、精通电商设计所需软件；5、工作踏实，有责任感和进取心，执行力强，具有良好的沟通能力及协作精神，性格开朗。,"移动互联网,电商",15-50人,美工,武汉
美工,https://www.lagou.com/jobs/5223059.html,洪山区,4k-6k,武汉凯艺维通网络科技有限公司,1-3年,不限,带薪休假，五险、团建活动、节日福利,岗位职责：1、根据产品需求，对产品的整体美术风格、交互设计、界面结构、操作流程等做出设    计；2、负责项目中各种交互界面、图标、LOGO、按钮等相关元素的设计与制作；3、能积极与开发沟通，推进界面及交互设计的最终实现。4、负责软件界面的美术设计、创意工作和制作工作。5、根据各种相关软件的用户群，提出构思新颖、有高度吸引力的创意设计。6、对页面进行优化，使用户操作更趋于人性化。7、维护现有的应用产品。任职要求：1、美术、设计或计算机等相关专业，一年以上互联网产品，UI设计工作经验；2、精通photoshop、illustrator、flash等常用设计工具，熟悉Html、JavaScrip和DIV   CSS等技术，能编写扩展性、兼容性良好的页面结构；3、熟悉产品项目流程，熟悉视觉设计规范，并且对字体设计有浓厚的兴趣；4、具备良好的审美能力和手绘功底，具有较好的创作型思维和逻辑思维，所有设计的    原创性需要达到90%以上；5、能积极的与开发沟通，有较强的工作目标感与计划性，推进界面与交互设计的最终    体现；6、有APP/Web网站设计成熟的项目案例，或有交互设计、UED经验者优先。,"移动互联网,社交",150-500人,美工,武汉
